Player,Date,G,School,Loc,Opponent,WL,Punt Ret,Punt Ret Yds,Punt Ret Avg,Punt Ret TD,unique_id
Chris Conley,2012-09-01,1,Georgia,,Buffalo,W,1,9,9.0,0,chris-conley-1
C.J. Crawford,2012-09-01,1,Marshall,@,West Virginia,L,1,5,5.0,0,cj-crawford-1
Kenneth Crawley,2012-09-01,1,Colorado,N,Colorado State,L,3,38,12.7,0,kenneth-crawley-1
Jamison Crowder,2012-09-01,1,Duke,,Florida International,W,2,21,10.5,0,jamison-crowder-1
Andre Davis,2012-09-01,1,South Florida,,Chattanooga,W,1,-2,-2.0,0,andre-davis-4
Tommy Davis,2012-09-01,1,Illinois,,Western Michigan,W,1,1,1.0,0,tommy-davis-2
Andre Debose,2012-09-01,1,Florida,,Bowling Green State,W,3,45,15.0,0,andre-debose-1
Ritchy Desir,2012-09-01,1,Syracuse,,Northwestern,L,1,0,0.0,0,ritchy-desir-1
Quandre Diggs,2012-09-01,1,Texas,,Wyoming,W,1,14,14.0,0,quandre-diggs-1
Stefon Diggs,2012-09-01,1,Maryland,,William & Mary,W,3,50,16.7,0,stefon-diggs-1
Cordero Dixon,2012-09-01,1,Buffalo,@,Georgia,L,1,33,33.0,0,cordero-dixon-1
Phillip Dorsett,2012-09-01,1,Miami (FL),@,Boston College,W,2,17,8.5,0,phillip-dorsett-1
Mike Edwards,2012-09-01,1,Texas-El Paso,,Oklahoma,L,4,25,6.3,0,mike-edwards-4
Andy Erickson,2012-09-01,1,Texas State,@,Houston,W,3,52,17.3,0,andy-erickson-1
Jeremy Gallon,2012-09-01,1,Michigan,N,Alabama,L,1,3,3.0,0,jeremy-gallon-1
T.J. Glover,2012-09-01,1,South Alabama,,Texas-San Antonio,L,2,37,18.5,0,tj-glover-1
D.D. Goodson,2012-09-01,1,Colorado,N,Colorado State,L,1,-2,-2.0,0,dd-goodson-1
Rashad Greene,2012-09-01,1,Florida State,,Murray State,W,4,63,15.8,1,rashad-greene-1
Scott Harding,2012-09-01,1,Hawaii,@,Southern California,L,1,39,39.0,0,scott-harding-1
Justin Hardy,2012-09-01,1,East Carolina,,Appalachian State,W,1,43,43.0,0,justin-hardy-1
Kenny Harrison,2012-09-01,1,Texas-San Antonio,@,South Alabama,W,2,-7,-3.5,0,kenny-harrison-3
Erik Highsmith,2012-09-01,1,North Carolina,,Elon,W,1,33,33.0,0,erik-highsmith-1
Gerald Hodges,2012-09-01,1,Penn State,,Ohio,L,2,-1,-0.5,0,gerald-hodges-1
Nate Holmes,2012-09-01,1,Arkansas,,Jacksonville State,W,4,12,3.0,0,nate-holmes-1
Tyler Hunter,2012-09-01,1,Florida State,,Murray State,W,1,4,4.0,0,tyler-hunter-1
Micah Hyde,2012-09-01,1,Iowa,@,Northern Illinois,W,2,21,10.5,0,micah-hyde-1
Lovell Jackson,2012-09-01,1,Wake Forest,,Liberty,W,1,11,11.0,0,lovell-jackson-1
Christion Jones,2012-09-01,1,Alabama,N,Michigan,W,4,56,14.0,0,christion-jones-1
Ashton Lampkin,2012-09-01,1,Oklahoma State,,Savannah State,W,2,33,16.5,0,ashton-lampkin-1
Javone Lawson,2012-09-01,1,Louisiana,,Lamar,W,1,27,27.0,0,javone-lawson-1
Richard Leonard,2012-09-01,1,Florida International,@,Duke,L,1,6,6.0,0,richard-leonard-1
Malcolm Lewis,2012-09-01,1,Miami (FL),@,Boston College,W,1,8,8.0,0,malcolm-lewis-2
Tyler Lockett,2012-09-01,1,Kansas State,,Missouri State,W,2,44,22.0,0,tyler-lockett-1
Keiwone Malone,2012-09-01,1,Memphis,,Tennessee-Martin,L,1,-3,-3.0,0,keiwone-malone-1
Venric Mark,2012-09-01,1,Northwestern,@,Syracuse,W,2,134,67.0,1,venric-mark-1
Keante Minor,2012-09-01,1,Arkansas,,Jacksonville State,W,1,17,17.0,0,keante-minor-1
Terrence Mitchell,2012-09-01,1,South Florida,,Chattanooga,W,4,69,17.3,0,terrence-mitchell-1
Charlie Moore,2012-09-01,1,Oklahoma State,,Savannah State,W,3,46,15.3,0,charlie-moore-1
Richard Morrison,2012-09-01,1,Arizona,,Toledo,W,2,23,11.5,0,richard-morrison-1
Caleb Muncrief,2012-09-01,1,Oklahoma State,,Savannah State,W,4,74,18.5,0,caleb-muncrief-1
Marcus Murphy,2012-09-01,1,Missouri,,Southeastern Louisiana,W,5,180,36.0,2,marcus-murphy-1
Davonte' Neal,2012-09-01,1,Notre Dame,N,Navy,W,1,11,11.0,0,davonte-neal-1
Korvic Neat,2012-09-01,1,Mississippi,,Central Arkansas,W,3,20,6.7,0,korvic-neat-1
Daymond Patterson,2012-09-01,1,Kansas,,South Dakota State,W,2,30,15.0,0,daymond-patterson-1
Dewayne Peace,2012-09-01,1,Houston,,Texas State,L,1,4,4.0,0,dewayne-peace-1
Harry Peoples,2012-09-01,1,Louisiana,,Lamar,W,3,20,6.7,0,harry-peoples-1
Bernard Reedy,2012-09-01,1,Toledo,@,Arizona,L,1,0,0.0,0,bernard-reedy-1
Nickell Robey,2012-09-01,1,Southern California,,Hawaii,W,2,34,17.0,0,nickell-robey-1
Mason Robinson,2012-09-01,1,Rutgers,@,Tulane,W,3,10,3.3,0,mason-robinson-1
Spenser Rositano,2012-09-01,1,Boston College,,Miami (FL),L,1,1,1.0,0,spenser-rositano-1
Cameron Saddler,2012-09-01,1,Pittsburgh,,Youngstown State,L,2,22,11.0,0,cameron-saddler-1
Khalek Shepherd,2012-09-01,1,Virginia,,Richmond,W,2,9,4.5,0,khalek-shepherd-1
Devin Smith,2012-09-01,1,Ohio State,,Miami (OH),W,1,-2,-2.0,0,devin-smith-2
Roy Smith,2012-09-01,1,North Carolina,,Elon,W,6,127,21.2,0,roy-smith-1
Andre Snipes-Booker,2012-09-01,1,Marshall,@,West Virginia,L,1,19,19.0,0,andre-snipes-booker-1
Richard Spencer,2012-09-01,1,Texas-El Paso,,Oklahoma,L,1,17,17.0,0,richard-spencer-1
Derrick Strozier,2012-09-01,1,Tulane,,Rutgers,L,1,3,3.0,0,derrick-strozier-1
Damian Swann,2012-09-01,1,Georgia,,Buffalo,W,1,30,30.0,0,damian-swann-1
De'Anthony Thomas,2012-09-01,1,Oregon,,Arkansas State,W,1,6,6.0,0,deanthony-thomas-1
Momo Thomas,2012-09-01,1,Colorado State,N,Colorado,W,2,6,3.0,0,momo-thomas-1
Tramaine Thompson,2012-09-01,1,Kansas State,,Missouri State,W,1,89,89.0,1,tramaine-thompson-1
Nyeem Wartman-White,2012-09-01,1,Penn State,,Ohio,L,1,7,7.0,0,nyeem-wartman-1
Frankie Williams,2012-09-01,1,Purdue,,Eastern Kentucky,W,1,0,0.0,0,frankie-williams-1
Jackie Williams,2012-09-01,1,Alabama-Birmingham,,Troy,L,2,-8,-4.0,0,jackie-williams-1
Jaime Wilson,2012-09-01,1,Western Michigan,@,Illinois,L,3,31,10.3,0,jaime-wilson-1
Khalid Wooten,2012-09-01,1,Nevada,@,California,W,1,22,22.0,0,khalid-wooten-1
Austin Zouzalik,2012-09-01,1,Texas Tech,,Northwestern State,W,2,37,18.5,0,austin-zouzalik-1
Levi Norwood,2012-09-02,1,Baylor,,Southern Methodist,W,4,49,12.3,0,levi-norwood-1
Demarco Robinson,2012-09-02,1,Kentucky,@,Louisville,L,3,22,7.3,0,demarco-robinson-1
Dyrell Roberts,2012-09-03,1,Virginia Tech,,Georgia Tech,W,1,0,0.0,0,dyrell-roberts-1
Jemea Thomas,2012-09-03,1,Georgia Tech,@,Virginia Tech,L,1,1,1.0,0,jemea-thomas-1
Anthony McClung,2012-09-06,1,Cincinnati,,Pittsburgh,W,4,55,13.8,0,anthony-mcclung-1
Cameron Saddler,2012-09-06,2,Pittsburgh,@,Cincinnati,L,3,33,11.0,0,cameron-saddler-1
Geoff Norwood,2012-09-07,2,Utah,@,Utah State,L,2,3,1.5,0,geoff-norwood-1
Zach Vigil,2012-09-07,2,Utah State,,Utah,W,1,33,33.0,0,zach-vigil-1
Cameron Webb,2012-09-07,2,Utah State,,Utah,W,5,45,9.0,0,cameron-webb-1
Jared Abbrederis,2012-09-08,2,Wisconsin,@,Oregon State,L,1,8,8.0,0,jared-abbrederis-1
Justin Albert,2012-09-08,2,Troy,,Louisiana,L,2,15,7.5,0,justin-albert-1
Keenan Allen,2012-09-08,2,California,,Southern Utah,W,3,94,31.3,1,keenan-allen-1
Antonio Andrews,2012-09-08,2,Western Kentucky,@,Alabama,L,2,15,7.5,0,antonio-andrews-1
Perez Ashford,2012-09-08,2,Northern Illinois,,Tennessee-Martin,W,3,6,2.0,0,perez-ashford-1
Johnthan Banks,2012-09-08,2,Mississippi State,,Auburn,W,1,7,7.0,0,johnthan-banks-1
A.J. Barker,2012-09-08,2,Minnesota,,New Hampshire,W,3,47,15.7,0,aj-barker-1
Odell Beckham Jr.,2012-09-08,2,Louisiana State,,Washington,W,2,4,2.0,0,odell-beckham-jr-1
Andrew Bodenheimer,2012-09-08,2,East Carolina,@,South Carolina,L,1,0,0.0,0,andrew-bodenheimer-1
Quan Bray,2012-09-08,2,Auburn,@,Mississippi State,L,1,-1,-1.0,0,quan-bray-1
Leon Brooks,2012-09-08,2,Washington State,,Eastern Washington,W,3,48,16.0,0,leon-brooks-1
Justin Brown,2012-09-08,2,Oklahoma,,Florida A&M,W,3,102,34.0,0,justin-brown-1
Cody Bruns,2012-09-08,2,Washington,@,Louisiana State,L,1,1,1.0,0,cody-bruns-1
Ryan Burbrink,2012-09-08,2,Bowling Green State,,Idaho,W,3,36,12.0,0,ryan-burbrink-1
Blair Burns,2012-09-08,2,Wyoming,,Toledo,L,2,21,10.5,0,blair-burns-1
Isaiah Burse,2012-09-08,2,Fresno State,@,Oregon,L,1,7,7.0,0,isaiah-burse-1
Lee Butler,2012-09-08,2,Duke,@,Stanford,L,2,13,6.5,0,lee-butler-1
Willie Byrn,2012-09-08,2,Virginia Tech,,Austin Peay,W,1,10,10.0,0,willie-byrn-1
Michael Campanaro,2012-09-08,2,Wake Forest,,North Carolina,W,1,-3,-3.0,0,michael-campanaro-1
Dareyon Chance,2012-09-08,2,Western Michigan,,Eastern Illinois,W,1,0,0.0,0,dareyon-chance-1
Brelan Chancellor,2012-09-08,2,North Texas,,Texas Southern,W,3,3,1.0,0,brelan-chancellor-1
Ryan Clark,2012-09-08,2,Ohio,,New Mexico State,W,3,46,15.3,0,ryan-clark-2
Kenneth Crawley,2012-09-08,2,Colorado,,Sacramento State,L,3,16,5.3,0,kenneth-crawley-1
Imani Davis,2012-09-08,2,Akron,@,Florida International,L,5,107,21.4,0,imani-davis-1
Andre Debose,2012-09-08,2,Florida,@,Texas A&M,W,1,1,1.0,0,andre-debose-1
Jesse Della Valle,2012-09-08,2,Penn State,@,Virginia,L,1,4,4.0,0,jesse-della-valle-1
Quandre Diggs,2012-09-08,2,Texas,,New Mexico,W,1,35,35.0,0,quandre-diggs-1
Stefon Diggs,2012-09-08,2,Maryland,@,Temple,W,3,34,11.3,0,stefon-diggs-1
Cordero Dixon,2012-09-08,2,Buffalo,,Morgan State,W,1,-5,-5.0,0,cordero-dixon-1
Kai Dominguez,2012-09-08,2,Louisville,,Missouri State,W,2,2,1.0,0,kai-dominquez-1
Brian Dowling,2012-09-08,2,Massachusetts,,Indiana,L,3,5,1.7,0,brian-dowling-2
Mike Edwards,2012-09-08,2,Texas-El Paso,@,Mississippi,L,1,18,18.0,0,mike-edwards-4
Spiffy Evans,2012-09-08,2,Boston College,,Maine,W,2,93,46.5,1,spiffy-evans-1
J.D. Falslev,2012-09-08,2,Brigham Young,,Weber State,W,4,70,17.5,0,jd-falslev-1
Tyler Futrell,2012-09-08,2,Ohio,,New Mexico State,W,1,3,3.0,0,tyler-futrell-1
Jeremy Gallon,2012-09-08,2,Michigan,,Air Force,W,1,1,1.0,0,jeremy-gallon-1
T.J. Glover,2012-09-08,2,South Alabama,,Nicholls State,W,1,8,8.0,0,tj-glover-1
Deante' Gray,2012-09-08,1,Texas Christian,,Grambling State,W,5,160,32.0,1,deante-gray-1
Rashad Greene,2012-09-08,2,Florida State,,Savannah State,W,2,64,32.0,0,rashad-greene-1
Tony Gregory,2012-09-08,2,Virginia Tech,,Austin Peay,W,1,16,16.0,0,tony-gregory-1
Kenny Harrison,2012-09-08,2,Texas-San Antonio,,Texas A&M-Commerce,W,2,39,19.5,0,kenny-harrison-3
D.J. Hayden,2012-09-08,2,Houston,,Louisiana Tech,L,1,11,11.0,0,dj-hayden-1
Nick Hill,2012-09-08,2,Michigan State,@,Central Michigan,W,2,31,15.5,0,nick-hill-1
Michael Holmes,2012-09-08,2,Virginia Tech,,Austin Peay,W,1,9,9.0,0,michael-holmes-1
Aaron Horne,2012-09-08,2,Iowa State,@,Iowa,W,2,23,11.5,0,aaron-horne-2
Okoye Houston,2012-09-08,2,Buffalo,,Morgan State,W,1,2,2.0,0,okoye-houston-1
Kyshoen Jarrett,2012-09-08,2,Virginia Tech,,Austin Peay,W,2,53,26.5,0,kyshoen-jarrett-1
Eric Johnson,2012-09-08,2,Nevada-Las Vegas,,Northern Arizona,L,3,14,4.7,0,eric-johnson-6
Josh Johnson,2012-09-08,2,Purdue,@,Notre Dame,L,1,6,6.0,0,josh-johnson-3
Christion Jones,2012-09-08,2,Alabama,,Western Kentucky,W,3,21,7.0,0,christion-jones-1
Ty Kirk,2012-09-08,2,New Mexico,@,Texas,L,1,9,9.0,0,ty-kirk-1
Jonathan Krause,2012-09-08,2,Vanderbilt,@,Northwestern,L,2,11,5.5,0,jonathan-krause-1
Jarvis Landry,2012-09-08,2,Louisiana State,,Washington,W,1,7,7.0,0,jarvis-landry-1
Brent Leonard,2012-09-08,1,Louisiana-Monroe,@,Arkansas,W,3,38,12.7,0,brent-leonard-1
Richard Leonard,2012-09-08,2,Florida International,,Akron,W,4,66,16.5,1,richard-leonard-1
Evan Lewis,2012-09-08,2,Penn State,@,Virginia,L,1,0,0.0,0,evan-lewis-1
Keiwone Malone,2012-09-08,2,Memphis,@,Arkansas State,L,3,14,4.7,0,keiwone-malone-1
Steven Manfro,2012-09-08,2,UCLA,,Nebraska,W,2,23,11.5,0,steven-manfro-1
Sam McGuffie,2012-09-08,2,Rice,@,Kansas,W,2,-1,-0.5,0,sam-mcguffie-1
J.D. McKissic,2012-09-08,2,Arkansas State,,Memphis,W,2,-10,-5.0,0,jd-mckissic-1
Sam Miller,2012-09-08,2,Florida International,,Akron,W,3,26,8.7,0,sam-miller-2
Malcolm Mitchell,2012-09-08,2,Georgia,@,Missouri,W,1,3,3.0,0,malcolm-mitchell-2
Terrence Mitchell,2012-09-08,2,South Florida,@,Nevada,W,1,1,1.0,0,terrence-mitchell-1
Charlie Moore,2012-09-08,2,Oklahoma State,@,Arizona,L,3,9,3.0,0,charlie-moore-1
Richard Morrison,2012-09-08,2,Arizona,,Oklahoma State,W,2,18,9.0,0,richard-morrison-1
Marcus Murphy,2012-09-08,2,Missouri,,Georgia,L,3,3,1.0,0,marcus-murphy-1
Davonte' Neal,2012-09-08,2,Notre Dame,,Purdue,W,4,1,0.3,0,davonte-neal-1
Korvic Neat,2012-09-08,2,Mississippi,,Texas-El Paso,W,2,8,4.0,0,korvic-neat-1
Marco Nelson,2012-09-08,2,Tulsa,,Tulane,W,2,22,11.0,0,marco-nelson-2
Dayonne Nunley,2012-09-08,2,Miami (OH),,Southern Illinois,W,1,6,6.0,0,dayonne-nunley-1
Daymond Patterson,2012-09-08,2,Kansas,,Rice,L,1,-5,-5.0,0,daymond-patterson-1
Dewayne Peace,2012-09-08,2,Houston,,Louisiana Tech,L,1,9,9.0,0,dewayne-peace-1
Blake Poston,2012-09-08,2,Southern Methodist,,Stephen F. Austin,W,1,18,18.0,0,blake-poston-1
Demarius Reed,2012-09-08,2,Eastern Michigan,,Illinois State,L,2,25,12.5,0,demarius-reed-1
Bernard Reedy,2012-09-08,2,Toledo,@,Wyoming,W,2,2,1.0,0,bernard-reedy-1
Anthony Robey,2012-09-08,2,Temple,,Maryland,L,1,0,0.0,0,anthony-robey-1
Nickell Robey,2012-09-08,2,Southern California,@,Syracuse,W,1,12,12.0,0,nickell-robey-1
Demarco Robinson,2012-09-08,2,Kentucky,,Kent State,W,1,10,10.0,0,demarco-robinson-1
Mason Robinson,2012-09-08,2,Rutgers,,Howard,W,5,19,3.8,0,mason-robinson-1
Ace Sanders,2012-09-08,2,South Carolina,,East Carolina,W,2,40,20.0,0,ace-sanders-1
A.J. Sebastiano,2012-09-08,2,Northern Illinois,,Tennessee-Martin,W,1,4,4.0,0,aj-sebastiano-1
Khalek Shepherd,2012-09-08,2,Virginia,,Penn State,W,1,0,0.0,0,khalek-shepherd-1
Miles Shuler,2012-09-08,2,Rutgers,,Howard,W,1,23,23.0,0,miles-shuler-1
Jared Singletary,2012-09-08,2,Middle Tennessee State,,Florida Atlantic,W,2,9,4.5,0,jared-singletary-1
Rashard Smith,2012-09-08,2,North Carolina State,@,Connecticut,W,2,12,6.0,0,rashard-smith-1
Roy Smith,2012-09-08,2,North Carolina,@,Wake Forest,L,3,28,9.3,0,roy-smith-1
Andre Snipes-Booker,2012-09-08,2,Marshall,,Western Carolina,W,3,2,0.7,0,andre-snipes-booker-1
Nick Stoner,2012-09-08,2,Indiana,@,Massachusetts,W,2,31,15.5,0,nick-stoner-1
Derrick Strozier,2012-09-08,2,Tulane,@,Tulsa,L,1,6,6.0,0,derrick-strozier-1
Darryl Surgent,2012-09-08,2,Louisiana,@,Troy,W,3,12,4.0,0,darryl-surgent-1
Damian Swann,2012-09-08,2,Georgia,@,Missouri,W,1,10,10.0,0,damian-swann-1
Drew Terrell,2012-09-08,2,Stanford,,Duke,W,3,100,33.3,1,drew-terrell-1
De'Anthony Thomas,2012-09-08,2,Oregon,,Fresno State,W,2,0,0.0,0,deanthony-thomas-1
Jemea Thomas,2012-09-08,2,Georgia Tech,,Presbyterian,W,1,2,2.0,0,jemea-thomas-1
Momo Thomas,2012-09-08,2,Colorado State,,North Dakota State,L,1,2,2.0,0,momo-thomas-1
Mykkele Thompson,2012-09-08,2,Texas,,New Mexico,W,1,17,17.0,0,mykkele-thompson-1
Tramaine Thompson,2012-09-08,2,Kansas State,,Miami (FL),W,1,12,12.0,0,tramaine-thompson-1
Wayne Times,2012-09-08,2,Florida International,,Akron,W,1,0,0.0,0,wayne-times-1
Anthony Watson,2012-09-08,2,Memphis,@,Arkansas State,L,1,11,11.0,0,anthony-watson-1
Trey Watts,2012-09-08,2,Tulsa,,Tulane,W,1,2,2.0,0,trey-watts-1
Nick Williams,2012-09-08,2,Connecticut,,North Carolina State,L,1,1,1.0,0,nick-williams-1
Cody Wilson,2012-09-08,2,Central Michigan,,Michigan State,L,1,-1,-1.0,0,cody-wilson-1
Jaime Wilson,2012-09-08,2,Western Michigan,,Eastern Illinois,W,3,104,34.7,0,jaime-wilson-1
Luke Wollet,2012-09-08,2,Kent State,@,Kentucky,L,1,5,5.0,0,luke-wollet-1
Robert Woods,2012-09-08,2,Southern California,@,Syracuse,W,1,31,31.0,0,robert-woods-1
Khalid Wooten,2012-09-08,2,Nevada,,South Florida,L,1,3,3.0,0,khalid-wooten-1
J.J. Worton,2012-09-08,2,Central Florida,@,Ohio State,L,1,7,7.0,0,jj-worton-1
Darrian Wright,2012-09-08,2,Southern Methodist,,Stephen F. Austin,W,1,6,6.0,0,darrian-wright-1
Ronnie Yell,2012-09-08,2,San Jose State,,California-Davis,W,4,15,3.8,0,ronnie-yell-1
Devrin Young,2012-09-08,2,Tennessee,,Georgia State,W,4,46,11.5,0,devrin-young-1
Austin Zouzalik,2012-09-08,2,Texas Tech,@,Texas State,W,2,7,3.5,0,austin-zouzalik-1
Terrence Mitchell,2012-09-13,3,South Florida,,Rutgers,L,1,12,12.0,0,terrence-mitchell-1
Mason Robinson,2012-09-13,3,Rutgers,@,South Florida,W,2,10,5.0,0,mason-robinson-1
Leon Brooks,2012-09-14,3,Washington State,@,Nevada-Las Vegas,W,1,-1,-1.0,0,leon-brooks-1
Eric Johnson,2012-09-14,3,Nevada-Las Vegas,,Washington State,L,1,10,10.0,0,eric-johnson-6
Marcus Sullivan,2012-09-14,3,Nevada-Las Vegas,,Washington State,L,2,12,6.0,0,marcus-sullivan-1
Ameer Abdullah,2012-09-15,3,Nebraska,,Arkansas State,W,3,26,8.7,0,ameer-abdullah-1
Justin Albert,2012-09-15,3,Troy,,Mississippi State,L,2,-3,-1.5,0,justin-albert-1
Keenan Allen,2012-09-15,3,California,@,Ohio State,L,1,-9,-9.0,0,keenan-allen-1
Antonio Andrews,2012-09-15,3,Western Kentucky,@,Kentucky,W,1,22,22.0,0,antonio-andrews-1
Perez Ashford,2012-09-15,3,Northern Illinois,@,Army,W,1,17,17.0,0,perez-ashford-1
Johnthan Banks,2012-09-15,3,Mississippi State,@,Troy,W,1,6,6.0,0,johnthan-banks-1
A.J. Barker,2012-09-15,3,Minnesota,,Western Michigan,W,1,0,0.0,0,aj-barker-1
Hunter Bates,2012-09-15,3,Northwestern,,Boston College,W,1,11,11.0,0,hunter-bates-1
Odell Beckham Jr.,2012-09-15,3,Louisiana State,,Idaho,W,4,31,7.8,0,odell-beckham-jr-1
Alex Bellfy,2012-09-15,3,Eastern Michigan,@,Purdue,L,3,19,6.3,0,alex-bellfy-1
Quan Bray,2012-09-15,3,Auburn,,Louisiana-Monroe,W,2,19,9.5,0,quan-bray-1
Corey Brown,2012-09-15,3,Ohio State,,California,W,1,2,2.0,0,corey-brown-2
Ryan Burbrink,2012-09-15,3,Bowling Green State,@,Toledo,L,1,1,1.0,0,ryan-burbrink-1
Blair Burns,2012-09-15,3,Wyoming,,Cal Poly,L,4,62,15.5,0,blair-burns-1
Isaiah Burse,2012-09-15,3,Fresno State,,Colorado,W,2,43,21.5,0,isaiah-burse-1
Lee Butler,2012-09-15,3,Duke,,North Carolina Central,W,3,106,35.3,1,lee-butler-1
Jalen Claiborne,2012-09-15,3,Wyoming,,Cal Poly,L,1,37,37.0,0,jalen-claiborne-1
Ryan Clark,2012-09-15,3,Ohio,@,Marshall,W,2,12,6.0,0,ryan-clark-2
Imani Davis,2012-09-15,3,Akron,,Morgan State,W,3,10,3.3,0,imani-davis-1
Tommy Davis,2012-09-15,3,Illinois,,Charleston Southern,W,2,9,4.5,0,tommy-davis-2
Skye Dawson,2012-09-15,2,Texas Christian,@,Kansas,W,1,0,0.0,0,skye-dawson-1
Andre Debose,2012-09-15,3,Florida,@,Tennessee,W,1,13,13.0,0,andre-debose-1
Ritchy Desir,2012-09-15,3,Syracuse,,Stony Brook,W,2,17,8.5,0,ritchy-desir-1
