Player,Date,G,School,Loc,Opponent,WL,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Pass Int,QBR,unique_id
Josh Betts,2004-08-28,1,Miami (OH),,Indiana State,W,17,27,63.0,214,3,0,166.2,josh-betts-1
Mike Kokal,2004-08-28,1,Miami (OH),,Indiana State,W,7,10,70.0,78,0,1,115.5,mike-kokal-1
Matt Leinart,2004-08-28,1,Southern California,N,Virginia Tech,W,19,29,65.5,272,3,0,178.4,matt-leinart-1
Bryan Randall,2004-08-28,1,Virginia Tech,N,Southern California,L,14,29,48.3,153,1,1,97.1,bryan-randall-1
Blayne Baggett,2004-09-02,1,Western Michigan,,Tennessee-Martin,W,13,18,72.2,198,3,1,208.5,blayne-baggett-1
Michael Baker,2004-09-02,1,Buffalo,@,Eastern Michigan,L,1,1,100.0,-2,0,0,83.2,michael-baker-1
Brett Basanez,2004-09-02,1,Northwestern,@,Texas Christian,L,39,62,62.9,513,4,1,150.5,brett-basanez-1
Matt Bohnet,2004-09-02,1,Eastern Michigan,,Buffalo,W,11,20,55.0,91,2,0,126.2,matt-bohnet-1
Ty Branyon,2004-09-02,1,Texas A&M,@,Utah,L,6,8,75.0,60,0,0,138.0,ty-branyon-1
Tye Gunn,2004-09-02,1,Texas Christian,,Northwestern,W,20,38,52.6,368,4,1,163.5,tye-gunn-1
Robbie Haas,2004-09-02,1,Western Michigan,,Tennessee-Martin,W,3,5,60.0,17,0,0,88.6,robbie-haas-1
Brian Johnson,2004-09-02,1,Utah,,Texas A&M,W,1,2,50.0,11,0,0,96.2,brian-johnson-2
Sam Keller,2004-09-02,1,Arizona State,,Texas-El Paso,W,5,7,71.4,115,1,1,228.0,sam-keller-1
Joey Lynch,2004-09-02,1,Ball State,,Boston College,L,19,32,59.4,147,0,0,98.0,joey-lynch-1
Reggie McNeal,2004-09-02,1,Texas A&M,@,Utah,L,14,35,40.0,210,0,0,90.4,reggie-mcneal-1
Jordan Palmer,2004-09-02,1,Texas-El Paso,@,Arizona State,L,21,44,47.7,196,0,4,67.0,jordan-palmer-1
Paul Peterson,2004-09-02,1,Boston College,@,Ball State,W,12,23,52.2,135,1,1,107.1,paul-peterson-1
P.J. Piskorik,2004-09-02,1,Buffalo,@,Eastern Michigan,L,0,2,0.0,0,0,1,-100.0,pj-piskorik-1
Randall Secky,2004-09-02,1,Buffalo,@,Eastern Michigan,L,18,41,43.9,176,1,1,83.1,randall-secky-1
Alex Smith,2004-09-02,1,Utah,,Texas A&M,W,21,29,72.4,359,3,0,210.5,alex-smith-3
Andrew Walter,2004-09-02,1,Arizona State,,Texas-El Paso,W,18,37,48.6,241,3,0,130.1,andrew-walter-1
Kole McKamey,2004-09-03,1,New Mexico,,Washington State,L,16,30,53.3,229,0,3,97.5,kole-mckamey-1
Josh Swogger,2004-09-03,1,Washington State,@,New Mexico,W,24,38,63.2,240,3,2,131.7,josh-swogger-1
Jared Allen,2004-09-04,1,Florida Atlantic,@,Hawaii,W,28,44,63.6,291,2,2,125.1,jared-allen-1
Derek Anderson,2004-09-04,1,Oregon State,@,Louisiana State,L,26,47,55.3,231,3,1,113.4,derek-anderson-1
Grant Arnoldink,2004-09-04,1,Central Michigan,@,Indiana,L,13,26,50.0,127,0,2,75.6,grant-arnoldink-1
Jerry Babb,2004-09-04,1,Louisiana,,Northwestern State,W,17,26,65.4,176,1,1,127.2,jerry-babb-1
Reggie Ball,2004-09-04,1,Georgia Tech,,Samford,W,14,21,66.7,201,2,1,169.0,reggie-ball-1
Adam Barmann,2004-09-04,1,Kansas,,Tulsa,W,14,31,45.2,99,1,1,76.2,adam-barmann-1
John Beck,2004-09-04,1,Brigham Young,,Notre Dame,W,7,10,70.0,96,0,0,150.6,john-beck-1
Shawn Bell,2004-09-04,1,Baylor,@,Alabama-Birmingham,L,10,14,71.4,61,0,0,108.0,shawn-bell-1
Matt Berry,2004-09-04,1,Brigham Young,,Notre Dame,W,15,23,65.2,167,1,1,131.9,matt-berry-1
Josh Betts,2004-09-04,2,Miami (OH),@,Michigan,L,18,36,50.0,201,0,4,74.7,josh-betts-1
Jon Beutjer,2004-09-04,1,Illinois,,Florida A&M,W,16,18,88.9,228,1,0,213.6,jon-beutjer-1
Jesse Blair,2004-09-04,1,Louisiana-Monroe,@,Auburn,L,1,1,100.0,3,0,0,125.2,jesse-blair-1
Matt Bonislawski,2004-09-04,1,Connecticut,,Murray State,W,1,3,33.3,4,0,0,44.5,matt-bonislawski-1
Brad Bower,2004-09-04,1,Illinois,,Florida A&M,W,2,5,40.0,30,0,0,90.4,brad-bower-1
Corey Bramlet,2004-09-04,1,Wyoming,,Appalachian State,W,16,29,55.2,239,2,0,147.2,corey-bramlet-1
Joey Byerly,2004-09-04,1,North Texas,@,Texas,L,2,6,33.3,14,0,0,52.9,joey-byerly-1
Jason Campbell,2004-09-04,1,Auburn,,Louisiana-Monroe,W,11,18,61.1,110,2,1,138.0,jason-campbell-1
Shaun Carney,2004-09-04,1,Air Force,,California,L,9,15,60.0,89,1,1,118.5,shaun-carney-1
Patrick Carter,2004-09-04,1,Georgia Tech,,Samford,W,0,1,0.0,0,0,0,0.0,patrick-carter-1
Timmy Chang,2004-09-04,1,Hawaii,,Florida Atlantic,L,38,66,57.6,302,2,0,106.0,timmy-chang-1
Brandon Coleman,2004-09-04,1,Missouri,,Arkansas State,W,2,2,100.0,10,0,0,142.0,brandon-coleman-1
Omarr Conner,2004-09-04,1,Mississippi State,,Tulane,W,9,17,52.9,102,1,0,122.8,omarr-conner-1
Marques Council,2004-09-04,1,Toledo,@,Minnesota,L,5,8,62.5,110,1,0,219.3,marques-council-1
Brandon Cox,2004-09-04,1,Auburn,,Louisiana-Monroe,W,3,6,50.0,76,0,0,156.4,brandon-cox-1
Travis Cox,2004-09-04,1,Utah State,@,Alabama,L,16,27,59.3,162,2,2,119.3,travis-cox-1
Matt Crivello,2004-09-04,1,Utah State,@,Alabama,L,0,1,0.0,0,0,0,0.0,matt-crivello-1
Brodie Croyle,2004-09-04,1,Alabama,,Utah State,W,16,22,72.7,205,2,0,181.0,brodie-croyle-1
Sonny Cumbie,2004-09-04,1,Texas Tech,@,Southern Methodist,W,40,66,60.6,470,4,0,140.4,sonny-cumbie-1
Bryan Cupito,2004-09-04,1,Minnesota,,Toledo,W,10,12,83.3,279,1,0,306.1,bryan-cupito-1
Jay Cutler,2004-09-04,1,Vanderbilt,,South Carolina,L,24,38,63.2,270,0,2,112.3,jay-cutler-1
Joe Dailey,2004-09-04,1,Nebraska,,Western Illinois,W,15,30,50.0,218,4,4,128.4,joe-dailey-2
Mike Daniels,2004-09-04,1,Cincinnati,@,Ohio State,L,0,1,0.0,0,0,0,0.0,mike-daniels-1
Chris Dapolito,2004-09-04,1,Duke,@,Navy,L,5,7,71.4,31,0,0,108.6,chris-dapolito-1
Jay Davis,2004-09-04,1,North Carolina State,,Richmond,W,16,22,72.7,168,2,0,166.9,jay-davis-1
Matt Dlugolecki,2004-09-04,1,San Diego State,,Idaho State,W,16,27,59.3,233,2,1,148.8,matt-dlugolecki-1
Paul Dombrowski,2004-09-04,1,New Mexico State,@,Arkansas,L,0,3,0.0,0,0,0,0.0,paul-dombrowski-1
Tyler Donovan,2004-09-04,1,Wisconsin,,Central Florida,W,1,2,50.0,6,0,0,75.2,tyler-donovan-1
Damon Dowdell,2004-09-04,1,Michigan State,@,Rutgers,L,22,39,56.4,270,2,1,126.4,damon-dowdell-1
Curt Dukes,2004-09-04,1,Duke,@,Navy,L,0,1,0.0,0,0,0,0.0,curt-dukes-1
Darian Durant,2004-09-04,1,North Carolina,,William & Mary,W,14,24,58.3,234,2,1,159.4,darian-durant-1
Tony Eckert,2004-09-04,1,Southern Methodist,,Texas Tech,L,6,9,66.7,53,0,0,116.1,tony-eckert-1
Trent Edwards,2004-09-04,1,Stanford,,San Jose State,W,14,22,63.6,187,2,0,165.0,trent-edwards-1
Ryan Eklund,2004-09-04,1,Stanford,,San Jose State,W,1,1,100.0,24,0,0,301.6,ryan-eklund-1
Danny Embick,2004-09-04,1,Florida Atlantic,@,Hawaii,W,1,2,50.0,7,0,1,-20.6,danny-embick-1
Adam Ernst,2004-09-04,1,Minnesota,,Toledo,W,1,1,100.0,10,1,0,514.0,adam-ernst-1
Austen Everson,2004-09-04,1,Ohio,,Virginia Military Institute,W,1,1,100.0,6,0,0,150.4,austen-everson-1
Curtis Falany,2004-09-04,1,Alabama-Birmingham,,Baylor,W,1,1,100.0,5,0,0,142.0,curtis-falany-1
Austin Flynn,2004-09-04,1,Iowa State,,Northern Iowa,W,2,3,66.7,37,1,0,280.3,austin-flynn-1
Charlie Frye,2004-09-04,1,Akron,@,Penn State,L,29,36,80.6,223,0,2,121.5,charlie-frye-1
Chris Ganter,2004-09-04,1,Penn State,,Akron,W,2,2,100.0,20,0,0,184.0,chris-ganter-1
Ryan Goodman,2004-09-04,1,Nebraska,,Western Illinois,W,1,1,100.0,0,0,0,100.0,ryan-goodman-1
Bruce Gradkowski,2004-09-04,1,Toledo,@,Minnesota,L,19,30,63.3,202,1,0,130.9,bruce-gradkowski-1
Andy Gray,2004-09-04,1,Air Force,,California,L,0,2,0.0,0,0,0,0.0,andy-gray-1
David Greene,2004-09-04,1,Georgia,,Georgia Southern,W,9,14,64.3,161,1,0,184.5,david-greene-1
Gino Guidugli,2004-09-04,1,Cincinnati,@,Ohio State,L,17,36,47.2,162,0,0,85.0,gino-guidugli-1
Darrell Hackney,2004-09-04,1,Alabama-Birmingham,,Baylor,W,8,16,50.0,168,3,1,187.6,darrell-hackney-1
Marques Hagans,2004-09-04,1,Virginia,@,Temple,W,17,22,77.3,211,1,0,172.8,marques-hagans-1
Josh Haldi,2004-09-04,1,Northern Illinois,@,Maryland,L,0,1,0.0,0,0,0,0.0,josh-haldi-1
Scott Hall,2004-09-04,1,North Texas,@,Texas,L,8,17,47.1,78,0,0,85.6,scott-hall-1
Justin Handley,2004-09-04,1,Air Force,,California,L,0,1,0.0,0,0,0,0.0,justin-handley-1
Michael Harrington,2004-09-04,1,Idaho,@,Boise State,L,13,27,48.1,91,0,1,69.1,michael-harrington-1
Ryan Hart,2004-09-04,1,Rutgers,,Michigan State,W,20,34,58.8,241,0,1,112.5,ryan-hart-1
Ryan Hawk,2004-09-04,1,Ohio,,Virginia Military Institute,W,13,24,54.2,223,3,0,173.5,ryan-hawk-1
Kris Heavner,2004-09-04,1,Arizona,,Northern Arizona,W,18,23,78.3,171,1,0,155.1,kris-heavner-1
Chad Henne,2004-09-04,1,Michigan,,Miami (OH),W,14,24,58.3,142,2,1,127.2,chad-henne-1
Stan Hill,2004-09-04,1,Marshall,,Troy,L,14,28,50.0,152,1,1,100.2,stan-hill-1
Justin Holland,2004-09-04,1,Colorado State,@,Colorado,L,29,41,70.7,403,2,1,164.5,justin-holland-1
Devin Hollins,2004-09-04,1,Arkansas State,@,Missouri,L,7,11,63.6,110,0,0,147.6,devin-hollins-1
Phil Horvath,2004-09-04,1,Northern Illinois,@,Maryland,L,19,36,52.8,219,1,2,101.9,phil-horvath-1
Leon Jackson III,2004-09-04,1,Utah State,@,Alabama,L,1,4,25.0,43,0,0,115.3,leon-jackson-iii-1
Omar Jacobs,2004-09-04,1,Bowling Green State,@,Oklahoma,L,24,41,58.5,218,2,0,119.3,omar-jacobs-1
Robert Johnson,2004-09-04,1,Arkansas,,New Mexico State,W,5,8,62.5,132,2,0,283.6,robert-johnson-1
Matt Jones,2004-09-04,1,Arkansas,,New Mexico State,W,13,16,81.3,195,1,0,204.3,matt-jones-1
Steven Jyles,2004-09-04,1,Louisiana-Monroe,@,Auburn,L,16,22,72.7,96,0,1,100.3,steven-jyles-1
James Kilian,2004-09-04,1,Tulsa,@,Kansas,L,11,24,45.8,91,0,2,61.0,james-kilian-1
Dane King,2004-09-04,1,Baylor,@,Alabama-Birmingham,L,18,29,62.1,167,1,3,101.1,dane-king-1
Joel Klatt,2004-09-04,1,Colorado,,Colorado State,W,13,25,52.0,117,0,1,83.3,joel-klatt-1
Mike Kokal,2004-09-04,2,Miami (OH),@,Michigan,L,1,4,25.0,16,0,1,8.6,mike-kokal-1
Aaron Leak,2004-09-04,1,Troy,@,Marshall,W,13,26,50.0,196,0,1,105.6,aaron-leak-1
Matt LoVecchio,2004-09-04,1,Indiana,,Central Michigan,W,9,14,64.3,121,1,0,160.5,matt-lovecchio-2
Rasheed Marshall,2004-09-04,1,West Virginia,,East Carolina,W,6,15,40.0,143,1,2,115.4,rasheed-marshall-1
Ben Mauk,2004-09-04,1,Wake Forest,@,Clemson,L,3,4,75.0,101,1,0,369.6,ben-mauk-1
