Player,Date,G,School,Loc,Opponent,WL,Kick Ret,Kick Ret Yds,Kick Ret Avg,Kick Ret TD,unique_id
Vic Anderson,2011-09-01,1,Louisville,,Murray State,W,1,45,45.0,0,vic-anderson-1
Montee Ball,2011-09-01,1,Wisconsin,,Nevada-Las Vegas,W,1,15,15.0,0,montee-ball-1
Derrius Brooks,2011-09-01,1,Western Kentucky,N,Kentucky,L,2,35,17.5,0,derrius-brooks-1
Jeremy Brown,2011-09-01,1,North Texas,@,Florida International,L,1,21,21.0,0,jeremy-brown-3
Matt Brown,2011-09-01,1,Temple,,Villanova,W,1,23,23.0,0,matt-brown-1
Michael Campanaro,2011-09-01,1,Wake Forest,@,Syracuse,L,2,34,17.0,0,michael-campanaro-1
Paul Carrezola,2011-09-01,1,Rutgers,,North Carolina Central,W,1,0,0.0,0,paul-carrezola-1
Tracy Carter,2011-09-01,1,Idaho,,Bowling Green State,L,6,102,17.0,0,tracy-carter-1
Brelan Chancellor,2011-09-01,1,North Texas,@,Florida International,L,8,197,24.6,0,brelan-chancellor-1
Kenzel Doe,2011-09-01,1,Wisconsin,,Nevada-Las Vegas,W,1,24,24.0,0,kenzel-doe-1
Steven Dunlap,2011-09-01,1,Bowling Green State,@,Idaho,W,3,70,23.3,0,steven-dunlap-1
Reggie Dunn,2011-09-01,1,Utah,,Montana State,W,1,20,20.0,0,reggie-dunn-1
Billy Foster,2011-09-01,1,Memphis,,Mississippi State,L,5,83,16.6,0,billy-foster-1
Prince-Tyson Gulley,2011-09-01,1,Syracuse,,Wake Forest,W,1,16,16.0,0,prince-tyson-gulley-1
Winston Guy,2011-09-01,1,Kentucky,N,Western Kentucky,W,1,19,19.0,0,winston-guy-1
T.Y. Hilton,2011-09-01,1,Florida International,,North Texas,W,2,92,46.0,0,ty-hilton-1
Sidney Hodge,2011-09-01,1,Nevada-Las Vegas,@,Wisconsin,L,1,25,25.0,0,sidney-hodge-1
Heath Jackson,2011-09-01,1,Bowling Green State,@,Idaho,W,1,9,9.0,0,heath-jackson-1
Lovell Jackson,2011-09-01,1,Wake Forest,@,Syracuse,L,2,38,19.0,0,lovell-jackson-1
Joe Jones,2011-09-01,1,Temple,,Villanova,W,1,14,14.0,0,joe-jones-1
Jeremiah Kobena,2011-09-01,1,Syracuse,,Wake Forest,W,6,120,20.0,0,jeremiah-kobena-1
Richard Leonard,2011-09-01,1,Florida International,,North Texas,W,1,21,21.0,0,richard-leonard-1
Jameon Lewis,2011-09-01,1,Mississippi State,@,Memphis,W,1,0,0.0,0,jameon-lewis-1
Jamal Miles,2011-09-01,1,Arizona State,,California-Davis,W,1,98,98.0,1,jamal-miles-1
Eric Page,2011-09-01,1,Toledo,,New Hampshire,W,2,61,30.5,0,eric-page-1
A.J. Pickens,2011-09-01,1,Arizona State,,California-Davis,W,1,54,54.0,0,aj-pickens-1
Bradley Randle,2011-09-01,1,Nevada-Las Vegas,@,Wisconsin,L,4,83,20.8,0,bradley-randle-1
Bernard Reedy,2011-09-01,1,Toledo,,New Hampshire,W,1,17,17.0,0,bernard-reedy-1
Raymond Sanders,2011-09-01,1,Kentucky,N,Western Kentucky,W,1,7,7.0,0,raymond-sanders-1
Max Smith,2011-09-01,1,Arizona State,,California-Davis,W,1,9,9.0,0,max-smith-1
Orwin Smith,2011-09-01,1,Georgia Tech,,Western Carolina,W,2,51,25.5,0,orwin-smith-1
Ken Spigner,2011-09-01,1,Nevada-Las Vegas,@,Wisconsin,L,3,52,17.3,0,ken-spigner-1
Zurlon Tipton,2011-09-01,1,Central Michigan,,South Carolina State,W,3,99,33.0,0,zurlon-tipton-1
James White,2011-09-01,1,Wisconsin,,Nevada-Las Vegas,W,2,62,31.0,0,james-white-2
Jeremy Wright,2011-09-01,1,Louisville,,Murray State,W,2,50,25.0,0,jeremy-wright-2
Kevin Wright,2011-09-01,1,Memphis,,Mississippi State,L,5,87,17.4,0,kevin-wright-1
Skye Dawson,2011-09-02,1,Texas Christian,@,Baylor,L,1,13,13.0,0,skye-dawson-1
Nick Hill,2011-09-02,1,Michigan State,,Youngstown State,W,2,41,20.5,0,nick-hill-1
Waymon James,2011-09-02,1,Texas Christian,@,Baylor,L,1,15,15.0,0,waymon-james-1
Darius Jones,2011-09-02,1,Baylor,,Texas Christian,W,5,122,24.4,0,darius-jones-3
Greg McCoy,2011-09-02,1,Texas Christian,@,Baylor,L,6,229,38.2,0,greg-mccoy-1
Jarred Salubi,2011-09-02,1,Baylor,,Texas Christian,W,2,45,22.5,0,jarred-salubi-1
Ralph David Abernathy IV,2011-09-03,1,Cincinnati,,Austin Peay,W,1,60,60.0,0,ralph-david-abernathy-iv-1
Eric Adeyemi,2011-09-03,1,Kent State,@,Alabama,L,6,121,20.2,0,eric-adeyemi-2
Alvester Alexander,2011-09-03,1,Wyoming,,Weber State,W,1,26,26.0,0,alvester-alexander-1
Luke Anderson,2011-09-03,1,Wyoming,,Weber State,W,2,35,17.5,0,luke-anderson-1
Hubert Anyiam,2011-09-03,1,Oklahoma State,,Louisiana,W,1,16,16.0,0,hubert-anyiam-1
T.J. Barbarette,2011-09-03,1,Purdue,,Middle Tennessee State,W,1,21,21.0,0,tj-barbarette-1
Kenjon Barner,2011-09-03,1,Oregon,N,Louisiana State,L,4,65,16.3,0,kenjon-barner-1
Riley Barnes,2011-09-03,1,Fresno State,N,California,L,1,7,7.0,0,riley-barnes-1
Mike Bellamy,2011-09-03,1,Clemson,,Troy,W,3,58,19.3,0,mike-bellamy-2
Jordan Bernstein,2011-09-03,1,Iowa,,Tennessee Tech,W,1,38,38.0,0,jordan-bernstein-1
D.J. Beshears,2011-09-03,1,Kansas,,McNeese State,W,5,86,17.2,0,dj-beshears-1
Brandon Boykin,2011-09-03,1,Georgia,,Boise State,L,5,110,22.0,0,brandon-boykin-1
Quan Bray,2011-09-03,1,Auburn,,Utah State,W,2,55,27.5,0,quan-bray-1
Lavon Brazill,2011-09-03,1,Ohio,@,New Mexico State,W,1,26,26.0,0,lavon-brazill-1
