Player,Date,G,School,Loc,Opponent,WL,Punt Ret,Punt Ret Yds,Punt Ret Avg,Punt Ret TD,unique_id
Akeem Auguste,2009-09-03,1,South Carolina,@,North Carolina State,W,2,7,3.5,0,akeem-auguste-1
Matt Brown,2009-09-03,1,Temple,,Villanova,L,1,8,8.0,0,matt-brown-1
Ray Fisher,2009-09-03,1,Indiana,,Eastern Kentucky,W,2,-1,-0.5,0,ray-fisher-1
Willie Geter,2009-09-03,1,Bowling Green State,,Troy,W,2,4,2.0,0,willie-geter-1
T.J. Graham,2009-09-03,1,North Carolina State,,South Carolina,L,1,11,11.0,0,tj-graham-1
Delano Green,2009-09-03,1,Temple,,Villanova,L,2,5,2.5,0,delano-green-1
Eugene Jarvis,2009-09-03,1,Kent State,,Coastal Carolina,W,5,77,15.4,0,eugene-jarvis-1
Josh Lenz,2009-09-03,1,Iowa State,,North Dakota State,W,3,18,6.0,0,josh-lenz-1
Matt Martinez,2009-09-03,1,Utah,,Utah State,W,1,4,4.0,0,matt-martinez-2
Luke Matthews,2009-09-03,1,Utah,,Utah State,W,2,39,19.5,0,luke-matthews-1
Rashard Smith,2009-09-03,1,North Carolina State,,South Carolina,L,1,31,31.0,0,rashard-smith-1
Devin Taylor,2009-09-03,1,South Carolina,@,North Carolina State,W,1,12,12.0,0,devin-taylor-1
Walter Thurmond III,2009-09-03,1,Oregon,@,Boise State,L,1,9,9.0,0,walter-thurmond-iii-1
Charlie Todd,2009-09-03,1,Ball State,,North Texas,L,2,9,4.5,0,charlie-todd-1
Cornelius Williams,2009-09-03,1,Troy,@,Bowling Green State,L,2,5,2.5,0,cornelius-williams-1
Kyle Wilson,2009-09-03,1,Boise State,,Oregon,W,2,19,9.5,0,kyle-wilson-1
Ryan Henry,2009-09-04,1,Hawaii,,Central Arkansas,W,5,50,10.0,0,ryan-henry-1
Damaris Johnson,2009-09-04,1,Tulsa,@,Tulane,W,3,85,28.3,1,damaris-johnson-1
Casey Robottom,2009-09-04,1,Tulane,,Tulsa,L,1,16,16.0,0,casey-robottom-1
Joe Adams,2009-09-05,1,Arkansas,,Missouri State,W,1,0,0.0,0,joe-adams-1
