"Player","Date","G","School","Loc","Opponent","WL","Rush Att","Rush Yard","Rush Avg","Rush TD","unique_id"
"Montel Aaron","2017-08-26",1,"San Jose State",,"South Florida","L",1,0,0,0,"montel-aaron-1"
"Bilal Ally","2017-08-26",1,"Massachusetts",,"Hawaii","L",6,17,2.8,0,"bilal-ally-1"
"Rashaad Boddie","2017-08-26",1,"Colorado State",,"Oregon State","W",8,56,7,0,"rashaad-boddie-1"
"Dru Brown","2017-08-26",1,"Hawaii","@","Massachusetts","W",8,19,2.4,1,"dru-brown-1"
"Cycoby Burch","2017-08-26",1,"Massachusetts",,"Hawaii","L",1,4,4,0,"cycoby-burch-1"
"Ryan Burns","2017-08-26",1,"Stanford","N","Rice","W",3,4,1.3,0,"ryan-burns-1"
"Squally Canada","2017-08-26",1,"Brigham Young",,"Portland State","W",16,98,6.1,1,"squally-canada-1"
"Keller Chryst","2017-08-26",1,"Stanford","N","Rice","W",2,-2,-1,0,"keller-chryst-1"
"Ross Comis","2017-08-26",1,"Massachusetts",,"Hawaii","L",2,15,7.5,0,"ross-comis-1"
"K.J. Costello","2017-08-26",1,"Stanford","N","Rice","W",1,25,25,1,"kj-costello-1"
"Dalyn Dawkins","2017-08-26",1,"Colorado State",,"Oregon State","W",15,67,4.5,1,"dalyn-dawkins-1"
"Brennon Dingle","2017-08-26",1,"Massachusetts",,"Hawaii","L",1,2,2,0,"brennon-dingle-1"
"Trey Dye","2017-08-26",1,"Brigham Young",,"Portland State","W",1,1,1,0,"trey-dye-1"
"Emmanuel Esukpa","2017-08-26",1,"Rice","N","Stanford","L",5,2,0.4,0,"emmanuel-esukpa-1"
"Quinton Flowers","2017-08-26",1,"South Florida","@","San Jose State","W",18,70,3.9,1,"quinton-flowers-1"
"Kavika Fonua","2017-08-26",1,"Brigham Young",,"Portland State","W",7,59,8.4,0,"kavika-fonua-1"
"Andrew Ford","2017-08-26",1,"Massachusetts",,"Hawaii","L",10,-12,-1.2,0,"andrew-ford-1"
"Sam Glaesmann","2017-08-26",1,"Rice","N","Stanford","L",9,7,0.8,0,"sam-glaesmann-1"
"KJ Hall","2017-08-26",1,"Brigham Young",,"Portland State","W",3,11,3.7,0,"kj-hall-1"
"Andy Isabella","2017-08-26",1,"Massachusetts",,"Hawaii","L",1,6,6,1,"andy-isabella-1"
"D'Ernest Johnson","2017-08-26",1,"South Florida","@","San Jose State","W",22,99,4.5,2,"dernest-johnson-1"
"Brett Kean","2017-08-26",1,"South Florida","@","San Jose State","W",1,2,2,0,"brett-kean-1"
"Marvin Kinsey","2017-08-26",1,"Colorado State",,"Oregon State","W",8,34,4.3,1,"marvin-kinsey-1"
"Bryce Love","2017-08-26",1,"Stanford","N","Rice","W",13,180,13.8,1,"bryce-love-1"
"Josh Love","2017-08-26",1,"San Jose State",,"South Florida","L",1,-3,-3,0,"josh-love-1"
"Jake Luton","2017-08-26",1,"Oregon State","@","Colorado State","L",1,-5,-5,0,"jake-luton-1"
"Dorian Maddox","2017-08-26",1,"Stanford","N","Rice","W",8,29,3.6,0,"dorian-maddox-1"
"Tanner Mangum","2017-08-26",1,"Brigham Young",,"Portland State","W",4,-3,-0.8,0,"tanner-mangum-1"
"Izzy Matthews","2017-08-26",1,"Colorado State",,"Oregon State","W",9,28,3.1,1,"izzy-matthews-1"
"Brandon Monroe","2017-08-26",1,"San Jose State",,"South Florida","L",5,30,6,0,"brandon-monroe-2"
"Cameron Montgomery","2017-08-26",1,"Rice","N","Stanford","L",1,4,4,0,"cameron-montgomery-1"
"Ryan Nall","2017-08-26",1,"Oregon State","@","Colorado State","L",15,115,7.7,1,"ryan-nail-1"
"DeJon Packer","2017-08-26",1,"San Jose State",,"South Florida","L",3,10,3.3,0,"dejon-packer-1"
"Art Pierce","2017-08-26",1,"Oregon State","@","Colorado State","L",8,35,4.4,0,"art-pierce-1"
"Malik Roberson","2017-08-26",1,"San Jose State",,"South Florida","L",19,52,2.7,0,"malik-roberson-1"
"Diocemy Saint Juste","2017-08-26",1,"Hawaii","@","Massachusetts","W",23,78,3.4,0,"diocemy-saint-juste-1"
"Trevon Sands","2017-08-26",1,"South Florida","@","San Jose State","W",2,0,0,0,"trevon-sands-1"
"Cameron Scarlett","2017-08-26",1,"Stanford","N","Rice","W",8,59,7.4,3,"cameron-scarlett-1"
"Nick Stevens","2017-08-26",1,"Colorado State",,"Oregon State","W",3,6,2,0,"nick-stevens-1"
"Samuel Stewart","2017-08-26",1,"Rice","N","Stanford","L",15,71,4.7,0,"samuel-stewart-1"
"Davion Sutton","2017-08-26",1,"South Florida","@","San Jose State","W",10,47,4.7,0,"davion-sutton-1"
"Darius Tice","2017-08-26",1,"South Florida","@","San Jose State","W",20,94,4.7,1,"darius-tice-1"
"Ula Tolutau","2017-08-26",1,"Brigham Young",,"Portland State","W",1,3,3,0,"ula-tolutau-1"
"Austin Trammell","2017-08-26",1,"Rice","N","Stanford","L",1,10,10,0,"austin-trammell-1"
"Jonah Trinnaman","2017-08-26",1,"Brigham Young",,"Portland State","W",1,4,4,0,"jonah-trinnaman-1"
"Ryan Tuiasoa","2017-08-26",1,"Hawaii","@","Massachusetts","W",4,15,3.8,1,"ryan-tuiasoa-1"
"Calvin Tyler Jr.","2017-08-26",1,"Oregon State","@","Colorado State","L",1,-1,-1,0,"calvin-tyler-jr-1"
"Jackson Tyner","2017-08-26",1,"Rice","N","Stanford","L",4,7,1.8,0,"jackson-tyner-1"
