Player,Date,G,School,Loc,Opponent,WL,unique_id,Int Ret,Int Ret Yds,Int TD,Pass Broken Up
Joseph Peterson,2014-08-27,1,Georgia State,,Abilene Christian,W,joseph-peterson-1,1.0,28.0,0.0,0.0
Tony Annese,2014-08-28,1,Central Michigan,,Chattanooga,W,tony-annese-1,2.0,0.0,0.0,0.0
Tony Conner,2014-08-28,1,Mississippi,N,Boise State,W,tony-conner-1,1.0,0.0,0.0,0.0
Senquez Golson,2014-08-28,1,Mississippi,N,Boise State,W,senquez-golson-1,1.0,0.0,0.0,0.0
Justin Goodwin,2014-08-28,1,Rutgers,@,Washington State,W,justin-goodwin-1,1.0,0.0,0.0,0.0
Tyler Gray,2014-08-28,1,Boise State,N,Mississippi,L,tyler-gray-1,1.0,7.0,0.0,0.0
Jeremy Ioane,2014-08-28,1,Boise State,N,Mississippi,L,jeremy-ioane-1,1.0,0.0,0.0,1.0
Cequan Jefferson,2014-08-28,1,Temple,@,Vanderbilt,W,cequan-jefferson-1,1.0,20.0,0.0,0.0
Antonio Johnson,2014-08-28,1,Minnesota,,Eastern Illinois,W,antonio-johnson-4,1.0,17.0,0.0,1.0
C.J. Johnson,2014-08-28,1,Mississippi,N,Boise State,W,cj-johnson-3,1.0,0.0,0.0,1.0
Kevin King,2014-08-28,1,Central Michigan,,Chattanooga,W,kevin-king-2,1.0,0.0,0.0,0.0
Mitch Lane,2014-08-28,1,Louisiana-Monroe,,Wake Forest,W,mitch-lane-1,1.0,31.0,0.0,0.0
Demarco Nelson,2014-08-28,1,Tulsa,,Tulane,W,demarco-nelson-1,1.0,0.0,0.0,0.0
Parry Nickerson,2014-08-28,1,Tulane,@,Tulsa,L,parry-nickerson-1,1.0,0.0,0.0,0.0
Taurean Nixon,2014-08-28,1,Tulane,@,Tulsa,L,taurean-nixon-2,1.0,22.0,0.0,0.0
Cody Prewitt,2014-08-28,1,Mississippi,N,Boise State,W,cody-prewitt-1,1.0,22.0,0.0,0.0
Tana Pritchard,2014-08-28,1,Washington State,,Rutgers,L,tana-pritchard-1,1.0,9.0,0.0,0.0
Winston Rose,2014-08-28,1,New Mexico State,,Cal Poly,W,winston-rose-1,1.0,0.0,0.0,0.0
Blake Serpa,2014-08-28,1,Central Michigan,,Chattanooga,W,blake-serpa-1,1.0,2.0,0.0,0.0
Albert Smalls,2014-08-28,1,Northern Illinois,,Presbyterian,W,albert-smalls-1,1.0,10.0,0.0,0.0
Darian Thompson,2014-08-28,1,Boise State,N,Mississippi,L,darian-thompson-1,1.0,0.0,0.0,0.0
Cleveland Wallace,2014-08-28,1,San Jose State,,North Dakota,W,cleveland-wallace-1,1.0,4.0,0.0,0.0
Armani Watts,2014-08-28,1,Texas A&M,@,South Carolina,W,armani-watts-1,1.0,0.0,0.0,2.0
Tavon Young,2014-08-28,1,Temple,@,Vanderbilt,W,tavon-young-1,2.0,35.0,0.0,0.0
Crosby Adams,2014-08-29,1,Texas-San Antonio,@,Houston,W,crosby-adams-1,1.0,21.0,0.0,0.0
Kurtis Drummond,2014-08-29,1,Michigan State,,Jacksonville State,W,kurtis-drummond-1,1.0,17.0,0.0,1.0
Darian Hicks,2014-08-29,1,Michigan State,,Jacksonville State,W,darian-hicks-1,1.0,0.0,0.0,1.0
Jherremya Leuta-Douyere,2014-08-29,1,Brigham Young,@,Connecticut,W,jherremya-leuta-douyere-1,1.0,0.0,0.0,0.0
Bennett Okotcha,2014-08-29,1,Texas-San Antonio,@,Houston,W,bennett-okotcha-1,1.0,0.0,0.0,0.0
William Parks,2014-08-29,1,Arizona,,Nevada-Las Vegas,W,william-parks-1,1.0,14.0,0.0,2.0
Mauricio Sanchez,2014-08-29,1,Texas-San Antonio,@,Houston,W,mauricio-sanchez-1,1.0,36.0,0.0,1.0
Nick Tompkins,2014-08-29,1,Michigan State,,Jacksonville State,W,nick-tompkins-1,1.0,2.0,0.0,0.0
Triston Wade,2014-08-29,1,Texas-San Antonio,@,Houston,W,triston-wade-1,1.0,0.0,0.0,2.0
Ishmael Adams,2014-08-30,1,UCLA,@,Virginia,W,ishmael-adams-1,1.0,20.0,0.0,0.0
