Player,Date,G,School,Loc,Opponent,WL,Rush Att,Rush Yard,Rush Avg,Rush TD,unique_id
Vic Enwere,2016-08-26,1,California,N,Hawaii,W,10,73,7.3,0,vic-enwere-1
Paul Harris,2016-08-26,1,Hawaii,N,California,L,7,36,5.1,1,paul-harris-3
Steven Lakalaka,2016-08-26,1,Hawaii,N,California,L,11,61,5.5,1,steven-lakalaka-1
Khalfani Muhammad,2016-08-26,1,California,N,Hawaii,W,10,96,9.6,1,khalfani-muhammad-1
Diocemy Saint Juste,2016-08-26,1,Hawaii,N,California,L,14,118,8.4,1,diocemy-saint-juste-1
Tre Watson,2016-08-26,1,California,N,Hawaii,W,11,33,3.0,0,tre-watson-2
Davis Webb,2016-08-26,1,California,N,Hawaii,W,4,-13,-3.3,1,davis-webb-1
Ikaika Woolsey,2016-08-26,1,Hawaii,N,California,L,6,33,5.5,0,ikaika-woolsey-1
Austin Apodaca,2016-09-01,1,New Mexico,,South Dakota,W,7,41,5.9,0,austin-apodaca-1
Sherman Badie,2016-09-01,1,Tulane,@,Wake Forest,L,7,26,3.7,0,sherman-badie-1
Quinton Baker,2016-09-01,1,Western Kentucky,,Rice,W,9,42,4.7,0,quinton-baker-1
Jaylan Barbour,2016-09-01,1,Appalachian State,@,Tennessee,L,1,12,12.0,0,jaylan-barbour-1
Khari Blasingame,2016-09-01,1,Vanderbilt,,South Carolina,L,15,68,4.5,1,khari-blasingame-1
Victor Bolden,2016-09-01,1,Oregon State,@,Minnesota,L,1,0,0.0,0,victor-bolden-1
Mike Boone,2016-09-01,1,Cincinnati,,Tennessee-Martin,W,12,35,2.9,1,mike-boone-2
Darius Bradwell,2016-09-01,1,Tulane,@,Wake Forest,L,4,6,1.5,0,darius-bradwell-1
Denzal Brantley,2016-09-01,1,Idaho,,Montana State,W,6,39,6.5,0,denzal-brantley-1
Xzaviar Campbell,2016-09-01,1,Nevada-Las Vegas,,Jackson State,W,10,52,5.2,0,xzaviar-campbell-1
Cade Carney,2016-09-01,1,Wake Forest,,Tulane,W,7,21,3.0,0,cade-carney-1
Mark Chapman,2016-09-01,1,Central Michigan,,Presbyterian,W,1,4,4.0,0,mark-chapman-2
Daryl Chestnut,2016-09-01,1,New Mexico,,South Dakota,W,6,36,6.0,0,daryl-chestnut-1
Matt Colburn,2016-09-01,1,Wake Forest,,Tulane,W,11,23,2.1,0,matt-colburn-1
Seth Collins,2016-09-01,1,Oregon State,@,Minnesota,L,6,13,2.2,0,seth-collins-1
Tim Cook,2016-09-01,1,Oregon State,@,Minnesota,L,3,2,0.7,0,tim-cook-1
Marcus Cox,2016-09-01,1,Appalachian State,@,Tennessee,L,24,115,4.8,0,marcus-cox-2
