Player,Date,G,School,Loc,Opponent,WL,XP Made,XP Att,XP %,FG Made,FG Att,FG %,Pts,unique_id
Todd Soderquist,2004-08-28,1,Miami (OH),,Indiana State,W,3,3,100.0,0,0,,3,todd-soderquist-1
Jared Parseghian,2004-08-28,1,Miami (OH),,Indiana State,W,4,4,100.0,0,0,,4,jared-parseghian-1
Ryan Killeen,2004-08-28,1,Southern California,N,Virginia Tech,W,3,3,100.0,1,2,50.0,6,ryan-killeen-1
Brandon Pace,2004-08-28,1,Virginia Tech,N,Southern California,L,1,1,100.0,2,2,100.0,7,brandon-pace-1
Nate Meyer,2004-09-02,1,Western Michigan,,Tennessee-Martin,W,0,0,,0,1,0.0,0,nate-meyer-1
Ryan Ohliger,2004-09-02,1,Boston College,@,Ball State,W,1,1,100.0,0,0,,1,ryan-ohliger-1
Todd Pegram,2004-09-02,1,Texas A&M,@,Utah,L,3,3,100.0,0,0,,3,todd-pegram-1
Reagan Schneider,2004-09-02,1,Texas-El Paso,@,Arizona State,L,0,1,0.0,1,1,100.0,3,reagan-schneider-1
Michael Baker,2004-09-02,1,Buffalo,@,Eastern Michigan,L,4,4,100.0,0,0,,4,michael-baker-1
Bryan Borreson,2004-09-02,1,Utah,,Texas A&M,W,5,6,83.3,0,0,,5,bryan-borreson-1
Robert Menchinger,2004-09-02,1,Western Michigan,,Tennessee-Martin,W,6,6,100.0,0,0,,6,robert-menchinger-1
Brian Huffman,2004-09-02,1,Northwestern,@,Texas Christian,L,6,6,100.0,1,6,16.7,9,brian-huffman-1
Brian Jackson,2004-09-02,1,Ball State,,Boston College,L,0,0,,3,3,100.0,9,brian-jackson-2
Peter Lococo,2004-09-02,1,Texas Christian,,Northwestern,W,4,5,80.0,2,3,66.7,10,peter-lococo-1
Jesse Ainsworth,2004-09-02,1,Arizona State,,Texas-El Paso,W,5,5,100.0,2,2,100.0,11,jesse-ainsworth-1
Andrew Wellock,2004-09-02,1,Eastern Michigan,,Buffalo,W,4,4,100.0,3,3,100.0,13,andrew-wellock-1
Loren Langley,2004-09-03,1,Washington State,@,New Mexico,W,3,3,100.0,0,0,,3,loren-langley-1
Wes Zunker,2004-09-03,1,New Mexico,,Washington State,L,2,2,100.0,1,2,50.0,5,wes-zunker-1
Keith Toogood,2004-09-04,1,Texas Tech,@,Southern Methodist,W,0,1,0.0,0,1,0.0,0,keith-toogood-1
Thomas Olmsted,2004-09-04,1,Troy,@,Marshall,W,0,0,,0,1,0.0,0,thomas-olmsted-1
Ragan Walters,2004-09-04,1,Louisiana-Monroe,@,Auburn,L,0,0,,0,2,0.0,0,ragan-walters-1
Mike Barrow,2004-09-04,1,Idaho,@,Boise State,L,1,1,100.0,0,1,0.0,1,mike-barrow-1
Ryan Guardia,2004-09-04,1,New Mexico State,@,Arkansas,L,1,2,50.0,0,1,0.0,1,ryan-guardia-1
Travis Mayle,2004-09-04,1,Kent State,@,Iowa,L,1,1,100.0,0,0,,1,travis-mayle-1
Barrett Pepper,2004-09-04,1,Tulane,@,Mississippi State,L,1,1,100.0,0,0,,1,barrett-pepper-1
Bryan Robertson,2004-09-04,1,Indiana,,Central Michigan,W,1,1,100.0,0,0,,1,bryan-robertson-1
Todd Soderquist,2004-09-04,2,Miami (OH),@,Michigan,L,1,1,100.0,0,0,,1,todd-soderquist-1
Sean Comiskey,2004-09-04,1,Louisiana,,Northwestern State,W,2,2,100.0,0,2,0.0,2,sean-comiskey-1
Michael Greenaway,2004-09-04,1,Air Force,,California,L,2,2,100.0,0,0,,2,michael-greenaway-1
Chris Jackson,2004-09-04,1,Louisiana State,,Oregon State,W,2,2,100.0,0,2,0.0,2,chris-jackson-1
Ryan Lux,2004-09-04,1,Temple,,Virginia,L,2,2,100.0,0,1,0.0,2,ryan-lux-1
David Pino,2004-09-04,1,Texas,,North Texas,W,2,2,100.0,0,0,,2,david-pino-1
David Rayner,2004-09-04,1,Michigan State,@,Rutgers,L,2,2,100.0,0,1,0.0,2,david-rayner-1
Kenny Webb,2004-09-04,1,Baylor,@,Alabama-Birmingham,L,2,2,100.0,0,0,,2,kenny-webb-1
Geoffrey Blumenfeld,2004-09-04,1,Navy,,Duke,W,3,4,75.0,0,1,0.0,3,geoffrey-blumenfeld-1
Nick Folk,2004-09-04,1,Arizona,,Northern Arizona,W,3,3,100.0,0,0,,3,nick-folk-1
