Player,Date,G,School,Loc,Opponent,WL,Punt Ret,Punt Ret Yds,Punt Ret Avg,Punt Ret TD,unique_id
Justin Amaral,2006-08-31,1,San Diego State,,Texas-El Paso,L,1,2,2.0,0,justin-amaral-1
Ryan Baum,2006-08-31,1,Iowa State,,Toledo,W,1,39,39.0,0,ryan-baum-1
Tim Brown,2006-08-31,1,Temple,@,Buffalo,L,1,-4,-4.0,0,tim-brown-2
Jeremy Childs,2006-08-31,1,Boise State,,Sacramento State,W,1,0,0.0,0,jeremy-childs-1
Erryn Cobb,2006-08-31,1,Northwestern,@,Miami (OH),W,1,23,23.0,1,erryn-cobb-1
Marquice Cole,2006-08-31,1,Northwestern,@,Miami (OH),W,2,5,2.5,0,marquice-cole-1
Omarr Conner,2006-08-31,1,Mississippi State,,South Carolina,L,2,5,2.5,0,omarr-conner-1
Drisan James,2006-08-31,1,Boise State,,Sacramento State,W,1,7,7.0,0,drisan-james-1
Dominic Jones,2006-08-31,1,Minnesota,@,Kent State,W,1,11,11.0,0,dominic-jones-1
Quinton Jones,2006-08-31,1,Boise State,,Sacramento State,W,4,63,15.8,0,quinton-jones-1
Taylor Kavanaugh,2006-08-31,1,Oregon State,,Eastern Washington,W,1,6,6.0,0,taylor-kavanaugh-1
Damien Linson,2006-08-31,1,Central Michigan,,Boston College,L,2,15,7.5,0,damien-linson-1
Kenny McKinley,2006-08-31,1,South Carolina,@,Mississippi State,W,3,16,5.3,0,kenny-mckinley-1
Darrell McNeal,2006-08-31,1,Louisiana-Monroe,,Alcorn State,W,3,16,5.3,0,darrell-mcneal-1
Idris Moss,2006-08-31,1,Tulsa,,Stephen F. Austin,W,5,58,11.6,0,idris-moss-1
Chris Page,2006-08-31,1,Temple,@,Buffalo,L,1,0,0.0,0,chris-page-1
Kevin Payne,2006-08-31,1,Louisiana-Monroe,,Alcorn State,W,1,9,9.0,0,kevin-payne-1
Terry Richardson,2006-08-31,1,Arizona State,,Northern Arizona,W,3,38,12.7,0,terry-richardson-1
Trumaine Riley,2006-08-31,1,Eastern Michigan,@,Ball State,L,4,34,8.5,0,trumaine-riley-1
Bradley Robinson,2006-08-31,1,Middle Tennessee State,,Florida International,W,3,6,2.0,0,bradley-robinson-1
Naaman Roosevelt,2006-08-31,1,Buffalo,,Temple,W,2,27,13.5,0,naaman-roosevelt-1
Sammie Stroughter,2006-08-31,1,Oregon State,,Eastern Washington,W,2,83,41.5,1,sammie-stroughter-1
Larry Taylor,2006-08-31,1,Connecticut,,Rhode Island,W,2,49,24.5,0,larry-taylor-1
Dejuan Tribble,2006-08-31,1,Boston College,@,Central Michigan,W,2,1,0.5,0,dejuan-tribble-1
John Whiddon,2006-08-31,1,Florida International,@,Middle Tennessee State,L,1,-7,-7.0,0,john-whiddon-1
Chandler Williams,2006-08-31,1,Florida International,@,Middle Tennessee State,L,2,2,1.0,0,chandler-williams-1
Chris Williams,2006-08-31,1,New Mexico State,,Southeastern Louisiana,W,1,14,14.0,0,chris-williams-2
Joe Fernandez,2006-09-01,1,Fresno State,,Nevada,W,2,11,5.5,0,joe-fernandez-1
Joe Garcia,2006-09-01,1,Nevada,@,Fresno State,L,1,1,1.0,0,joe-garcia-2
Joshua Abrams,2006-09-02,1,Ohio,,Tennessee-Martin,W,1,12,12.0,0,joshua-abrams-1
Royce Adams,2006-09-02,1,Purdue,,Indiana State,W,1,2,2.0,0,royce-adams-1
Asher Allen,2006-09-02,1,Georgia,,Western Kentucky,W,2,28,14.0,0,asher-allen-1
Aundrae Allison,2006-09-02,1,East Carolina,@,Navy,L,1,6,6.0,0,aundrae-allison-1
Danny Amendola,2006-09-02,1,Texas Tech,,Southern Methodist,W,6,33,5.5,0,danny-amendola-1
Paul Baker,2006-09-02,1,New Mexico,,Portland State,L,6,22,3.7,0,paul-baker-1
Earl Bennett,2006-09-02,1,Vanderbilt,@,Michigan,L,1,5,5.0,0,earl-bennett-1
Lance Bennett,2006-09-02,1,Indiana,,Western Michigan,W,2,2,1.0,0,lance-bennett-1
Darrell Blackman,2006-09-02,1,North Carolina State,,Appalachian State,W,1,2,2.0,0,darrell-blackman-1
Justin Bray,2006-09-02,1,Troy,,Alabama State,W,1,8,8.0,0,justin-bray-1
Steve Breaston,2006-09-02,1,Michigan,,Vanderbilt,W,3,7,2.3,0,steve-breaston-1
Andy Brodell,2006-09-02,1,Iowa,,Montana,W,4,33,8.3,0,andy-brodell-1
Ramarcus Brown,2006-09-02,1,Georgia,,Western Kentucky,W,1,17,17.0,0,ramarcus-brown-1
Michael Bumpus,2006-09-02,1,Washington State,@,Auburn,L,1,8,8.0,0,michael-bumpus-1
Joe Burnett,2006-09-02,1,Central Florida,,Villanova,W,2,12,6.0,0,joe-burnett-1
Emmanuel Byers,2006-09-02,1,Virginia,@,Pittsburgh,L,2,13,6.5,0,emmanuel-byers-1
Jonathan Casillas,2006-09-02,1,Wisconsin,@,Bowling Green State,W,1,12,12.0,1,jonathan-casillas-1
Zach Charles,2006-09-02,1,Bowling Green State,,Wisconsin,L,1,0,0.0,0,zach-charles-1
Pat Clark,2006-09-02,1,Georgia Tech,,Notre Dame,L,3,24,8.0,0,pat-clark-1
Chris Collins,2006-09-02,1,Oklahoma State,,Missouri State,W,1,11,11.0,0,chris-collins-2
Quan Cosby,2006-09-02,1,Texas,,North Texas,W,1,9,9.0,0,quan-cosby-1
Perrish Cox,2006-09-02,1,Oklahoma State,,Missouri State,W,3,72,24.0,0,perrish-cox-1
Chris Davis,2006-09-02,1,Duke,,Richmond,L,3,8,2.7,0,chris-davis-1
Tommy Devereaux,2006-09-02,1,Oklahoma State,,Missouri State,W,2,75,37.5,0,tommy-devereaux-1
Dominique Douglas,2006-09-02,1,Iowa,,Montana,W,1,25,25.0,0,dominique-douglas-1
Robert Dunn,2006-09-02,1,Auburn,,Washington State,W,4,16,4.0,0,robert-dunn-1
Dexton Fields,2006-09-02,1,Kansas,,Northwestern State,W,1,3,3.0,0,dexton-fields-1
Yamon Figurs,2006-09-02,1,Kansas State,,Illinois State,W,2,89,44.5,1,yamon-figurs-1
Jacoby Ford,2006-09-02,1,Clemson,,Florida Atlantic,W,2,94,47.0,1,jacoby-ford-1
Daniel Francis,2006-09-02,1,Louisiana State,,Louisiana,W,1,8,8.0,0,daniel-francis-1
Freddie Franklin,2006-09-02,1,Louisiana Tech,@,Nebraska,L,2,16,8.0,0,freddie-franklin-1
Kerry Franks,2006-09-02,1,Texas A&M,,Citadel,W,1,20,20.0,0,kerry-franks-1
Isaiah Gardner,2006-09-02,1,Maryland,,William & Mary,W,1,8,8.0,0,isaiah-gardner-1
Chris Garrett,2006-09-02,1,Ohio,,Tennessee-Martin,W,1,32,32.0,0,chris-garrett-1
Ted Ginn Jr.,2006-09-02,1,Ohio State,,Northern Illinois,W,2,44,22.0,0,ted-ginn-jr-1
Anthony Gonzalez,2006-09-02,1,Ohio State,,Northern Illinois,W,1,11,11.0,0,anthony-gonzalez-1
John Guice,2006-09-02,1,Nevada-Las Vegas,,Idaho State,W,2,10,5.0,0,john-guice-1
E.B. Halsey,2006-09-02,1,Illinois,,Eastern Illinois,W,2,30,15.0,0,eb-halsey-1
Zach Hampton,2006-09-02,1,Wisconsin,@,Bowling Green State,W,2,17,8.5,0,zach-hampton-1
C.J. Hawthorne,2006-09-02,1,Hawaii,@,Alabama,L,1,2,2.0,0,cj-hawthorne-1
Mikey Henderson,2006-09-02,1,Georgia,,Western Kentucky,W,2,133,66.5,1,mikey-henderson-1
Trindon Holliday,2006-09-02,1,Louisiana State,,Louisiana,W,1,6,6.0,0,trindon-holliday-1
Willie Idlette,2006-09-02,1,Wake Forest,,Syracuse,W,3,53,17.7,0,willie-idlette-1
Brandon Jackson,2006-09-02,1,North Texas,@,Texas,L,1,9,9.0,0,brandon-jackson-3
Chevis Jackson,2006-09-02,1,Louisiana State,,Louisiana,W,2,15,7.5,0,chevis-jackson-1
Desean Jackson,2006-09-02,1,California,@,Tennessee,L,3,16,5.3,0,desean-jackson-1
Jeremiah Johnson,2006-09-02,1,Oregon,,Stanford,W,3,36,12.0,0,jeremiah-johnson-1
Weston Johnson,2006-09-02,1,Wyoming,,Utah State,W,1,0,0.0,0,weston-johnson-1
Andre Jones,2006-09-02,1,Akron,@,Penn State,L,1,1,1.0,0,andre-jones-2
Kevin Jones,2006-09-02,1,Arkansas State,,Army,W,3,25,8.3,0,kevin-jones-2
Reggie Jones,2006-09-02,1,Idaho,@,Michigan State,L,2,1,0.5,0,reggie-jones-1
Brandon King,2006-09-02,1,Rice,,Houston,L,4,41,10.3,0,brandon-king-3
Troy Lewis,2006-09-02,1,Wyoming,,Utah State,W,1,15,15.0,0,troy-lewis-1
Terry Love,2006-09-02,1,Michigan State,,Idaho,W,1,10,10.0,0,terry-love-1
Dwight Lowery,2006-09-02,1,San Jose State,@,Washington,L,1,0,0.0,0,dwight-lowery-1
Chris Markey,2006-09-02,1,UCLA,,Utah,W,2,9,4.5,0,chris-markey-1
