Player,Date,G,School,Loc,Opponent,WL,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Pass Int,QBR,unique_id
Blake Bortles,2012-08-30,1,Central Florida,@,Akron,W,13,16,81.3,168,3,1,218.8,blake-bortles-1
Richard Brehaut,2012-08-30,1,UCLA,@,Rice,W,3,4,75.0,101,0,0,287.1,richard-brehaut-1
Logan Bushnell,2012-08-30,1,Idaho,,Eastern Washington,L,10,23,43.5,128,0,1,81.5,logan-bushnell-1
Taylor Davis,2012-08-30,1,Idaho,,Eastern Washington,L,6,8,75.0,41,0,0,118.1,taylor-davis-1
A.J. Doyle,2012-08-30,1,Massachusetts,@,Connecticut,L,0,1,0.0,0,0,0,0.0,aj-doyle-1
Jeremy Eddington,2012-08-30,1,Rice,,UCLA,L,0,1,0.0,0,0,0,0.0,jeremy-eddington-1
Michael Eubank,2012-08-30,1,Arizona State,,Northern Arizona,W,1,1,100.0,2,0,0,116.8,michael-eubank-1
David Fisher,2012-08-30,1,Kent State,,Towson,W,3,3,100.0,84,1,0,445.2,david-fisher-1
Tyler Gabbert,2012-08-30,1,Central Florida,@,Akron,W,1,3,33.3,12,1,0,176.9,tyler-gabbert-1
Alex Gillett,2012-08-30,1,Eastern Michigan,@,Ball State,L,15,34,44.1,186,3,0,119.2,alex-gillett-1
Marqueis Gray,2012-08-30,1,Minnesota,@,Nevada-Las Vegas,W,17,30,56.7,269,2,1,147.3,marqueis-gray-1
Taysom Hill,2012-08-30,1,Brigham Young,,Washington State,W,1,1,100.0,18,1,0,581.2,taysom-hill-1
Brett Hundley,2012-08-30,1,UCLA,@,Rice,W,21,28,75.0,202,2,1,152.0,brett-hundley-1
Chuckie Keeton,2012-08-30,1,Utah State,,Southern Utah,W,22,25,88.0,304,2,1,208.5,chuckie-keeton-1
Spencer Keith,2012-08-30,1,Kent State,,Towson,W,10,19,52.6,82,0,0,88.9,spencer-keith-1
Taylor Kelly,2012-08-30,1,Arizona State,,Northern Arizona,W,15,19,78.9,247,1,0,205.5,taylor-kelly-1
Adam Kennedy,2012-08-30,1,Utah State,,Southern Utah,W,1,1,100.0,0,0,0,100.0,adam-kennedy-2
Logan Kilgore,2012-08-30,1,Middle Tennessee State,,McNeese State,L,27,41,65.9,240,2,1,126.2,logan-kilgore-1
