Player,Date,G,School,Loc,Opponent,WL,Rec,Rec Yards,Rec Avg,Rec TD,unique_id
Jack Austin,2016-08-26,1,California,N,Hawaii,W,1,4,4.0,0,jack-austin-1
Ammon Barker,2016-08-26,1,Hawaii,N,California,L,1,7,7.0,0,ammon-barker-1
Dylan Collie,2016-08-26,1,Hawaii,N,California,L,3,26,8.7,0,dylan-collie-1
Jordan Duncan,2016-08-26,1,California,N,Hawaii,W,1,3,3.0,0,jordan-duncan-1
Vic Enwere,2016-08-26,1,California,N,Hawaii,W,2,5,2.5,0,vic-enwere-1
Davasyia Hagger,2016-08-26,1,Hawaii,N,California,L,1,19,19.0,0,davasyia-hagger-1
Chad Hansen,2016-08-26,1,California,N,Hawaii,W,14,160,11.4,2,chad-hansen-1
Raymond Hudson,2016-08-26,1,California,N,Hawaii,W,1,22,22.0,0,raymond-hudson-1
Marcus Kemp,2016-08-26,1,Hawaii,N,California,L,4,73,18.3,1,marcus-kemp-1
Kanawai Noa,2016-08-26,1,California,N,Hawaii,W,1,18,18.0,0,kanawai-noa-1
Bug Rivera,2016-08-26,1,California,N,Hawaii,W,5,54,10.8,0,bug-rivera-1
Demetris Robertson,2016-08-26,1,California,N,Hawaii,W,2,12,6.0,0,demetris-robertson-1
Diocemy Saint Juste,2016-08-26,1,Hawaii,N,California,L,2,35,17.5,0,diocemy-saint-juste-1
Brandon Singleton,2016-08-26,1,California,N,Hawaii,W,2,14,7.0,0,brandon-singleton-1
Melquise Stovall,2016-08-26,1,California,N,Hawaii,W,4,61,15.3,1,melquise-stovall-1
Dakota Torres,2016-08-26,1,Hawaii,N,California,L,1,4,4.0,0,dakota-torres-1
John Ursua,2016-08-26,1,Hawaii,N,California,L,5,70,14.0,0,john-ursua-1
Jordan Veasy,2016-08-26,1,California,N,Hawaii,W,2,41,20.5,1,jordan-veasy-1
Vic Wharton,2016-08-26,1,California,N,Hawaii,W,3,47,15.7,0,vic-wharton-1
Temi Alaka,2016-09-01,1,Rice,@,Western Kentucky,L,2,4,2.0,0,temi-alaka-1
Chad Artist,2016-09-01,1,Utah State,,Weber State,W,1,0,0.0,0,chad-artist-1
Alex Bachman,2016-09-01,1,Wake Forest,,Tulane,W,2,17,8.5,0,alex-bachman-1
Javonte Bagley,2016-09-01,1,Louisville,,UNC Charlotte,W,2,18,9.0,0,javonte-bagley-1
Jaylan Barbour,2016-09-01,1,Appalachian State,@,Tennessee,L,1,2,2.0,0,jaylan-barbour-1
Brayden Beard,2016-09-01,1,Cincinnati,,Tennessee-Martin,W,2,10,5.0,0,brayden-beard-1
Khari Blasingame,2016-09-01,1,Vanderbilt,,South Carolina,L,1,0,0.0,0,khari-blasingame-1
Victor Bolden,2016-09-01,1,Oregon State,@,Minnesota,L,5,32,6.4,1,victor-bolden-1
Justin Bolus,2016-09-01,1,UNC Charlotte,@,Louisville,L,1,4,4.0,0,justin-bolus-1
Reggie Bonnafon,2016-09-01,1,Louisville,,UNC Charlotte,W,2,33,16.5,1,reggie-bonnafon-1
Devonte Boyd,2016-09-01,1,Nevada-Las Vegas,,Jackson State,W,4,135,33.8,3,devonte-boyd-1
Devon Breaux,2016-09-01,1,Tulane,@,Wake Forest,L,1,17,17.0,0,devon-breaux-1
Terrell Burgess,2016-09-01,1,Utah,,Southern Utah,W,1,7,7.0,0,terrell-burgess-1
Barrett Burns,2016-09-01,1,Appalachian State,@,Tennessee,L,1,1,1.0,0,barrett-burns-1
Will Bush,2016-09-01,1,Western Kentucky,,Rice,W,1,35,35.0,0,will-bush-1
Jaquil Capel,2016-09-01,1,Appalachian State,@,Tennessee,L,1,3,3.0,0,jaquil-capel-1
Cade Carney,2016-09-01,1,Wake Forest,,Tulane,W,2,13,6.5,0,cade-carney-1
Jonathan Carson,2016-09-01,1,Central Michigan,,Presbyterian,W,1,33,33.0,0,jonathan-carson-1
Mark Chapman,2016-09-01,1,Central Michigan,,Presbyterian,W,5,60,12.0,0,mark-chapman-2
Bra'Lon Cherry,2016-09-01,1,North Carolina State,,William & Mary,W,3,36,12.0,1,bralon-cherry-1
Matt Colburn,2016-09-01,1,Wake Forest,,Tulane,W,2,29,14.5,0,matt-colburn-1
Nate Cole,2016-09-01,1,Cincinnati,,Tennessee-Martin,W,6,64,10.7,1,nate-cole-2
Seth Collins,2016-09-01,1,Oregon State,@,Minnesota,L,5,57,11.4,0,seth-collins-1
Cole Cook,2016-09-01,1,North Carolina State,,William & Mary,W,1,6,6.0,0,cole-cook-1
Tim Cook,2016-09-01,1,Oregon State,@,Minnesota,L,1,12,12.0,1,tim-cook-1
Trent Cowan,2016-09-01,1,Idaho,,Montana State,W,1,14,14.0,0,trent-cowan-1
Marcus Cox,2016-09-01,1,Appalachian State,@,Tennessee,L,4,34,8.5,1,marcus-cox-2
Kevin Crosby,2016-09-01,1,South Carolina,@,Vanderbilt,W,1,6,6.0,0,kevin-crosby-1
Micky Crum,2016-09-01,1,Louisville,,UNC Charlotte,W,1,7,7.0,0,micky-crum-1
Allan Cui,2016-09-01,1,Nevada-Las Vegas,,Jackson State,W,1,6,6.0,0,allan-cui-1
Larry Dace,2016-09-01,1,Tulane,@,Wake Forest,L,4,38,9.5,0,larry-dace-1
Chris Davis,2016-09-01,1,New Mexico,,South Dakota,W,1,15,15.0,0,chris-davis-12
Jowan Davis,2016-09-01,1,Rice,@,Western Kentucky,L,1,15,15.0,0,jowan-davis-1
Tyler Davis,2016-09-01,1,Connecticut,,Maine,W,2,21,10.5,0,tyler-davis-2
Seth Dawkins,2016-09-01,1,Louisville,,UNC Charlotte,W,1,13,13.0,1,seth-dawkins-1
Matt Dayes,2016-09-01,1,North Carolina State,,William & Mary,W,2,18,9.0,0,matt-dayes-1
Darik Dillard,2016-09-01,1,Rice,@,Western Kentucky,L,2,-1,-0.5,0,darik-dillard-1
Steve Donatell,2016-09-01,1,Western Kentucky,,Rice,W,1,11,11.0,0,steve-donatell-1
