Player,Date,G,School,Loc,Opponent,WL,Rush Att,Rush Yard,Rush Avg,Rush TD,unique_id
Tarrion Adams,2006-08-31,1,Tulsa,,Stephen F. Austin,W,10,41,4.1,1,tarrion-adams-1
Lou Allen,2006-08-31,1,Connecticut,,Rhode Island,W,15,83,5.5,1,lou-allen-1
Bryan Anderson,2006-08-31,1,Central Michigan,,Boston College,L,1,-5,-5.0,0,bryan-anderson-1
Deon Anderson,2006-08-31,1,Connecticut,,Rhode Island,W,3,7,2.3,0,deon-anderson-1
Anthony Barksdale,2006-08-31,1,Connecticut,,Rhode Island,W,3,15,5.0,0,anthony-barksdale-1
Yvenson Bernard,2006-08-31,1,Oregon State,,Eastern Washington,W,19,124,6.5,2,yvenson-bernard-1
Larry Bostic,2006-08-31,1,Ball State,,Eastern Michigan,W,15,64,4.3,0,larry-bostic-1
Cory Boyd,2006-08-31,1,South Carolina,@,Mississippi State,W,12,93,7.8,0,cory-boyd-1
Andre Bratton,2006-08-31,1,Miami (OH),,Northwestern,L,2,4,2.0,0,andre-bratton-1
Duane Brooks,2006-08-31,1,Central Michigan,,Boston College,L,1,9,9.0,0,duane-brooks-1
Donald Brown,2006-08-31,1,Connecticut,,Rhode Island,W,9,118,13.1,2,donald-brown-1
Tim Brown,2006-08-31,1,Temple,@,Buffalo,L,20,82,4.1,0,tim-brown-2
Brian Brunner,2006-08-31,1,Central Michigan,,Boston College,L,1,4,4.0,0,brian-brunner-1
Justine Buries,2006-08-31,1,New Mexico State,,Southeastern Louisiana,W,22,107,4.9,1,justine-buries-1
Andre Callender,2006-08-31,1,Boston College,@,Central Michigan,W,12,35,2.9,0,andre-callender-1
Tyler Campbell,2006-08-31,1,San Diego State,,Texas-El Paso,L,1,4,4.0,0,tyler-campbell-3
Rudy Carpenter,2006-08-31,1,Arizona State,,Northern Arizona,W,6,12,2.0,0,rudy-carpenter-1
Tony Carrasco,2006-08-31,1,Oregon State,,Eastern Washington,W,4,20,5.0,0,tony-carrasco-1
Terry Caulley,2006-08-31,1,Connecticut,,Rhode Island,W,12,95,7.9,1,terry-caulley-1
Vaughn Charlton,2006-08-31,1,Temple,@,Buffalo,L,2,-3,-1.5,0,vaughn-charlton-1
Clint Cochran,2006-08-31,1,Toledo,@,Iowa State,L,5,-25,-5.0,1,clint-cochran-1
Joe Craddock,2006-08-31,1,Middle Tennessee State,,Florida International,W,3,-3,-1.0,0,joe-craddock-1
Bryan Cupito,2006-08-31,1,Minnesota,@,Kent State,W,2,16,8.0,0,bryan-cupito-1
Alex Daniels,2006-08-31,1,Minnesota,@,Kent State,W,24,155,6.5,3,alex-daniels-1
