Player,Date,G,School,Loc,Opponent,WL,Rec,Rec Yards,Rec Avg,Rec TD,unique_id
Lynquez Blair,2014-08-27,1,Georgia State,,Abilene Christian,W,8,118,14.8,1,lynquez-blair-1
Todd Boyd,2014-08-27,1,Georgia State,,Abilene Christian,W,1,5,5.0,0,todd-boyd-1
Robert Davis,2014-08-27,1,Georgia State,,Abilene Christian,W,8,90,11.3,0,robert-davis-10
Donovan Harden,2014-08-27,1,Georgia State,,Abilene Christian,W,3,27,9.0,0,donovan-harden-2
Kyler Neal,2014-08-27,1,Georgia State,,Abilene Christian,W,1,11,11.0,0,kyler-neal-1
Joel Ruiz,2014-08-27,1,Georgia State,,Abilene Christian,W,7,111,15.9,2,joel-ruiz-1
Duvall Smith,2014-08-27,1,Georgia State,,Abilene Christian,W,1,5,5.0,0,duvall-smith-1
Avery Sweeting,2014-08-27,1,Georgia State,,Abilene Christian,W,2,46,23.0,1,avery-sweeting-1
Jerell Adams,2014-08-28,1,South Carolina,,Texas A&M,L,2,40,20.0,0,jerell-adams-1
Quincy Adeboyejo,2014-08-28,1,Mississippi,N,Boise State,W,2,29,14.5,1,quincy-adeboyejo-1
Jay Ajayi,2014-08-28,1,Boise State,N,Mississippi,L,12,93,7.8,1,jay-ajayi-1
Dres Anderson,2014-08-28,1,Utah,,Idaho State,W,4,111,27.8,0,dres-anderson-1
Rory Anderson,2014-08-28,1,South Carolina,,Texas A&M,L,3,52,17.3,0,rory-anderson-1
Joshua Atkinson,2014-08-28,1,Tulsa,,Tulane,W,7,80,11.4,0,joshua-atkinson-1
Sherman Badie,2014-08-28,1,Tulane,@,Tulsa,L,2,6,3.0,0,sherman-badie-1
Kalen Ballage,2014-08-28,1,Arizona State,,Weber State,W,1,6,6.0,0,kalen-ballage-1
Chad Beebe,2014-08-28,1,Northern Illinois,,Presbyterian,W,2,9,4.5,0,chad-beebe-1
Devontae Booker,2014-08-28,1,Utah,,Idaho State,W,1,61,61.0,0,devontae-booker-1
Joel Bouagnon,2014-08-28,1,Northern Illinois,,Presbyterian,W,2,-1,-0.5,0,joel-bouagnon-1
Joshua Bowen,2014-08-28,1,New Mexico State,,Cal Poly,W,1,6,6.0,0,joshua-bowen-1
Devon Breaux,2014-08-28,1,Tulane,@,Tulsa,L,1,13,13.0,0,devon-breaux-1
K.J. Brent,2014-08-28,1,South Carolina,,Texas A&M,L,1,13,13.0,0,kj-brent-1
Juwan Brescacin,2014-08-28,1,Northern Illinois,,Presbyterian,W,2,53,26.5,1,juwan-brescacin-1
Da'Ron Brown,2014-08-28,1,Northern Illinois,,Presbyterian,W,7,91,13.0,1,daron-brown-1
Jerrel Brown,2014-08-28,1,New Mexico State,,Cal Poly,W,4,44,11.0,0,jerrel-brown-1
Michael Burton,2014-08-28,1,Rutgers,@,Washington State,W,2,36,18.0,0,michael-burton-1
Dante Butler,2014-08-28,1,Tulane,@,Tulsa,L,2,6,3.0,1,dante-butler-1
Damiere Byrd,2014-08-28,1,South Carolina,,Texas A&M,L,1,46,46.0,1,damiere-byrd-1
Tyler Cain,2014-08-28,1,Louisiana-Monroe,,Wake Forest,W,4,20,5.0,0,tyler-cain-1
Leonte Carroo,2014-08-28,1,Rutgers,@,Washington State,W,6,151,25.2,1,leonte-carroo-1
Shon Carson,2014-08-28,1,South Carolina,,Texas A&M,L,1,9,9.0,0,shon-carson-1
Tra Carson,2014-08-28,1,Texas A&M,@,South Carolina,W,1,16,16.0,0,tra-carson-1
Rashon Ceaser,2014-08-28,1,Louisiana-Monroe,,Wake Forest,W,1,6,6.0,0,rashon-ceaser-1
Gary Chambers,2014-08-28,1,Arizona State,,Weber State,W,2,46,23.0,1,gary-chambers-1
Jawon Chisholm,2014-08-28,1,Akron,,Howard,W,1,11,11.0,0,jawon-chisholm-1
Kaelin Clay,2014-08-28,1,Utah,,Idaho State,W,2,13,6.5,0,kaelin-clay-1
Cameron Clear,2014-08-28,1,Texas A&M,@,South Carolina,W,1,12,12.0,0,cameron-clear-2
David Cobb,2014-08-28,1,Minnesota,,Eastern Illinois,W,2,22,11.0,0,david-cobb-1
Tony Cook,2014-08-28,1,Louisiana-Monroe,,Wake Forest,W,3,35,11.7,0,tony-cook-1
Pharoh Cooper,2014-08-28,1,South Carolina,,Texas A&M,L,3,58,19.3,1,pharoh-cooper-1
Cody Core,2014-08-28,1,Mississippi,N,Boise State,W,4,110,27.5,2,cody-core-1
River Cracraft,2014-08-28,1,Washington State,,Rutgers,L,8,83,10.4,1,river-cracraft-1
Jared Crump,2014-08-28,1,Wake Forest,@,Louisiana-Monroe,L,2,8,4.0,0,jared-crump-1
Jordan Cunningham,2014-08-28,1,Vanderbilt,,Temple,L,3,19,6.3,0,jordan-cunningham-1
Zach D'Orazio,2014-08-28,1,Akron,,Howard,W,4,37,9.3,0,zach-dorazio-1
Akeem Daniels,2014-08-28,1,Northern Illinois,,Presbyterian,W,1,5,5.0,0,akeem-daniels-1
Imani Davis,2014-08-28,1,Akron,,Howard,W,3,14,4.7,1,imani-davis-1
Mike Davis,2014-08-28,1,South Carolina,,Texas A&M,L,1,1,1.0,0,mike-davis-9
Titus Davis,2014-08-28,1,Central Michigan,,Chattanooga,W,1,11,11.0,0,titus-davis-1
Romond Deloatch,2014-08-28,1,Temple,@,Vanderbilt,W,1,3,3.0,0,romond-deloatch-1
Tavarreon Dickerson,2014-08-28,1,Tulsa,,Tulane,W,1,14,14.0,0,tavarreon-dickerson-1
Mark Dodson,2014-08-28,1,Mississippi,N,Boise State,W,3,15,5.0,0,mark-dodson-2
Centarius Donald,2014-08-28,1,Louisiana-Monroe,,Wake Forest,W,4,16,4.0,0,centarius-donald-1
Davis Dudchock,2014-08-28,1,Vanderbilt,,Temple,L,1,19,19.0,0,davis-dudchock-1
C.J. Duncan,2014-08-28,1,Vanderbilt,,Temple,L,2,58,29.0,0,cj-duncan-1
Berkley Edwards,2014-08-28,1,Minnesota,,Eastern Illinois,W,1,2,2.0,0,berkley-edwards-1
Terren Encalade,2014-08-28,1,Tulane,@,Tulsa,L,3,21,7.0,0,terren-encalade-1
Evan Engram,2014-08-28,1,Mississippi,N,Boise State,W,4,41,10.3,0,evan-engram-1
Tyler Ervin,2014-08-28,1,San Jose State,,North Dakota,W,1,4,4.0,0,tyler-ervin-1
Jalen Fitzpatrick,2014-08-28,1,Temple,@,Vanderbilt,W,5,46,9.2,1,jalen-fitzpatrick-1
Matt Flanagan,2014-08-28,1,Rutgers,@,Washington State,W,1,6,6.0,0,matt-flanagan-1
James Flanders,2014-08-28,1,Tulsa,,Tulane,W,2,-1,-0.5,0,james-flanders-1
Conner Floyd,2014-08-28,1,Tulsa,,Tulane,W,3,25,8.3,1,conner-floyd-1
D.J. Foster,2014-08-28,1,Arizona State,,Weber State,W,4,26,6.5,0,dj-foster-1
Billy Freeman,2014-08-28,1,San Jose State,,North Dakota,W,2,21,10.5,0,billy-freeman-2
Rickey Galvin,2014-08-28,1,Washington State,,Rutgers,L,4,86,21.5,1,rickey-galvin-1
Keyarris Garrett,2014-08-28,1,Tulsa,,Tulane,W,5,87,17.4,0,keyarris-garrett-1
Janarion Grant,2014-08-28,1,Rutgers,@,Washington State,W,4,48,12.0,0,janarion-grant-1
Calvin Green,2014-08-28,1,Washington State,,Rutgers,L,2,6,3.0,0,calvin-green-1
Nathan Hairston,2014-08-28,1,Temple,@,Vanderbilt,W,7,48,6.9,0,nathan-hairston-1
Kenneth Harper,2014-08-28,1,Temple,@,Vanderbilt,W,1,2,2.0,0,kenneth-harper-1
Dominique Hatfield,2014-08-28,1,Utah,,Idaho State,W,1,9,9.0,0,dominique-hatfield-1
Khalif Herbin,2014-08-28,1,Temple,@,Vanderbilt,W,5,39,7.8,0,khalif-herbin-1
Gregory Hogan,2014-08-28,1,New Mexico State,,Cal Poly,W,1,25,25.0,0,gregory-hogan-1
