Player,Date,G,School,Loc,Opponent,WL,unique_id,Int Ret,Int Ret Yds,Int TD,Pass Broken Up
Josh Alexander,2005-09-01,1,Louisiana-Monroe,,Northwestern State,L,josh-alexander-1,1.0,9.0,0.0,1.0
Trent Allen,2005-09-01,1,Houston,,Oregon,L,trent-allen-1,1.0,11.0,0.0,2.0
Darrius Battles,2005-09-01,1,Louisiana-Monroe,,Northwestern State,L,darrius-battles-1,1.0,0.0,0.0,1.0
Fred Bennett,2005-09-01,1,South Carolina,,Central Florida,W,fred-bennett-1,1.0,1.0,0.0,1.0
Kareem Byrom,2005-09-01,1,Buffalo,@,Connecticut,L,kareem-byrom-1,1.0,0.0,0.0,1.0
Mike Davis Jr.,2005-09-01,1,Arizona State,,Temple,W,mike-davis-jr-1,1.0,7.0,0.0,1.0
Josh Gattis,2005-09-01,1,Wake Forest,,Vanderbilt,L,josh-gattis-1,1.0,0.0,0.0,2.0
Aaron Gipson,2005-09-01,1,Oregon,@,Houston,W,aaron-gipson-1,1.0,22.0,0.0,2.0
Nick Graham,2005-09-01,1,Tulsa,,Minnesota,L,nick-graham-1,1.0,0.0,0.0,1.0
Willie Hardemon,2005-09-01,1,Temple,@,Arizona State,L,willie-hardemon-1,1.0,0.0,0.0,1.0
Ray Lamb,2005-09-01,1,Temple,@,Arizona State,L,ray-lamb-1,1.0,0.0,0.0,2.0
Antonio Malone,2005-09-01,1,Toledo,,Western Illinois,W,antonio-malone-1,1.0,60.0,1.0,
Bo Martin,2005-09-01,1,Toledo,,Western Illinois,W,bo-martin-1,2.0,38.0,0.0,2.0
Jason Martin,2005-09-01,1,Idaho,@,Washington State,L,jason-martin-2,1.0,0.0,0.0,1.0
Brandon Owens,2005-09-01,1,Minnesota,@,Tulsa,W,brandon-owens-1,1.0,22.0,0.0,1.0
Willie Smith,2005-09-01,1,Marshall,,William & Mary,W,willie-smith-1,1.0,0.0,0.0,2.0
Cole Snyder,2005-09-01,1,Idaho,@,Washington State,L,cole-snyder-1,1.0,7.0,0.0,1.0
Darron Ware,2005-09-01,1,Arizona State,,Temple,W,darron-ware-1,1.0,20.0,0.0,1.0
Chaz Williams,2005-09-01,1,Louisiana-Monroe,,Northwestern State,L,chaz-williams-1,1.0,34.0,1.0,1.0
Rodney Woods,2005-09-01,1,Oregon,@,Houston,W,rodney-woods-1,1.0,0.0,0.0,
Casey Evans,2005-09-02,1,Utah,,Arizona,W,casey-evans-1,1.0,0.0,0.0,1.0
Pacino Horne,2005-09-02,1,Central Michigan,,Indiana,L,pacino-horne-1,1.0,0.0,0.0,1.0
