Player,Date,G,School,Loc,Opponent,WL,unique_id,Int Ret,Int Ret Yds,Int TD,Pass Broken Up
Devin Abraham,2017-08-26,1,South Florida,@,San Jose State,W,devin-abraham-1,1.0,27.0,0.0,1.0
Zayne Anderson,2017-08-26,1,Brigham Young,,Portland State,W,zayne-anderson-1,1.0,27.0,0.0,0.0
Anthony Hawkins,2017-08-26,1,Colorado State,,Oregon State,W,anthony-hawkins-1,1.0,14.0,0.0,2.0
Solomon Matautia,2017-08-26,1,Hawaii,@,Massachusetts,W,solomon-matautia-1,1.0,1.0,0.0,0.0
Isaiah Rodgers,2017-08-26,1,Massachusetts,,Hawaii,L,isaiah-rodgers-1,1.0,0.0,0.0,1.0
Nico Sawtelle,2017-08-26,1,South Florida,@,San Jose State,W,nico-sawtelle-1,1.0,0.0,0.0,0.0
Jovan Swann,2017-08-26,1,Stanford,N,Rice,W,jovan-swann-1,1.0,2.0,0.0,0.0
Tre Thomas,2017-08-26,1,Colorado State,,Oregon State,W,tre-thomas-2,1.0,44.0,1.0,0.0
Josh Watson,2017-08-26,1,Colorado State,,Oregon State,W,josh-watson-2,1.0,3.0,0.0,0.0
Kyle White,2017-08-26,1,Oregon State,@,Colorado State,L,kyle-white-4,1.0,0.0,0.0,0.0
Mazzi Wilkins,2017-08-26,1,South Florida,@,San Jose State,W,mazzi-wilkins-1,1.0,21.0,0.0,2.0
Julian Blackmon,2017-08-31,1,Utah,,North Dakota,W,julian-blackmon-1,1.0,17.0,0.0,2.0
Alex Briones,2017-08-31,1,Central Michigan,,Rhode Island,W,alex-briones-1,1.0,-5.0,0.0,0.0
Joey Bryant,2017-08-31,1,Arizona State,,New Mexico State,W,joey-bryant-1,1.0,0.0,0.0,1.0
Amari Coleman,2017-08-31,1,Central Michigan,,Rhode Island,W,amari-coleman-1,2.0,0.0,0.0,0.0
Josh Cox,2017-08-31,1,Central Michigan,,Rhode Island,W,josh-cox-1,2.0,0.0,0.0,1.0
Olin Cushion,2017-08-31,1,Florida International,@,Central Florida,L,olin-cushion-1,1.0,33.0,0.0,0.0
Jordan Fuller,2017-08-31,1,Ohio State,@,Indiana,W,jordan-fuller-1,1.0,40.0,0.0,0.0
Austin Hall,2017-08-31,1,Memphis,,Louisiana-Monroe,W,austin-hall-3,1.0,0.0,0.0,0.0
Jacob Huff,2017-08-31,1,Minnesota,,Buffalo,W,jacob-huff-1,1.0,0.0,0.0,0.0
Darwyn Kelly,2017-08-31,1,Central Michigan,,Rhode Island,W,darwyn-kelly-1,1.0,0.0,0.0,0.0
Cameron Lewis,2017-08-31,1,Buffalo,@,Minnesota,L,cameron-lewis-1,1.0,0.0,0.0,1.0
Tre Neal,2017-08-31,1,Central Florida,,Florida International,W,tre-neal-1,1.0,29.0,0.0,0.0
Kahlil Robinson,2017-08-31,1,Toledo,,Elon,W,kahlil-robinson-1,1.0,0.0,0.0,0.0
Justin Strnad,2017-08-31,1,Wake Forest,,Presbyterian,W,justin-strnad-1,1.0,22.0,0.0,0.0
Collin Turner,2017-08-31,1,Louisiana-Monroe,@,Memphis,L,collin-turner-1,1.0,18.0,0.0,2.0
Denzel Ward,2017-08-31,1,Ohio State,@,Indiana,W,denzel-ward-3,1.0,0.0,0.0,5.0
Kobe Williams,2017-08-31,1,Arizona State,,New Mexico State,W,kobe-williams-1,1.0,49.0,1.0,1.0
Bryan Wright,2017-08-31,1,Cincinnati,,Austin Peay,W,bryan-wright-5,1.0,2.0,0.0,0.0
Jason Beck,2017-09-01,1,Eastern Michigan,,UNC Charlotte,W,jason-beck-2,1.0,0.0,0.0,0.0
Lukas Denis,2017-09-01,1,Boston College,@,Northern Illinois,W,lukas-denis-1,1.0,0.0,0.0,2.0
D'Cota Dixon,2017-09-01,1,Wisconsin,,Utah State,W,dcota-dixon-1,1.0,-1.0,0.0,0.0
T.J. Edwards,2017-09-01,1,Wisconsin,,Utah State,W,tj-edwards-3,1.0,7.0,0.0,2.0
Joe Ferguson,2017-09-01,1,Wisconsin,,Utah State,W,joe-ferguson-2,1.0,99.0,1.0,0.0
Brody Hoying,2017-09-01,1,Eastern Michigan,,UNC Charlotte,W,brody-hoying-1,1.0,35.0,1.0,2.0
Jaylon McClinton,2017-09-01,1,Army,,Fordham,W,jaylon-mcclinton-1,1.0,27.0,0.0,0.0
Justin Moody,2017-09-01,1,Eastern Michigan,,UNC Charlotte,W,justin-moody-2,1.0,11.0,0.0,0.0
Byron Murphy,2017-09-01,1,Washington,@,Rutgers,W,byron-murphy-1,2.0,17.0,0.0,0.0
Kevin Nutt Jr.,2017-09-01,2,Colorado State,N,Colorado,L,kevin-nutt-jr-1,2.0,0.0,0.0,0.0
Noruwa Obanor,2017-09-01,1,Navy,@,Florida Atlantic,W,noruwa-obanor-1,1.0,-2.0,0.0,0.0
Kyle Pugh,2017-09-01,1,Northern Illinois,,Boston College,L,kyle-pugh-1,1.0,0.0,0.0,0.0
Ed Rolle,2017-09-01,1,UNC Charlotte,@,Eastern Michigan,L,ed-rolle-1,1.0,0.0,0.0,0.0
Micah Thomas,2017-09-01,1,Navy,@,Florida Atlantic,W,micah-thomas-2,1.0,25.0,0.0,1.0
Chris Tooley,2017-09-01,1,Florida Atlantic,,Navy,L,chris-tooley-1,1.0,0.0,0.0,1.0
Trey Udoffia,2017-09-01,1,Colorado,N,Colorado State,W,trey-udoffia-1,1.0,0.0,0.0,2.0
Evan Worthington,2017-09-01,1,Colorado,N,Colorado State,W,evan-worthington-1,1.0,0.0,0.0,0.0
Devin Abraham,2017-09-02,2,South Florida,,Stony Brook,W,devin-abraham-1,1.0,25.0,0.0,0.0
Joshua Allen,2017-09-02,1,Miami (OH),@,Marshall,L,joshua-allen-1,1.0,0.0,0.0,0.0
Johnathan Alston,2017-09-02,1,North Carolina State,N,South Carolina,L,johnathan-alston-1,1.0,0.0,0.0,0.0
Ugo Amadi,2017-09-02,1,Oregon,,Southern Utah,W,ugo-amadi-1,1.0,0.0,0.0,1.0
Sam Beal,2017-09-02,1,Western Michigan,@,Southern California,L,sam-beal-1,1.0,0.0,0.0,1.0
Shawn Boone,2017-09-02,1,North Carolina State,N,South Carolina,L,shawn-boone-1,1.0,0.0,0.0,0.0
Jay Bowdry,2017-09-02,1,Georgia Southern,@,Auburn,L,jay-bowdry-1,1.0,0.0,0.0,0.0
Marvin Branch,2017-09-02,1,Old Dominion,,Albany,W,marvin-branch-1,1.0,0.0,0.0,1.0
Blace Brown,2017-09-02,1,Troy,@,Boise State,L,blace-brown-1,1.0,53.0,1.0,0.0
Derron Brown,2017-09-02,1,California,@,North Carolina,W,derron-brown-2,1.0,3.0,0.0,0.0
Christian Campbell,2017-09-02,1,Penn State,,Akron,W,christian-campbell-1,1.0,0.0,0.0,0.0
Logan Cheadle,2017-09-02,1,Missouri,,Missouri State,W,logan-cheadle-1,1.0,-5.0,0.0,1.0
Donte Coleman,2017-09-02,1,Fresno State,,Incarnate Word,W,donte-coleman-1,1.0,0.0,0.0,0.0
