Player,Date,G,School,Loc,Opponent,WL,Rec,Rec Yards,Rec Avg,Rec TD,unique_id
Matt Asiata,2009-09-03,1,Utah,,Utah State,W,2,17,8.5,0,matt-asiata-1
Jeremy Avery,2009-09-03,1,Boise State,,Oregon,W,1,4,4.0,0,jeremy-avery-1
Toney Baker,2009-09-03,1,North Carolina State,,South Carolina,L,2,8,4.0,0,toney-baker-1
Kenjon Barner,2009-09-03,1,Oregon,@,Boise State,L,1,7,7.0,0,kenjon-barner-1
Freddie Barnes,2009-09-03,1,Bowling Green State,,Troy,W,15,157,10.5,2,freddie-barnes-1
Kellen Bartlett,2009-09-03,1,Utah State,@,Utah,L,2,18,9.0,0,kellen-bartlett-1
Damarlo Belcher,2009-09-03,1,Indiana,,Eastern Kentucky,W,6,97,16.2,1,damarlo-belcher-1
Legarrette Blount,2009-09-03,1,Oregon,@,Boise State,L,2,13,6.5,0,legarrette-blount-1
Chris Brainard,2009-09-03,1,North Texas,@,Ball State,W,1,6,6.0,0,chris-brainard-1
Richie Brockel,2009-09-03,1,Boise State,,Oregon,W,1,12,12.0,0,richie-brockel-1
Jereme Brooks,2009-09-03,1,Utah,,Utah State,W,3,23,7.7,0,jereme-brooks-1
Matt Brown,2009-09-03,1,Temple,,Villanova,L,3,14,4.7,0,matt-brown-1
Moe Brown,2009-09-03,1,South Carolina,@,North Carolina State,W,3,54,18.0,0,moe-brown-1
George Bryan,2009-09-03,1,North Carolina State,,South Carolina,L,4,22,5.5,0,george-bryan-1
Chris Bullock,2009-09-03,1,Bowling Green State,,Troy,W,1,7,7.0,0,chris-bullock-1
Trea Burgess,2009-09-03,1,Indiana,,Eastern Kentucky,W,1,4,4.0,0,trea-burgess-1
Mitch Burroughs,2009-09-03,1,Boise State,,Oregon,W,1,5,5.0,0,mitch-burroughs-1
Michael Campbell,2009-09-03,1,Temple,,Villanova,L,5,93,18.6,1,michael-campbell-1
Darius Carey,2009-09-03,1,North Texas,@,Ball State,W,1,6,6.0,0,darius-carey-1
Derrick Catlett,2009-09-03,1,Iowa State,,North Dakota State,W,1,8,8.0,0,derrick-catlett-1
Patrick Cherry,2009-09-03,1,Troy,@,Bowling Green State,L,2,8,4.0,0,patrick-cherry-1
Andrew Davis,2009-09-03,1,Troy,@,Bowling Green State,L,1,14,14.0,0,andrew-davis-1
Darrell Davis,2009-09-03,1,North Carolina State,,South Carolina,L,1,6,6.0,0,darrell-davis-1
Max Dedmond,2009-09-03,1,Indiana,,Eastern Kentucky,W,2,14,7.0,0,max-dedmond-1
Kevin Dickerson,2009-09-03,1,North Texas,@,Ball State,W,4,24,6.0,0,kevin-dickerson-1
Ed Dickson,2009-09-03,1,Oregon,@,Boise State,L,2,19,9.5,0,ed-dickson-1
Patrick Dimarco,2009-09-03,1,South Carolina,@,North Carolina State,W,1,5,5.0,0,patrick-dimarco-1
Tandon Doss,2009-09-03,1,Indiana,,Eastern Kentucky,W,8,125,15.6,0,tandon-doss-1
Lance Dunbar,2009-09-03,1,North Texas,@,Ball State,W,2,6,3.0,0,lance-dunbar-1
