Player,Date,G,School,Loc,Opponent,WL,XP Made,XP Att,XP %,FG Made,FG Att,FG %,Pts,unique_id
Jimmy Camacho,2015-09-03,1,Fresno State,,Abilene Christian,W,0,0,,1,2,50.0,3,jimmy-camacho-1
Bryce Crawford,2015-09-03,1,San Jose State,,New Hampshire,W,2,2,100.0,1,1,100.0,5,bryce-crawford-1
Brian Eavey,2015-09-03,1,Central Michigan,,Oklahoma State,L,1,1,100.0,2,2,100.0,7,brian-eavey-1
Elliot Fry,2015-09-03,1,South Carolina,N,North Carolina,W,2,2,100.0,1,2,50.0,5,elliot-fry-1
Diego Gonzalez,2015-09-03,1,Colorado,@,Hawaii,L,2,0,,2,2,100.0,8,diego-gonzalez-2
Ben Grogan,2015-09-03,1,Oklahoma State,@,Central Michigan,W,3,3,100.0,1,3,33.3,6,ben-grogan-1
Morgan Hagee,2015-09-03,1,Ball State,,Virginia Military Institute,W,6,0,,2,2,100.0,12,morgan-hagee-1
Kody Kroening,2015-09-03,1,Fresno State,,Abilene Christian,W,4,4,100.0,1,1,100.0,7,kody-kroening-1
Austin Lopez,2015-09-03,1,San Jose State,,New Hampshire,W,2,4,50.0,0,1,0.0,2,austin-lopez-1
Ross Martin,2015-09-03,1,Duke,@,Tulane,W,4,4,100.0,3,3,100.0,13,ross-martin-1
Jaden Oberkrom,2015-09-03,1,Texas Christian,@,Minnesota,W,2,0,,3,4,75.0,11,jaden-oberkrom-1
Tommy Openshaw,2015-09-03,1,Vanderbilt,,Western Kentucky,L,0,0,,2,3,66.7,6,tommy-openshaw-1
Andy Phillips,2015-09-03,1,Utah,,Michigan,W,3,3,100.0,1,3,33.3,6,andy-phillips-2
Daniel Portillo,2015-09-03,1,Texas-San Antonio,@,Arizona,L,2,0,,2,4,50.0,8,daniel-portillo-1
Austin Rehkow,2015-09-03,1,Idaho,,Ohio,L,2,0,,2,2,100.0,8,austin-rehkow-1
Rigoberto Sanchez,2015-09-03,1,Hawaii,,Colorado,W,2,0,,2,2,100.0,8,rigoberto-sanchez-1
Ryan Santoso,2015-09-03,1,Minnesota,,Texas Christian,L,2,0,,1,1,100.0,5,ryan-santoso-1
Austin Taylor,2015-09-03,1,Florida International,@,Central Florida,W,0,0,,1,2,50.0,3,austin-taylor-2
Brock Warren,2015-09-03,1,Utah State,,Southern Utah,W,1,1,100.0,1,1,100.0,4,brock-warren-1
Mike Weaver,2015-09-03,1,Wake Forest,,Elon,W,5,5,100.0,2,3,66.7,11,mike-weaver-1
Nick Weiler,2015-09-03,1,North Carolina,N,South Carolina,L,1,1,100.0,2,2,100.0,7,nick-weiler-1
Matthew Wright,2015-09-03,1,Central Florida,,Florida International,L,2,0,,0,1,0.0,2,matthew-wright-1
Josiah Yazdani,2015-09-03,1,Ohio,@,Idaho,W,6,6,100.0,1,2,50.0,9,josiah-yazdani-1
Brent Zuzo,2015-09-03,1,Nevada,,California-Davis,W,4,4,100.0,1,1,100.0,7,brent-zuzo-1
Blake Brewer,2015-09-04,1,UNC Charlotte,@,Georgia State,W,2,0,,3,3,100.0,11,blake-brewer-1
Michael Geiger,2015-09-04,1,Michigan State,@,Western Michigan,W,4,4,100.0,1,1,100.0,7,michael-geiger-1
Andrew Haldeman,2015-09-04,1,Western Michigan,,Michigan State,L,3,3,100.0,1,2,50.0,6,andrew-haldeman-1
Wil Lutz,2015-09-04,1,Georgia State,,UNC Charlotte,L,2,2,100.0,2,3,66.7,8,wil-lutz-1
Cole Murphy,2015-09-04,1,Syracuse,,Rhode Island,W,6,6,100.0,1,2,50.0,9,cole-murphy-1
Garrett Owens,2015-09-04,1,Oregon State,,Weber State,W,2,0,,4,4,100.0,14,garrett-owens-1
Tyler Rausa,2015-09-04,1,Boise State,,Washington,W,1,2,50.0,1,1,100.0,4,tyler-rausa-1
Cameron Van Winkle,2015-09-04,1,Washington,@,Boise State,L,1,1,100.0,2,3,66.7,7,cameron-van-winkle-1
Roberto Aguayo,2015-09-05,1,Florida State,,Texas State,W,8,8,100.0,1,1,100.0,11,roberto-aguayo-1
Matt Anderson,2015-09-05,1,California,,Grambling State,W,7,7,100.0,1,1,100.0,10,matt-anderson-3
Stevie Artigue,2015-09-05,1,Louisiana,@,Kentucky,L,2,0,,1,1,100.0,5,stevie-artigue-1
Michael Badgley,2015-09-05,1,Miami (FL),,Bethune-Cookman,W,6,0,,1,1,100.0,9,michael-badgley-1
Andrew Baggett,2015-09-05,1,Missouri,,Southeast Missouri State,W,4,4,100.0,2,2,100.0,10,andrew-baggett-1
Michael Barden,2015-09-05,1,Texas Tech,,Sam Houston State,W,7,7,100.0,1,1,100.0,10,michael-barden-1
Jonathan Barnes,2015-09-05,1,Louisiana Tech,,Southern,W,8,8,100.0,2,2,100.0,14,jonathan-barnes-1
Nick Bartolotta,2015-09-05,1,Kansas,,South Dakota State,L,5,0,,1,1,100.0,8,nick-bartolotta-1
Taylor Bertolet,2015-09-05,1,Texas A&M,N,Arizona State,W,5,5,100.0,1,1,100.0,8,taylor-bertolet-1
Chris Blewitt,2015-09-05,1,Pittsburgh,,Youngstown State,W,6,6,100.0,1,2,50.0,9,chris-blewitt-1
Nicolai Bornand,2015-09-05,1,Nevada-Las Vegas,@,Northern Illinois,L,3,0,,3,3,100.0,12,nicolai-bornand-1
Stephen Brauchle,2015-09-05,1,Southern Mississippi,,Mississippi State,L,1,1,100.0,3,3,100.0,10,stephen-brauchle-1
Drew Brown,2015-09-05,1,Nebraska,,Brigham Young,L,4,4,100.0,0,2,0.0,4,drew-brown-1
Wyatt Bryan,2015-09-05,1,Colorado State,,Savannah State,W,8,9,88.9,1,2,50.0,11,wyatt-bryan-1
Kyle Bullard,2015-09-05,1,Houston,,Tennessee Tech,W,7,7,100.0,1,1,100.0,10,kyle-bullard-1
Daniel Carlson,2015-09-05,1,Auburn,N,Louisville,W,4,4,100.0,1,1,100.0,7,daniel-carlson-1
Brad Craddock,2015-09-05,1,Maryland,,Richmond,W,5,6,83.3,3,4,75.0,14,brad-craddock-1
Ka'Imi Fairbairn,2015-09-05,1,UCLA,,Virginia,W,4,4,100.0,2,3,66.7,10,kaimi-fairbairn-1
Ian Frye,2015-09-05,1,Virginia,@,UCLA,L,1,1,100.0,3,3,100.0,10,ian-frye-1
Rafael Gaglianone,2015-09-05,1,Wisconsin,N,Alabama,L,2,2,100.0,1,2,50.0,5,rafael-gaglianone-1
Andrew Gantz,2015-09-05,1,Cincinnati,,Alabama A&M,W,7,0,,1,1,100.0,10,andrew-gantz-1
Zane Gonzalez,2015-09-05,1,Arizona State,N,Texas A&M,L,2,2,100.0,1,1,100.0,5,zane-gonzalez-1
Westin Graves,2015-09-05,1,Mississippi State,@,Southern Mississippi,W,4,4,100.0,2,2,100.0,10,westin-graves-1
Austin Grebe,2015-09-05,1,Navy,,Colgate,W,6,6,100.0,1,1,100.0,9,austin-grebe-1
Adam Griffith,2015-09-05,1,Alabama,N,Wisconsin,W,5,5,100.0,0,2,0.0,5,adam-griffith-1
Christian Hagan,2015-09-05,1,Northern Illinois,,Nevada-Las Vegas,W,5,5,100.0,1,1,100.0,8,christian-hagan-1
Donny Hageman,2015-09-05,1,San Diego State,,San Diego,W,4,4,100.0,3,3,100.0,13,donny-hageman-1
Austin Hardin,2015-09-05,1,Florida,,New Mexico State,W,7,8,87.5,2,2,100.0,13,austin-hardin-1
Cole Hedlund,2015-09-05,1,Arkansas,,Texas-El Paso,W,6,0,,2,2,100.0,12,cole-hedlund-1
Alex Howell,2015-09-05,1,Boston College,,Maine,W,3,0,,1,2,50.0,6,alex-howell-1
Shane Hynes,2015-09-05,1,Kent State,@,Illinois,L,0,0,,1,2,50.0,3,shane-hynes-1
Austin Jones,2015-09-05,1,Temple,,Penn State,W,3,0,,2,2,100.0,9,austin-jones-4
Redford Jones,2015-09-05,1,Tulsa,,Florida Atlantic,W,5,5,100.0,2,3,66.7,11,redford-jones-1
Greg Joseph,2015-09-05,1,Florida Atlantic,@,Tulsa,L,5,5,100.0,3,4,75.0,14,greg-joseph-2
Joey Julius,2015-09-05,1,Penn State,@,Temple,L,1,1,100.0,1,1,100.0,4,joey-julius-1
Marshall Koehn,2015-09-05,1,Iowa,,Illinois State,W,4,4,100.0,1,1,100.0,7,marshall-koehn-1
Josh Lambert,2015-09-05,1,West Virginia,,Georgia Southern,W,5,5,100.0,3,3,100.0,14,josh-lambert-1
Austin Macginnis,2015-09-05,1,Kentucky,,Louisiana,W,4,0,,2,3,66.7,10,austin-macginnis-1
Jay Mattox,2015-09-05,1,Texas-El Paso,@,Arkansas,L,1,1,100.0,2,2,100.0,7,jay-mattox-1
Matthew McCrane,2015-09-05,1,Kansas State,,South Dakota,W,4,4,100.0,2,2,100.0,10,matthew-mccrane-1
Aaron Medley,2015-09-05,1,Tennessee,N,Bowling Green State,W,8,8,100.0,1,3,33.3,11,aaron-medley-1
Jack Mitchell,2015-09-05,1,Northwestern,,Stanford,W,1,1,100.0,3,4,75.0,10,jack-mitchell-2
Adam Mitcheson,2015-09-05,1,Buffalo,,Albany,W,6,0,,1,1,100.0,9,adam-mitcheson-1
Dylan Mulder,2015-09-05,1,Eastern Michigan,,Old Dominion,L,4,4,100.0,2,2,100.0,10,dylan-mulder-1
Emilio Nadelman,2015-09-05,1,South Florida,,Florida A&M,W,6,6,100.0,1,1,100.0,9,emilio-nadelman-1
Cole Netten,2015-09-05,1,Iowa State,,Northern Iowa,W,4,4,100.0,1,3,33.3,7,cole-netten-1
Griffin Oakes,2015-09-05,1,Indiana,,Southern Illinois,W,6,6,100.0,2,2,100.0,12,griffin-oakes-1
Drew Oehrle,2015-09-05,1,Air Force,,Morgan State,W,7,7,100.0,0,1,0.0,7,drew-oehrle-1
Erik Powell,2015-09-05,1,Washington State,,Portland State,L,2,2,100.0,1,2,50.0,5,erik-powell-1
Nick Rose,2015-09-05,1,Texas,@,Notre Dame,L,0,0,,1,2,50.0,3,nick-rose-1
Trevor Samson,2015-09-05,1,Brigham Young,@,Nebraska,W,3,3,100.0,2,2,100.0,9,trevor-samson-1
Jason Sanders,2015-09-05,1,New Mexico,,Mississippi Valley State,W,9,9,100.0,1,1,100.0,12,jason-sanders-1
Aidan Schneider,2015-09-05,1,Oregon,,Eastern Washington,W,7,7,100.0,2,2,100.0,13,aidan-schneider-1
Austin Seibert,2015-09-05,1,Oklahoma,,Akron,W,5,5,100.0,2,2,100.0,11,austin-seibert-1
James Sherman,2015-09-05,1,Texas State,@,Florida State,L,1,0,,1,1,100.0,4,james-sherman-1
Nick Sloan,2015-09-05,1,Navy,,Colgate,W,0,0,,1,1,100.0,3,nick-sloan-1
Robert Stein,2015-09-05,1,Akron,@,Oklahoma,L,0,0,,1,2,50.0,3,robert-stein-1
Aleem Sunanon,2015-09-05,1,South Alabama,,Gardner-Webb,W,3,3,100.0,2,2,100.0,9,aleem-sunanon-1
Tyler Tate,2015-09-05,1,Bowling Green State,N,Tennessee,L,3,3,100.0,3,4,75.0,12,tyler-tate-1
Connor Torruella,2015-09-05,1,East Carolina,,Towson,W,4,0,,0,1,0.0,4,connor-torruella-1
Conrad Ukropina,2015-09-05,1,Stanford,@,Northwestern,L,0,0,,2,2,100.0,6,conrad-ukropina-1
John Wallace,2015-09-05,1,Louisville,N,Auburn,L,3,0,,1,3,33.3,6,john-wallace-1
