Player,Date,G,School,Loc,Opponent,WL,Punt Ret,Punt Ret Yds,Punt Ret Avg,Punt Ret TD,unique_id
Jordan Akins,2015-09-03,1,Central Florida,,Florida International,L,2,15,7.5,0,jordan-akins-1
Alex Bachman,2015-09-03,1,Wake Forest,,Elon,W,1,-1,-1.0,0,alex-bachman-1
Andrew Celis,2015-09-03,1,Nevada,,California-Davis,W,1,40,40.0,0,andrew-celis-1
Britain Covey,2015-09-03,1,Utah,,Michigan,W,1,14,14.0,0,britain-covey-1
Jalen Davis,2015-09-03,1,Utah State,,Southern Utah,W,2,35,17.5,0,jalen-davis-1
Derrick Dick,2015-09-03,1,Texas-San Antonio,@,Arizona,L,1,0,0.0,0,derrick-dick-1
Trey Ellis,2015-09-03,1,Vanderbilt,,Western Kentucky,L,2,16,8.0,0,trey-ellis-1
Dezmon Epps,2015-09-03,1,Idaho,,Ohio,L,1,-1,-1.0,0,dezmon-epps-1
Keelan Ewaliko,2015-09-03,1,Hawaii,,Colorado,W,1,15,15.0,0,keelan-ewaliko-1
Shay Fields,2015-09-03,1,Colorado,@,Hawaii,L,2,1,0.5,0,shay-fields-1
Jamal Golden,2015-09-03,1,Georgia Tech,,Alcorn State,W,2,45,22.5,0,jamal-golden-1
Tre Herndon,2015-09-03,1,Vanderbilt,,Western Kentucky,L,1,-4,-4.0,0,tre-herndon-1
Tabari Hines,2015-09-03,1,Wake Forest,,Elon,W,4,41,10.3,0,tabari-hines-1
Corey Lacanaria,2015-09-03,1,Ball State,,Virginia Military Institute,W,3,28,9.3,0,corey-lacanaria-1
Richard Leonard,2015-09-03,1,Florida International,@,Central Florida,W,2,14,7.0,0,richard-leonard-1
TaQuon Marshall,2015-09-03,1,Georgia Tech,,Alcorn State,W,1,1,1.0,0,taquon-marshall-1
Jalen McCleskey,2015-09-03,1,Oklahoma State,@,Central Michigan,W,3,0,0.0,0,jalen-mccleskey-1
Quinton Pedroza,2015-09-03,1,Hawaii,,Colorado,W,2,3,1.5,0,quinton-pedroza-2
Andrew Rodriguez,2015-09-03,1,Utah State,,Southern Utah,W,8,136,17.0,1,andrew-rodriguez-2
Qua Searcy,2015-09-03,1,Georgia Tech,,Alcorn State,W,1,-2,-2.0,0,qua-searcy-1
Ryan Smith,2015-09-03,1,Duke,@,Tulane,W,2,29,14.5,0,ryan-smith-8
Nelson Spruce,2015-09-03,1,Colorado,@,Hawaii,L,4,14,3.5,0,nelson-spruce-1
Ryan Switzer,2015-09-03,1,North Carolina,N,South Carolina,L,1,-1,-1.0,0,ryan-switzer-1
KaVontae Turpin,2015-09-03,1,Texas Christian,@,Minnesota,W,3,13,4.3,0,kavontae-turpin-1
Teddy Veal,2015-09-03,1,Tulane,,Duke,L,1,8,8.0,0,teddy-veal-1
Papi White,2015-09-03,1,Ohio,@,Idaho,W,1,0,0.0,0,papi-white-1
Keyan Williams,2015-09-03,1,Fresno State,,Abilene Christian,W,1,3,3.0,0,keyan-williams-1
Daniel Braverman,2015-09-04,1,Western Michigan,,Michigan State,L,1,16,16.0,0,daniel-braverman-1
Donte Deayon,2015-09-04,1,Boise State,,Washington,W,1,2,2.0,0,donte-deayon-1
Rahmel Dockery,2015-09-04,1,Oregon State,,Weber State,W,3,23,7.7,0,rahmel-dockery-1
Brisly Estime,2015-09-04,1,Syracuse,,Rhode Island,W,3,96,32.0,1,brisly-estime-1
Lynx Hawthorne,2015-09-04,1,Baylor,@,Southern Methodist,W,1,5,5.0,0,lynx-hawthorne-1
Jacob Hill,2015-09-04,1,Syracuse,,Rhode Island,W,1,-1,-1.0,0,jacob-hill-1
Corey Nesmith Jr.,2015-09-04,1,UNC Charlotte,@,Georgia State,W,2,4,2.0,0,corey-nesmith-jr-1
Dante Pettis,2015-09-04,1,Washington,@,Boise State,L,2,93,46.5,1,dante-pettis-1
Edgar Poe,2015-09-04,1,Army,,Fordham,L,3,0,0.0,0,edgar-poe-1
Bralon Addison,2015-09-05,1,Oregon,,Eastern Washington,W,1,6,6.0,0,bralon-addison-1
Mark Allen,2015-09-05,1,Penn State,@,Temple,L,4,33,8.3,0,mark-allen-5
Sherman Alston,2015-09-05,1,Boston College,,Maine,W,3,35,11.7,0,sherman-alston-1
Robby Anderson,2015-09-05,1,Temple,,Penn State,W,4,37,9.3,0,robby-anderson-1
Demarcus Ayers,2015-09-05,1,Houston,,Tennessee Tech,W,3,25,8.3,0,demarcus-ayers-1
Alvin Bailey,2015-09-05,1,Florida,,New Mexico State,W,1,0,0.0,0,alvin-bailey-2
Cameron Batson,2015-09-05,1,Texas Tech,,Sam Houston State,W,3,18,6.0,0,cameron-batson-1
Ed'Marques Batties,2015-09-05,1,Middle Tennessee State,,Jackson State,W,3,10,3.3,0,edmarques-batties-1
Bobo Beathard,2015-09-05,1,Appalachian State,,Howard,W,1,2,2.0,0,bobo-beathard-1
