Player,Date,G,School,Loc,Opponent,WL,Rec,Rec Yards,Rec Avg,Rec TD,unique_id
Josh Adams,2010-09-02,1,Wake Forest,,Presbyterian,W,1,2,2.0,0,josh-adams-1
Garrett Andrews,2010-09-02,1,Middle Tennessee State,,Minnesota,L,4,33,8.3,0,garrett-andrews-1
Matt Asiata,2010-09-02,1,Utah,,Pittsburgh,W,1,4,4.0,0,matt-asiata-1
David Ausberry,2010-09-02,1,Southern California,@,Hawaii,W,2,55,27.5,1,david-ausberry-1
Joe Avery,2010-09-02,1,Hawaii,,Southern California,L,1,18,18.0,0,joe-avery-1
Kama Bailey,2010-09-02,1,Idaho,,North Dakota,W,2,15,7.5,0,kama-bailey-1
Jonathan Baldwin,2010-09-02,1,Pittsburgh,@,Utah,L,4,71,17.8,1,jonathan-baldwin-1
Ryan Balentine,2010-09-02,1,Southern Mississippi,@,South Carolina,L,3,18,6.0,0,ryan-balentine-1
Mike Ball,2010-09-02,1,Nevada,,Eastern Washington,W,3,22,7.3,0,mike-ball-1
D.J. Banks,2010-09-02,1,Tulane,,Southeastern Louisiana,W,7,65,9.3,0,dj-banks-1
Jason Barnes,2010-09-02,1,South Carolina,,Southern Mississippi,W,1,16,16.0,0,jason-barnes-2
Damarlo Belcher,2010-09-02,1,Indiana,,Towson,W,7,92,13.1,1,damarlo-belcher-1
Travis Benjamin,2010-09-02,1,Miami (FL),,Florida A&M,W,1,11,11.0,0,travis-benjamin-1
Duane Bennett,2010-09-02,1,Minnesota,@,Middle Tennessee State,W,3,8,2.7,0,duane-bennett-1
Damien Berry,2010-09-02,1,Miami (FL),,Florida A&M,W,1,32,32.0,1,damien-berry-1
Malcolm Beyah,2010-09-02,1,Middle Tennessee State,,Minnesota,L,3,65,21.7,0,malcolm-beyah-1
David Blackburn,2010-09-02,1,Central Michigan,,Hampton,W,1,12,12.0,0,david-blackburn-1
Kelvin Bolden,2010-09-02,1,Southern Mississippi,@,South Carolina,L,3,39,13.0,0,kelvin-bolden-1
Ted Bolser,2010-09-02,1,Indiana,,Towson,W,4,68,17.0,1,ted-bolser-1
Andre Booker,2010-09-02,1,Marshall,@,Ohio State,L,1,4,4.0,0,andre-booker-1
Daniel Borne,2010-09-02,1,Alabama-Birmingham,,Florida Atlantic,L,1,15,15.0,1,daniel-borne-1
Anthony Bowman,2010-09-02,1,Kent State,,Murray State,W,1,17,17.0,0,anthony-bowman-1
Rodney Bradley,2010-09-02,1,Hawaii,,Southern California,L,5,31,6.2,0,rodney-bradley-1
Taylor Bradley,2010-09-02,1,Central Michigan,,Hampton,W,4,23,5.8,0,taylor-bradley-1
Jereme Brooks,2010-09-02,1,Utah,,Pittsburgh,W,5,87,17.4,2,jereme-brooks-1
Justin Brooks,2010-09-02,1,Alabama-Birmingham,,Florida Atlantic,L,2,19,9.5,0,justin-brooks-2
Corey Brown,2010-09-02,1,Ohio State,,Marshall,W,1,2,2.0,0,corey-brown-2
David Brown,2010-09-02,1,Ball State,,Southeast Missouri State,W,1,6,6.0,0,david-brown-2
Deandre Brown,2010-09-02,1,Southern Mississippi,@,South Carolina,L,4,65,16.3,1,deandre-brown-1
Devon Brown,2010-09-02,1,Wake Forest,,Presbyterian,W,1,9,9.0,0,devon-brown-1
Jamar Brown,2010-09-02,1,Middle Tennessee State,,Minnesota,L,2,17,8.5,0,jamar-brown-1
Otis Brown,2010-09-02,1,Ball State,,Southeast Missouri State,W,4,30,7.5,0,otis-brown-1
Trea Burgess,2010-09-02,1,Indiana,,Towson,W,1,13,13.0,0,trea-burgess-1
Brice Butler,2010-09-02,1,Southern California,@,Hawaii,W,1,9,9.0,0,brice-butler-1
Laron Byrd,2010-09-02,1,Miami (FL),,Florida A&M,W,2,14,7.0,0,laron-byrd-1
Jordan Cameron,2010-09-02,1,Southern California,@,Hawaii,W,1,11,11.0,0,jordan-cameron-1
Michael Campanaro,2010-09-02,1,Wake Forest,,Presbyterian,W,1,5,5.0,0,michael-campanaro-1
Paul Carrezola,2010-09-02,1,Rutgers,,Norfolk State,W,1,6,6.0,0,paul-carrezola-1
Brandon Carswell,2010-09-02,1,Southern California,@,Hawaii,W,1,15,15.0,0,brandon-carswell-1
Jamonne Chester,2010-09-02,1,Indiana,,Towson,W,2,13,6.5,0,jamonne-chester-1
Devonte Christopher,2010-09-02,1,Utah,,Pittsburgh,W,8,155,19.4,1,devonte-christopher-1
Willie Clark,2010-09-02,1,Northern Illinois,@,Iowa State,L,2,35,17.5,0,willie-clark-1
Eduardo Clements,2010-09-02,1,Miami (FL),,Florida A&M,W,1,9,9.0,0,eduardo-clements-1
Graig Cooper,2010-09-02,1,Miami (FL),,Florida A&M,W,2,13,6.5,0,graig-cooper-1
Paris Cotton,2010-09-02,1,Central Michigan,,Hampton,W,3,31,10.3,0,paris-cotton-1
Landon Cox,2010-09-02,1,Northern Illinois,@,Iowa State,L,1,0,0.0,0,landon-cox-1
Mike Cruz,2010-09-02,1,Pittsburgh,@,Utah,L,3,21,7.0,0,mike-cruz-1
Darius Darks,2010-09-02,1,Iowa State,,Northern Illinois,W,6,52,8.7,0,darius-darks-1
Preston Davis,2010-09-02,1,Idaho,,North Dakota,W,2,24,12.0,0,preston-davis-1
Terence Davis,2010-09-02,1,Wake Forest,,Presbyterian,W,3,12,4.0,0,terence-davis-1
Patrick Dimarco,2010-09-02,1,South Carolina,,Southern Mississippi,W,1,1,1.0,0,patrick-dimarco-1
Aaron Dobson,2010-09-02,1,Marshall,@,Ohio State,L,3,34,11.3,0,aaron-dobson-1
Richard Drake,2010-09-02,1,Middle Tennessee State,,Minnesota,L,1,21,21.0,0,richard-drake-1
Courtney Edmonson,2010-09-02,1,Marshall,@,Ohio State,L,1,26,26.0,0,courtney-edmonson-1
Rhett Ellison,2010-09-02,1,Southern California,@,Hawaii,W,3,34,11.3,1,rhett-ellison-1
Demetrius Evans,2010-09-02,1,Marshall,@,Ohio State,L,1,20,20.0,0,demetrius-evans-1
Troy Evans,2010-09-02,1,Marshall,@,Ohio State,L,2,2,1.0,0,troy-evans-2
Chris Fields,2010-09-02,1,Ohio State,,Marshall,W,1,3,3.0,0,chris-fields-1
V.J. Floyd,2010-09-02,1,Southern Mississippi,@,South Carolina,L,3,13,4.3,0,vj-floyd-1
Willie Floyd,2010-09-02,1,Florida Atlantic,@,Alabama-Birmingham,W,1,43,43.0,1,willie-floyd-1
Cameron Ford,2010-09-02,1,Wake Forest,,Presbyterian,W,1,4,4.0,0,cameron-ford-1
Frantrell Forrest,2010-09-02,1,Alabama-Birmingham,,Florida Atlantic,L,1,10,10.0,0,frantrell-forrest-1
Collin Franklin,2010-09-02,1,Iowa State,,Northern Illinois,W,5,75,15.0,0,collin-franklin-1
Torieal Gibson,2010-09-02,1,Ball State,,Southeast Missouri State,W,1,12,12.0,0,torieal-gibson-1
Chris Gilbert,2010-09-02,1,Kent State,,Murray State,W,1,2,2.0,0,chris-gilbert-2
Tyshon Goode,2010-09-02,1,Kent State,,Murray State,W,3,20,6.7,0,tyshon-goode-1
Ryan Grant,2010-09-02,1,Tulane,,Southeastern Louisiana,W,1,6,6.0,0,ryan-grant-2
Marqueis Gray,2010-09-02,1,Minnesota,@,Middle Tennessee State,W,1,22,22.0,0,marqueis-gray-1
Alex Green,2010-09-02,1,Hawaii,,Southern California,L,1,4,4.0,0,alex-green-2
Virgil Green,2010-09-02,1,Nevada,,Eastern Washington,W,7,144,20.6,2,virgil-green-1
Eric Greenwood,2010-09-02,1,Idaho,,North Dakota,W,4,41,10.3,1,eric-greenwood-1
Tori Gurley,2010-09-02,1,South Carolina,,Southern Mississippi,W,4,12,3.0,0,tori-gurley-1
Jordan Hall,2010-09-02,1,Ohio State,,Marshall,W,1,13,13.0,0,jordan-hall-1
Leonard Hankerson,2010-09-02,1,Miami (FL),,Florida A&M,W,6,115,19.2,2,leonard-hankerson-1
Ryan Hanks,2010-09-02,1,Southern Mississippi,@,South Carolina,L,1,8,8.0,0,ryan-hanks-1
Daniel Hardy,2010-09-02,1,Idaho,,North Dakota,W,4,82,20.5,0,daniel-hardy-1
Jerry Harris,2010-09-02,1,Central Michigan,,Hampton,W,2,27,13.5,0,jerry-harris-1
Mark Harrison,2010-09-02,1,Rutgers,,Norfolk State,W,1,5,5.0,0,mark-harrison-1
Stanley Havili,2010-09-02,1,Southern California,@,Hawaii,W,1,49,49.0,0,stanley-havili-1
Justin Hernandez,2010-09-02,1,Idaho,,North Dakota,W,1,17,17.0,0,justin-hernandez-1
Dan Herron,2010-09-02,1,Ohio State,,Marshall,W,1,9,9.0,0,dan-herron-1
