Player,Date,G,School,Loc,Opponent,WL,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Pass Int,QBR,unique_id
Chevan Cordeiro,2019-08-24,1,Hawaii,,Arizona,W,5,7,71.4,58,1,0,188.2,chevan-cordeiro-1
Deejay Dallas,2019-08-24,1,Miami (FL),N,Florida,L,0,1,0.0,0,0,0,0.0,deejay-dallas-1
Feleipe Franks,2019-08-24,1,Florida,N,Miami (FL),W,17,27,63.0,254,2,2,151.6,feleipe-franks-1
Cole McDonald,2019-08-24,1,Hawaii,,Arizona,W,29,41,70.7,378,4,4,160.9,cole-mcdonald-1
Khalil Tate,2019-08-24,1,Arizona,@,Hawaii,L,22,39,56.4,361,3,2,149.3,khalil-tate-1
Jarren Williams,2019-08-24,1,Miami (FL),N,Florida,L,19,29,65.5,214,1,0,138.9,jarren-williams-1
Woody Barrett,2019-08-29,1,Kent State,@,Arizona State,L,9,16,56.3,83,1,0,120.5,woody-barrett-2
Mike Beaudry,2019-08-29,1,Connecticut,,Wagner,W,14,21,66.7,158,0,1,120.3,mike-beaudry-1
Chase Brice,2019-08-29,1,Clemson,,Georgia Tech,W,5,7,71.4,53,1,0,182.2,chase-brice-1
Zach Calzada,2019-08-29,1,Texas A&M,,Texas State,W,4,9,44.4,38,0,0,79.9,zach-calzada-1
Dustin Crum,2019-08-29,1,Kent State,@,Arizona State,L,3,8,37.5,-3,0,0,34.4,dustin-crum-1
Jayden Daniels,2019-08-29,1,Arizona State,,Kent State,W,15,24,62.5,284,2,0,189.4,jayden-daniels-1
Quinten Dormady,2019-08-29,1,Central Michigan,,Albany,W,27,37,73.0,285,3,0,164.4,quinten-dormady-1
Steven Duncan,2019-08-29,1,Western Kentucky,,Central Arkansas,L,26,39,66.7,304,1,2,130.3,steven-duncan-1
Dillon Gabriel,2019-08-29,1,Central Florida,,Florida A&M,W,9,13,69.2,127,3,0,227.4,dillon-gabriel-1
James Graham,2019-08-29,1,Georgia Tech,@,Clemson,L,4,7,57.1,72,1,0,190.7,james-graham-1
Keon Howard,2019-08-29,1,Tulane,,Florida International,W,1,1,100.0,-4,0,0,66.4,keon-howard-1
Tyler Huntley,2019-08-29,1,Utah,@,Brigham Young,W,13,16,81.3,106,0,0,136.9,tyler-huntley-1
Gresch Jensen,2019-08-29,1,Texas State,@,Texas A&M,L,20,31,64.5,160,1,2,105.6,gresch-jensen-1
Lucas Johnson,2019-08-29,1,Georgia Tech,@,Clemson,L,0,2,0.0,0,0,0,0.0,lucas-johnson-2
Tyler Johnston III,2019-08-29,1,Alabama-Birmingham,,Alabama State,W,8,19,42.1,114,1,0,109.9,tyler-johnston-iii-1
Quadry Jones,2019-08-29,1,Central Florida,,Florida A&M,W,2,2,100.0,61,1,0,521.2,quadry-jones-1
Brett Kean,2019-08-29,1,UNC Charlotte,,Gardner-Webb,W,4,8,50.0,50,1,2,93.8,brett-kean-1
Trevor Lawrence,2019-08-29,1,Clemson,,Georgia Tech,W,13,23,56.5,168,1,2,114.8,trevor-lawrence-1
Josh Love,2019-08-29,1,San Jose State,,Northern Colorado,W,21,31,67.7,224,2,0,149.7,josh-love-1
Grant Loy,2019-08-29,1,Bowling Green State,,Morgan State,W,3,5,60.0,41,1,0,194.9,grant-loy-1
Justin McMillan,2019-08-29,1,Tulane,,Florida International,W,14,18,77.8,199,2,0,207.3,justin-mcmillan-1
Kellen Mond,2019-08-29,1,Texas A&M,,Texas State,W,19,27,70.4,194,3,1,160.0,kellen-mond-1
James Morgan,2019-08-29,1,Florida International,@,Tulane,L,19,34,55.9,208,1,1,111.1,james-morgan-1
Tanner Morgan,2019-08-29,1,Minnesota,,South Dakota State,W,13,18,72.2,176,1,1,161.6,tanner-morgan-2
Matt Myers,2019-08-29,1,Buffalo,,,W,5,10,50.0,69,2,0,174.0,matt-myers-2
