Player,Date,G,School,Loc,Opponent,WL,Tackle Solo,Tackle Assist,Tackle Tot,Tackle For Loss,Sack,unique_id
Al Afalava,2006-08-31,1,Oregon State,,Eastern Washington,W,3,0,3,0.0,0.0,al-afalava-1
Jesse Ainsworth,2006-08-31,1,Arizona State,,Northern Arizona,W,1,0,1,0.0,0.0,jesse-ainsworth-1
Kevin Akins,2006-08-31,1,Boston College,@,Central Michigan,W,3,0,3,0.0,0.0,kevin-akins-1
Gerald Alexander,2006-08-31,1,Boise State,,Sacramento State,W,1,0,1,0.0,0.0,gerald-alexander-1
Josh Alexander,2006-08-31,1,Louisiana-Monroe,,Alcorn State,W,1,0,1,0.0,0.0,josh-alexander-1
Kedrick Alexander,2006-08-31,1,Tulsa,,Stephen F. Austin,W,1,1,2,1.0,0.0,kedrick-alexander-1
Chris Allen,2006-08-31,1,Ball State,,Eastern Michigan,W,1,4,5,0.0,0.0,chris-allen-1
John Allen,2006-08-31,1,Toledo,@,Iowa State,L,0,1,1,0.0,0.0,john-allen-1
Neel Allen,2006-08-31,1,Minnesota,@,Kent State,W,1,2,3,1.5,1.0,neel-allen-1
Russell Allen,2006-08-31,1,San Diego State,,Texas-El Paso,L,4,0,4,2.0,0.0,russell-allen-1
Mike Alston,2006-08-31,1,Toledo,@,Iowa State,L,4,4,8,1.5,1.0,mike-alston-1
Braxton Amy,2006-08-31,1,Texas-El Paso,@,San Diego State,W,1,0,1,0.0,0.0,braxton-amy-1
Larry Anam,2006-08-31,1,Boston College,@,Central Michigan,W,3,3,6,0.0,0.0,larry-anam-1
Chris Anderson,2006-08-31,1,Middle Tennessee State,,Florida International,W,1,0,1,0.0,0.0,chris-anderson-4
Deon Anderson,2006-08-31,1,Connecticut,,Rhode Island,W,1,0,1,0.0,0.0,deon-anderson-1
Paul Anderson,2006-08-31,1,Boston College,@,Central Michigan,W,1,0,1,0.0,0.0,paul-anderson-1
Malcolm Arrington,2006-08-31,1,Northwestern,@,Miami (OH),W,1,0,1,0.0,0.0,malcolm-arrington-1
Walter Atkins,2006-08-31,1,Toledo,@,Iowa State,L,2,0,2,0.0,0.0,walter-atkins-1
Alfonso Auelua,2006-08-31,1,Texas-El Paso,@,San Diego State,W,1,1,2,1.0,0.0,alfonso-auelua-1
Leyon Azubuike,2006-08-31,1,Temple,@,Buffalo,L,2,0,2,0.0,0.0,leyon-azubuike-1
Jonathan Bailes,2006-08-31,1,San Diego State,,Texas-El Paso,L,1,2,3,0.0,0.0,jonathan-bailes-1
Donny Baker,2006-08-31,1,San Diego State,,Texas-El Paso,L,1,0,1,1.0,0.0,donny-baker-1
Chris Baloney,2006-08-31,1,Arizona State,,Northern Arizona,W,2,0,2,0.0,0.0,chris-baloney-1
Terry Baltimore,2006-08-31,1,Connecticut,,Rhode Island,W,2,0,2,0.0,0.0,terry-baltimore-1
Yvan Banag,2006-08-31,1,South Carolina,@,Mississippi State,W,1,1,2,0.0,0.0,yvan-banag-1
Jon Banks,2006-08-31,1,Iowa State,,Toledo,W,3,1,4,0.0,0.0,jon-banks-1
Terrance Banks,2006-08-31,1,Temple,@,Buffalo,L,1,1,2,0.0,0.0,terrance-banks-1
Trumaine Banks,2006-08-31,1,Minnesota,@,Kent State,W,1,0,1,0.0,0.0,trumaine-banks-1
Dominique Barber,2006-08-31,1,Minnesota,@,Kent State,W,4,2,6,0.0,0.0,dominique-barber-1
Gonzalo Barinaga,2006-08-31,1,Ball State,,Eastern Michigan,W,0,1,1,0.0,0.0,gonzalo-barinaga-1
Antwan Barnes,2006-08-31,1,Florida International,@,Middle Tennessee State,L,5,0,5,4.0,4.0,antwan-barnes-1
Ray Bass,2006-08-31,1,San Diego State,,Texas-El Paso,L,2,0,2,0.0,0.0,ray-bass-1
Deante Battle,2006-08-31,1,Northwestern,@,Miami (OH),W,1,1,2,0.0,0.0,deante-battle-1
Ryan Baum,2006-08-31,1,Iowa State,,Toledo,W,1,0,1,0.0,0.0,ryan-baum-1
Dan Bazuin,2006-08-31,1,Central Michigan,,Boston College,L,2,3,5,1.0,0.0,dan-bazuin-1
Josh Bean,2006-08-31,1,Boise State,,Sacramento State,W,1,2,3,0.0,0.0,josh-bean-1
J.P. Bekasiak,2006-08-31,1,Toledo,@,Iowa State,L,1,0,1,0.0,0.0,jp-bekasiak-1
Fred Bennett,2006-08-31,1,South Carolina,@,Mississippi State,W,1,1,2,0.0,0.0,fred-bennett-1
Caleb Berg,2006-08-31,1,Iowa State,,Toledo,W,5,2,7,0.0,0.0,caleb-berg-1
Alex Bernard,2006-08-31,1,New Mexico State,,Southeastern Louisiana,W,1,2,3,1.0,1.0,alex-bernard-1
