Player,Date,G,School,Loc,Opponent,WL,Kick Ret,Kick Ret Yds,Kick Ret Avg,Kick Ret TD,unique_id
Justin Amaral,2006-08-31,1,San Diego State,,Texas-El Paso,L,3,37,12.3,0,justin-amaral-1
Shawn Bayes,2006-08-31,1,Kent State,,Minnesota,L,6,98,16.3,0,shawn-bayes-1
Andre Bratton,2006-08-31,1,Miami (OH),,Northwestern,L,3,53,17.7,0,andre-bratton-1
Steve Brouse,2006-08-31,1,Connecticut,,Rhode Island,W,1,11,11.0,0,steve-brouse-1
Tyler Campbell,2006-08-31,1,San Diego State,,Texas-El Paso,L,3,47,15.7,0,tyler-campbell-3
Obed Cetoute,2006-08-31,1,Central Michigan,,Boston College,L,1,8,8.0,0,obed-cetoute-1
Richard Davis,2006-08-31,1,Toledo,@,Iowa State,L,3,81,27.0,0,richard-davis-1
Calvin Dawson,2006-08-31,1,Louisiana-Monroe,,Alcorn State,W,2,45,22.5,0,calvin-dawson-1
John Ellis,2006-08-31,1,Florida International,@,Middle Tennessee State,L,1,12,12.0,0,john-ellis-1
Coye Francies,2006-08-31,1,Oregon State,,Eastern Washington,W,1,25,25.0,0,coye-francies-1
Tonny Glynn,2006-08-31,1,New Mexico State,,Southeastern Louisiana,W,1,19,19.0,0,tonny-glynn-1
Jason Harper,2006-08-31,1,Temple,@,Buffalo,L,2,31,15.5,0,jason-harper-1
A.J. Harris,2006-08-31,1,New Mexico State,,Southeastern Louisiana,W,1,1,1.0,0,aj-harris-1
Johnnie Lee Higgins Jr.,2006-08-31,1,Texas-El Paso,@,San Diego State,W,4,85,21.3,0,johnnie-lee-higgins-jr-1
Jemmy Jasmin,2006-08-31,1,Central Michigan,,Boston College,L,3,40,13.3,0,jemmy-jasmin-1
Donnie Johnson,2006-08-31,1,Tulsa,,Stephen F. Austin,W,1,13,13.0,0,donnie-johnson-2
Ryan Kock,2006-08-31,1,Iowa State,,Toledo,W,1,14,14.0,0,ryan-kock-1
Dante Love,2006-08-31,1,Ball State,,Eastern Michigan,W,2,48,24.0,0,dante-love-1
Sherrick McManis,2006-08-31,1,Northwestern,@,Miami (OH),W,2,36,18.0,0,sherrick-mcmanis-1
Demarco McNair,2006-08-31,1,Middle Tennessee State,,Florida International,W,1,20,20.0,0,demarco-mcnair-1
Slade Norris,2006-08-31,1,Oregon State,,Eastern Washington,W,1,15,15.0,0,slade-norris-1
Steve Odom,2006-08-31,1,Toledo,@,Iowa State,L,1,18,18.0,0,steve-odom-1
Derek Pegues,2006-08-31,1,Mississippi State,,South Carolina,L,2,47,23.5,0,derek-pegues-1
Gary Rice,2006-08-31,1,Buffalo,,Temple,W,2,31,15.5,0,gary-rice-1
Trumaine Riley,2006-08-31,1,Eastern Michigan,@,Ball State,L,6,110,18.3,0,trumaine-riley-1
Jason Sieman,2006-08-31,1,Ball State,,Eastern Michigan,W,1,7,7.0,0,jason-sieman-1
Courtney Tennial,2006-08-31,1,Tulsa,,Stephen F. Austin,W,1,22,22.0,0,courtney-tennial-1
Dejuan Tribble,2006-08-31,1,Boston College,@,Central Michigan,W,5,88,17.6,0,dejuan-tribble-1
John Whiddon,2006-08-31,1,Florida International,@,Middle Tennessee State,L,1,19,19.0,0,john-whiddon-1
Drenard Williams,2006-08-31,1,Iowa State,,Toledo,W,2,35,17.5,0,drenard-williams-1
Joe Fernandez,2006-09-01,1,Fresno State,,Nevada,W,3,75,25.0,0,joe-fernandez-1
Robert Hubbard,2006-09-01,1,Nevada,@,Fresno State,L,1,21,21.0,0,robert-hubbard-1
Dwayne Sanders,2006-09-01,1,Nevada,@,Fresno State,L,1,16,16.0,0,dwayne-sanders-1
Joshua Abrams,2006-09-02,1,Ohio,,Tennessee-Martin,W,1,46,46.0,0,joshua-abrams-1
Asher Allen,2006-09-02,1,Georgia,,Western Kentucky,W,1,35,35.0,0,asher-allen-1
Anthony Alridge,2006-09-02,1,Houston,@,Rice,W,3,105,35.0,0,anthony-alridge-1
Rick Amos,2006-09-02,1,Navy,,East Carolina,W,1,16,16.0,0,rick-amos-1
Brandon Anderson,2006-09-02,1,Akron,@,Penn State,L,1,22,22.0,0,brandon-anderson-1
Javier Arenas,2006-09-02,1,Alabama,,Hawaii,W,4,87,21.8,0,javier-arenas-1
Donnie Avery,2006-09-02,1,Houston,@,Rice,W,1,0,0.0,0,donnie-avery-1
Paul Baker,2006-09-02,1,New Mexico,,Portland State,L,1,17,17.0,0,paul-baker-1
Lance Bennett,2006-09-02,1,Indiana,,Western Michigan,W,2,18,9.0,0,lance-bennett-1
Darrell Blackman,2006-09-02,1,North Carolina State,,Appalachian State,W,3,85,28.3,0,darrell-blackman-1
Steve Breaston,2006-09-02,1,Michigan,,Vanderbilt,W,1,16,16.0,0,steve-breaston-1
Curtis Brinkley,2006-09-02,1,Syracuse,@,Wake Forest,L,2,37,18.5,0,curtis-brinkley-1
John Broussard,2006-09-02,1,San Jose State,@,Washington,L,1,35,35.0,0,john-broussard-1
Curtis Brown,2006-09-02,1,Brigham Young,@,Arizona,L,1,19,19.0,0,curtis-brown-3
Thomas Brown,2006-09-02,1,Georgia,,Western Kentucky,W,1,32,32.0,0,thomas-brown-1
Weldon Brown,2006-09-02,1,Louisiana Tech,@,Nebraska,L,4,85,21.3,0,weldon-brown-1
Reggie Campbell,2006-09-02,1,Navy,,East Carolina,W,1,34,34.0,0,reggie-campbell-1
Brent Casteel,2006-09-02,1,Utah,@,UCLA,L,4,60,15.0,0,brent-casteel-1
