Player,Date,G,School,Loc,Opponent,WL,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Pass Int,QBR,unique_id
Beau Pierce,2003-08-23,1,San Jose State,,Grambling State,W,3,4,75.0,14,0,0,104.4,beau-pierce-1
Scott Rislov,2003-08-23,1,San Jose State,,Grambling State,W,24,37,64.9,321,1,0,146.7,scott-rislov-1
Ell Roberson,2003-08-23,1,Kansas State,,California,W,9,18,50.0,205,3,0,200.7,ell-roberson-1
Reggie Robertson,2003-08-23,1,California,@,Kansas State,L,16,29,55.2,257,3,1,156.9,reggie-robertson-1
Aaron Rodgers,2003-08-23,1,California,@,Kansas State,L,9,13,69.2,121,1,0,172.8,aaron-rodgers-1
Derek Anderson,2003-08-28,1,Oregon State,,Sacramento State,W,17,35,48.6,273,2,0,132.9,derek-anderson-1
Reggie Ball,2003-08-28,1,Georgia Tech,@,Brigham Young,L,15,24,62.5,147,0,1,105.6,reggie-ball-1
John Beck,2003-08-28,1,Brigham Young,,Georgia Tech,W,0,1,0.0,0,0,1,-200.0,john-beck-1
Brock Berlin,2003-08-28,1,Miami (FL),@,Louisiana Tech,W,14,28,50.0,203,2,1,127.3,brock-berlin-1
Matt Berry,2003-08-28,1,Brigham Young,,Georgia Tech,W,31,46,67.4,276,3,1,135.0,matt-berry-1
Maxie Causey,2003-08-28,1,Louisiana Tech,,Miami (FL),L,3,8,37.5,51,0,0,91.1,maxie-causey-1
Travis Cox,2003-08-28,1,Utah State,@,Utah,L,19,41,46.3,280,1,1,106.9,travis-cox-1
Joshua Cribbs,2003-08-28,1,Kent State,@,Akron,W,25,43,58.1,340,3,1,142.9,joshua-cribbs-1
Jeff Crooks,2003-08-28,1,Eastern Michigan,,East Tennessee State,W,5,9,55.6,43,0,0,95.7,jeff-crooks-1
Derrick Crudup,2003-08-28,1,Miami (FL),@,Louisiana Tech,W,4,7,57.1,72,0,0,143.5,derrick-crudup-1
Brett Elliott,2003-08-28,1,Utah,,Utah State,W,11,19,57.9,94,1,2,95.8,brett-elliott-1
Charlie Frye,2003-08-28,1,Akron,,Kent State,L,36,46,78.3,407,3,0,174.1,charlie-frye-1
Josh Haldi,2003-08-28,1,Northern Illinois,,Maryland,W,21,35,60.0,266,2,1,137.0,josh-haldi-1
Josh Harris,2003-08-28,1,Bowling Green State,,Eastern Kentucky,W,18,26,69.2,265,2,1,172.5,josh-harris-2
Ryan Hawk,2003-08-28,1,Ohio,,Southeast Missouri State,W,1,2,50.0,32,1,0,349.4,ryan-hawk-1
Talmadge Hill,2003-08-28,1,Ball State,,Indiana State,W,0,2,0.0,0,0,0,0.0,talmadge-hill-1
Andrico Hines,2003-08-28,1,Middle Tennessee State,,Florida Atlantic,L,19,34,55.9,160,1,0,105.1,andrico-hines-1
Omar Jacobs,2003-08-28,1,Bowling Green State,,Eastern Kentucky,W,8,11,72.7,157,1,0,222.6,omar-jacobs-1
Scott McBrien,2003-08-28,1,Maryland,@,Northern Illinois,L,12,24,50.0,110,0,1,80.2,scott-mcbrien-1
Luke McCown,2003-08-28,1,Louisiana Tech,,Miami (FL),L,16,26,61.5,195,0,2,109.2,luke-mccown-1
Chinedu Okoro,2003-08-28,1,Eastern Michigan,,East Tennessee State,W,10,17,58.8,180,2,1,174.8,chinedu-okoro-1
Fred Ray,2003-08-28,1,Ohio,,Southeast Missouri State,W,9,16,56.3,49,0,0,82.0,fred-ray-1
