coach,last_year_bonus,max_bonus,other_pay,position,school_name,school_pay,total_pay,year
Dan Mullen,390000.0,900000.0,0.0,coach,Mississippi State,4000000.0,4000000,2015
Dan Mullen,0.0,710000.0,0.0,coach,Mississippi State,3000000.0,3000000,2014
Dan Mullen,0.0,650000.0,0.0,coach,Mississippi State,2700000.0,2700000,2013
Dan Mullen,0.0,650000.0,0.0,coach,Mississippi State,2600000.0,2600000,2012
Dan Mullen,0.0,650000.0,0.0,coach,Mississippi State,2500000.0,2500000,2011
Dan Mullen,0.0,0.0,8295.0,coach,Mississippi State,1200000.0,1208295,2010
Dan Mullen,0.0,100000.0,950000.0,coach,Mississippi State,250000.0,1200000,2009
Tom Herman,75000.0,725000.0,0.0,coach,Texas,5500000.0,5500000,2018
Tom Herman,0.0,725000.0,0.0,coach,Texas,5486316.0,5486316,2017
Tom Herman,137500.0,447500.0,3500.0,coach,Houston,3000000.0,3003500,2016
Tom Herman,0.0,447500.0,0.0,coach,Houston,1450000.0,1450000,2015
Tom Herman,0.0,206250.0,0.0,assistant,Ohio State,550000.0,550000,2014
Tom Herman,0.0,206250.0,0.0,assistant,Ohio State,555000.0,555000,2013
Tom Herman,0.0,105000.0,0.0,assistant,Ohio State,426000.0,426000,2012
Tom Herman,0.0,29050.0,2000.0,assistant,Iowa State,350000.0,352000,2011
Tom Herman,0.0,45000.0,1000.0,assistant,Iowa State,300000.0,301000,2010
Tom Herman,0.0,37500.0,0.0,assistant,Iowa State,250000.0,250000,2009
Scott Frost,0.0,950000.0,0.0,coach,Nebraska,5000000.0,5000000,2018
Scott Frost,45000.0,250000.0,0.0,coach,UCF,2000000.0,2000000,2017
Scott Frost,0.0,250000.0,0.0,coach,UCF,1700000.0,1700000,2016
Scott Frost,0.0,375000.0,0.0,assistant,Oregon,755000.0,755000,2015
Scott Frost,0.0,258333.0,0.0,assistant,Oregon,400000.0,400000,2014
Scott Frost,0.0,222528.0,0.0,assistant,Oregon,367584.0,367584,2013
Scott Frost,0.0,191666.0,0.0,assistant,Oregon,202500.0,202500,2012
Scott Frost,0.0,186666.0,5000.0,assistant,Oregon,195000.0,200000,2011
Scott Frost,0.0,285333.0,0.0,assistant,Oregon,145000.0,145000,2010
Scott Frost,0.0,0.0,5000.0,assistant,Oregon,130000.0,135000,2009
Mike Gundy,62500.0,900000.0,0.0,coach,Oklahoma State,5000000.0,5000000,2018
Mike Gundy,62500.0,900000.0,0.0,coach,Oklahoma State,4200000.0,4200000,2017
Mike Gundy,100000.0,550000.0,0.0,coach,Oklahoma State,3775000.0,3775000,2016
Mike Gundy,62500.0,550000.0,0.0,coach,Oklahoma State,3650000.0,3650000,2015
Mike Gundy,0.0,550000.0,0.0,coach,Oklahoma State,3500000.0,3500000,2014
Mike Gundy,0.0,550000.0,0.0,coach,Oklahoma State,3450000.0,3450000,2013
Mike Gundy,0.0,550000.0,0.0,coach,Oklahoma State,3275000.0,3275000,2012
Mike Gundy,0.0,500000.0,0.0,coach,Oklahoma State,2100000.0,2100000,2011
Mike Gundy,0.0,500000.0,0.0,coach,Oklahoma State,1925000.0,1925000,2010
Mike Gundy,0.0,500000.0,1425000.0,coach,Oklahoma State,375000.0,1800000,2009
Mike Gundy,0.0,684000.0,675000.0,coach,Oklahoma State,275000.0,950000,2007
Mike Gundy,0.0,684000.0,550000.0,coach,Oklahoma State,250000.0,800000,2006
Willie Taggart,0.0,1475000.0,0.0,coach,Florida State,5000000.0,5000000,2018
Willie Taggart,0.0,1825000.0,0.0,coach,Oregon,2900000.0,2900000,2017
Willie Taggart,25000.0,900000.0,4000.0,coach,South Florida,1700000.0,1704000,2016
Willie Taggart,0.0,650000.0,2500.0,coach,South Florida,1150000.0,1152500,2015
Willie Taggart,0.0,650000.0,32000.0,coach,South Florida,1150000.0,1182000,2014
Willie Taggart,0.0,650000.0,0.0,coach,South Florida,1807745.0,1807745,2013
Willie Taggart,0.0,168750.0,4800.0,coach,Western Kentucky,475000.0,479800,2012
Willie Taggart,0.0,144750.0,0.0,coach,Western Kentucky,225000.0,225000,2011
Willie Taggart,0.0,144750.0,0.0,coach,Western Kentucky,225000.0,225000,2010
Willie Taggart,0.0,0.0,0.0,assistant,Stanford,0.0,0,2009
Lovie Smith,50000.0,1000000.0,0.0,coach,Illinois,5000000.0,5000000,2018
Lovie Smith,75000.0,1000000.0,0.0,coach,Illinois,3000000.0,3000000,2017
Lovie Smith,0.0,1000000.0,0.0,coach,Illinois,1809179.0,1809179,2016
Gary Patterson,0.0,0.0,0.0,coach,TCU,4840717.0,4840717,2018
Gary Patterson,0.0,0.0,0.0,coach,TCU,5104077.0,5104077,2017
Gary Patterson,0.0,0.0,0.0,coach,TCU,4014723.0,4014723,2016
Gary Patterson,0.0,0.0,0.0,coach,TCU,3940026.0,3940026,2015
