School,Conf,Coach,School Pay,Total Pay,Max Bonus,Bonuses Paid (2016-17),Asst Pay Total,School Buyout AS OF 12/1/17
Western Michigan,MAC,Tim Lester,800000,800000,322000,,,1000000
Western Kentucky,C-USA,Mike Sanford Jr.,800000,800000,400000,,,1266667
Rice,C-USA,David Bailiff,772883,772883,,,,
Marshall,C-USA,Doc Holliday,762570,762570,145000,25000,,2707208
Arkansas State,Sun Belt,Blake Anderson,750000,750000,185000,50000,,500000
Louisiana Tech,C-USA,Skip Holtz,700000,704000,395000,50000,,3208333
Toledo,MAC,Jason Candle,700000,700950,615000,57500,,1985417
Appalachian State,Sun Belt,Scott Satterfield,675000,675000,270000,155000,,1735417
Texas State,Sun Belt,Everett Withers,675000,675000,68750,0,,1120161
Old Dominion,C-USA,Bobby Wilder,650000,650000,504506,10000,,1500000
UAB,C-USA,Bill Clark,630000,630000,685000,,,1575000
Charlotte,C-USA,Brad Lambert,625000,625000,120000,0,,813184
Northern Illinois,MAC,Rod Carey,623000,623000,205000,17500,,952000
UNLV,Mt. West,Tony Sanchez,600000,600000,260000,30000,,1250000
San Jose State,Mt. West,Brent Brennan,581916,581916,210000,,,2036706
South Alabama,Sun Belt,Joey Jones,535260,565260,183869,42704,,164420
Georgia State,Sun Belt,Shawn Elliott,565000,565000,220000,,,1500000
Central Michigan,MAC,John Bonamego,545640,545640,330000,35500,,400000
Georgia Southern,Sun Belt,Tyson Summers,530000,530000,292500,0,,
Ohio,MAC,Frank Solich,522715,522715,331930,35386,,296167
Miami (OH),MAC,Chuck Martin,522300,522300,548162,51643,,609350
UTEP,C-USA,Sean Kugler,515332,515332,493776,24611,,
Southern Miss,C-USA,Jay Hopson,500000,500000,867500,15000,,1041667
Massachusetts,Ind.,Mark Whipple,472654,472904,255000,0,,304903
Nevada,Mt. West,Jay Norvell,450000,450000,210000,,,1000000
Idaho,Sun Belt,Paul Petrino,446214,446214,225000,70000,,1314160
Eastern Michigan,MAC,Chris Creighton,442420,442420,395000,35000,,950000
Ball State,MAC,Mike Neu,431375,436375,370000,0,,1401969
Bowling Green,MAC,Mike Jinks,428655,428655,245000,25000,,1285965
Kent State,MAC,Paul Haynes,414030,414030,173000,1000,,168600
Akron,MAC,Terry Bowden,411000,412500,225000,5000,,994500
Buffalo,MAC,Lance Leipold,405500,405500,380000,0,,787792
Hawaii,Mt. West,Nick Rolovich,400008,402102,1260000,60000,,725004
Coastal Carolina,Sun Belt,Joe Moglia,400000,400000,525000,,,725003
Louisiana-Monroe,Sun Belt,Matt Viator,390000,390000,50000,0,,204167
New Mexico State,Sun Belt,Doug Martin,376044,376044,135000,0,,30337
Miami (FL),ACC,Mark Richt,,,,,,
Air Force,Mt. West,Troy Calhoun,,,,,,
USC,Pac-12,Clay Helton,,,,,,
Temple,AAC,Geoff Collins,,,,,,
Syracuse,ACC,Dino Babers,,,,,,
Tulane,AAC,Willie Fritz,,,,,,
Brigham Young,Ind.,Kalani Sitake,,,,,,
Baylor,Big 12,Matt Rhule,,,,,,
Army,Ind.,Jeff Monken,,,,,,
