School,Conf,Coach,School Pay,Total Pay,Max Bonus,Asst Pay Total,School Buyout AS OF 12/1/17
Michigan,Big Ten,Jay Harbaugh,200000,200000,33333,4308750,
Houston,AAC,Corby Meekins,200000,200000,34000,2419000,
UCF,AAC,Mario Verduzco,200000,200000,0,2130000,
Arizona State,Pac-12,T.J. Rushing,200000,200000,82334,3255000,
West Virginia,Big 12,Blue Adams,200000,200000,72500,2686025,
Iowa,Big Ten,Bell Kelvin,200000,200000,0,3610000,
Appalachian State,Sun Belt,Nate Woody,200000,200000,25000,1023903,
Arizona State,Pac-12,John Simon,200000,200000,82334,3255000,
Virginia Tech,ACC,Zohn Burden,200000,200000,0,3359000,
South Carolina,SEC,Pat Washington,200000,200000,115000,3952400,
Iowa State,Big 12,D.K. McDonald,200000,200000,16600,2318250,
South Carolina,SEC,Mike Peterson,200000,200000,115000,3952400,
Akron,MAC,Chuck Amato,199920,199920,39987,919220,
South Florida,AAC,David Reaves,195000,196500,0,1911500,
Air Force,Mt. West,Ron Vanderlinden,194000,194000,,1618000,
East Carolina,AAC,Rick Smith,190000,192500,20833,1701500,
Troy,Sun Belt,Jon Sumrall,191900,191900,23988,1194400,
UTSA,C-USA,Pete Golding,190000,190000,0,1055000,
Iowa State,Big 12,Tyson Veidt,190000,190000,15770,2318250,
Colorado State,Mt. West,Ricky Logo,188330,188330,41944,1845555,
Memphis,AAC,Joe Lorig,188000,188000,15667,2149500,
UNLV,Mt. West,John Garrison,186750,186750,15563,1400000,
UTEP,C-USA,Spencer Leftwich,184850,185850,71617,1201860,
Colorado,Pac-12,Charles Clark,184519,185219,35364,2661601,
Boise State,Mt. West,Gabe Franklin,185016,185016,16251,2052597,
Rutgers,Big Ten,Jafar Williams,185000,185000,15417,2340000,
Maryland,Big Ten,Anthony Tucker,185000,185000,55000,2907500,
Rutgers,Big Ten,Zak Kuhr,185000,185000,15417,2340000,
Houston,AAC,Darrell Wyatt,185000,185000,31450,2419000,
Oregon State,Pac-12,Cory Hall,184171,184171,72777,2736691,
San Jose State,Mt. West,Al Borges,184008,184008,3000,1094796,
Houston,AAC,Jason Washington,184000,184000,31280,2419000,
Air Force,Mt. West,Tim Cross,182000,182000,,1618000,
Utah State,Mt. West,Luke Wells,178500,181800,14875,1441200,
Utah State,Mt. West,Kendrick Shaver,178500,181300,14875,1441200,
Arizona,Pac-12,Vincent Amey,180000,181000,15000,2834900,
Utah State,Mt. West,Jovon Bouknight,178500,180500,14875,1441200,
Nevada,Mt. West,Scott Boone,180285,180285,7512,1277821,
South Florida,AAC,Shaun King,180000,180000,0,1911500,
Charlotte,C-USA,Matt Wallerstedt,180000,180000,9000,954000,
East Carolina,AAC,Phil McGeoghan,180000,180000,20000,1701500,
Charlotte,C-USA,Jeff Mullen,180000,180000,9000,954000,
Cincinnati,AAC,Kenny Ingram,180000,180000,30000,2140000,
Texas Tech,Big 12,Emmett Jones,180000,180000,15000,2247900,
San Diego State,Mt. West,Tony White,177228,179728,87842,1594448,
San Diego State,Mt. West,Danny Gonzales,177228,178728,87842,1594448,
Nevada,Mt. West,Tim Cramsey,178500,178500,7438,1277821,
Memphis,AAC,Dan Lanning,178500,178500,14875,2149500,
Utah State,Mt. West,Mike Canales,178500,178500,14875,1441200,
Louisville,ACC,Kolby Smith,175000,177000,0,3839500,
UNLV,Mt. West,Andy LaRussa,176750,176750,14729,1400000,
Georgia State,Sun Belt,Jesse Minter,174320,176320,0,1049750,
Indiana,Big Ten,Brandon Shelby,176099,176099,62777,2751661,
Colorado,Pac-12,Darian Hagan,175625,175625,33654,2661601,
Georgia Southern,Sun Belt,Lorenzo Costantini,175000,175000,0,1010000,
West Virginia,Big 12,Joe Wickline,175000,175000,72500,2686025,
UTSA,C-USA,Jason Rollins,175000,175000,0,1055000,
Cincinnati,AAC,Blake Rolan,175000,175000,22500,2140000,
Memphis,AAC,David Johnson,175000,175000,14583,2149500,
Virginia,ACC,Marques Hagans,175000,175000,43750,3030000,
Texas Tech,Big 12,DeShaun Foster,175000,175000,14580,2247900,
West Virginia,Big 12,Mark Scott,175000,175000,72500,2686025,
West Virginia,Big 12,Tyron Carrier,175000,175000,72500,2686025,
Iowa State,Big 12,Bryan Gasser,175000,175000,14525,2318250,
Old Dominion,C-USA,Rich Nagy,169903,172873,0,1090666,
Troy,Sun Belt,Matt Moore,171700,171700,21463,1194400,
Wyoming,Mt. West,Curt Mallory,165000,170250,13750,1289782,
Kansas,Big 12,Jason Phillips,170000,170000,0,2300599,
Maryland,Big Ten,Aazaar Abdul-Rahim,170000,170000,55000,2907500,
New Mexico,Mt. West,Saga Tuitele,170000,170000,0,1439460,
East Carolina,AAC,Geep Wade,170000,170000,19167,1701500,
Kansas,Big 12,Michael Slater,170000,170000,0,2300599,
Northern Illinois,MAC,Kevin Kane,170000,170000,37333,921018,
Charlotte,C-USA,Dean Hood,169000,169000,8450,954000,
Air Force,Mt. West,Ben Miller,169000,169000,,1618000,
Michigan,Big Ten,Brian Smith,168750,168750,25000,4308750,
North Carolina,ACC,Keith Heckendorf,167475,167475,27913,2598400,
San Diego State,Mt. West,Mike Schmidt,165468,166968,82079,1594448,
Texas Tech,Big 12,Karl Scott,165000,165000,13750,2247900,
Georgia Southern,Sun Belt,Rance Gillespie,165000,165000,0,1010000,
Fresno State,Mt. West,Pete Germano,161716,164666,0,1019258,
San Jose State,Mt. West,Ron English,164004,164004,3000,1094796,
Wyoming,Mt. West,Scott Fuchs,160008,163008,13334,1289782,
Northern Illinois,MAC,Mike Uremovich,163008,163008,36168,921018,
Memphis,AAC,Marcus Woodson,163000,163000,13583,2149500,
New Mexico,Mt. West,Charles McMillian,161450,161450,0,1439460,
New Mexico,Mt. West,Al Simmons,160000,161450,0,1439460,
Georgia State,Sun Belt,Jeff Jagodzinski,160000,161000,0,1049750,
Ball State,MAC,Tim Daoust,160000,160950,0,954700,
Ball State,MAC,Kyle Devan,160000,160650,0,954700,
Toledo,MAC,Brian George,160000,160000,1500,944000,
North Texas,C-USA,Troy Reffett,160000,160000,13333,1245000,
Louisiana-Lafayette,Sun Belt,Jorge Munoz,160000,160000,0,989800,
Virginia,ACC,Shane Hunter,160000,160000,37500,3030000,
Houston,AAC,Kenith Pope,158000,158000,26860,2419000,
Colorado State,Mt. West,Alvis Whitted,157790,157790,36854,1845555,
Air Force,Mt. West,Steed Lobotzke,157000,157000,,1618000,
Florida International,C-USA,Steve Shankweiler,155823,156623,12500,1005823,
Old Dominion,C-USA,Ron Whitcomb,135000,155470,0,1090666,
Maryland,Big Ten,Matt Barnes,155000,155000,55000,2907500,
Florida Atlantic,C-USA,Roc Bellantoni,150000,154950,5000,956200,
Idaho,Sun Belt,Kris Cinkovich,152672,153772,0,995385,
San Diego State,Mt. West,Hunkie Cooper,150000,153250,74500,1594448,
Nevada,Mt. West,Jonathan Himebauch,153000,153000,6376,1277821,
Nevada,Mt. West,Lester Erb,153000,153000,6376,1277821,
Old Dominion,C-USA,Jeff Commissiong,150000,152970,0,1090666,
Arkansas State,Sun Belt,Allen Rudolph,150000,152800,12500,1278700,
San Jose State,Mt. West,Barry Sacks,152208,152208,0,1094796,
Louisville,ACC,Cort Dennison,150000,152000,0,3839500,
Louisville,ACC,Nick Petrino,150000,151500,0,3839500,
San Diego State,Mt. West,Blane Morgan,150000,151500,74500,1594448,
Marshall,C-USA,Alex Mirabal,150000,151450,25000,1182914,
Colorado State,Mt. West,Jamie Bryant,151350,151350,35780,1845555,
Central Michigan,MAC,Greg Colby,150985,151285,0,940108,
Army,Ind.,John Loose,151000,151000,30000,2185759,
Army,Ind.,Sean Saturnio,151000,151000,30000,2185759,
Army,Ind.,Kevin Corless,151000,151000,30000,2185759,
Army,Ind.,Daryl Dixon,151000,151000,30000,2185759,
Army,Ind.,Chad Wilt,151000,151000,30000,2185759,
Wyoming,Mt. West,Pete Kaligis,145008,150258,12084,1289782,
South Florida,AAC,John Jancek,150000,150000,0,1911500,
New Mexico,Mt. West,Stan Eggen,150000,150000,0,1439460,
Louisiana Tech,C-USA,Todd Fitch,150000,150000,12500,1175000,
Connecticut,AAC,Erik Campbell,150000,150000,46153,1893802,
New Mexico State,Sun Belt,Frank Spaziani,150000,150000,0,707608,
Fresno State,Mt. West,Nick Toth,150000,150000,24000,1019258,
Kansas,Big 12,Tony Hull,150000,150000,0,2300599,
Louisiana-Monroe,Sun Belt,Mike Collins,150000,150000,0,930000,
Florida Atlantic,C-USA,Travis Trickett,150000,150000,5000,956200,
Georgia Southern,Sun Belt,David Dean,150000,150000,0,1010000,
Louisiana-Monroe,Sun Belt,Matt Kubik,150000,150000,0,930000,
North Texas,C-USA,Brad Davis,150000,150000,12500,1245000,
Georgia State,Sun Belt,Luke Huard,147200,149200,0,1049750,
Colorado State,Mt. West,Bryan Applewhite,147610,147610,35158,1845555,
Colorado State,Mt. West,Terry Fair,147610,147610,35158,1845555,
Miami (OH),MAC,George Barnett,147088,147088,0,897288,
Eastern Michigan,MAC,Kalen DeBoer,147087,147087,0,889245,
New Mexico,Mt. West,Apollo Wright,146750,146950,0,1439460,
Kent State,MAC,Don Treadwell,146676,146676,0,733900,
Toledo,MAC,Brian Wright,146000,146000,0,944000,
Louisiana-Lafayette,Sun Belt,Reed Stringer,145600,145600,0,989800,
Cincinnati,AAC,Ty Linder,145000,145000,20833,2140000,
Troy,Sun Belt,Kenny Edenfield,145000,145000,18125,1194400,
Georgia Southern,Sun Belt,Allen Mogridge,145000,145000,0,1010000,
South Alabama,Sun Belt,Kane Wommack,145000,145000,0,1120062,
Eastern Michigan,MAC,Neal Neathery,144854,144854,0,889245,
Akron,MAC,Todd Stroud,142400,142400,27067,919220,
Arkansas State,Sun Belt,Trooper Taylor,140000,141500,11667,1278700,
Georgia State,Sun Belt,Harold Etheridge,138550,140550,0,1049750,
Wisconsin,Big Ten,Mickey Turner,139800,140500,54522,2862520,
Louisiana-Lafayette,Sun Belt,Mitch Rodrigue,140400,140400,0,989800,
UCF,AAC,Ryan Held,140000,140000,0,2130000,
UCF,AAC,Travis Fisher,140000,140000,0,2130000,
East Carolina,AAC,Shannon Moore,140000,140000,16667,1701500,
Texas State,Sun Belt,Randall McCray,140000,140000,0,925000,
Ball State,MAC,Joey Lynch,140000,140000,0,954700,
Rutgers,Big Ten,Aaron Henry,140000,140000,11667,2340000,
Nevada,Mt. West,Mike Bradeson,139735,139735,5822,1277821,
Nevada,Mt. West,Bill Teerlinck,139077,139577,5794,1277821,
Bowling Green,MAC,Perry Eliano,138375,138375,0,830300,
Miami (OH),MAC,Matt Pawlowski,136000,136200,0,897288,
Army,Ind.,Keith Gaither,136000,136000,30000,2185759,
Ohio,MAC,Jimmy Burrow,135406,135406,0,920307,
Ohio,MAC,Tim Albin,135406,135406,0,920307,
Central Michigan,MAC,Morris Watts,134493,135093,0,940108,
Boise State,Mt. West,Lee Marks,135013,135013,13751,2052597,
Texas State,Sun Belt,Brett Ellliott,135000,135000,0,925000,
Air Force,Mt. West,John Rudzinski,135000,135000,,1618000,
Army,Ind.,Tucker Waugh,134813,134813,30000,2185759,
Louisiana Tech,C-USA,Rick Petri,133000,133000,10417,1175000,
Louisiana Tech,C-USA,Robert McFarland,133000,133000,10417,1175000,
Louisiana Tech,C-USA,Joe Sloan,133000,133000,10417,1175000,
Louisiana Tech,C-USA,Tim Rattay,133000,133000,10417,1175000,
Idaho,Sun Belt,Michael Breske,132600,132600,0,995385,
UTEP,C-USA,Cornell Jackson,131529,132529,53843,1201860,
Miami (OH),MAC,Eric Koehler,132500,132500,0,897288,
South Florida,AAC,Donte Pimpleton,130000,130000,0,1911500,
UCF,AAC,Mike Dawson,130000,130000,0,2130000,
New Mexico,Mt. West,Scott Baumgartner,128125,129760,0,1439460,
Utah State,Mt. West,Steve Farmer,127500,127500,10625,1441200,
Utah State,Mt. West,David Kotulski,127500,127500,10625,1441200,
Utah State,Mt. West,Stacy Collins,127500,127500,10625,1441200,
South Alabama,Sun Belt,Brian Turner,123844,127344,14730,1120062,
Appalachian State,Sun Belt,Dale Jones,126947,126947,26000,1023903,
San Diego State,Mt. West,Zach Arnett,125004,126504,62252,1594448,
Florida International,C-USA,Ron Cooper,126250,126250,12500,1005823,
UNLV,Mt. West,Jamie Christian,126250,126250,10521,1400000,
UTEP,C-USA,Brian Natkin,125211,126211,51737,1201860,
Army,Ind.,Mike Viti,126000,126000,30000,2185759,
San Diego State,Mt. West,Ernie Lawson,125004,125004,62252,1594448,
Southern Miss,C-USA,Tony Pecoraro,125000,125000,10417,900500,
Appalachian State,Sun Belt,Shawn Clark,125000,125000,26417,1023903,
Southern Miss,C-USA,Dan Disch,125000,125000,10417,900500,
Nevada,Mt. West,Ricky Thomas,123624,124124,5152,1277821,
Georgia State,Sun Belt,Tim Lappano,122000,124000,0,1049750,
UNLV,Mt. West,Cedric Cormier,123650,123650,10304,1400000,
Buffalo,MAC,Brian Borland,122900,122900,40968,927911,
Buffalo,MAC,Andy Kotelnicki,122900,122900,40968,927911,
Arkansas State,Sun Belt,Luke Paschall,120000,121500,10000,1278700,
UNLV,Mt. West,Ron O'Dell,121200,121200,10100,1400000,
UNLV,Mt. West,J.D. Williams,121200,121200,10100,1400000,
Southern Miss,C-USA,John Wozniak,120000,120500,10000,900500,
Georgia State,Sun Belt,P.J. Volker,117780,120280,0,1049750,
Louisiana-Lafayette,Sun Belt,Mike Lucas,120000,120000,0,989800,
UNLV,Mt. West,Tony Samuel,120000,120000,10000,1400000,
Texas State,Sun Belt,John Wiley,120000,120000,0,925000,
Florida International,C-USA,Kirk Doll,120000,120000,10000,1005823,
Western Kentucky,C-USA,Mike Cassity,115008,119508,0,1005036,
Middle Tennessee,C-USA,Steve Ellis,115296,118296,14412,1257257,
Fresno State,Mt. West,Eric Kiesau,115596,117096,0,1019258,
Fresno State,Mt. West,Mark Weber,115596,117096,0,1019258,
Middle Tennessee,C-USA,David Bibee,113961,116961,14245,1257257,
Ohio,MAC,Scott Isphording,116773,116773,0,920307,
Marshall,C-USA,Adam Fuller,115500,116200,19250,1182914,
North Texas,C-USA,Tommy Perry,115000,115000,9583,1245000,
Texas State,Sun Belt,Ron Antoine,115000,115000,0,925000,
Massachusetts,Ind.,Mike Foley,115000,115000,16667,854284,
Massachusetts,Ind.,Mark Michaels,101460,113460,15955,854284,
Connecticut,AAC,David Corley,113210,113210,34833,1893802,
Connecticut,AAC,Josh Reardon,113210,113210,34833,1893802,
Old Dominion,C-USA,Kermit Buggs,110000,112970,0,1090666,
Appalachian State,Sun Belt,Scot Sloan,112913,112913,26000,1023903,
Arkansas State,Sun Belt,Brian Early,110000,111500,9167,1278700,
Arkansas State,Sun Belt,Dan Dodd,110000,111500,9167,1278700,
Arkansas State,Sun Belt,Allen Johnson,110000,111500,9167,1278700,
Army,Ind.,ShaDon Brown,111000,111000,30000,2185759,
Florida International,C-USA,Kort Shankweiler,109620,110420,12500,1005823,
Florida International,C-USA,Jason Brooks,109530,110330,12500,1005823,
East Carolina,AAC,Antonio King,110000,110000,14167,1701500,
UCLA,Pac-12,Scott White,110000,110000,100000,3955000,
Southern Miss,C-USA,Tim Billings,110000,110000,9167,900500,
Southern Miss,C-USA,Jack Wright,110000,110000,9167,900500,
Army,Ind.,Bob Bodine,109973,109973,30000,2185759,
South Alabama,Sun Belt,Richard Owens,106800,109800,8400,1120062,
Wyoming,Mt. West,Mike Bath,105000,109250,8750,1289782,
Fresno State,Mt. West,Jordan Peterson,100008,109008,0,1019258,
San Jose State,Mt. West,Adam Stenavich,108780,108780,0,1094796,
Wyoming,Mt. West,AJ Cooper,105000,108250,8750,1289782,
Middle Tennessee,C-USA,Rick Mallory,105000,108000,13125,1257257,
San Jose State,Mt. West,Dan Ferrigno,107968,107968,0,1094796,
Nevada,Mt. West,Cheston Blackshear,107100,107600,4462,1277821,
Toledo,MAC,Mike Ward,107000,107000,0,944000,
South Alabama,Sun Belt,Tyler Siskey,106800,106800,8400,1120062,
Ohio,MAC,Ron Collins,105092,105092,0,920307,
Wyoming,Mt. West,Mike Grant,105000,105000,8750,1289782,
Appalachian State,Sun Belt,Frank Ponce,105000,105000,26000,1023903,
Texas State,Sun Belt,Adrian Mayes,105000,105000,0,925000,
Western Kentucky,C-USA,Don Dunn,100008,104508,0,1005036,
South Alabama,Sun Belt,Chase Smith,100733,104233,11842,1120062,
Florida Atlantic,C-USA,Terrance Jamison,100000,104050,2500,956200,
San Jose State,Mt. West,Phil Earley,104004,104004,0,1094796,
Western Michigan,MAC,Rob Wenger,102000,103200,5000,1225320,
UTEP,C-USA,Andrew Browning,102000,103000,44000,1201860,
South Alabama,Sun Belt,Tim Bowens,99966,102966,7831,1120062,
Arkansas State,Sun Belt,Norval McKenzie,100000,102800,8333,1278700,
Toledo,MAC,Marquel Blackwell,102500,102500,0,944000,
South Alabama,Sun Belt,Mike Adams,99280,102280,7773,1120062,
Utah State,Mt. West,Julius Brown,102000,102000,8500,1441200,
Nevada,Mt. West,Marc Nudelberg,102000,102000,4250,1277821,
Western Michigan,MAC,Brian Callahan,100000,101200,7500,1225320,
Old Dominion,C-USA,Charles Bankins,100000,100000,0,1090666,
Southern Miss,C-USA,Lytrel Pollard,100000,100000,8333,900500,
Louisiana-Lafayette,Sun Belt,Melvin Smith,100000,100000,0,989800,
Louisiana-Monroe,Sun Belt,Scott Stoker,100000,100000,0,930000,
Western Michigan,MAC,Jimmy Williams,100000,100000,5000,1225320,
UTSA,C-USA,Ricky Brumfield,100000,100000,0,1055000,
Cincinnati,AAC,Mike Gillhamer,100000,100000,16667,2140000,
Louisiana Tech,C-USA,Kevin Curtis,100000,100000,8333,1175000,
Georgia Southern,Sun Belt,Chad Lunsford,100000,100000,0,1010000,
New Mexico State,Sun Belt,Andy Richman,100000,100000,0,707608,
Louisiana-Monroe,Sun Belt,Rob Sale,100000,100000,0,930000,
Louisiana-Monroe,Sun Belt,Tim Leger,100000,100000,0,930000,
Toledo,MAC,Mike Hallett,100000,100000,0,944000,
Louisiana Tech,C-USA,Mickey Joseph,100000,100000,8333,1175000,
Florida Atlantic,C-USA,Garin Justice,100000,100000,2500,956200,
North Texas,C-USA,Joel Filani,100000,100000,8333,1245000,
Cincinnati,AAC,Nick Grimes,100000,100000,16667,2140000,
Louisiana-Monroe,Sun Belt,Manny Michel,100000,100000,0,930000,
East Carolina,AAC,Ryan Anderson,100000,100000,13333,1701500,
Florida International,C-USA,Greg Moss,99000,99150,12500,1005823,
Louisiana-Lafayette,Sun Belt,Marquase Lovings,98800,98800,0,989800,
Central Michigan,MAC,Mose Rison,98385,98385,0,940108,
Northern Illinois,MAC,Brett Diersen,97004,98004,25167,921018,
Florida International,C-USA,Paul Volero,98000,98000,12500,1005823,
Buffalo,MAC,Chris Simpson,97400,97400,32467,927911,
Bowling Green,MAC,Andy Pardon,97375,97375,0,830300,
Bowling Green,MAC,Kevin Kilmer,97375,97375,0,830300,
Western Michigan,MAC,David Duggan,97000,97000,5000,1225320,
Kent State,MAC,Rob Zeitman,96900,96900,0,733900,
Akron,MAC,Jeff Bowden,96900,96900,22817,919220,
Akron,MAC,A.J. Milwee,96800,96800,21967,919220,
Marshall,C-USA,J.C. Price,94500,96200,15750,1182914,
Western Michigan,MAC,Matthew Simon,95000,96200,5000,1225320,
Marshall,C-USA,Sean Cronin,94500,96200,15750,1182914,
Ball State,MAC,John Curtis,95000,96150,0,954700,
Central Michigan,MAC,Mike Dietzel,95478,95878,0,940108,
Central Michigan,MAC,Derek Frazier,95478,95478,0,940108,
Appalachian State,Sun Belt,Stu Holt,95373,95373,26000,1023903,
Western Kentucky,C-USA,Dale Williams,95004,95004,0,1005036,
Northern Illinois,MAC,Joe Tripodi,94002,95002,24667,921018,
South Alabama,Sun Belt,Kelvin Sigler,95000,95000,0,1120062,
Troy,Sun Belt,Al Pogue,95000,95000,11875,1194400,
Northern Illinois,MAC,Kelton Copeland,93000,94000,24500,921018,
Buffalo,MAC,Matt Simon,93871,93871,31291,927911,
San Jose State,Mt. West,Andrew Rolin,92976,93476,3000,1094796,
Central Michigan,MAC,Archie Collins,93285,93385,0,940108,
Florida Atlantic,C-USA,Corey Bell,90000,93300,2500,956200,
Central Michigan,MAC,Gino Guidugli,93285,93285,2500,940108,
Central Michigan,MAC,George Ricumstrict,93285,93285,0,940108,
Florida International,C-USA,Tim Harris Jr.,92000,93050,12500,1005823,
Kent State,MAC,Ben Needham,92879,92879,0,733900,
Troy,Sun Belt,Bam Hardmon,92500,92500,11563,1194400,
Troy,Sun Belt,Sean Reagan,92500,92500,11563,1194400,
Marshall,C-USA,Todd Goebbel,90000,92300,15000,1182914,
Bowling Green,MAC,Stephen Hamby,92250,92250,0,830300,
Eastern Michigan,MAC,Aaron Keen,92214,92214,0,889245,
Florida International,C-USA,Bobby Babich,92000,92000,12500,1005823,
Akron,MAC,Michael Woodford,91800,91800,21967,919220,
Fresno State,Mt. West,David Ungerer,90000,91500,0,1019258,
Fresno State,Mt. West,Joe Bernardi,90000,91500,0,1019258,
Fresno State,Mt. West,Burl Toler,90000,91500,0,1019258,
San Jose State,Mt. West,Will Harris,91452,91452,0,1094796,
New Mexico,Mt. West,Clay Davie,90000,91450,0,1439460,
Western Michigan,MAC,Bill Kenney,90000,91200,7500,1225320,
Ohio,MAC,Jesse Williams,90667,90667,0,920307,
UTEP,C-USA,Don Yanowsky,90000,90000,40000,1201860,
Western Kentucky,C-USA,Reggie Johnson,90000,90000,0,1005036,
Western Michigan,MAC,Kenni Burns,90000,90000,5000,1225320,
Louisiana-Lafayette,Sun Belt,Levorn Harbin,90000,90000,0,989800,
Marshall,C-USA,Dave Dunn,90000,90000,15000,1182914,
Marshall,C-USA,Pepe Pearson,90000,90000,15000,1182914,
Bowling Green,MAC,Marcus White,90000,90000,0,830300,
Akron,MAC,Otis Mounds,90000,90000,20834,919220,
North Texas,C-USA,Derrick LeBlanc,90000,90000,7500,1245000,
Ball State,MAC,Patrick Dougherty,90000,90000,0,954700,
Southern Miss,C-USA,Desmond Lindsey,90000,90000,7500,900500,
Western Kentucky,C-USA,Brian Brohm,90000,90000,0,1005036,
UTEP,C-USA,Theron Aych,90000,90000,40000,1201860,
Florida Atlantic,C-USA,Jared Allen,85500,89800,2500,956200,
Florida Atlantic,C-USA,Chris Hurd,85500,89800,2500,956200,
Ohio,MAC,Brian Haines,89605,89605,0,920307,
Miami (OH),MAC,Bill Brechin,89500,89500,0,897288,
Bowling Green,MAC,Benny Morrison,89175,89175,0,830300,
San Jose State,Mt. West,Arnold Ale,88896,88896,0,1094796,
Eastern Michigan,MAC,Todd Frakes,88833,88833,0,889245,
Eastern Michigan,MAC,Ryan Grubb,88833,88833,0,889245,
Florida Atlantic,C-USA,Dan Shula,85500,88800,2500,956200,
Appalachian State,Sun Belt,Mark Ivey,88750,88750,26000,1023903,
Toledo,MAC,Ross Watson,88000,88000,0,944000,
Miami (OH),MAC,Joe Palcic,88000,88000,0,897288,
Middle Tennessee,C-USA,Tommy West,85000,88000,10625,1257257,
Appalachian State,Sun Belt,Justin Watts,87920,87920,26000,1023903,
Toledo,MAC,Derek Sage,87500,87500,0,944000,
Ohio,MAC,Dave Johnson,87467,87467,0,920307,
Fresno State,Mt. West,Lorenzo Ward,85392,86892,0,1019258,
Colorado State,Mt. West,Joe Cox,85765,85765,24849,1845555,
Florida Atlantic,C-USA,Ben Strickland,85500,85500,2500,956200,
Eastern Michigan,MAC,Herb Haygood,85042,85042,0,889245,
Northern Illinois,MAC,Robert Bostad,85002,85002,23584,921018,
Eastern Michigan,MAC,Chuck Bullough,85000,85000,0,889245,
Ball State,MAC,Alex Bailey,85000,85000,0,954700,
Charlotte,C-USA,Joe Tereshinski,85000,85000,4250,954000,
Charlotte,C-USA,James Adams,85000,85000,4250,954000,
Louisiana Tech,C-USA,Lanier Goethie,85000,85000,7083,1175000,
Charlotte,C-USA,Ulrick Edmonds,85000,85000,4250,954000,
Old Dominion,C-USA,Chris Malone,85000,85000,0,1090666,
Texas State,Sun Belt,Parker Fleming,85000,85000,0,925000,
Toledo,MAC,Cory Robinson,85000,85000,0,944000,
Georgia State,Sun Belt,Eric Lewis,82600,84600,0,1049750,
Buffalo,MAC,Tim Edwards,84140,84140,28048,927911,
Central Michigan,MAC,Sherrone Moore,84034,84034,0,940108,
Ohio,MAC,Dwayne Dixon,83391,83391,0,920307,
Middle Tennessee,C-USA,Mike Polly,80000,83000,10000,1257257,
Massachusetts,Ind.,Spencer Whipple,82338,82438,14362,854284,
Northern Illinois,MAC,Craig Harmon,82002,82002,23334,921018,
Appalachian State,Sun Belt,Bryan Brown,82000,82000,26000,1023903,
Troy,Sun Belt,Cornelius Williams,80800,80800,10100,1194400,
Miami (OH),MAC,John Hauser,80500,80500,0,897288,
Miami (OH),MAC,Corey Brown,80500,80500,0,897288,
Western Kentucky,C-USA,Chris Barclay,80004,80004,0,1005036,
North Texas,C-USA,Nate Brown,80000,80000,6667,1245000,
Middle Tennessee,C-USA,Kez McCorvey,80000,80000,10000,1257257,
Louisiana-Monroe,Sun Belt,Matt Powledge,80000,80000,0,930000,
UTSA,C-USA,Ryan Pugh,80000,80000,0,1055000,
UTSA,C-USA,Jeff Kastl,80000,80000,0,1055000,
Massachusetts,Ind.,Matt Dawson,80000,80000,13750,854284,
Air Force,Mt. West,Jacob Campbell,80000,80000,,1618000,
Louisiana-Lafayette,Sun Belt,Charlie Harbison,80000,80000,0,989800,
Texas State,Sun Belt,Antoine Smith,80000,80000,0,925000,
Georgia Southern,Sun Belt,Jeremy Rowell,80000,80000,0,1010000,
New Mexico State,Sun Belt,Zane Vance,79332,79632,0,707608,
Idaho,Sun Belt,Jason Shumaker,79622,79622,0,995385,
Eastern Michigan,MAC,Fred Reed,79000,79000,0,889245,
Eastern Michigan,MAC,Jay Peterson,78382,78382,0,889245,
Buffalo,MAC,Daryl Agpalsa,77000,77000,25646,927911,
Bowling Green,MAC,Matt Brock,76875,76875,0,830300,
Bowling Green,MAC,Mike Mickens,76875,76875,0,830300,
Massachusetts,Ind.,Charles Walker,76539,76539,13878,854284,
Ohio,MAC,Anthony Perkins,76500,76500,0,920307,
Miami (OH),MAC,Pat Welsh,76000,76000,0,897288,
Ball State,MAC,Keith McKenzie,75000,75650,0,954700,
Ball State,MAC,Chevis Jackson,75000,75650,0,954700,
New Mexico State,Sun Belt,Oliver Soukup,75000,75300,0,707608,
Wyoming,Mt. West,John Richardson,70008,75258,5834,1289782,
Georgia Southern,Sun Belt,Jimmy Lindsey,75000,75000,0,1010000,
Texas State,Sun Belt,Jules Montinar,75000,75000,0,925000,
Louisiana-Monroe,Sun Belt,LaMar Morgan,75000,75000,0,930000,
Louisiana-Monroe,Sun Belt,Alan Ricard,75000,75000,0,930000,
LSU,SEC,Pete Jenkins,75000,75000,0,5781500,
North Texas,C-USA,Tommy Mainord,75000,75000,9375,1245000,
UTSA,C-USA,Everette Sands,75000,75000,0,1055000,
UTSA,C-USA,Eric Henderson,75000,75000,0,1055000,
Kent State,MAC,Dave McMichael,73564,73564,0,733900,
Idaho,Sun Belt,Charley Molnar,72842,73441,0,995385,
Western Kentucky,C-USA,Bryan Ellis,70008,73008,0,1005036,
Troy,Sun Belt,Jordan Lesley,72500,72500,9063,1194400,
Bowling Green,MAC,Seth Doege,72000,72000,0,830300,
Idaho,Sun Belt,Aric Williams,71448,71448,0,995385,
Kent State,MAC,Mark Spencer,71400,71400,0,733900,
Akron,MAC,Trent Boykin,71400,71400,18567,919220,
Ball State,MAC,Kevin Lynch,70000,70650,0,954700,
Kent State,MAC,Hank Poteat,70638,70638,0,733900,
Georgia Southern,Sun Belt,Chris Foster,70000,70000,0,1010000,
Southern Miss,C-USA,Derek NIcholson,70000,70000,5833,900500,
