birthday,career_record,coachID,coach_name,head_shot,school_name,school_record,team_abbr
,,525,Tony Gibson,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/tony_gibson_s.jpg,West Virginia,,WVU
,,2052,Inoke Breckterfield,http://www.gannett-cdn.com/media/None,Wisconsin,,WIS
,,2629,Aric Williams,http://www.gannett-cdn.com/media/None,Idaho,,IDAH
,,2547,Eric Mele,http://www.gannett-cdn.com/media/None,Washington State,,WSU
,,907,Charlie Partridge,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/charlie_partridge_s.jpg,Pittsburgh,,PITT
,,2475,Corey Bell,http://www.gannett-cdn.com/media/None,Florida,,FLA
,,377,Kerry Coombs,http://www.gannett-cdn.com/media/None,Ohio State,,OSU
,,2429,Dale Jones,http://www.gannett-cdn.com/media/None,Appalachian State,,APP
,,3075,Nick Jones,http://www.gannett-cdn.com/media/None,Coastal Carolina,,
,,3066,Kenny Guiton,http://www.gannett-cdn.com/media/None,Houston,,HOU
,,783,Jim Mastro,http://www.gannett-cdn.com/media/None,Washington State,,WSU
,,936,Sam Pittman,http://www.gannett-cdn.com/media/None,Georgia,,UGA
,,3058,Corey Edsall,http://www.gannett-cdn.com/media/None,Connecticut,,UCON
,,1030,Galen Scott,http://www.gannett-cdn.com/media/None,Virginia Tech,,VT
,,778,Demetrice Martin,http://www.gannett-cdn.com/media/None,UCLA,,UCLA
,,1148,Rick Trickett,http://www.gannett-cdn.com/media/None,Florida State,,FSU
,,2494,Chris Barclay,http://www.gannett-cdn.com/media/None,Purdue,,PUR
,,2608,Terry Fair,http://www.gannett-cdn.com/media/None,Colorado State,,CSU
,,2444,Sean Saturnio,http://www.gannett-cdn.com/media/None,Army,,ARMY
,,564,Mark Hagen,http://www.gannett-cdn.com/media/None,Indiana,,IU
,,2042,Ron Antoine,http://www.gannett-cdn.com/media/None,Texas State,,TXST
,,228,Scott Baumgartner,http://www.gannett-cdn.com/media/None,New Mexico,,UNM
,,1124,Bruce Tall,http://www.gannett-cdn.com/media/None,West Virginia,,WVU
,,1088,Joe Speed,http://www.gannett-cdn.com/media/None,Georgia Tech,,GT
,,2915,Zak Hill,http://www.gannett-cdn.com/media/None,Boise State,,BSU
,,2544,Ikaika Malloe,http://www.gannett-cdn.com/media/None,Washington,,WASH
,,415,Ryan Day,http://www.gannett-cdn.com/media/None,Ohio State,,OSU
,,2462,Jeffrey Faris,http://www.gannett-cdn.com/media/None,Duke,,DUKE
,,1114,Mike Summers,http://www.gannett-cdn.com/media/None,Louisville,,LOU
,,1071,Brian Smith,http://www.gannett-cdn.com/media/None,Hawaii,,HAW
,,1463,Justin Frye,http://www.gannett-cdn.com/media/None,Boston College,,BC
,,2782,DeShaun Foster,http://www.gannett-cdn.com/media/None,UCLA,,UCLA
,,1151,Ilaisa Tuiaki,http://www.gannett-cdn.com/media/None,Brigham Young,,BYU
,,2840,Manny Michel,http://www.gannett-cdn.com/media/None,Louisiana-Monroe,,ULM
,,1279,Terrence Samuel,http://www.gannett-cdn.com/media/None,Michigan State,,MSU
,,3118,Charlie Skalaski,http://www.gannett-cdn.com/media/None,Charlotte,,CHA
,,827,Ben Miller,http://www.gannett-cdn.com/media/None,Air Force,,AFA
,,865,Johnny Nansen,http://www.gannett-cdn.com/media/None,USC,,USC
,,1004,Chris Rumph,http://www.gannett-cdn.com/media/None,Florida,,FLA
,,296,Kermit Buggs,http://www.gannett-cdn.com/media/None,Old Dominion,,ODU
,,2917,Marcus White,http://www.gannett-cdn.com/media/None,Bowling Green,,BGSU
,,3100,Kirby Moore,http://www.gannett-cdn.com/media/None,Fresno State,,FRES
,,2332,Telly Lockette,http://www.gannett-cdn.com/media/None,Oregon State,,ORST
,,1437,Archie McDaniel,http://www.gannett-cdn.com/media/None,Southern Methodist,,SMU
,,272,Jim Bridge,http://www.gannett-cdn.com/media/None,Duke,,DUKE
,,2188,Brian Ferentz,http://www.gannett-cdn.com/media/None,Iowa,,IOWA
,,3020,Marty Biagi,http://www.gannett-cdn.com/media/None,North Texas,,UNT
,,2953,Parker Fleming,http://www.gannett-cdn.com/media/None,Texas State,,TXST
,,2780,Joe Jon Finley,http://www.gannett-cdn.com/media/None,Missouri,,MIZZ
,,3126,Eric Thatcher,http://www.gannett-cdn.com/media/None,Florida International,,FIU
,,96,Randy Shannon,http://www.gannett-cdn.com/media/None,Florida,,FLA
,,234,Tim Beck,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/tim_beck_s.jpg,Texas,,TEX
,,2947,Aaron Henry,http://www.gannett-cdn.com/media/None,North Carolina State,,NCST
,,2402,Zach Yenser,http://www.gannett-cdn.com/media/None,Kansas,,KU
,,2469,Chris Simpson,http://www.gannett-cdn.com/media/None,Buffalo,,BUFF
,,2759,Seth Doege,http://www.gannett-cdn.com/media/None,Bowling Green,,BGSU
,,1388,Trent Bray,http://www.gannett-cdn.com/media/None,Nebraska,,NEB
,,2856,Tony Pecoraro,http://www.gannett-cdn.com/media/None,Southern Miss,,USM
,,1430,Pat Washington,http://www.gannett-cdn.com/media/None,South Carolina,,SCAR
,,1396,Brandon Jones,http://www.gannett-cdn.com/media/None,Texas Tech,,TTU
,,2658,Arick Forest,http://www.gannett-cdn.com/media/None,Old Dominion,,ODU
,,2167,Tim Tibesar,http://www.gannett-cdn.com/media/None,Wisconsin,,WIS
,,10,Tim Brewster,http://www.gannett-cdn.com/media/None,Florida State,,FSU
,,2581,Justin Ena,http://www.gannett-cdn.com/media/None,Utah,,UTAH
,,1176,Ed Warinner,http://www.gannett-cdn.com/media/None,Minnesota,,MINN
,,2388,Anthony Tucker,http://www.gannett-cdn.com/media/None,Maryland,,MD
,,1549,Chris Kiffin,http://www.gannett-cdn.com/media/None,Florida Atlantic,,FAU
,,2919,Ed Lamb,http://www.gannett-cdn.com/media/None,Brigham Young,,BYU
,,719,Mo Latimore,http://www.gannett-cdn.com/media/None,Kansas State,,KSU
1970-04-16,,1252,Pete Lembo,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/pete_lembo_s.jpg,Maryland,,MD
,,669,Larry Johnson,http://www.gannett-cdn.com/media/None,Ohio State,,OSU
,,2342,Chris Naeole,http://www.gannett-cdn.com/media/None,Hawaii,,HAW
,,2721,Ephraim Banda,http://www.gannett-cdn.com/media/None,Miami (FL),,MIA
,,534,Chad Glasgow,http://www.gannett-cdn.com/media/None,TCU,,TCU
,,3069,Gary Harrell,http://www.gannett-cdn.com/media/None,Florida Atlantic,,FAU
,,1186,Tucker Waugh,http://www.gannett-cdn.com/media/None,Army,,ARMY
