School,Conf,Coach,School Pay,Total Pay,Max Bonus,Asst Pay Total,School Buyout AS OF 12/1/17
Temple,AAC,Jeremy Scott,,,,,
TCU,Big 12,Don Sommer,,,,,
Tulane,AAC,Kyle Speer,,,,,
Brigham Young,Ind.,Nu'u Tafisi,,,,,
Rice,C-USA,Ryan Tedford,,,,,
Stanford,Pac-12,Shannon Turley,,,,,
USC,Pac-12,Ivan Lewis,,,,,
Vanderbilt,SEC,James Dobson,,,,,
Penn State,Big Ten,Dwight Galt,,,,,
Boston College,ACC,Frank Piraino,,,,,
Baylor,Big 12,Kaz Kazadi,,,,,
Northwestern,Big Ten,Jay Hooten,,,,,
Wake Forest,ACC,Brandon Hourigan,,,,,
Duke,ACC,Noel Durfey,,,,,
Syracuse,ACC,Sean Edinger,,,,,
Miami (FL),ACC,Gus Felder,,,,,
Navy,AAC,Mike Brass,,,,,
Notre Dame,Ind.,Paul Longo,,,,,
Pittsburgh,ACC,Dave Andrews,,,,,
