Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2004-08-28, Indiana State, 44, 31, 160, 33, 18, -999, -999, 2, 1, -999, -999, -999, -999, -999, -999, 0, Miami (OH), 162, 39, 292, 37, 24, -999, -999, 2, 1, -999, -999, -999, -999, -999, -999, 49
2004-08-28, USC, 101, 29, 272, 29, 19, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 24, VT, 141, 34, 153, 29, 14, -999, -999, 1, 1, -999, -999, -999, -999, -999, -999, 13
2004-09-02, UT Martin, 86, 37, 136, 25, 9, -999, -999, 1, 1, -999, -999, -999, -999, -999, -999, 0, W Michigan, 108, 38, 215, 23, 16, -999, -999, 1, 1, -999, -999, -999, -999, -999, -999, 42
2004-09-02, Northwestern, 124, 38, 513, 62, 39, -999, -999, 0, 1, -999, -999, -999, -999, -999, -999, 45, TCU, 157, 36, 368, 38, 20, -999, -999, 1, 1, -999, -999, -999, -999, -999, -999, 48
2004-09-02, Boston College, 205, 43, 135, 23, 12, -999, -999, 1, 1, -999, -999, -999, -999, -999, -999, 19, Ball State, 64, 33, 147, 33, 19, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 11
2004-09-02, Texas A&M, 167, 31, 270, 43, 20, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 21, Utah, 212, 45, 370, 31, 22, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 41
2004-09-02, UTEP, 87, 31, 196, 44, 21, -999, -999, 1, 4, -999, -999, -999, -999, -999, -999, 9, Arizona State, 131, 42, 356, 44, 23, -999, -999, 0, 1, -999, -999, -999, -999, -999, -999, 41
2004-09-02, Buffalo, 225, 48, 174, 44, 19, -999, -999, 1, 2, -999, -999, -999, -999, -999, -999, 34, E Michigan, 248, 52, 91, 20, 11, -999, -999, 4, 0, -999, -999, -999, -999, -999, -999, 37
2004-09-03, Washington St, 31, 31, 240, 38, 24, -999, -999, 1, 2, -999, -999, -999, -999, -999, -999, 21, New Mexico, 186, 43, 229, 31, 16, -999, -999, 1, 3, -999, -999, -999, -999, -999, -999, 17
2004-09-04, South Carolina, 269, 57, 184, 20, 13, -999, -999, 1, 0, -999, -999, -999, -999, -999, -999, 31, Vanderbilt, 36, 22, 270, 38, 24, -999, -999, 2, 2, -999, -999, -999, -999, -999, -999, 6
2004-09-04, FAU, 147, 39, 298, 46, 29, -999, -999, 0, 3, -999, -999, -999, -999, -999, -999, 35, Hawaii, 27, 10, 302, 66, 38, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 28
2004-09-04, Idaho, 121, 33, 91, 29, 13, -999, -999, 1, 1, -999, -999, -999, -999, -999, -999, 7, Boise State, 254, 47, 318, 22, 16, -999, -999, 2, 1, -999, -999, -999, -999, -999, -999, 65
2004-09-04, Miami (OH), 33, 25, 217, 40, 19, -999, -999, 2, 5, -999, -999, -999, -999, -999, -999, 10, Michigan, 115, 40, 159, 28, 16, -999, -999, 0, 1, -999, -999, -999, -999, -999, -999, 43
2004-09-04, W Kentucky, 77, 25, 182, 21, 10, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 13, Kansas State, 306, 60, 196, 21, 14, -999, -999, 1, 0, -999, -999, -999, -999, -999, -999, 27
