Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2015-09-04, UTSA, 193, 50, 332, 45, 25, 10, 114, 1, 1, 29, 19, 8, 3, 2, 2109, 32, Arizona, 163, 38, 229, 36, 22, 8, 76, 1, 0, 25, 14, 7, 3, 1, 1491, 42
2015-09-04, Abil Christian, 34, 29, 213, 45, 30, 6, 40, 0, 2, 15, 17, 5, 4, 2, 2036, 13, Fresno State, 225, 39, 217, 45, 22, 2, 20, 1, 2, 26, 19, 10, 1, 1, 1564, 34
2015-09-04, UNH, 126, 26, 60, 25, 10, 1, 2, 0, 0, 10, 13, 4, 0, 0, 1164, 13, San Jose State, 285, 53, 422, 35, 30, 5, 43, 0, 0, 34, 13, 9, 1, 0, 2426, 43
2015-09-05, Bowling Green, 124, 34, 433, 51, 29, 12, 128, 1, 0, 24, 18, 4, 3, 3, 1569, 30, Tennessee, 399, 64, 205, 23, 15, 4, 40, 0, 0, 29, 16, 9, 0, 0, 2031, 59
2015-09-05, New Mexico St, 72, 23, 128, 28, 14, 1, 9, 0, 1, 8, 12, 1, 3, 2, 1324, 13, Florida, 222, 41, 384, 38, 31, 1, 10, 1, 0, 28, 15, 10, 2, 2, 2276, 61
2015-09-05, Penn State, 80, 28, 103, 25, 11, 6, 42, 0, 1, 9, 13, 2, 1, 0, 1425, 10, Temple, 149, 43, 168, 21, 16, 5, 35, 1, 0, 15, 17, 7, 1, 0, 2175, 27
2015-09-05, Howard, 36, 30, 136, 23, 14, 6, 41, 0, 1, 8, 13, 1, 3, 1, 1450, 0, Appalachian St, 390, 56, 287, 28, 21, 7, 60, 1, 0, 34, 13, 7, 4, 3, 2150, 49
2015-09-05, Missouri State, 18, 30, 107, 25, 15, 5, 58, 3, 0, 10, 14, 2, 0, 0, 1570, 7, Memphis, 317, 60, 202, 21, 16, 9, 92, 0, 0, 27, 14, 9, 1, 1, 2030, 63
2015-09-05, UT Martin, 116, 39, 174, 29, 16, 6, 43, 0, 1, 13, 17, 2, 1, 1, 2169, 3, Ole Miss, 338, 36, 324, 28, 19, 3, 30, 0, 1, 28, 9, 4, 2, 2, 1431, 76
2015-09-05, Kent State, 59, 39, 186, 40, 19, 11, 82, 1, 3, 15, 18, 3, 5, 2, 1881, 3, Illinois, 134, 36, 208, 29, 14, 8, 80, 0, 1, 19, 13, 3, 2, 2, 1719, 52
2015-09-05, FAU, 300, 61, 263, 35, 23, 13, 130, 0, 0, 30, 17, 4, 3, 2, 2221, 44, Tulsa, 194, 51, 424, 35, 21, 4, 26, 2, 2, 31, 18, 9, 2, 2, 1379, 47
2015-09-05, Washington, 29, 22, 150, 35, 20, 5, 32, 0, 1, 11, 14, 4, 0, 0, 1538, 13, Boise State, 185, 53, 152, 27, 17, 7, 66, 1, 1, 21, 18, 8, 2, 1, 2062, 16
2015-09-05, Norfolk State, -3, 23, 199, 29, 18, 8, 51, 0, 1, 10, 14, 4, 0, 0, 1657, 13, Rutgers, 291, 47, 248, 15, 13, 9, 60, 1, 0, 26, 9, 5, 3, 2, 1943, 63
2015-09-05, North Dakota, 276, 54, 153, 23, 13, 6, 56, 0, 0, 23, 17, 9, 1, 0, 2234, 24, Wyoming, 29, 19, 301, 39, 20, 8, 96, 0, 0, 14, 13, 3, 3, 1, 1366, 13
2015-09-05, Stanford, 85, 27, 155, 35, 20, 5, 25, 1, 1, 17, 15, 3, 2, 2, 1688, 6, Northwestern, 225, 54, 105, 25, 12, 5, 57, 0, 0, 17, 22, 12, 1, 1, 1912, 16
2015-09-05, Colgate, 198, 48, 127, 27, 14, 7, 58, 2, 0, 20, 17, 6, 4, 3, 2017, 10, Navy, 371, 47, 67, 6, 3, 3, 34, 1, 0, 19, 9, 3, 1, 1, 1459, 48
2015-09-05, Maine, 7, 20, 84, 29, 12, 5, 41, 0, 1, 8, 13, 3, 0, 0, 1403, 3, Boston College, 204, 49, 155, 25, 14, 5, 35, 0, 0, 21, 18, 9, 1, 1, 2197, 24
2015-09-05, Richmond, 56, 27, 220, 30, 18, 1, 10, 0, 0, 12, 12, 2, 1, 1, 1745, 21, Maryland, 341, 45, 138, 22, 12, 5, 39, 0, 1, 24, 12, 7, 0, 0, 1855, 50
2015-09-05, Bethune-Cookman, 53, 35, 26, 11, 4, 8, 60, 0, 2, 5, 12, 1, 1, 0, 1658, 0, Miami (FL), 195, 26, 184, 31, 17, 4, 30, 1, 0, 20, 11, 3, 2, 2, 1342, 45
2015-09-05, BYU, 132, 26, 379, 46, 28, 4, 30, 0, 1, 21, 14, 3, 4, 2, 1627, 33, Nebraska, 126, 37, 319, 41, 24, 12, 90, 1, 1, 25, 14, 6, 0, 0, 1973, 28
2015-09-05, Florida A&M, 12, 34, 170, 38, 20, 10, 61, 0, 2, 11, 19, 5, 2, 0, 1907, 3, USF, 275, 46, 281, 26, 20, 11, 97, 0, 1, 27, 12, 4, 2, 1, 1693, 51
2015-09-05, McNeese State, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -99, LSU, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -99
