Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2017-11-15, Cent Michigan, 152, 30, 298, 23, 15, 7, 60, 1, 1, 16, 9, 3, 0, 0, 1358, 42, Kent State, 174, 47, 320, 30, 16, 10, 109, 1, 1, 25, 14, 5, 4, 0, 2242, 23
2017-11-15, Ohio, 282, 43, 113, 23, 10, 2, 19, 1, 2, 23, 12, 2, 2, 1, 1786, 34, Akron, 121, 32, 322, 38, 22, 16, 167, 0, 0, 18, 17, 6, 1, 1, 1814, 37
2017-11-16, W Michigan, 110, 44, 211, 27, 15, 3, 35, 1, 0, 17, 17, 8, 1, 0, 1982, 31, N Illinois, 248, 49, 64, 11, 6, 7, 65, 3, 0, 17, 12, 7, 0, 0, 1618, 35
2017-11-15, Ohio, 282, 43, 113, 23, 10, 2, 19, 1, 2, 23, 12, 2, 2, 1, 1786, 34, Akron, 121, 32, 322, 38, 22, 16, 167, 0, 0, 18, 17, 6, 1, 1, 1814, 37
2017-11-15, Cent Michigan, 152, 30, 298, 23, 15, 7, 60, 1, 1, 16, 9, 3, 0, 0, 1358, 42, Kent State, 174, 47, 320, 30, 16, 10, 109, 1, 1, 25, 14, 5, 4, 0, 2242, 23
2017-11-16, Toledo, 389, 53, 248, 20, 14, 8, 74, 0, 0, 32, 9, 5, 2, 0, 2043, 66, Bowling Green, 82, 33, 309, 31, 18, 9, 102, 0, 1, 21, 12, 5, 2, 0, 1557, 37
2017-11-16, E Michigan, 185, 43, 269, 27, 15, 4, 28, 1, 1, 18, 13, 3, 2, 1, 1875, 27, Miami (OH), 141, 38, 251, 32, 22, 11, 75, 1, 1, 19, 14, 6, 1, 0, 1725, 24
2017-11-16, W Michigan, 110, 44, 211, 27, 15, 3, 35, 1, 0, 17, 17, 8, 1, 0, 1982, 31, N Illinois, 248, 49, 64, 11, 6, 7, 65, 3, 0, 17, 12, 7, 0, 0, 1618, 35
2017-11-17, Tulsa, 166, 55, 191, 28, 14, 7, 46, 0, 0, 22, 21, 8, 3, 2, 1995, 20, USF, 279, 45, 142, 28, 11, 6, 60, 1, 1, 21, 15, 6, 0, 0, 1605, 27
2017-11-17, Buffalo, 215, 39, 350, 28, 16, 5, 47, 0, 1, 26, 12, 6, 1, 1, 1837, 40, Ball State, 194, 37, 143, 29, 15, 2, 10, 0, 1, 18, 14, 6, 2, 0, 1763, 24
2017-11-16, Toledo, 389, 53, 248, 20, 14, 8, 74, 0, 0, 32, 9, 5, 2, 0, 2043, 66, Bowling Green, 82, 33, 309, 31, 18, 9, 102, 0, 1, 21, 12, 5, 2, 0, 1557, 37
2017-11-16, E Michigan, 185, 43, 269, 27, 15, 4, 28, 1, 1, 18, 13, 3, 2, 1, 1875, 27, Miami (OH), 141, 38, 251, 32, 22, 11, 75, 1, 1, 19, 14, 6, 1, 0, 1725, 24
2017-11-18, UNLV, 323, 46, 211, 25, 13, 1, 5, 0, 0, 25, 15, 7, 0, 0, 1821, 38, New Mexico, 482, 56, 0, 4, 0, 5, 49, 0, 1, 19, 12, 6, 0, 0, 1779, 35
2017-11-17, Buffalo, 215, 39, 350, 28, 16, 5, 47, 0, 1, 26, 12, 6, 1, 1, 1837, 40, Ball State, 194, 37, 143, 29, 15, 2, 10, 0, 1, 18, 14, 6, 2, 0, 1763, 24
2017-11-18, Mid Tennessee, 137, 33, 294, 46, 27, 5, 68, 1, 0, 27, 16, 6, 0, 0, 1616, 38, W Kentucky, 53, 33, 485, 54, 39, 7, 69, 2, 0, 25, 18, 7, 3, 1, 1984, 41
2017-11-17, Tulsa, 166, 55, 191, 28, 14, 7, 46, 0, 0, 22, 21, 8, 3, 2, 1995, 20, USF, 279, 45, 142, 28, 11, 6, 60, 1, 1, 21, 15, 6, 0, 0, 1605, 27
2017-11-18, San Jose State, 131, 33, 208, 33, 17, 2, 10, 0, 1, 16, 14, 5, 2, 0, 1513, 14, Colorado State, 301, 45, 305, 32, 26, 6, 54, 1, 0, 26, 12, 6, 2, 1, 2087, 42
2017-11-18, Georgia Tech, 277, 47, 82, 14, 3, 5, 63, 0, 1, 15, 12, 6, 2, 0, 1676, 20, Duke, 319, 51, 181, 28, 19, 1, 15, 0, 0, 30, 12, 5, 2, 2, 1924, 43
2017-11-18, Coastal Carolina, 175, 40, 100, 24, 11, 3, 15, 1, 0, 20, 15, 7, 1, 0, 1922, 13, Idaho, 100, 33, 177, 26, 18, 8, 84, 0, 1, 14, 14, 5, 1, 0, 1678, 7
2017-11-18, Minnesota, 139, 38, 43, 11, 2, 2, 18, 2, 3, 7, 11, 1, 0, 0, 1554, 0, Northwestern, 277, 55, 86, 13, 9, 3, 30, 0, 0, 22, 14, 6, 2, 1, 2046, 39
2017-11-18, New Mexico St, 89, 19, 313, 44, 32, 6, 49, 0, 3, 26, 10, 4, 1, 1, 1378, 34, LA-Lafayette, 279, 47, 226, 35, 21, 6, 60, 0, 0, 29, 14, 5, 2, 2, 2222, 47
2017-11-18, Syracuse, 197, 45, 138, 34, 13, 7, 52, 0, 4, 22, 13, 3, 2, 1, 1771, 10, Louisville, 411, 42, 316, 30, 17, 11, 85, 0, 0, 27, 16, 9, 4, 2, 1829, 56
2017-11-18, Oklahoma, 157, 36, 312, 35, 23, 8, 63, 0, 0, 24, 14, 3, 2, 2, 1999, 41, Kansas, 32, 27, 123, 34, 19, 5, 60, 1, 1, 10, 16, 2, 0, 0, 1601, 3
2017-11-19, Utah, 117, 45, 293, 27, 19, 3, 30, 0, 1, 22, 15, 5, 3, 3, 1899, 30, Washington, 123, 32, 354, 35, 26, 2, 10, 0, 0, 23, 12, 6, 2, 1, 1701, 33
2017-11-18, Mid Tennessee, 137, 33, 294, 46, 27, 5, 68, 1, 0, 27, 16, 6, 0, 0, 1616, 38, W Kentucky, 53, 33, 485, 54, 39, 7, 69, 2, 0, 25, 18, 7, 3, 1, 1984, 41
2017-11-19, Air Force, 181, 51, 115, 13, 7, 6, 63, 3, 0, 18, 12, 5, 1, 1, 1834, 19, Boise State, 90, 29, 338, 26, 18, 6, 53, 0, 0, 19, 12, 6, 0, 0, 1766, 44
2017-11-18, UMass, 69, 33, 230, 35, 21, 3, 30, 0, 0, 18, 15, 4, 0, 0, 1900, 16, BYU, 42, 26, 257, 45, 21, 5, 35, 0, 4, 17, 16, 5, 2, 0, 1700, 10
2017-11-18, Kentucky, 124, 37, 138, 23, 12, 2, 30, 0, 1, 17, 13, 4, 2, 1, 1780, 13, Georgia, 381, 44, 123, 14, 9, 7, 59, 0, 1, 25, 8, 4, 0, 0, 1820, 42
2017-11-18, UAB, 3, 18, 177, 20, 14, 3, 15, 2, 2, 8, 7, 1, 0, 0, 1076, 7, Florida, 257, 50, 152, 30, 15, 6, 60, 0, 0, 25, 17, 7, 1, 1, 2524, 36
2017-11-18, Rutgers, 87, 33, 103, 24, 11, 6, 49, 2, 0, 11, 13, 2, 2, 0, 1619, 0, Indiana, 267, 48, 236, 28, 17, 1, 15, 0, 1, 23, 17, 10, 0, 0, 1981, 41
2017-11-18, Purdue, 65, 29, 229, 37, 22, 3, 30, 0, 0, 20, 15, 7, 0, 0, 1577, 24, Iowa, 82, 38, 176, 33, 16, 6, 56, 1, 1, 17, 16, 7, 2, 2, 2023, 15
2017-11-19, Cal, 155, 28, 182, 29, 20, 5, 45, 0, 1, 19, 12, 6, 2, 2, 1591, 14, Stanford, 193, 38, 185, 26, 17, 5, 40, 0, 1, 21, 12, 6, 2, 1, 2009, 17
2017-11-18, Miss St, 195, 48, 153, 23, 12, 4, 47, 2, 0, 19, 17, 8, 3, 2, 2011, 28, Arkansas, 97, 34, 124, 18, 12, 4, 35, 1, 0, 12, 11, 3, 2, 0, 1589, 21
2017-11-19, UCLA, 80, 31, 421, 52, 32, 12, 100, 1, 1, 28, 19, 10, 1, 1, 1818, 23, USC, 153, 41, 264, 28, 17, 11, 115, 0, 1, 24, 10, 2, 2, 1, 1782, 28
2017-11-18, Maryland, 83, 31, 121, 25, 13, 6, 45, 1, 0, 12, 15, 5, 0, 0, 1522, 7, Michigan State, 271, 51, 20, 14, 2, 3, 36, 1, 0, 19, 13, 5, 0, 0, 2078, 17
2017-11-18, South Alabama, 29, 16, 166, 37, 16, 4, 37, 1, 2, 10, 13, 2, 1, 0, 1249, 0, Ga Southern, 356, 68, 227, 17, 11, 5, 45, 0, 0, 26, 16, 7, 3, 2, 2351, 52
2017-11-19, Marshall, 40, 23, 189, 23, 16, 7, 70, 1, 1, 12, 10, 5, 1, 0, 1443, 7, UTSA, 88, 39, 267, 39, 26, 4, 24, 1, 0, 23, 16, 7, 4, 2, 2157, 9
2017-11-19, Missouri, 191, 39, 235, 25, 10, 11, 56, 0, 0, 17, 16, 8, 2, 0, 1473, 45, Vanderbilt, 51, 30, 348, 52, 28, 6, 45, 0, 3, 25, 16, 5, 3, 1, 2127, 17
2017-11-18, Fresno State, 147, 45, 186, 23, 14, 5, 35, 1, 0, 15, 18, 6, 0, 0, 2132, 13, Wyoming, 77, 28, 231, 33, 20, 3, 15, 2, 0, 12, 14, 2, 3, 1, 1468, 7
2017-11-18, Cincinnati, 139, 31, 187, 28, 15, 10, 90, 0, 1, 17, 10, 3, 1, 0, 1579, 20, ECU, 114, 33, 464, 46, 32, 7, 54, 0, 0, 28, 16, 8, 2, 2, 2021, 48
2017-11-18, Mercer, 107, 39, 54, 22, 7, 2, 10, 0, 3, 9, 16, 5, 3, 1, 2088, 0, Alabama, 265, 42, 265, 18, 14, 1, 5, 2, 0, 22, 6, 4, 0, 0, 1512, 56
2017-11-18, UNLV, 323, 46, 211, 25, 13, 1, 5, 0, 0, 25, 15, 7, 0, 0, 1821, 38, New Mexico, 482, 56, 0, 4, 0, 5, 49, 0, 1, 19, 12, 6, 0, 0, 1779, 35
2017-11-18, Texas State, 97, 29, 103, 25, 8, 5, 31, 1, 0, 11, 13, 3, 2, 1, 1233, 12, Arkansas State, 240, 61, 229, 33, 20, 6, 39, 0, 0, 25, 19, 9, 6, 2, 2367, 30
2017-11-18, Nebraska, 67, 26, 399, 41, 26, 9, 89, 0, 0, 21, 15, 5, 1, 1, 1789, 44, Penn State, 263, 35, 346, 39, 26, 5, 39, 1, 0, 32, 12, 8, 0, 0, 1811, 56
2017-11-18, UVA, 55, 28, 384, 37, 28, 6, 40, 2, 1, 18, 13, 4, 3, 0, 1947, 28, Miami (FL), 148, 32, 210, 28, 15, 4, 40, 0, 2, 15, 13, 6, 0, 0, 1653, 44
2017-11-18, Army, 534, 67, 27, 3, 1, 6, 65, 1, 0, 25, 11, 8, 2, 1, 2053, 49, North Texas, 103, 33, 386, 36, 24, 1, 1, 0, 1, 25, 11, 7, 2, 2, 1547, 52
2017-11-18, Charlotte, 142, 38, 96, 25, 9, 5, 55, 0, 2, 14, 16, 5, 2, 1, 1739, 21, Southern Miss, 363, 42, 221, 27, 20, 5, 34, 0, 0, 27, 7, 2, 1, 1, 1861, 66
2017-11-18, Hawaii, 172, 47, 146, 35, 19, 8, 60, 1, 0, 20, 19, 5, 5, 1, 2305, 0, Utah State, 311, 39, 164, 20, 12, 2, 10, 0, 1, 20, 11, 5, 0, 0, 1295, 38
