season,week,date,home_team,home_points,home_code,away_team,away_points,away_code,neutral_site,venue
2011,1,20110901,Louisville,21,18,Murray State,9,205,False,Papa John's Cardinal Stadium
2011,1,20110901,Toledo,58,81,New Hampshire,22,157,False,Glass Bowl
2011,1,20110901,Temple,42,10,Villanova,7,162,False,Lincoln Financial Field
2011,1,20110901,Central Michigan,21,75,South Carolina State,6,181,False,Kelly/Shorts Stadium
2011,1,20110901,Florida Intl,41,53,North Texas,16,57,False,FIU Stadium
2011,1,20110901,Rutgers,48,39,North Carolina Central,0,180,False,High Point Solutions Stadium
2011,1,20110901,Georgia Tech,63,17,Western Carolina,21,234,False,Bobby Dodd Stadium at Historic Grant Field
2011,1,20110901,Memphis,14,6,Mississippi St.,59,114,False,Liberty Bowl Memorial Stadium
2011,1,20110901,Wisconsin,51,40,UNLV,17,92,False,Camp Randall Stadium
2011,1,20110901,Syracuse,36,23,Wake Forest,29,26,False,Carrier Dome
2011,1,20110901,Utah,27,104,Montana State,10,136,False,Rice-Eccles Stadium
2011,1,20110901,Idaho,15,133,Bowling Green,32,73,False,Kibbie Dome
2011,1,20110901,Western Kentucky,3,64,Kentucky,14,112,True,Nissan Stadium
2011,1,20110901,Arizona St.,48,96,UC Davis,14,142,False,Sun Devil Stadium
2011,1,20110902,Michigan St.,28,32,Youngstown State,6,191,False,Spartan Stadium
2011,1,20110902,Baylor,50,41,TCU,48,47,False,Floyd Casey Stadium
2011,1,20110903,Purdue,27,38,Middle Tennessee,24,56,False,Ross-Ade Stadium
2011,1,20110903,Missouri,17,115,Miami (OH),6,78,False,Faurot Field
2011,1,20110903,Auburn,42,109,Utah St.,38,93,False,Jordan-Hare Stadium
2011,1,20110903,Iowa,34,29,Tennessee Tech,7,208,False,Kinnick Stadium
2011,1,20110903,Penn State,41,37,Indiana State,7,183,False,Beaver Stadium
2011,1,20110903,Connecticut,35,3,Fordham,3,212,False,Rentschler Field
2011,1,20110903,Boston College,17,13,Northwestern,24,35,False,Alumni Stadium
2011,1,20110903,Ohio St.,42,36,Akron,0,71,False,Ohio Stadium
2011,1,20110903,Alabama,48,107,Kent State,7,77,False,Bryant Denny Stadium
2011,1,20110903,Virginia Tech,66,25,Appalachian St.,13,121,False,Lane Stadium
2011,1,20110903,Tulane,47,11,Southeastern Louisiana,33,245,False,Mercedes-Benz Superdome
2011,1,20110903,Air Force,37,83,South Dakota,20,187,False,Falcon Stadium
2011,1,20110903,Navy,40,7,Delaware,17,153,False,Navy-Marine Corps Memorial Stadium
2011,1,20110903,Florida St.,34,16,UL Monroe,0,130,False,Bobby Bowden Field at Doak Campbell Stadium
2011,1,20110903,Nebraska,40,34,Chattanooga,7,227,False,Memorial Stadium
2011,1,20110903,Notre Dame,20,70,South Florida,23,9,False,Notre Dame Stadium
2011,1,20110903,USC,19,103,Minnesota,17,33,False,Los Angeles Memorial Coliseum
2011,1,20110903,Illinois,33,27,Arkansas St.,15,122,False,Memorial Stadium
2011,1,20110903,Houston,38,5,UCLA,34,102,False,Robertson Stadium
2011,1,20110903,Clemson,43,14,Troy,19,129,False,Memorial Stadium
2011,1,20110903,North Carolina,42,21,James Madison,10,155,False,Kenan Memorial Stadium
2011,1,20110903,Michigan,34,31,Western Michigan,10,82,False,Michigan Stadium
2011,1,20110903,Oregon St.,28,100,Sacramento State,29,140,False,Reser Stadium
2011,1,20110903,Ole Miss,13,116,BYU,14,66,False,Vaught-Hemingway Stadium
2011,1,20110903,Washington St.,64,106,Idaho State,21,134,False,Martin Stadium
2011,1,20110903,Stanford,57,101,San Jose St.,3,91,False,Stanford Stadium
2011,1,20110903,Virginia,40,24,William & Mary,3,163,False,Scott Stadium
