season,week,date,home_team,home_points,home_code,away_team,away_points,away_code,neutral_site,venue
2000,1,20000825,Florida St.,29,16,BYU,3,66,False,
2000,1,20000825,Kansas St.,27,44,Iowa,7,29,False,
2000,1,20000825,Louisiana Tech,63,54,Mississippi Valley State,10,253,False,
2000,1,20000825,Texas Tech,24,49,New Mexico,3,89,False,
2000,1,20000826,USC,29,103,Penn State,5,37,False,
2000,2,20000830,Wake Forest,16,26,Appalachian St.,20,121,False,
2000,2,20000830,San Diego St.,7,90,Arizona St.,10,96,False,
2000,2,20000830,Auburn,35,109,Wyoming,21,94,False,
2000,2,20000830,North Texas,7,57,Baylor,20,41,False,
2000,2,20000830,Marshall,63,55,Southeast Missouri,7,206,False,
2000,2,20000830,Miami (FL),61,19,McNeese State,14,241,False,
2000,2,20000830,Northwestern,35,35,Northern Illinois,17,79,False,
2000,2,20000830,Wisconsin,19,40,Western Michigan,7,82,False,
2000,2,20000901,Air Force,55,83,Cal State-Northridge,6,432,False,
2000,2,20000901,Utah,3,104,Arizona,17,95,False,
2000,2,20000901,Arkansas,38,108,Missouri State,0,184,False,
2000,2,20000901,New Mexico,14,89,Boise St.,31,84,False,
2000,2,20000901,Virginia,35,24,BYU,38,66,False,
2000,2,20000901,Clemson,38,14,Citadel,0,228,False,
2000,2,20000901,Colorado St.,28,85,Colorado,24,98,False,
2000,2,20000901,Duke,0,15,East Carolina,38,4,False,
2000,2,20000901,Eastern Michigan,32,76,Connecticut,25,3,False,
2000,2,20000901,Florida,40,110,Ball St.,19,72,False,
2000,2,20000901,Georgia,29,111,Georgia Southern,7,124,False,
2000,2,20000901,Georgia Tech,21,17,Central Florida,17,1,False,
2000,2,20000901,Illinois,35,27,Middle Tennessee,6,56,False,
2000,2,20000901,Iowa St.,25,42,Ohio,15,80,False,
2000,2,20000901,Kansas St.,54,44,Louisiana Tech,10,54,False,
2000,2,20000901,LSU,58,113,Western Carolina,0,234,False,
2000,2,20000901,Louisville,40,18,Kentucky,34,112,False,
2000,2,20000901,Vanderbilt,30,120,Miami (OH),33,78,False,
2000,2,20000901,Michigan,42,31,Bowling Green,7,73,False,
2000,2,20000901,Minnesota,47,33,UL Monroe,10,130,False,
2000,2,20000901,Ole Miss,49,116,Tulane,20,11,False,
2000,2,20000901,Memphis,3,6,Mississippi St.,17,114,False,
2000,2,20000901,Missouri,50,115,Western Illinois,20,190,False,
2000,2,20000901,Nebraska,49,34,San Jose St.,13,91,False,
2000,2,20000901,North Carolina,30,21,Tulsa,9,12,False,
