season,week,date,home_team,home_points,home_code,away_team,away_points,away_code,neutral_site,venue
2003,1,20030823,San Jose St.,29,91,Grambling,0,251,False,Spartan Stadium
2003,1,20030823,Kansas St.,10,44,California,7,97,False,
2003,2,20030828,Eastern Michigan,28,76,East Tennessee St.,21,229,False,Rynearson Stadium
2003,2,20030828,Ohio,17,80,Southeast Missouri,3,206,False,Peden Stadium
2003,2,20030828,Bowling Green,63,73,Eastern Kentucky,13,203,False,Doyt Perry Stadium
2003,2,20030828,Louisiana Tech,9,54,Miami (FL),48,19,False,Joe Aillet Stadium
2003,2,20030828,Akron,38,71,Kent State,41,77,False,
2003,2,20030828,Northern Illinois,20,79,Maryland,13,30,False,Brigham Field at Huskie Stadium
2003,2,20030828,Ball St.,31,72,Indiana State,7,183,False,Scheumann Stadium
2003,2,20030828,Middle Tennessee,19,56,Florida Atlantic,20,52,False,"Johnny Red"""" Floyd Stadium"""""
2003,2,20030828,Utah,40,104,Utah St.,20,93,False,Rice-Eccles Stadium
2003,2,20030828,BYU,24,66,Georgia Tech,13,17,False,LaVell Edwards Stadium
2003,2,20030828,Oregon St.,40,100,Sacramento State,7,140,False,Reser Stadium
2003,2,20030829,UNLV,28,92,Toledo,18,81,False,Sam Boyd Stadium
2003,2,20030830,West Virginia,17,50,Wisconsin,24,40,False,Mountaineer Field at Milan Puskar Stadium
2003,2,20030830,Connecticut,34,3,Indiana,10,28,False,Rentschler Field
2003,2,20030830,Missouri,22,115,Illinois,15,27,False,
2003,2,20030830,Clemson,0,14,Georgia,30,111,False,Memorial Stadium
2003,2,20030830,Iowa,21,29,Miami (OH),3,78,False,Kinnick Stadium
2003,2,20030830,Michigan,45,31,Central Michigan,7,75,False,Michigan Stadium
2003,2,20030830,Vanderbilt,21,120,Ole Miss,24,116,False,Vanderbilt Stadium
2003,2,20030830,Boston College,28,13,Wake Forest,32,26,False,Alumni Stadium
2003,2,20030830,Navy,37,7,VMI,10,233,False,Navy-Marine Corps Memorial Stadium
2003,2,20030830,Air Force,49,83,Wofford,0,235,False,Falcon Stadium
2003,2,20030830,Tennessee,24,118,Fresno St.,6,86,False,Neyland Stadium
2003,2,20030830,Penn State,23,37,Temple,10,10,False,Beaver Stadium
2003,2,20030830,Nebraska,17,34,Oklahoma St.,7,46,False,Memorial Stadium
2003,2,20030830,Michigan St.,26,32,Western Michigan,21,82,False,Spartan Stadium
2003,2,20030830,Wyoming,21,94,Montana State,10,136,False,War Memorial Stadium
2003,2,20030830,California,34,97,Southern Miss,2,60,False,California Memorial Stadium
2003,2,20030830,Marshall,45,55,Hofstra,21,326,False,Joan C. Edwards Stadium
2003,2,20030830,Auburn,0,109,USC,23,103,False,Jordan-Hare Stadium
2003,2,20030830,Florida,65,110,San Jose St.,3,91,False,
2003,2,20030830,NC State,59,20,Western Carolina,20,234,False,Carter-Finley Stadium
2003,2,20030830,Texas Tech,58,49,SMU,10,8,False,Jones AT&T Stadium
2003,2,20030830,Oklahoma,37,45,North Texas,3,57,False,Gaylord Family Oklahoma Memorial Stadium
