season,week,date,home_team,home_points,home_code,away_team,away_points,away_code,neutral_site,venue
2009,1,20090903,Kent State,18,77,Coastal Carolina,0,123,False,Dix Stadium
2009,1,20090903,Bowling Green,31,73,Troy,14,129,False,Doyt Perry Stadium
2009,1,20090903,NC State,3,20,South Carolina,7,117,False,Carter-Finley Stadium
2009,1,20090903,Temple,24,10,Villanova,27,162,False,Lincoln Financial Field
2009,1,20090903,Ball St.,10,72,North Texas,20,57,False,Scheumann Stadium
2009,1,20090903,Indiana,19,28,Eastern Kentucky,13,203,False,Memorial Stadium
2009,1,20090903,Iowa St.,34,42,North Dakota State,17,185,False,Jack Trice Stadium
2009,1,20090903,Utah,35,104,Utah St.,17,93,False,Rice-Eccles Stadium
2009,1,20090903,Boise St.,19,84,Oregon,8,99,False,Albertsons Stadium
2009,1,20090904,Tulane,13,11,Tulsa,37,12,False,Mercedes-Benz Superdome
2009,1,20090905,Hawaii,25,87,Central Arkansas,20,237,False,Aloha Stadium
2009,1,20090905,Northwestern,47,35,Towson,14,161,False,Ryan Field
2009,1,20090905,East Carolina,29,4,Appalachian St.,24,121,False,Dowdy-Ficklen Stadium
2009,1,20090905,Syracuse,20,23,Minnesota,23,33,False,Carrier Dome
2009,1,20090905,Miami (OH),0,78,Kentucky,42,112,False,
2009,1,20090905,Ohio St.,31,36,Navy,27,7,False,Ohio Stadium
2009,1,20090905,Penn State,31,37,Akron,7,71,False,Beaver Stadium
2009,1,20090905,Purdue,52,38,Toledo,31,81,False,Ross-Ade Stadium
2009,1,20090905,West Virginia,33,50,Liberty,20,67,False,
2009,1,20090905,Michigan St.,44,32,Montana State,3,136,False,Spartan Stadium
2009,1,20090905,Iowa,17,29,Northern Iowa,16,186,False,Kinnick Stadium
2009,1,20090905,Tennessee,63,118,Western Kentucky,7,64,False,Neyland Stadium
2009,1,20090905,Pittsburgh,38,22,Youngstown State,3,191,False,Heinz Field
2009,1,20090905,Georgia Tech,37,17,Jacksonville State,17,204,False,Bobby Dodd Stadium at Historic Grant Field
2009,1,20090905,Air Force,72,83,Nicholls State,0,242,False,Falcon Stadium
2009,1,20090905,Boston College,54,13,Northeastern,0,369,False,Alumni Stadium
2009,1,20090905,Oregon St.,34,100,Portland State,7,139,False,Reser Stadium
2009,1,20090905,Wyoming,29,94,Weber State,22,143,False,War Memorial Stadium
2009,1,20090905,Mississippi St.,45,114,Jackson State,7,252,False,Davis Wade Stadium
2009,1,20090905,USC,56,103,San Jose St.,3,91,False,Los Angeles Memorial Coliseum
2009,1,20090905,Oklahoma St.,24,46,Georgia,10,111,False,Boone Pickens Stadium
2009,1,20090905,Notre Dame,35,70,Nevada,0,88,False,Notre Dame Stadium
2009,1,20090905,Michigan,31,31,Western Michigan,7,82,False,Michigan Stadium
2009,1,20090905,Wake Forest,21,26,Baylor,24,41,False,BB&T Field
2009,1,20090905,Illinois,9,27,Missouri,37,115,True,
2009,1,20090905,UAB,44,61,Rice,24,59,False,Legion Field
2009,1,20090905,Marshall,31,55,Southern Illinois,28,189,False,Joan C. Edwards Stadium
2009,1,20090905,Clemson,37,14,Middle Tennessee,14,56,False,Memorial Stadium
2009,1,20090905,North Carolina,40,21,Citadel,6,228,False,Kenan Memorial Stadium
2009,1,20090905,Virginia,14,24,William & Mary,26,163,False,Scott Stadium
2009,1,20090905,Washington St.,13,106,Stanford,39,101,False,Martin Stadium
2009,1,20090905,Auburn,37,109,Louisiana Tech,13,54,False,Jordan-Hare Stadium
2009,1,20090905,Oklahoma,13,45,BYU,14,66,True,
2009,1,20090905,Texas,59,48,UL Monroe,20,130,False,Darrell K Royal-Texas Memorial Stadium
2009,1,20090905,Florida,62,110,Charleston Southern,3,145,False,Ben Hill Griffin Stadium
2009,1,20090905,Ohio,16,80,Connecticut,23,3,False,Peden Stadium
2009,1,20090905,Duke,16,15,Richmond,24,159,False,Wallace Wade Stadium
2009,1,20090905,Arkansas,48,108,Missouri State,10,184,False,Donald W. Reynolds Razorback Stadium Frank Broyles Field
2009,1,20090905,Texas A&M,41,119,New Mexico,6,89,False,Kyle Field
2009,1,20090905,Houston,55,5,Northwestern State,7,243,False,Robertson Stadium
2009,1,20090905,Wisconsin,28,40,Northern Illinois,20,79,False,Camp Randall Stadium
2009,1,20090905,Louisiana,42,126,Southern,19,255,False,Cajun Field
2009,1,20090905,Eastern Michigan,14,76,Army,27,65,False,Rynearson Stadium
2009,1,20090905,Southern Miss,52,60,Alcorn State,0,249,False,M. M. Roberts Stadium
2009,1,20090905,Texas Tech,38,49,North Dakota,13,164,False,Jones AT&T Stadium
2009,1,20090905,Kansas,49,43,Northern Colorado,3,138,False,Memorial Stadium
2009,1,20090905,Nebraska,49,34,Florida Atlantic,3,52,False,Memorial Stadium
2009,1,20090905,Arkansas St.,61,122,Mississippi Valley State,0,253,False,Centennial Bank Stadium
2009,1,20090905,Kansas St.,21,44,Massachusetts,17,68,False,Bill Snyder Family Football Stadium
2009,1,20090905,UCLA,33,102,San Diego St.,14,90,False,Rose Bowl
2009,1,20090905,Louisville,30,18,Indiana State,10,183,False,Papa John's Cardinal Stadium
2009,1,20090905,South Florida,40,9,Wofford,7,235,False,Raymond James Stadium
2009,1,20090905,Central Florida,28,1,Samford,24,232,False,Bright House Networks Stadium
