School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Points For,Points Against,Points Difference,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Rush Att,Rush Yard,Rush Avg,Rush TD,TFL,Sk,Fum,Turnovers,Total TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp,Total TD opp
Akron,71,2013-08-29,1,@,Central Florida,1,L,7,38,-31,18,25,72.0,116,1,1,35,134,3.8,0,8,4,1,2,1,19,27,70.4,319,3,39,157,4.0,2,0,0,0,5
Ball St.,72,2013-08-29,1,,Illinois State,182,W,51,28,23,24,40,60.0,340,3,0,32,80,2.5,4,15,3,0,0,7,20,29,69.0,282,2,36,74,2.1,2,1,1,2,4
Bowling Green,73,2013-08-29,1,,Tulsa,12,W,34,7,27,12,28,42.9,163,0,1,53,233,4.4,3,5,1,0,1,4,20,41,48.8,222,1,24,51,2.1,0,2,0,2,1
Connecticut,3,2013-08-29,1,,Towson,161,L,18,33,-15,16,28,57.1,206,2,1,27,81,3.0,0,4,0,1,2,2,13,20,65.0,192,1,50,201,4.0,4,0,1,1,5
Fresno St.,86,2013-08-29,1,,Rutgers,39,W,52,51,1,52,73,71.2,456,5,1,23,81,3.5,2,6,1,2,3,7,26,41,63.4,348,5,32,195,6.1,0,1,1,2,6
Hawaii,87,2013-08-29,1,,USC,103,L,13,30,-17,16,41,39.0,208,1,4,31,23,0.7,0,9,3,0,4,1,15,29,51.7,172,1,45,192,4.3,1,1,1,2,3
Indiana,28,2013-08-29,1,,Indiana State,183,W,73,35,38,17,30,56.7,319,6,2,54,313,5.8,3,7,4,1,3,10,12,32,37.5,175,3,39,131,3.4,0,1,1,2,5
Kent State,77,2013-08-29,1,,Liberty,67,W,17,10,7,21,28,75.0,194,2,0,49,167,3.4,0,5,3,1,1,2,14,22,63.6,189,1,22,33,1.5,0,0,0,0,1
Middle Tennessee,56,2013-08-29,1,,Western Carolina,234,W,45,24,21,19,27,70.4,205,1,0,49,284,5.8,4,9,3,2,2,6,19,36,52.8,257,2,35,114,3.3,1,0,2,2,3
Minnesota,33,2013-08-29,1,,UNLV,92,W,51,23,28,10,23,43.5,99,1,1,38,221,5.8,3,9,1,0,1,7,36,51,70.6,226,2,34,193,5.7,1,0,2,2,3
North Carolina,21,2013-08-29,1,@,South Carolina,117,L,10,27,-17,26,43,60.5,194,1,0,36,99,2.8,0,3,1,1,1,1,12,21,57.1,178,2,38,228,6.0,1,0,0,0,3
Ole Miss,116,2013-08-29,1,@,Vanderbilt,120,W,39,35,4,31,47,66.0,283,0,0,37,206,5.6,5,5,1,0,0,5,21,36,58.3,300,2,33,126,3.8,3,0,2,2,5
Rutgers,39,2013-08-29,1,@,Fresno St.,86,L,51,52,-1,26,41,63.4,348,5,1,32,195,6.1,0,3,1,1,2,6,52,73,71.2,456,5,23,81,3.5,2,2,1,3,7
San Jose St.,91,2013-08-29,1,,Sacramento State,140,W,24,0,24,16,32,50.0,225,2,0,29,142,4.9,1,4,3,0,0,3,23,40,57.5,192,0,39,86,2.2,0,0,2,2,0
South Alabama,127,2013-08-29,1,,Southern Utah,141,L,21,22,-1,18,28,64.3,148,2,1,34,187,5.5,1,7,2,0,1,3,13,24,54.2,183,1,40,134,3.4,1,0,0,0,2
South Carolina,117,2013-08-29,1,,North Carolina,21,W,27,10,17,12,21,57.1,178,2,0,38,228,6.0,1,12,3,0,0,3,26,43,60.5,194,1,36,99,2.8,0,1,0,1,1
Tulane,11,2013-08-29,1,,Jackson State,252,W,34,7,27,7,16,43.8,150,2,0,43,158,3.7,2,8,1,0,0,4,15,29,51.7,244,0,48,112,2.3,1,2,4,6,1
Tulsa,12,2013-08-29,1,@,Bowling Green,73,L,7,34,-27,20,41,48.8,222,1,0,24,51,2.1,0,7,1,2,2,1,12,28,42.9,163,0,53,233,4.4,3,0,1,1,4
Central Florida,1,2013-08-29,1,,Akron,71,W,38,7,31,19,27,70.4,319,3,0,39,157,4.0,2,10,1,0,0,5,18,25,72.0,116,1,35,134,3.8,0,1,1,2,1
UNLV,92,2013-08-29,1,@,Minnesota,33,L,23,51,-28,36,51,70.6,226,2,2,34,193,5.7,1,3,0,0,2,3,10,23,43.5,99,1,38,221,5.8,3,0,1,1,7
USC,103,2013-08-29,1,@,Hawaii,87,W,30,13,17,15,29,51.7,172,1,1,45,192,4.3,1,9,7,1,2,3,16,41,39.0,208,1,31,23,0.7,0,0,4,4,1
Utah,104,2013-08-29,1,,Utah St.,93,W,30,26,4,17,28,60.7,302,2,0,44,148,3.4,1,6,2,1,1,3,31,40,77.5,314,2,39,173,4.4,1,1,0,1,3
Utah St.,93,2013-08-29,1,@,Utah,104,L,26,30,-4,31,40,77.5,314,2,0,39,173,4.4,1,5,3,1,1,3,17,28,60.7,302,2,44,148,3.4,1,1,0,1,3
Vanderbilt,120,2013-08-29,1,,Ole Miss,116,L,35,39,-4,21,36,58.3,300,2,2,33,126,3.8,3,4,4,0,2,5,31,47,66.0,283,0,37,206,5.6,5,0,0,0,5
Wake Forest,26,2013-08-29,1,,Presbyterian,151,W,31,7,24,14,26,53.8,219,1,0,54,189,3.5,2,3,1,2,2,4,11,19,57.9,49,1,24,102,4.3,0,3,3,6,1
Arizona,95,2013-08-30,1,,Northern Arizona,137,W,35,0,35,9,13,69.2,87,1,0,34,306,9.0,3,11,3,0,0,5,21,36,58.3,176,0,39,94,2.4,0,0,3,3,0
Army,65,2013-08-30,1,,Morgan State,177,W,28,12,16,4,8,50.0,101,1,0,42,295,7.0,3,5,3,0,0,4,6,10,60.0,116,1,52,185,3.6,1,1,0,1,2
Florida Atlantic,52,2013-08-30,1,@,Miami (FL),19,L,6,34,-28,16,32,50.0,117,0,0,43,133,3.1,0,4,1,1,1,0,18,31,58.1,200,1,38,303,8.0,3,0,1,1,4
Georgia St.,125,2013-08-30,1,,Samford,232,L,21,31,-10,28,51,54.9,391,3,2,25,72,2.9,0,4,1,0,2,3,19,31,61.3,193,1,36,105,2.9,1,0,1,1,4
