School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Points For,Points Against,Points Difference,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Rush Att,Rush Yard,Rush Avg,Rush TD,Fum,Turnovers,Total TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp,Total TD opp
California,97,2003-08-23,1,@,Kansas St.,44,L,28,42,-14,25,42,59.5,378,4,1,27,62,2.3,0,0,1,4,9,18,50.0,205,3,46,330,7.2,2,0,0,0,5
Kansas St.,44,2003-08-23,1,,California,97,W,42,28,14,9,18,50.0,205,3,0,46,330,7.2,2,0,0,5,25,42,59.5,378,4,27,62,2.3,0,0,1,1,4
San Jose St.,91,2003-08-23,1,,Grambling,251,W,29,0,29,27,41,65.9,335,1,0,41,118,2.9,1,2,2,3,23,47,48.9,210,0,21,50,2.4,0,2,1,3,0
Akron,71,2003-08-28,1,,Kent State,77,L,38,41,-3,36,47,76.6,407,3,0,30,40,1.3,2,0,0,5,25,44,56.8,340,3,44,181,4.1,2,0,1,1,5
Ball St.,72,2003-08-28,1,,Indiana State,183,W,31,7,24,14,30,46.7,204,2,1,31,91,2.9,1,0,1,3,14,26,53.8,70,0,50,113,2.3,1,3,2,5,1
Bowling Green,73,2003-08-28,1,,Eastern Kentucky,203,W,63,13,50,26,37,70.3,422,3,1,44,222,5.0,6,1,2,9,19,32,59.4,170,1,31,139,4.5,1,2,0,2,2
BYU,66,2003-08-28,1,,Georgia Tech,17,W,24,13,11,31,47,66.0,276,3,2,32,86,2.7,0,0,2,3,15,24,62.5,147,0,23,96,4.2,0,3,1,4,1
Eastern Michigan,76,2003-08-28,1,,East Tennessee St.,229,W,28,21,7,15,26,57.7,223,2,1,35,134,3.8,2,0,1,4,14,23,60.9,120,1,41,167,4.1,1,0,1,1,3
Georgia Tech,17,2003-08-28,1,@,BYU,66,L,13,24,-11,15,24,62.5,147,0,1,23,96,4.2,0,3,4,1,31,47,66.0,276,3,32,86,2.7,0,0,2,2,3
Kent State,77,2003-08-28,1,@,Akron,71,W,41,38,3,25,44,56.8,340,3,1,44,181,4.1,2,0,1,5,36,47,76.6,407,3,30,40,1.3,2,0,0,0,5
Louisiana Tech,54,2003-08-28,1,,Miami (FL),19,L,9,48,-39,19,34,55.9,246,0,2,19,64,3.4,0,1,3,0,18,35,51.4,275,2,43,192,4.5,1,0,1,1,6
Maryland,30,2003-08-28,1,@,Northern Illinois,79,L,13,20,-7,12,24,50.0,110,0,1,35,112,3.2,1,1,2,1,21,35,60.0,266,2,43,59,1.4,0,0,1,1,2
Miami (FL),19,2003-08-28,1,@,Louisiana Tech,54,W,48,9,39,18,35,51.4,275,2,1,43,192,4.5,1,0,1,6,19,34,55.9,246,0,19,64,3.4,0,1,2,3,0
Middle Tennessee,56,2003-08-28,1,,Florida Atlantic,52,L,19,20,-1,19,35,54.3,160,1,0,44,183,4.2,1,0,0,2,18,29,62.1,215,2,32,42,1.3,0,2,2,4,3
Northern Illinois,79,2003-08-28,1,,Maryland,30,W,20,13,7,21,35,60.0,266,2,1,43,59,1.4,0,0,1,2,12,24,50.0,110,0,35,112,3.2,1,1,1,2,1
Ohio,80,2003-08-28,1,,Southeast Missouri,206,W,17,3,14,10,18,55.6,81,1,0,53,204,3.8,1,4,4,2,18,41,43.9,233,0,33,58,1.8,0,2,3,5,0
Oregon St.,100,2003-08-28,1,,Sacramento State,140,W,40,7,33,19,37,51.4,301,2,0,44,226,5.1,3,1,1,5,14,31,45.2,193,0,35,61,1.7,1,0,0,0,1
Utah,104,2003-08-28,1,,Utah St.,93,W,40,20,20,16,26,61.5,180,3,2,53,202,3.8,2,0,2,5,19,41,46.3,280,1,26,77,3.0,1,1,1,2,2
Utah St.,93,2003-08-28,1,@,Utah,104,L,20,40,-20,19,41,46.3,280,1,1,26,77,3.0,1,1,2,2,16,26,61.5,180,3,53,202,3.8,2,0,2,2,5
Toledo,81,2003-08-29,1,@,UNLV,92,L,18,28,-10,17,34,50.0,145,2,0,29,94,3.2,0,2,2,3,27,41,65.9,308,3,39,150,3.8,0,2,1,3,4
UNLV,92,2003-08-29,1,,Toledo,81,W,28,18,10,27,41,65.9,308,3,1,39,150,3.8,0,2,3,4,17,34,50.0,145,2,29,94,3.2,0,2,0,2,3
Air Force,83,2003-08-30,1,,Wofford,235,W,49,0,49,7,11,63.6,89,1,0,74,380,5.1,6,0,0,7,9,14,64.3,87,0,40,88,2.2,0,0,2,2,0
Alabama,107,2003-08-30,1,,South Florida,9,W,40,17,23,14,27,51.9,203,1,0,48,188,3.9,2,1,1,5,18,34,52.9,205,1,22,51,2.3,1,2,1,3,2
Arizona,95,2003-08-30,1,,UTEP,62,W,42,7,35,14,26,53.8,229,2,2,43,217,5.0,4,0,2,6,21,43,48.8,204,0,33,71,2.2,0,2,1,3,1
Arkansas St.,122,2003-08-30,1,@,Texas A&M,119,L,11,26,-15,11,20,55.0,94,0,1,38,114,3.0,0,1,2,1,12,20,60.0,126,0,34,131,3.9,2,1,2,3,2
Auburn,109,2003-08-30,1,,USC,103,L,0,23,-23,12,26,46.2,121,0,1,36,43,1.2,0,2,3,0,17,30,56.7,192,1,36,123,3.4,1,0,0,0,2
Baylor,41,2003-08-30,1,,UAB,61,L,19,24,-5,20,38,52.6,227,2,0,37,166,4.5,0,1,1,2,14,31,45.2,254,2,35,149,4.3,1,1,0,1,3
Boston College,13,2003-08-30,1,,Wake Forest,26,L,28,32,-4,26,44,59.1,292,2,0,46,155,3.4,2,3,3,4,13,23,56.5,149,2,40,160,4.0,2,1,2,3,5
Buffalo,74,2003-08-30,1,@,Rutgers,39,L,10,24,-14,7,21,33.3,60,0,0,41,232,5.7,1,1,1,1,21,31,67.7,225,1,43,181,4.2,1,0,0,0,3
California,97,2003-08-30,2,,Southern Miss,60,W,34,2,32,11,18,61.1,157,2,0,48,260,5.4,1,1,1,4,20,34,58.8,212,0,36,65,1.8,0,0,1,1,0
Central Michigan,75,2003-08-30,1,@,Michigan,31,L,7,45,-38,18,29,62.1,150,0,1,45,218,4.8,1,1,2,1,22,36,61.1,273,2,46,342,7.4,4,0,1,1,6
Clemson,14,2003-08-30,1,,Georgia,111,L,0,30,-30,20,37,54.1,164,0,1,24,35,1.5,0,2,3,0,13,21,61.9,214,1,49,197,4.0,2,0,0,0,3
Colorado,98,2003-08-30,1,N,Colorado St.,85,W,42,35,7,21,34,61.8,402,4,0,43,102,2.4,2,1,1,6,18,40,45.0,339,3,39,246,6.3,2,2,1,3,5
Colorado St.,85,2003-08-30,1,N,Colorado,98,L,35,42,-7,18,40,45.0,339,3,1,39,246,6.3,2,2,3,5,21,34,61.8,402,4,43,102,2.4,2,1,0,1,6
