School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Points For,Points Against,Points Difference,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Rush Att,Rush Yard,Rush Avg,Rush TD,Fum,Turnovers,Total TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp,Total TD opp
Miami (OH),78,2004-08-28,1,,Indiana State,183,W,49,0,49,24,37,64.9,292,3,1,39,162,4.2,3,2,3,7,18,33,54.5,160,0,31,44,1.4,0,2,1,3,0
USC,103,2004-08-28,1,N,Virginia Tech,25,W,24,13,11,19,29,65.5,272,3,0,29,101,3.5,0,0,0,3,14,29,48.3,153,1,34,141,4.1,0,1,1,2,1
Virginia Tech,25,2004-08-28,1,N,USC,103,L,13,24,-11,14,29,48.3,153,1,1,34,141,4.1,0,1,2,1,19,29,65.5,272,3,29,101,3.5,0,0,0,0,3
Arizona St.,96,2004-09-02,1,,UTEP,62,W,41,9,32,23,44,52.3,356,4,1,42,131,3.1,0,0,1,5,21,44,47.7,196,0,31,87,2.8,1,1,4,5,1
Ball St.,72,2004-09-02,1,,Boston College,13,L,11,19,-8,19,33,57.6,147,0,0,33,64,1.9,0,0,0,0,12,23,52.2,135,1,43,205,4.8,1,1,1,2,3
Boston College,13,2004-09-02,1,@,Ball St.,72,W,19,11,8,12,23,52.2,135,1,1,43,205,4.8,1,1,2,3,19,33,57.6,147,0,33,64,1.9,0,0,0,0,0
Buffalo,74,2004-09-02,1,@,Eastern Michigan,76,L,34,37,-3,19,44,43.2,174,1,2,48,225,4.7,3,1,3,5,11,20,55.0,91,2,52,248,4.8,1,4,0,4,4
Eastern Michigan,76,2004-09-02,1,,Buffalo,74,W,37,34,3,11,20,55.0,91,2,0,52,248,4.8,1,4,4,4,19,44,43.2,174,1,48,225,4.7,3,1,2,3,5
Northwestern,35,2004-09-02,1,@,TCU,47,L,45,48,-3,39,62,62.9,513,4,1,38,124,3.3,2,0,1,6,20,38,52.6,368,4,36,157,4.4,2,1,1,2,6
Texas A&M,119,2004-09-02,1,@,Utah,104,L,21,41,-20,20,43,46.5,270,0,0,31,167,5.4,3,0,0,3,22,31,71.0,370,3,45,212,4.7,3,0,0,0,6
TCU,47,2004-09-02,1,,Northwestern,35,W,48,45,3,20,38,52.6,368,4,1,36,157,4.4,2,1,2,6,39,62,62.9,513,4,38,124,3.3,2,0,1,1,6
Utah,104,2004-09-02,1,,Texas A&M,119,W,41,21,20,22,31,71.0,370,3,0,45,212,4.7,3,0,0,6,20,43,46.5,270,0,31,167,5.4,3,0,0,0,3
UTEP,62,2004-09-02,1,@,Arizona St.,96,L,9,41,-32,21,44,47.7,196,0,4,31,87,2.8,1,1,5,1,23,44,52.3,356,4,42,131,3.1,0,0,1,1,5
Western Michigan,82,2004-09-02,1,,Tennessee-Martin,209,W,42,0,42,16,23,69.6,215,3,1,38,108,2.8,1,1,2,6,9,25,36.0,136,0,37,86,2.3,0,1,1,2,0
New Mexico,89,2004-09-03,1,,Washington St.,106,L,17,21,-4,16,31,51.6,229,0,3,43,186,4.3,2,1,4,2,24,38,63.2,240,3,31,31,1.0,0,1,2,3,3
Washington St.,106,2004-09-03,1,@,New Mexico,89,W,21,17,4,24,38,63.2,240,3,2,31,31,1.0,0,1,3,3,16,31,51.6,229,0,43,186,4.3,2,1,3,4,2
Air Force,83,2004-09-04,1,,California,97,L,14,56,-42,9,18,50.0,89,1,1,53,182,3.4,1,1,2,2,12,18,66.7,231,1,44,342,7.8,7,0,0,0,8
Akron,71,2004-09-04,1,@,Penn State,37,L,10,48,-38,29,36,80.6,223,0,2,31,72,2.3,1,1,3,1,16,23,69.6,193,3,41,352,8.6,4,0,0,0,7
Alabama,107,2004-09-04,1,,Utah St.,93,W,48,17,31,16,22,72.7,205,2,0,44,255,5.8,3,0,0,6,17,34,50.0,205,2,25,61,2.4,0,0,2,2,2
Arizona,95,2004-09-04,1,,Northern Arizona,137,W,21,3,18,18,23,78.3,171,1,0,42,136,3.2,2,1,1,3,20,37,54.1,176,0,30,104,3.5,0,1,3,4,0
Arkansas,108,2004-09-04,1,,New Mexico State,69,W,63,13,50,18,24,75.0,327,3,0,54,221,4.1,5,0,0,9,17,26,65.4,161,2,29,55,1.9,0,3,0,3,2
Arkansas St.,122,2004-09-04,1,@,Missouri,115,L,20,52,-32,26,37,70.3,350,2,1,36,88,2.4,0,1,2,2,16,24,66.7,243,3,34,263,7.7,3,1,1,2,7
Auburn,109,2004-09-04,1,,UL Monroe,130,W,31,0,31,14,24,58.3,186,2,1,41,194,4.7,2,1,2,4,17,23,73.9,99,0,35,140,4.0,0,2,1,3,0
Baylor,41,2004-09-04,1,@,UAB,61,L,14,56,-42,28,43,65.1,228,1,3,27,50,1.9,1,3,6,2,9,17,52.9,173,3,53,343,6.5,3,1,1,2,8
Boise St.,84,2004-09-04,1,,Idaho,133,W,65,7,58,16,22,72.7,318,0,1,47,254,5.4,8,2,3,9,13,29,44.8,91,0,33,121,3.7,1,1,1,2,1
