School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Points For,Points Against,Points Difference,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Rush Att,Rush Yard,Rush Avg,Rush TD,Fum,Turnovers,Total TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp,Total TD opp
BYU,66,2000-08-26,1,@,Florida St.,16,L,3,29,-26,18,46,39.1,227,0,3,24,-2,-0.1,0,0,3,0,32,51,62.7,318,2,36,57,1.6,2,1,0,1,4
Florida St.,16,2000-08-26,1,,BYU,66,W,29,3,26,32,51,62.7,318,2,0,36,57,1.6,2,1,1,4,18,46,39.1,227,0,24,-2,-0.1,0,0,3,3,0
Iowa,29,2000-08-26,1,@,Kansas St.,44,L,7,27,-20,10,26,38.5,76,0,1,30,80,2.7,1,0,1,1,14,28,50.0,250,1,47,178,3.8,2,1,2,3,3
Kansas St.,44,2000-08-26,1,,Iowa,29,W,27,7,20,14,28,50.0,250,1,2,47,178,3.8,2,1,3,3,10,26,38.5,76,0,30,80,2.7,1,0,1,1,1
Louisiana Tech,54,2000-08-26,1,,Mississippi Valley State,253,W,63,10,53,29,34,85.3,362,4,1,37,190,5.1,5,2,3,9,14,33,42.4,186,1,36,97,2.7,0,0,2,2,1
New Mexico,89,2000-08-26,1,@,Texas Tech,49,L,3,24,-21,6,18,33.3,52,0,1,52,115,2.2,0,2,3,0,21,47,44.7,186,2,24,69,2.9,0,0,1,1,3
Texas Tech,49,2000-08-26,1,,New Mexico,89,W,24,3,21,21,47,44.7,186,2,1,24,69,2.9,0,0,1,3,6,18,33.3,52,0,52,115,2.2,0,2,1,3,0
Penn State,37,2000-08-27,1,N,USC,103,L,5,29,-24,10,30,33.3,136,0,1,22,6,0.3,0,0,1,0,10,20,50.0,87,0,50,164,3.3,1,0,1,1,3
USC,103,2000-08-27,1,N,Penn State,37,W,29,5,24,10,20,50.0,87,0,1,50,164,3.3,1,0,1,3,10,30,33.3,136,0,22,6,0.3,0,0,1,1,0
Arizona St.,96,2000-08-31,1,@,San Diego St.,90,W,10,7,3,18,42,42.9,160,1,1,40,110,2.8,0,0,1,1,24,57,42.1,219,1,28,100,3.6,0,0,1,1,1
Auburn,109,2000-08-31,1,,Wyoming,94,W,35,21,14,12,21,57.1,266,2,0,45,177,3.9,3,2,2,5,20,36,55.6,213,3,27,29,1.1,0,0,1,1,3
Baylor,41,2000-08-31,1,@,North Texas,57,W,20,7,13,18,30,60.0,218,0,0,36,107,3.0,1,0,0,2,11,20,55.0,159,0,37,106,2.9,1,2,2,4,1
Marshall,55,2000-08-31,1,,Southeast Missouri,206,W,63,7,56,18,26,69.2,263,4,0,50,315,6.3,5,1,1,9,13,28,46.4,126,1,37,133,3.6,0,1,2,3,1
Miami (FL),19,2000-08-31,1,,McNeese State,241,W,61,14,47,22,37,59.5,341,4,0,30,287,9.6,3,1,1,8,19,33,57.6,212,1,44,197,4.5,1,1,3,4,2
North Texas,57,2000-08-31,1,,Baylor,41,L,7,20,-13,11,20,55.0,159,0,2,37,106,2.9,1,2,4,1,18,30,60.0,218,0,36,107,3.0,1,0,0,0,2
Northern Illinois,79,2000-08-31,1,@,Northwestern,35,L,17,35,-18,20,40,50.0,254,0,2,34,112,3.3,2,1,3,2,16,27,59.3,176,2,57,236,4.1,3,1,0,1,5
Northwestern,35,2000-08-31,1,,Northern Illinois,79,W,35,17,18,16,27,59.3,176,2,0,57,236,4.1,3,1,1,5,20,40,50.0,254,0,34,112,3.3,2,1,2,3,2
San Diego St.,90,2000-08-31,1,,Arizona St.,96,L,7,10,-3,24,57,42.1,219,1,1,28,100,3.6,0,0,1,1,18,42,42.9,160,1,40,110,2.8,0,0,1,1,1
Wake Forest,26,2000-08-31,1,,Appalachian St.,121,L,16,20,-4,10,21,47.6,126,0,2,33,55,1.7,1,2,4,2,19,34,55.9,235,1,50,147,2.9,2,2,2,4,3
Western Michigan,82,2000-08-31,1,@,Wisconsin,40,L,7,19,-12,20,39,51.3,243,1,1,20,-1,-0.1,0,1,2,1,6,11,54.5,96,0,57,156,2.7,1,0,0,0,2
Wisconsin,40,2000-08-31,1,,Western Michigan,82,W,19,7,12,6,11,54.5,96,0,0,57,156,2.7,1,0,0,2,20,39,51.3,243,1,20,-1,-0.1,0,1,1,2,1
Wyoming,94,2000-08-31,1,@,Auburn,109,L,21,35,-14,20,36,55.6,213,3,1,27,29,1.1,0,0,1,3,12,21,57.1,266,2,45,177,3.9,3,2,0,2,5
Air Force,83,2000-09-02,1,,Cal State-Northridge,432,W,55,6,49,11,20,55.0,115,0,1,74,583,7.9,7,0,1,7,15,29,51.7,102,1,32,125,3.9,0,2,1,3,1
Akron,71,2000-09-02,1,@,Virginia Tech,25,L,23,52,-29,14,30,46.7,248,1,1,44,162,3.7,1,1,2,3,9,16,56.3,214,2,48,335,7.0,4,3,1,4,7
Alabama,107,2000-09-02,1,@,UCLA,102,L,24,35,-11,11,30,36.7,119,0,1,30,146,4.9,1,2,3,3,15,27,55.6,225,2,57,171,3.0,3,0,1,1,5
Arizona,95,2000-09-02,1,@,Utah,104,W,17,3,14,3,15,20.0,11,0,0,39,135,3.5,1,0,0,2,21,51,41.2,310,0,39,60,1.5,0,3,2,5,0
Arkansas,108,2000-09-02,1,,Missouri State,184,W,38,0,38,20,29,69.0,249,2,0,49,183,3.7,3,0,0,5,8,20,40.0,51,0,22,47,2.1,0,1,1,2,0
Arkansas St.,122,2000-09-02,1,@,NC State,20,L,31,38,-7,13,25,52.0,152,1,0,45,179,4.0,2,2,2,4,29,57,50.9,397,3,35,142,4.1,2,3,0,3,5
Ball St.,72,2000-09-02,1,@,Florida,110,L,19,40,-21,15,27,55.6,181,1,1,34,85,2.5,0,2,3,2,23,50,46.0,359,3,34,136,4.0,3,1,0,1,6
Boise St.,84,2000-09-02,1,@,New Mexico,89,W,31,14,17,17,34,50.0,168,1,0,35,139,4.0,2,0,0,4,12,26,46.2,122,0,44,156,3.5,2,0,2,2,2
Boston College,13,2000-09-02,1,@,West Virginia,50,L,14,34,-20,15,33,45.5,127,1,3,33,79,2.4,1,2,5,2,7,19,36.8,166,0,53,189,3.6,2,0,0,0,4
Bowling Green,73,2000-09-02,1,@,Michigan,31,L,7,42,-35,18,42,42.9,213,1,1,28,58,2.1,0,0,1,1,15,19,78.9,265,4,53,289,5.5,2,2,0,2,6
BYU,66,2000-09-02,2,@,Virginia,24,W,38,35,3,34,42,81.0,447,2,2,34,93,2.7,3,1,3,5,13,23,56.5,217,1,42,270,6.4,4,0,1,1,5
Buffalo,74,2000-09-02,1,@,Syracuse,23,L,7,63,-56,16,36,44.4,182,1,2,33,88,2.7,0,3,5,1,6,9,66.7,82,1,50,298,6.0,6,0,1,1,9
Central Michigan,75,2000-09-02,1,@,Purdue,38,L,0,48,-48,16,28,57.1,150,0,0,38,65,1.7,0,3,3,0,26,45,57.8,336,3,40,145,3.6,3,0,0,0,6
Clemson,14,2000-09-02,1,,Citadel,228,W,38,0,38,21,33,63.6,222,3,0,48,236,4.9,2,0,0,5,6,16,37.5,48,0,42,57,1.4,0,1,1,2,0
Colorado,98,2000-09-02,1,N,Colorado St.,85,L,24,28,-4,25,39,64.1,308,1,0,45,224,5.0,2,0,0,3,19,30,63.3,327,4,28,65,2.3,0,0,2,2,4
Colorado St.,85,2000-09-02,1,N,Colorado,98,W,28,24,4,19,30,63.3,327,4,2,28,65,2.3,0,0,2,4,25,39,64.1,308,1,45,224,5.0,2,0,0,0,3
Connecticut,3,2000-09-02,1,@,Eastern Michigan,76,L,25,32,-7,23,49,46.9,340,3,1,25,62,2.5,0,1,2,3,21,35,60.0,205,1,45,150,3.3,3,2,0,2,4
Duke,15,2000-09-02,1,,East Carolina,4,L,0,38,-38,10,25,40.0,96,0,3,31,44,1.4,0,0,3,0,22,31,71.0,264,1,43,164,3.8,3,1,0,1,5
East Carolina,4,2000-09-02,1,@,Duke,15,W,38,0,38,22,31,71.0,264,1,0,43,164,3.8,3,1,1,5,10,25,40.0,96,0,31,44,1.4,0,0,3,3,0
Eastern Michigan,76,2000-09-02,1,,Connecticut,3,W,32,25,7,21,35,60.0,205,1,0,45,150,3.3,3,2,2,4,23,49,46.9,340,3,25,62,2.5,0,1,1,2,3
Florida,110,2000-09-02,1,,Ball St.,72,W,40,19,21,23,50,46.0,359,3,0,34,136,4.0,3,1,1,6,15,27,55.6,181,1,34,85,2.5,0,2,1,3,2
Fresno St.,86,2000-09-02,1,@,Ohio St.,36,L,10,43,-33,31,51,60.8,285,1,4,27,87,3.2,0,2,6,1,11,20,55.0,166,2,50,223,4.5,0,1,0,1,6
Georgia,111,2000-09-02,1,,Georgia Southern,124,W,29,7,22,16,27,59.3,203,2,1,39,171,4.4,2,2,3,4,10,19,52.6,45,0,54,190,3.5,1,2,0,2,1
Georgia Tech,17,2000-09-02,1,,Central Florida,1,W,21,17,4,23,41,56.1,226,3,0,44,110,2.5,0,2,2,3,16,31,51.6,247,1,26,8,0.3,1,1,1,2,2
Houston,5,2000-09-02,1,@,Rice,59,L,27,30,-3,32,47,68.1,349,2,1,29,45,1.6,1,2,3,3,5,16,31.3,85,0,61,198,3.2,2,2,0,2,4
