School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Points For,Points Against,Points Difference,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Rush Att,Rush Yard,Rush Avg,Rush TD,TFL,Sk,Fum,Turnovers,Total TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp,Total TD opp
Arizona,95,2015-09-03,1,,UTSA,63,W,42,32,10,22,36,61.1,229,4,0,38,163,4.3,0,3,,1,1,6,25,45,55.6,332,2,50,193,3.9,2,1,1,2,4
Ball St.,72,2015-09-03,1,,VMI,233,W,48,36,12,34,53,64.2,338,1,1,42,229,5.5,5,7,1.0,0,1,6,35,49,71.4,444,0,29,103,3.6,0,2,0,2,0
Central Michigan,75,2015-09-03,1,,Oklahoma St.,46,L,13,24,-11,29,42,69.0,265,0,1,28,78,2.8,1,4,2.0,0,1,1,22,32,68.8,266,1,35,153,4.4,2,0,0,0,3
Colorado,98,2015-09-03,1,@,Hawaii,87,L,20,28,-8,23,40,57.5,156,0,1,53,215,4.1,2,5,1.0,2,3,2,19,38,50.0,202,3,34,100,2.9,0,0,2,2,3
Connecticut,3,2015-09-03,1,,Villanova,162,W,20,15,5,12,20,60.0,202,2,1,39,105,2.7,1,8,4.0,0,1,3,18,33,54.5,189,0,36,114,3.2,0,1,1,2,0
Duke,15,2015-09-03,1,@,Tulane,11,W,37,7,30,29,44,65.9,324,2,0,49,206,4.2,1,6,4.0,2,2,4,24,42,57.1,246,1,23,25,1.1,0,0,1,1,1
Florida Intl,53,2015-09-03,1,@,Central Florida,1,W,15,14,1,29,38,76.3,260,1,0,31,131,4.2,1,8,2.0,1,1,2,23,34,67.6,249,2,29,46,1.6,0,0,0,0,2
Fresno St.,86,2015-09-03,1,,Abilene Christian,236,W,34,13,21,22,45,48.9,217,4,2,39,225,5.8,0,8,5.0,1,3,4,30,45,66.7,213,0,29,34,1.2,0,0,2,2,0
Georgia Tech,17,2015-09-03,1,,Alcorn State,249,W,69,6,63,4,5,80.0,77,1,0,52,476,9.2,9,8,2.0,1,1,10,10,28,35.7,106,0,39,166,4.3,0,2,1,3,0
Hawaii,87,2015-09-03,1,,Colorado,98,W,28,20,8,19,38,50.0,202,3,2,34,100,2.9,0,8,4.0,0,2,3,23,40,57.5,156,0,53,215,4.1,2,2,1,3,2
