School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Points For,Points Against,Points Difference,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Rush Att,Rush Yard,Rush Avg,Rush TD,TFL,Sk,Fum,Turnovers,Total TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp,Total TD opp
Massachusetts,68,2019-08-30,1,@,Rutgers,39,L,21,48,-27,22,37,59.5,121,1,2,34,183,5.4,2,2,1.0,0,2,3,22,32,68.8,348,2,43,206,4.8,4,0,3,3,6
Michigan St.,32,2019-08-30,1,,Tulsa,12,W,28,7,21,22,38,57.9,195,1,0,40,108,2.7,0,13,6.0,0,0,2,16,27,59.3,153,1,25,-73,-2.9,0,2,1,3,1
Nevada,88,2019-08-30,1,,Purdue,38,W,34,31,3,30,52,57.7,295,3,0,25,109,4.4,1,7,1.0,0,0,4,34,52,65.4,423,4,29,96,3.3,0,3,2,5,4
Oklahoma St.,46,2019-08-30,1,@,Oregon St.,100,W,52,36,16,19,24,79.2,203,3,0,52,352,6.8,4,3,1.0,0,0,7,26,49,53.1,281,4,37,167,4.5,1,0,0,0,5
Oregon St.,100,2019-08-30,1,,Oklahoma St.,46,L,36,52,-16,26,49,53.1,281,4,0,37,167,4.5,1,9,1.0,0,0,5,19,24,79.2,203,3,52,352,6.8,4,0,0,0,7
Purdue,38,2019-08-30,1,@,Nevada,88,L,31,34,-3,34,52,65.4,423,4,2,29,96,3.3,0,6,1.0,3,5,4,30,52,57.7,295,3,25,109,4.4,1,0,0,0,4
Rice,59,2019-08-30,1,@,Army,65,L,7,14,-7,7,14,50.0,62,0,0,30,181,6.0,1,4,,0,0,1,3,8,37.5,53,1,56,231,4.1,1,1,0,1,2
Rutgers,39,2019-08-30,1,,Massachusetts,68,W,48,21,27,22,32,68.8,348,2,3,43,206,4.8,4,6,2.0,0,3,6,22,37,59.5,121,1,34,183,5.4,2,0,2,2,3
South Florida,9,2019-08-30,1,,Wisconsin,40,L,0,49,-49,16,33,48.5,131,0,2,23,26,1.1,0,11,3.0,1,3,0,19,26,73.1,199,2,43,234,5.4,4,1,0,1,7
Tulsa,12,2019-08-30,1,@,Michigan St.,32,L,7,28,-21,16,27,59.3,153,1,1,25,-73,-2.9,0,6,1.0,2,3,1,22,38,57.9,195,1,40,108,2.7,0,0,0,0,2
Utah St.,93,2019-08-30,1,@,Wake Forest,26,L,35,38,-3,33,48,68.8,416,3,3,31,180,5.8,2,10,3.0,0,3,5,34,47,72.3,401,3,58,178,3.1,2,1,0,1,5
Wake Forest,26,2019-08-30,1,,Utah St.,93,W,38,35,3,34,47,72.3,401,3,0,58,178,3.1,2,3,1.0,1,1,5,33,48,68.8,416,3,31,180,5.8,2,0,3,3,5
Wisconsin,40,2019-08-30,1,@,South Florida,9,W,49,0,49,19,26,73.1,199,2,0,43,234,5.4,4,5,4.0,1,1,7,16,33,48.5,131,0,23,26,1.1,0,1,2,3,0
Air Force,83,2019-08-31,1,,Colgate,211,W,48,7,41,1,1,100.0,41,0,0,65,423,6.5,7,6,6.0,1,1,7,11,18,61.1,86,1,32,75,2.3,0,1,1,2,1
Akron,71,2019-08-31,1,@,Illinois,27,L,3,42,-39,12,28,42.9,128,0,1,38,64,1.7,0,3,2.0,1,2,0,15,25,60.0,194,3,46,207,4.5,3,0,0,0,6
Alabama,107,2019-08-31,1,N,Duke,15,W,42,3,39,30,36,83.3,367,4,0,42,145,3.5,2,2,1.0,1,1,6,12,22,54.5,97,0,32,107,3.3,0,1,2,3,0
Appalachian St.,121,2019-08-31,1,,East Tennessee St.,229,W,42,7,35,17,25,68.0,167,3,0,41,277,6.8,3,10,2.0,0,0,6,17,27,63.0,161,1,37,131,3.5,0,1,0,1,1
Arkansas,108,2019-08-31,1,,Portland State,139,W,20,13,7,18,35,51.4,191,0,1,42,204,4.9,2,8,6.0,0,1,2,16,33,48.5,155,1,28,75,2.7,0,0,3,3,1
Arkansas St.,122,2019-08-31,1,,SMU,8,L,30,37,-7,32,50,64.0,324,4,1,24,90,3.8,0,5,1.0,2,3,4,30,49,61.2,360,0,45,148,3.3,3,0,1,1,4
Auburn,109,2019-08-31,1,N,Oregon,99,W,27,21,6,13,32,40.6,177,2,2,43,206,4.8,1,6,3.0,0,2,3,28,37,75.7,242,1,33,90,2.7,2,1,0,1,3
Ball St.,72,2019-08-31,1,N,Indiana,28,L,24,34,-10,26,41,63.4,298,2,1,40,100,2.5,1,2,,0,1,3,24,41,58.5,326,1,33,148,4.5,2,0,2,2,3
Baylor,41,2019-08-31,1,,Stephen F. Austin,246,W,56,17,39,26,37,70.3,250,4,0,37,268,7.2,4,8,3.0,1,1,8,16,30,53.3,158,0,32,119,3.7,2,0,1,1,2
Boise St.,84,2019-08-31,1,@,Florida St.,16,W,36,31,5,30,51,58.8,407,1,1,57,214,3.8,2,11,4.0,2,3,3,23,34,67.6,327,3,28,99,3.5,1,2,0,2,4
Boston College,13,2019-08-31,1,,Virginia Tech,25,W,35,28,7,15,27,55.6,275,2,1,48,157,3.3,3,8,2.0,0,1,5,29,47,61.7,344,4,42,98,2.3,0,2,3,5,4
California,97,2019-08-31,1,,UC Davis,142,W,27,13,14,16,28,57.1,238,2,1,51,233,4.6,1,5,2.0,3,4,3,20,38,52.6,181,0,30,83,2.8,1,1,0,1,1
Coastal Carolina,123,2019-08-31,1,,Eastern Michigan,76,L,23,30,-7,29,43,67.4,304,2,4,30,74,2.5,0,6,1.0,0,4,2,20,22,90.9,188,3,35,103,2.9,1,1,0,1,4
Duke,15,2019-08-31,1,N,Alabama,107,L,3,42,-39,12,22,54.5,97,0,2,32,107,3.3,0,4,1.0,1,3,0,30,36,83.3,367,4,42,145,3.5,2,1,0,1,6
East Carolina,4,2019-08-31,1,@,NC State,20,L,6,34,-28,26,45,57.8,228,0,1,29,41,1.4,0,3,,1,2,0,26,39,66.7,314,1,31,191,6.2,3,0,0,0,4
Eastern Michigan,76,2019-08-31,1,@,Coastal Carolina,123,W,30,23,7,20,22,90.9,188,3,0,35,103,2.9,1,5,1.0,1,1,4,29,43,67.4,304,2,30,74,2.5,0,0,4,4,2
Florida Atlantic,52,2019-08-31,1,@,Ohio St.,36,L,21,45,-24,26,40,65.0,206,1,1,33,22,0.7,1,5,2.0,0,1,2,19,26,73.1,232,4,48,237,4.9,2,2,0,2,6
Florida St.,16,2019-08-31,1,,Boise St.,84,L,31,36,-5,23,34,67.6,327,3,0,28,99,3.5,1,8,6.0,2,2,4,30,51,58.8,407,1,57,214,3.8,2,2,1,3,3
Fresno St.,86,2019-08-31,1,@,USC,103,L,23,31,-8,19,39,48.7,256,2,1,40,206,5.2,0,3,1.0,2,3,2,31,42,73.8,272,1,36,175,4.9,2,2,2,4,4
Georgia,111,2019-08-31,1,@,Vanderbilt,120,W,30,6,24,15,23,65.2,156,1,0,40,323,8.1,2,2,2.0,1,1,3,16,32,50.0,109,0,30,116,3.9,0,1,0,1,0
Georgia Southern,124,2019-08-31,1,@,LSU,113,L,3,55,-52,4,11,36.4,24,0,0,39,74,1.9,0,7,,2,2,0,30,39,76.9,350,5,33,122,3.7,2,0,0,0,7
Georgia St.,125,2019-08-31,1,@,Tennessee,118,W,38,30,8,11,24,45.8,139,2,0,53,213,4.0,3,6,4.0,1,1,5,26,40,65.0,311,2,31,93,3.0,1,2,1,3,3
Illinois,27,2019-08-31,1,,Akron,71,W,42,3,39,15,25,60.0,194,3,0,46,207,4.5,3,12,6.0,0,0,6,12,28,42.9,128,0,38,64,1.7,0,1,1,2,0
Indiana,28,2019-08-31,1,N,Ball St.,72,W,34,24,10,24,41,58.5,326,1,2,33,148,4.5,2,7,3.0,0,2,3,26,41,63.4,298,2,40,100,2.5,1,0,1,1,3
Iowa,29,2019-08-31,1,,Miami (OH),78,W,38,14,24,21,30,70.0,252,3,0,41,213,5.2,2,2,1.0,1,1,5,17,27,63.0,186,2,25,59,2.4,0,0,1,1,2
Iowa St.,42,2019-08-31,1,,Northern Iowa,186,W,29,26,3,30,41,73.2,278,2,0,45,185,4.1,1,10,3.0,1,1,3,25,42,59.5,228,1,31,34,1.1,0,0,0,0,2
Kansas,43,2019-08-31,1,,Indiana State,183,W,24,17,7,20,29,69.0,241,2,0,34,103,3.0,0,3,3.0,3,3,3,22,34,64.7,219,1,37,146,3.9,0,0,2,2,2
Kansas St.,44,2019-08-31,1,,Nicholls State,242,W,49,14,35,16,22,72.7,212,1,0,58,361,6.2,5,2,,0,0,7,10,18,55.6,126,0,23,150,6.5,2,1,1,2,2
Kentucky,112,2019-08-31,1,,Toledo,81,W,38,24,14,19,26,73.1,246,2,0,39,176,4.5,3,7,4.0,2,2,6,11,25,44.0,166,0,39,181,4.6,3,1,1,2,3
Liberty,67,2019-08-31,1,,Syracuse,23,L,0,24,-24,21,42,50.0,238,0,2,34,-4,-0.1,0,2,2.0,2,4,0,17,35,48.6,176,0,44,192,4.4,3,1,2,3,3
Louisiana,126,2019-08-31,1,N,Mississippi St.,114,L,28,38,-10,24,40,60.0,267,1,1,38,163,4.3,3,2,2.0,3,4,4,20,30,66.7,236,2,40,261,6.5,3,2,0,2,5
Louisiana Tech,54,2019-08-31,1,@,Texas,48,L,14,45,-31,35,54,64.8,340,2,2,26,73,2.8,0,3,1.0,1,3,2,31,43,72.1,301,4,30,153,5.1,2,1,0,1,6
UL Monroe,130,2019-08-31,1,,Grambling,251,W,31,9,22,20,28,71.4,186,1,1,39,315,8.1,3,4,,0,1,4,19,34,55.9,164,1,37,243,6.6,0,0,1,1,1
LSU,113,2019-08-31,1,,Georgia Southern,124,W,55,3,52,30,39,76.9,350,5,0,33,122,3.7,2,5,2.0,0,0,7,4,11,36.4,24,0,39,74,1.9,0,2,0,2,0
Marshall,55,2019-08-31,1,,VMI,233,W,56,17,39,24,36,66.7,340,5,1,46,280,6.1,2,8,4.0,1,2,8,22,40,55.0,201,1,27,56,2.1,1,0,1,1,2
Maryland,30,2019-08-31,1,,Howard,176,W,79,0,79,17,30,56.7,306,5,0,48,317,6.6,5,15,7.0,0,0,11,8,19,42.1,67,0,38,1,0.0,0,1,0,1,0
Memphis,6,2019-08-31,1,,Ole Miss,116,W,15,10,5,23,31,74.2,172,0,1,51,192,3.8,2,10,3.0,0,1,2,9,19,47.4,93,0,33,80,2.4,1,0,1,1,1
Miami (OH),78,2019-08-31,1,@,Iowa,29,L,14,38,-24,17,27,63.0,186,2,1,25,59,2.4,0,0,,0,1,2,21,30,70.0,252,3,41,213,5.2,2,1,0,1,5
Michigan,31,2019-08-31,1,,Middle Tennessee,56,W,40,21,19,19,33,57.6,220,3,0,45,233,5.2,2,5,2.0,2,2,5,26,41,63.4,234,2,28,67,2.4,1,1,1,2,3
Middle Tennessee,56,2019-08-31,1,@,Michigan,31,L,21,40,-19,26,41,63.4,234,2,1,28,67,2.4,1,3,2.0,1,2,3,19,33,57.6,220,3,45,233,5.2,2,2,0,2,5
Mississippi St.,114,2019-08-31,1,N,Louisiana,126,W,38,28,10,20,30,66.7,236,2,0,40,261,6.5,3,2,,2,2,5,24,40,60.0,267,1,38,163,4.3,3,3,1,4,4
Missouri,115,2019-08-31,1,@,Wyoming,94,L,31,37,-6,31,48,64.6,423,2,1,42,114,2.7,2,2,,2,3,4,6,16,37.5,92,0,42,297,7.1,3,0,0,0,4
Navy,7,2019-08-31,1,,Holy Cross,214,W,45,7,38,6,9,66.7,103,0,0,67,428,6.4,6,7,3.0,2,2,6,16,29,55.2,167,0,26,65,2.5,1,1,0,1,1
Nebraska,34,2019-08-31,1,,South Alabama,127,W,35,21,14,13,22,59.1,178,0,1,44,98,2.2,2,9,4.0,2,3,5,19,35,54.3,231,2,44,83,1.9,1,2,3,5,3
New Mexico,89,2019-08-31,1,,Sam Houston State,244,W,39,31,8,18,40,45.0,340,0,0,32,145,4.5,4,5,3.0,0,0,4,35,60,58.3,443,2,35,115,3.3,2,1,0,1,4
New Mexico State,69,2019-08-31,1,@,Washington St.,106,L,7,58,-51,28,42,66.7,221,0,2,25,96,3.8,1,3,1.0,1,3,1,39,49,79.6,507,6,20,111,5.6,1,0,0,0,7
North Carolina,21,2019-08-31,1,N,South Carolina,117,W,24,20,4,15,24,62.5,245,2,0,52,238,4.6,0,7,3.0,1,1,2,16,30,53.3,142,1,31,128,4.1,1,0,2,2,2
NC State,20,2019-08-31,1,,East Carolina,4,W,34,6,28,26,39,66.7,314,1,0,31,191,6.2,3,8,3.0,0,0,4,26,45,57.8,228,0,29,41,1.4,0,1,1,2,0
North Texas,57,2019-08-31,1,,Abilene Christian,236,W,51,31,20,28,38,73.7,383,4,1,34,192,5.6,1,5,2.0,0,1,6,24,35,68.6,273,1,36,183,5.1,3,1,0,1,4
Northern Illinois,79,2019-08-31,1,,Illinois State,182,W,24,10,14,20,33,60.6,299,2,1,35,90,2.6,0,8,1.0,0,1,3,14,32,43.8,187,1,28,51,1.8,0,1,1,2,1
Northwestern,35,2019-08-31,1,@,Stanford,101,L,7,17,-10,12,27,44.4,117,0,2,33,93,2.8,1,2,1.0,2,4,1,23,34,67.6,233,1,39,132,3.4,0,2,0,2,2
Ohio,80,2019-08-31,1,,Rhode Island,158,W,41,20,21,16,23,69.6,188,2,1,38,278,7.3,3,3,,1,2,5,22,42,52.4,291,2,23,84,3.7,0,0,1,1,2
Ohio St.,36,2019-08-31,1,,Florida Atlantic,52,W,45,21,24,19,26,73.1,232,4,0,48,237,4.9,2,12,4.0,2,2,6,26,40,65.0,206,1,33,22,0.7,1,0,1,1,2
Old Dominion,58,2019-08-31,1,,Norfolk State,178,W,24,21,3,17,24,70.8,158,0,2,39,134,3.4,3,7,2.0,0,2,3,19,29,65.5,199,2,30,69,2.3,1,1,2,3,3
Ole Miss,116,2019-08-31,1,@,Memphis,6,L,10,15,-5,9,19,47.4,93,0,1,33,80,2.4,1,8,2.0,0,1,1,23,31,74.2,172,0,51,192,3.8,2,0,1,1,2
Oregon,99,2019-08-31,1,N,Auburn,109,L,21,27,-6,28,37,75.7,242,1,0,33,90,2.7,2,7,1.0,1,1,3,13,32,40.6,177,2,43,206,4.8,1,0,2,2,3
Penn State,37,2019-08-31,1,,Idaho,133,W,79,7,72,25,37,67.6,342,3,0,45,331,7.4,7,11,7.0,1,1,10,16,26,61.5,141,1,28,4,0.1,0,0,1,1,1
Pittsburgh,22,2019-08-31,1,,Virginia,24,L,14,30,-16,21,41,51.2,185,1,2,30,78,2.6,1,6,3.0,0,2,2,20,34,58.8,181,2,33,129,3.9,1,0,0,0,3
San Diego St.,90,2019-08-31,1,,Weber State,143,W,6,0,6,16,30,53.3,108,0,0,43,130,3.0,0,6,,1,1,0,21,32,65.6,119,0,19,35,1.8,0,0,1,1,0
