School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,Total Plays,Total Yards,Total Yards Avg,Total TD,Total Points,Point Diff
LSU,113,2005-11-12,9,@,Alabama,107,W,16,30,53.3,229,1,33,46,1.4,1,63,275,4.4,2,16,3
Maryland,30,2005-11-12,9,@,North Carolina,21,W,19,31,61.3,374,3,49,150,3.1,1,80,524,6.6,4,33,3
Memphis,6,2005-11-12,9,@,Tennessee,118,L,13,30,43.3,128,0,38,165,4.3,1,68,293,4.3,1,16,-4
Miami (FL),19,2005-11-12,9,@,Wake Forest,26,W,18,31,58.1,321,5,37,194,5.2,2,68,515,7.6,7,47,30
Michigan,31,2005-11-12,10,,Indiana,28,W,23,37,62.2,209,3,49,216,4.4,3,86,425,4.9,6,41,27
Michigan St.,32,2005-11-12,10,@,Minnesota,33,L,29,46,63.0,312,2,21,145,6.9,0,67,457,6.8,2,18,-23
Middle Tennessee,56,2005-11-12,8,,UL Monroe,130,L,20,33,60.6,272,1,36,126,3.5,3,69,398,5.8,4,31,-3
Minnesota,33,2005-11-12,10,,Michigan St.,32,W,8,13,61.5,123,2,63,327,5.2,4,76,450,5.9,6,41,23
Missouri,115,2005-11-12,10,,Baylor,41,W,9,23,39.1,72,0,50,298,6.0,3,73,370,5.1,4,31,15
Navy,7,2005-11-12,9,@,Notre Dame,70,L,4,10,40.0,75,1,58,239,4.1,2,68,314,4.6,3,21,-21
Nebraska,34,2005-11-12,10,,Kansas St.,44,W,22,38,57.9,241,2,35,93,2.7,1,73,334,4.6,3,27,2
Nevada,88,2005-11-12,9,@,New Mexico State,69,W,22,34,64.7,271,3,50,289,5.8,2,84,560,6.7,6,48,24
New Mexico,89,2005-11-12,10,@,Utah,104,W,16,30,53.3,197,1,44,88,2.0,2,74,285,3.9,5,31,4
New Mexico State,69,2005-11-12,10,,Nevada,88,L,33,47,70.2,357,3,19,41,2.2,0,66,398,6.0,3,24,-24
North Carolina,21,2005-11-12,9,,Maryland,30,L,25,40,62.5,335,1,28,89,3.2,1,68,424,6.2,3,30,-3
NC State,20,2005-11-12,9,@,Boston College,13,L,13,30,43.3,247,1,40,59,1.5,0,70,306,4.4,1,10,-20
North Texas,57,2005-11-12,9,@,Florida Atlantic,52,L,15,35,42.9,187,1,38,161,4.2,1,73,348,4.8,3,23,-3
Northwestern,35,2005-11-12,10,@,Ohio St.,36,L,18,40,45.0,153,1,29,98,3.4,0,69,251,3.6,1,7,-41
Notre Dame,70,2005-11-12,9,,Navy,7,W,22,31,71.0,284,4,39,221,5.7,2,70,505,7.2,6,42,21
Ohio St.,36,2005-11-12,10,,Northwestern,35,W,9,15,60.0,105,0,54,317,5.9,5,69,422,6.1,6,48,41
Oklahoma,45,2005-11-12,9,,Texas A&M,119,W,20,29,69.0,298,1,48,211,4.4,4,77,509,6.6,5,36,6
Oklahoma St.,46,2005-11-12,9,,Texas Tech,49,W,11,23,47.8,94,1,52,303,5.8,2,75,397,5.3,3,24,7
Ole Miss,116,2005-11-12,9,,Arkansas,108,L,21,40,52.5,316,1,34,10,0.3,1,74,326,4.4,2,17,-11
Oregon,99,2005-11-12,10,@,Washington St.,106,W,28,39,71.8,296,2,37,148,4.0,2,76,444,5.8,4,34,3
Oregon St.,100,2005-11-12,10,,Stanford,101,L,16,40,40.0,250,1,30,62,2.1,0,70,312,4.5,2,17,-3
Pittsburgh,22,2005-11-12,10,,Connecticut,3,W,12,21,57.1,116,1,34,76,2.2,1,55,192,3.5,3,24,24
Purdue,38,2005-11-12,10,,Illinois,27,W,18,26,69.2,201,1,47,190,4.0,4,73,391,5.4,5,37,34
Rice,59,2005-11-12,9,,Tulane,11,W,5,13,38.5,114,1,59,392,6.6,5,72,506,7.0,6,42,8
San Diego St.,90,2005-11-12,10,@,Colorado St.,85,W,14,24,58.3,179,2,42,196,4.7,1,66,375,5.7,3,30,20
South Carolina,117,2005-11-12,10,,Florida,110,W,7,17,41.2,126,0,36,120,3.3,4,53,246,4.6,4,30,8
South Florida,9,2005-11-12,8,@,Syracuse,23,W,5,14,35.7,89,0,51,338,6.6,3,65,427,6.6,3,27,27
Stanford,101,2005-11-12,9,@,Oregon St.,100,W,18,33,54.5,234,2,40,68,1.7,0,73,302,4.1,2,20,3
Syracuse,23,2005-11-12,9,,South Florida,9,L,8,26,30.8,65,0,37,117,3.2,0,63,182,2.9,0,0,-27
Tennessee,118,2005-11-12,9,,Memphis,6,W,15,27,55.6,215,2,37,126,3.4,0,64,341,5.3,2,20,4
Texas,48,2005-11-12,10,,Kansas,43,W,19,28,67.9,281,4,53,336,6.3,4,81,617,7.6,9,66,52
Texas A&M,119,2005-11-12,10,@,Oklahoma,45,L,12,35,34.3,158,2,44,292,6.6,1,79,450,5.7,3,30,-6
TCU,47,2005-11-12,11,,UNLV,92,W,21,35,60.0,301,2,60,286,4.8,4,95,587,6.2,6,51,48
Texas Tech,49,2005-11-12,10,@,Oklahoma St.,46,L,29,42,69.0,308,1,19,30,1.6,0,61,338,5.5,2,17,-7
Troy,129,2005-11-12,10,@,Arkansas St.,122,L,12,23,52.2,98,0,32,69,2.2,0,55,167,3.0,0,3,-6
Tulane,11,2005-11-12,9,@,Rice,59,L,22,38,57.9,298,3,38,154,4.1,1,76,452,5.9,4,34,-8
Tulsa,12,2005-11-12,10,,East Carolina,4,W,21,31,67.7,257,2,35,238,6.8,4,66,495,7.5,6,45,32
UAB,61,2005-11-12,9,,Central Florida,1,L,20,39,51.3,240,1,30,190,6.3,2,69,430,6.2,3,21,-6
Central Florida,1,2005-11-12,10,@,UAB,61,W,15,24,62.5,183,0,44,175,4.0,2,68,358,5.3,2,27,6
UCLA,102,2005-11-12,10,,Arizona St.,96,W,22,27,81.5,510,5,39,150,3.8,1,66,660,10.0,6,45,10
UNLV,92,2005-11-12,10,@,TCU,47,L,12,31,38.7,152,0,25,5,0.2,0,56,157,2.8,0,3,-48
USC,103,2005-11-12,10,@,California,97,W,20,32,62.5,246,0,47,188,4.0,5,79,434,5.5,5,35,25
Utah,104,2005-11-12,10,,New Mexico,89,L,18,41,43.9,381,4,32,60,1.9,0,73,441,6.0,4,27,-4
Utah St.,93,2005-11-12,9,@,Hawaii,87,L,17,24,70.8,218,1,44,153,3.5,2,68,371,5.5,3,23,-27
UTEP,62,2005-11-12,9,,Texas Southern,256,W,21,29,72.4,306,4,36,162,4.5,2,65,468,7.2,6,45,45
Vanderbilt,120,2005-11-12,10,,Kentucky,112,L,39,67,58.2,395,5,27,119,4.4,1,94,514,5.5,6,43,-5
Virginia,24,2005-11-12,9,,Georgia Tech,17,W,21,29,72.4,205,1,45,161,3.6,2,74,366,4.9,3,27,10
Wake Forest,26,2005-11-12,11,,Miami (FL),19,L,15,31,48.4,236,1,48,133,2.8,1,79,369,4.7,2,17,-30
Washington,105,2005-11-12,10,@,Arizona,95,W,10,19,52.6,157,1,52,333,6.4,3,71,490,6.9,5,38,24
Washington St.,106,2005-11-12,10,,Oregon,99,L,22,33,66.7,283,3,37,172,4.6,1,70,455,6.5,4,31,-3
Western Michigan,82,2005-11-12,10,,Central Michigan,75,W,16,29,55.2,239,4,35,126,3.6,0,64,365,5.7,4,31,7
Wisconsin,40,2005-11-12,11,,Iowa,29,L,21,38,55.3,257,1,31,19,0.6,0,69,276,4.0,1,10,-10
Wyoming,94,2005-11-12,10,,BYU,66,L,20,25,80.0,241,1,33,166,5.0,2,58,407,7.0,3,21,-14
Houston,5,2005-11-13,9,,Southern Miss,60,W,24,36,66.7,315,2,47,155,3.3,1,83,470,5.7,3,27,3
Southern Miss,60,2005-11-13,9,@,Houston,5,L,23,45,51.1,295,2,26,24,0.9,1,71,319,4.5,3,24,-3
Akron,71,2005-11-15,10,,Ohio,80,W,22,32,68.8,270,1,44,228,5.2,2,76,498,6.6,3,27,24
Bowling Green,73,2005-11-15,10,@,Miami (OH),78,W,22,35,62.9,183,4,42,123,2.9,1,77,306,4.0,5,42,28
Miami (OH),78,2005-11-15,10,,Bowling Green,73,L,17,37,45.9,254,2,27,-64,-2.4,0,64,190,3.0,2,14,-28
Ohio,80,2005-11-15,10,@,Akron,71,L,10,19,52.6,99,0,27,11,0.4,0,46,110,2.4,0,3,-24
Northern Illinois,79,2005-11-16,10,@,Toledo,81,W,21,30,70.0,176,2,43,162,3.8,3,73,338,4.6,5,35,18
Toledo,81,2005-11-16,10,,Northern Illinois,79,L,15,35,42.9,166,1,37,147,4.0,1,72,313,4.3,2,17,-18
Air Force,83,2005-11-19,11,@,New Mexico,89,W,11,15,73.3,186,1,59,278,4.7,4,74,464,6.3,5,42,18
Alabama,107,2005-11-19,11,@,Auburn,109,L,16,29,55.2,155,0,37,33,0.9,2,66,188,2.8,2,18,-10
Arkansas,108,2005-11-19,10,,Mississippi St.,114,W,14,26,53.8,132,2,45,247,5.5,2,71,379,5.3,5,44,34
Arkansas St.,122,2005-11-19,10,@,Army,65,L,17,30,56.7,125,0,39,165,4.2,1,69,290,4.2,1,10,-28
Army,65,2005-11-19,10,,Arkansas St.,122,W,5,10,50.0,77,1,55,300,5.5,4,65,377,5.8,5,38,28
Auburn,109,2005-11-19,11,,Alabama,107,W,14,21,66.7,118,2,35,139,4.0,2,56,257,4.6,4,28,10
Ball St.,72,2005-11-19,11,,Central Michigan,75,L,23,38,60.5,281,1,43,74,1.7,2,81,355,4.4,3,24,-7
Baylor,41,2005-11-19,11,,Oklahoma St.,46,W,22,35,62.9,272,1,40,46,1.2,3,75,318,4.2,5,44,10
Boise St.,84,2005-11-19,11,,Idaho,133,W,9,25,36.0,203,1,34,254,7.5,6,59,457,7.7,10,70,35
Boston College,13,2005-11-19,11,@,Maryland,30,W,16,24,66.7,230,0,44,221,5.0,2,68,451,6.6,4,31,15
BYU,66,2005-11-19,11,,Utah,104,L,27,48,56.3,309,2,31,176,5.7,2,79,485,6.1,4,34,-7
Buffalo,74,2005-11-19,11,,Eastern Michigan,76,L,25,41,61.0,269,2,39,172,4.4,0,80,441,5.5,2,14,-24
California,97,2005-11-19,11,@,Stanford,101,W,11,19,57.9,139,2,43,226,5.3,2,62,365,5.9,4,27,24
Central Michigan,75,2005-11-19,11,@,Ball St.,72,W,23,42,54.8,327,3,33,111,3.4,0,75,438,5.8,4,31,7
Cincinnati,2,2005-11-19,10,@,South Florida,9,L,20,31,64.5,273,2,30,89,3.0,0,61,362,5.9,2,16,-15
Clemson,14,2005-11-19,11,@,South Carolina,117,W,17,26,65.4,172,0,40,175,4.4,1,66,347,5.3,1,13,4
Colorado St.,85,2005-11-19,11,@,UNLV,92,W,17,27,63.0,194,0,41,135,3.3,3,68,329,4.8,4,31,4
Duke,15,2005-11-19,11,@,North Carolina,21,L,11,30,36.7,163,0,38,81,2.1,3,68,244,3.6,3,21,-3
East Carolina,4,2005-11-19,10,@,Marshall,55,W,17,25,68.0,219,0,45,245,5.4,4,70,464,6.6,4,34,5
Eastern Michigan,76,2005-11-19,11,@,Buffalo,74,W,15,28,53.6,147,2,31,169,5.5,2,59,316,5.4,5,38,24
Florida Intl,53,2005-11-19,9,,Western Kentucky,64,W,22,36,61.1,324,1,36,168,4.7,4,72,492,6.8,5,38,3
Fresno St.,86,2005-11-19,10,@,USC,103,L,27,45,60.0,317,4,32,110,3.4,2,77,427,5.5,6,42,-8
Georgia,111,2005-11-19,10,,Kentucky,112,W,22,38,57.9,226,5,31,169,5.5,1,69,395,5.7,6,45,32
Georgia Tech,17,2005-11-19,10,@,Miami (FL),19,W,11,30,36.7,159,0,44,120,2.7,2,74,279,3.8,2,14,4
Houston,5,2005-11-19,10,,SMU,8,L,25,36,69.4,273,1,40,119,3.0,2,76,392,5.2,3,24,-5
Idaho,133,2005-11-19,10,@,Boise St.,84,L,34,62,54.8,357,3,30,72,2.4,2,92,429,4.7,5,35,-35
Illinois,27,2005-11-19,11,,Northwestern,35,L,20,35,57.1,241,2,43,199,4.6,1,78,440,5.6,3,21,-17
Indiana,28,2005-11-19,11,,Purdue,38,L,12,27,44.4,169,0,39,145,3.7,2,66,314,4.8,2,14,-27
Iowa,29,2005-11-19,11,,Minnesota,33,W,20,34,58.8,377,5,40,236,5.9,2,74,613,8.3,7,52,24
Kansas St.,44,2005-11-19,11,,Missouri,115,W,12,24,50.0,118,1,47,224,4.8,2,71,342,4.8,5,36,8
Kentucky,112,2005-11-19,10,@,Georgia,111,L,18,33,54.5,100,0,31,99,3.2,1,64,199,3.1,1,13,-32
UL Monroe,130,2005-11-19,10,@,North Texas,57,W,16,33,48.5,218,2,47,161,3.4,1,80,379,4.7,3,24,5
LSU,113,2005-11-19,10,@,Ole Miss,116,W,15,26,57.7,203,3,41,177,4.3,2,67,380,5.7,5,40,33
Marshall,55,2005-11-19,10,,East Carolina,4,L,26,35,74.3,191,2,34,199,5.9,2,69,390,5.7,4,29,-5
Maryland,30,2005-11-19,10,,Boston College,13,L,25,46,54.3,230,1,39,133,3.4,1,85,363,4.3,2,16,-15
Memphis,6,2005-11-19,10,@,Southern Miss,60,W,12,19,63.2,157,1,61,263,4.3,2,80,420,5.3,3,24,2
Miami (FL),19,2005-11-19,10,,Georgia Tech,17,L,14,31,45.2,207,1,30,30,1.0,0,61,237,3.9,1,10,-4
Michigan,31,2005-11-19,11,,Ohio St.,36,L,25,37,67.6,223,1,24,32,1.3,1,61,255,4.2,2,21,-4
Michigan St.,32,2005-11-19,11,,Penn State,37,L,23,36,63.9,233,1,42,168,4.0,2,78,401,5.1,3,22,-9
Middle Tennessee,56,2005-11-19,9,@,NC State,20,L,23,37,62.2,228,0,39,50,1.3,0,76,278,3.7,0,3,-21
Minnesota,33,2005-11-19,11,@,Iowa,29,L,26,46,56.5,315,1,34,129,3.8,2,80,444,5.6,4,28,-24
Mississippi St.,114,2005-11-19,10,@,Arkansas,108,L,11,27,40.7,77,0,33,106,3.2,1,60,183,3.1,1,10,-34
Missouri,115,2005-11-19,11,@,Kansas St.,44,L,23,39,59.0,268,3,40,178,4.5,1,79,446,5.6,4,28,-8
Navy,7,2005-11-19,10,,Temple,10,W,4,11,36.4,120,0,63,375,6.0,4,74,495,6.7,5,38,21
Nevada,88,2005-11-19,10,@,Utah St.,93,W,12,19,63.2,146,2,45,195,4.3,2,64,341,5.3,4,30,6
New Mexico,89,2005-11-19,11,,Air Force,83,L,16,29,55.2,162,1,46,227,4.9,2,75,389,5.2,3,24,-18
New Mexico State,69,2005-11-19,11,@,San Jose St.,91,L,40,64,62.5,366,1,17,10,0.6,0,81,376,4.6,1,10,-17
North Carolina,21,2005-11-19,10,,Duke,15,W,15,34,44.1,238,1,46,163,3.5,2,80,401,5.0,3,24,3
NC State,20,2005-11-19,10,,Middle Tennessee,56,W,6,11,54.5,85,1,31,153,4.9,1,42,238,5.7,3,24,21
North Texas,57,2005-11-19,10,,UL Monroe,130,L,19,38,50.0,242,1,35,121,3.5,1,73,363,5.0,2,19,-5
Northwestern,35,2005-11-19,11,@,Illinois,27,W,25,31,80.6,240,2,61,356,5.8,3,92,596,6.5,5,38,17
Notre Dame,70,2005-11-19,10,,Syracuse,23,W,22,38,57.9,286,2,36,134,3.7,1,74,420,5.7,4,34,24
Ohio St.,36,2005-11-19,11,@,Michigan,31,W,27,37,73.0,300,1,35,118,3.4,2,72,418,5.8,3,25,4
Oklahoma,45,2005-11-19,10,@,Texas Tech,49,L,12,26,46.2,118,1,45,162,3.6,2,71,280,3.9,3,21,-2
Oklahoma St.,46,2005-11-19,10,@,Baylor,41,L,29,50,58.0,383,4,31,90,2.9,1,81,473,5.8,5,34,-10
Ole Miss,116,2005-11-19,10,,LSU,113,L,20,38,52.6,168,1,22,7,0.3,0,60,175,2.9,1,7,-33
Oregon,99,2005-11-19,11,,Oregon St.,100,W,18,30,60.0,262,3,36,140,3.9,3,66,402,6.1,8,56,42
Oregon St.,100,2005-11-19,11,@,Oregon,99,L,23,44,52.3,178,1,41,119,2.9,1,85,297,3.5,2,14,-42
Penn State,37,2005-11-19,11,@,Michigan St.,32,W,10,20,50.0,105,1,39,188,4.8,2,59,293,5.0,4,31,9
Purdue,38,2005-11-19,11,@,Indiana,28,W,14,27,51.9,124,0,51,299,5.9,5,78,423,5.4,5,41,27
Rice,59,2005-11-19,10,,Central Florida,1,L,8,16,50.0,214,3,49,237,4.8,1,65,451,6.9,4,28,-3
San Diego St.,90,2005-11-19,11,,Wyoming,94,W,17,29,58.6,211,1,42,214,5.1,2,71,425,6.0,4,34,13
San Jose St.,91,2005-11-19,10,,New Mexico State,69,W,20,34,58.8,222,0,49,257,5.2,2,83,479,5.8,3,27,17
SMU,8,2005-11-19,10,@,Houston,5,W,12,27,44.4,117,1,36,124,3.4,1,63,241,3.8,3,29,5
South Carolina,117,2005-11-19,11,,Clemson,14,L,16,29,55.2,180,0,33,167,5.1,0,62,347,5.6,0,9,-4
South Florida,9,2005-11-19,9,,Cincinnati,2,W,12,21,57.1,155,0,52,190,3.7,3,73,345,4.7,4,31,15
Southern Miss,60,2005-11-19,10,,Memphis,6,L,22,40,55.0,297,2,26,94,3.6,1,66,391,5.9,3,22,-2
Stanford,101,2005-11-19,10,,California,97,L,24,37,64.9,228,0,37,16,0.4,0,74,244,3.3,0,3,-24
Syracuse,23,2005-11-19,10,@,Notre Dame,70,L,9,22,40.9,78,1,38,143,3.8,0,60,221,3.7,1,10,-24
Temple,10,2005-11-19,11,@,Navy,7,L,24,39,61.5,245,1,34,136,4.0,1,73,381,5.2,2,17,-21
Tennessee,118,2005-11-19,10,,Vanderbilt,120,L,11,26,42.3,125,1,47,251,5.3,2,73,376,5.2,3,24,-4
Texas Tech,49,2005-11-19,11,,Oklahoma,45,W,24,37,64.9,232,2,31,144,4.6,1,68,376,5.5,3,23,2
Tulane,11,2005-11-19,10,,Tulsa,12,L,18,35,51.4,212,1,28,58,2.1,1,63,270,4.3,2,14,-24
Tulsa,12,2005-11-19,11,@,Tulane,11,W,16,25,64.0,281,3,40,145,3.6,2,65,426,6.6,5,38,24
UAB,61,2005-11-19,10,@,UTEP,62,W,11,17,64.7,184,4,45,189,4.2,1,62,373,6.0,5,35,12
Central Florida,1,2005-11-19,11,@,Rice,59,W,19,29,65.5,205,2,40,149,3.7,1,69,354,5.1,4,31,3
UNLV,92,2005-11-19,11,,Colorado St.,85,L,16,28,57.1,167,1,41,190,4.6,2,69,357,5.2,3,27,-4
USC,103,2005-11-19,11,,Fresno St.,86,W,22,33,66.7,200,1,36,308,8.6,5,69,508,7.4,6,50,8
Utah,104,2005-11-19,11,@,BYU,66,W,17,35,48.6,240,4,44,251,5.7,1,79,491,6.2,5,41,7
Utah St.,93,2005-11-19,10,,Nevada,88,L,19,27,70.4,226,2,39,93,2.4,0,66,319,4.8,3,24,-6
UTEP,62,2005-11-19,10,,UAB,61,L,33,52,63.5,337,2,43,148,3.4,1,95,485,5.1,3,23,-12
Vanderbilt,120,2005-11-19,11,@,Tennessee,118,W,27,39,69.2,315,3,28,49,1.8,1,67,364,5.4,4,28,4
Virginia,24,2005-11-19,10,,Virginia Tech,25,L,17,30,56.7,140,0,30,114,3.8,2,60,254,4.2,2,14,-38
Virginia Tech,25,2005-11-19,10,@,Virginia,24,W,15,21,71.4,170,2,55,333,6.1,5,76,503,6.6,7,52,38
Washington,105,2005-11-19,11,,Washington St.,106,L,14,28,50.0,228,2,28,99,3.5,1,56,327,5.8,3,22,-4
Washington St.,106,2005-11-19,11,@,Washington,105,W,21,35,60.0,283,2,47,224,4.8,1,82,507,6.2,3,26,4
Wyoming,94,2005-11-19,11,@,San Diego St.,90,L,37,55,67.3,346,0,28,51,1.8,3,83,397,4.8,3,21,-13
Miami (OH),78,2005-11-21,11,@,Ohio,80,W,22,44,50.0,297,2,41,124,3.0,2,85,421,5.0,5,38,31
Ohio,80,2005-11-21,11,,Miami (OH),78,L,5,22,22.7,28,0,37,157,4.2,1,59,185,3.1,1,7,-31
Bowling Green,73,2005-11-22,11,,Toledo,81,L,25,43,58.1,315,3,34,180,5.3,2,77,495,6.4,5,41,-3
Toledo,81,2005-11-22,11,@,Bowling Green,73,W,23,36,63.9,298,4,52,284,5.5,2,88,582,6.6,6,44,3
Northern Illinois,79,2005-11-23,11,,Western Michigan,82,W,8,13,61.5,160,1,50,366,7.3,5,63,526,8.3,6,42,35
Western Michigan,82,2005-11-23,11,@,Northern Illinois,79,L,26,42,61.9,185,1,32,104,3.3,0,74,289,3.9,1,7,-35
Akron,71,2005-11-24,11,,Kent State,77,W,7,18,38.9,66,2,46,161,3.5,1,64,227,3.5,5,35,32
Kent State,77,2005-11-24,11,@,Akron,71,L,4,12,33.3,7,0,45,109,2.4,0,57,116,2.0,0,3,-32
Pittsburgh,22,2005-11-24,11,@,West Virginia,50,L,24,43,55.8,308,2,31,122,3.9,0,74,430,5.8,2,13,-32
West Virginia,50,2005-11-24,10,,Pittsburgh,22,W,4,10,40.0,41,1,62,451,7.3,4,72,492,6.8,6,45,32
Arizona,95,2005-11-25,11,@,Arizona St.,96,L,18,27,66.7,213,1,50,164,3.3,1,77,377,4.9,2,20,-3
Arizona St.,96,2005-11-25,11,,Arizona,95,W,18,37,48.6,246,0,30,123,4.1,1,67,369,5.5,2,23,3
Arkansas,108,2005-11-25,11,@,LSU,113,L,14,30,46.7,206,1,34,35,1.0,1,64,241,3.8,2,17,-2
Colorado,98,2005-11-25,11,,Nebraska,34,L,20,40,50.0,159,0,20,53,2.7,0,60,212,3.5,0,3,-27
Hawaii,87,2005-11-25,11,,Wisconsin,40,L,33,54,61.1,403,3,17,43,2.5,0,71,446,6.3,3,24,-17
LSU,113,2005-11-25,11,,Arkansas,108,W,13,29,44.8,194,1,37,108,2.9,1,66,302,4.6,2,19,2
Nebraska,34,2005-11-25,11,@,Colorado,98,W,27,48,56.3,392,2,42,105,2.5,1,90,497,5.5,3,30,27
Texas,48,2005-11-25,11,@,Texas A&M,119,W,13,24,54.2,162,1,42,174,4.1,3,66,336,5.1,5,40,11
Texas A&M,119,2005-11-25,11,,Texas,48,L,10,24,41.7,118,1,52,277,5.3,3,76,395,5.2,4,29,-11
Wisconsin,40,2005-11-25,12,@,Hawaii,87,W,12,16,75.0,191,2,53,249,4.7,3,69,440,6.4,5,41,17
Arkansas St.,122,2005-11-26,11,@,North Texas,57,W,13,31,41.9,205,1,39,237,6.1,3,70,442,6.3,4,31,7
Boise St.,84,2005-11-26,12,@,Louisiana Tech,54,W,10,17,58.8,137,2,54,260,4.8,2,71,397,5.6,4,30,17
Cincinnati,2,2005-11-26,11,@,Rutgers,39,L,15,24,62.5,169,1,28,-23,-0.8,0,52,146,2.8,1,9,-35
Connecticut,3,2005-11-26,10,,South Florida,9,W,8,26,30.8,81,0,41,160,3.9,1,67,241,3.6,2,15,5
East Carolina,4,2005-11-26,11,,UAB,61,W,21,33,63.6,286,2,41,135,3.3,2,74,421,5.7,4,31,8
Florida,110,2005-11-26,11,,Florida St.,16,W,19,28,67.9,211,2,33,73,2.2,1,61,284,4.7,4,34,27
Florida Atlantic,52,2005-11-26,11,@,Florida Intl,53,L,14,28,50.0,172,1,34,82,2.4,0,62,254,4.1,1,6,-46
Florida Intl,53,2005-11-26,10,,Florida Atlantic,52,W,10,20,50.0,114,0,52,266,5.1,3,72,380,5.3,7,52,46
Florida St.,16,2005-11-26,11,@,Florida,110,L,24,42,57.1,285,1,28,49,1.8,0,70,334,4.8,1,7,-27
Fresno St.,86,2005-11-26,11,@,Nevada,88,L,30,45,66.7,405,4,28,133,4.8,0,73,538,7.4,4,35,-3
Georgia,111,2005-11-26,11,@,Georgia Tech,17,W,15,34,44.1,198,1,30,68,2.3,1,64,266,4.2,2,14,7
Georgia Tech,17,2005-11-26,11,,Georgia,111,L,18,35,51.4,155,1,37,172,4.6,0,72,327,4.5,1,7,-7
Houston,5,2005-11-26,11,,Rice,59,W,16,25,64.0,222,1,50,273,5.5,4,75,495,6.6,5,35,17
Idaho,133,2005-11-26,11,@,San Jose St.,91,L,14,34,41.2,135,0,38,165,4.3,2,72,300,4.2,2,18,-8
Iowa St.,42,2005-11-26,11,@,Kansas,43,L,18,34,52.9,257,2,36,56,1.6,1,70,313,4.5,3,21,-3
Kansas,43,2005-11-26,11,,Iowa St.,42,W,24,43,55.8,254,1,38,123,3.2,1,81,377,4.7,2,24,3
Kentucky,112,2005-11-26,11,,Tennessee,118,L,27,41,65.9,177,0,33,46,1.4,0,74,223,3.0,0,8,-19
Louisiana,126,2005-11-26,11,@,UL Monroe,130,W,8,14,57.1,82,0,57,343,6.0,6,71,425,6.0,7,54,33
Louisiana Tech,54,2005-11-26,10,,Boise St.,84,L,17,32,53.1,180,1,25,56,2.2,0,57,236,4.1,1,13,-17
UL Monroe,130,2005-11-26,11,,Louisiana,126,L,17,37,45.9,136,1,29,66,2.3,2,66,202,3.1,3,21,-33
Louisville,18,2005-11-26,10,,Syracuse,23,W,17,29,58.6,285,2,40,220,5.5,3,69,505,7.3,5,41,24
Marshall,55,2005-11-26,11,@,Memphis,6,L,11,23,47.8,97,0,36,57,1.6,0,59,154,2.6,0,3,-23
Maryland,30,2005-11-26,11,@,NC State,20,L,20,35,57.1,235,1,33,30,0.9,1,68,265,3.9,2,14,-6
Memphis,6,2005-11-26,11,,Marshall,55,W,1,8,12.5,-3,0,54,243,4.5,2,62,240,3.9,2,26,23
Miami (FL),19,2005-11-26,11,,Virginia,24,W,23,30,76.7,248,1,34,151,4.4,2,64,399,6.2,3,25,8
Middle Tennessee,56,2005-11-26,10,@,Troy,129,W,18,27,66.7,146,0,45,125,2.8,2,72,271,3.8,2,17,10
Mississippi St.,114,2005-11-26,11,,Ole Miss,116,W,11,20,55.0,105,2,56,304,5.4,3,76,409,5.4,5,35,21
Nevada,88,2005-11-26,11,,Fresno St.,86,W,15,22,68.2,189,1,47,235,5.0,4,69,424,6.1,5,38,3
New Mexico State,69,2005-11-26,12,,Utah St.,93,L,30,49,61.2,306,2,37,117,3.2,1,86,423,4.9,3,21,-3
North Carolina,21,2005-11-26,11,@,Virginia Tech,25,L,15,41,36.6,160,0,22,36,1.6,0,63,196,3.1,0,3,-27
NC State,20,2005-11-26,11,,Maryland,30,W,12,19,63.2,113,0,42,73,1.7,1,61,186,3.0,2,20,6
North Texas,57,2005-11-26,11,,Arkansas St.,122,L,22,38,57.9,218,2,48,175,3.6,1,86,393,4.6,3,24,-7
Notre Dame,70,2005-11-26,11,@,Stanford,101,W,25,38,65.8,432,3,50,231,4.6,2,88,663,7.5,5,38,7
Oklahoma,45,2005-11-26,11,,Oklahoma St.,46,W,13,21,61.9,206,3,43,354,8.2,3,64,560,8.8,6,42,28
Oklahoma St.,46,2005-11-26,11,@,Oklahoma,45,L,10,27,37.0,126,0,32,13,0.4,2,59,139,2.4,2,14,-28
Ole Miss,116,2005-11-26,11,@,Mississippi St.,114,L,15,24,62.5,158,2,25,31,1.2,0,49,189,3.9,2,14,-21
Rice,59,2005-11-26,11,@,Houston,5,L,8,17,47.1,110,1,58,289,5.0,1,75,399,5.3,2,18,-17
Rutgers,39,2005-11-26,11,,Cincinnati,2,W,16,26,61.5,237,1,50,337,6.7,4,76,574,7.6,5,44,35
San Jose St.,91,2005-11-26,11,,Idaho,133,W,8,17,47.1,138,2,51,204,4.0,1,68,342,5.0,3,26,8
SMU,8,2005-11-26,11,,UTEP,62,W,18,32,56.3,211,3,46,229,5.0,1,78,440,5.6,4,40,13
South Florida,9,2005-11-26,10,@,Connecticut,3,L,10,26,38.5,168,1,40,83,2.1,0,66,251,3.8,1,10,-5
Southern Miss,60,2005-11-26,11,,Tulane,11,W,18,30,60.0,276,1,38,136,3.6,1,68,412,6.1,2,26,19
