School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,Total Plays,Total Yards,Total Yards Avg,Total TD,Total Points,Point Diff
Rutgers,39,2005-11-11,10,@,Louisville,18,L,12,24,50.0,91,0,26,96,3.7,0,50,187,3.7,0,5,-51
Alabama,107,2005-11-12,10,,LSU,113,L,19,40,47.5,187,1,32,97,3.0,0,72,284,3.9,1,13,-3
Arizona,95,2005-11-12,10,,Washington,105,L,22,41,53.7,235,2,30,87,2.9,0,71,322,4.5,2,14,-24
Arizona St.,96,2005-11-12,10,@,UCLA,102,L,27,37,73.0,334,3,45,181,4.0,2,82,515,6.3,5,35,-10
Arkansas,108,2005-11-12,9,@,Ole Miss,116,W,17,24,70.8,175,3,40,89,2.2,0,64,264,4.1,4,28,11
Arkansas St.,122,2005-11-12,9,,Troy,129,W,9,20,45.0,117,0,44,127,2.9,0,64,244,3.8,0,9,6
Army,65,2005-11-12,9,,Massachusetts,68,W,22,27,81.5,224,2,40,120,3.0,2,67,344,5.1,4,34,7
Auburn,109,2005-11-12,10,@,Georgia,111,W,16,28,57.1,279,0,46,227,4.9,3,74,506,6.8,4,31,1
Ball St.,72,2005-11-12,10,@,Eastern Michigan,76,W,17,33,51.5,204,3,22,33,1.5,0,55,237,4.3,4,26,1
Baylor,41,2005-11-12,10,@,Missouri,115,L,27,50,54.0,270,2,33,77,2.3,0,83,347,4.2,2,16,-15
Boston College,13,2005-11-12,10,,NC State,20,W,8,16,50.0,185,1,42,150,3.6,3,58,335,5.8,4,30,20
BYU,66,2005-11-12,10,@,Wyoming,94,W,20,29,69.0,179,2,50,267,5.3,3,79,446,5.6,5,35,14
Buffalo,74,2005-11-12,10,@,Kent State,77,W,16,23,69.6,97,0,39,107,2.7,1,62,204,3.3,1,10,4
California,97,2005-11-12,10,,USC,103,L,13,23,56.5,132,0,31,167,5.4,1,54,299,5.5,1,10,-25
Central Michigan,75,2005-11-12,10,@,Western Michigan,82,L,46,71,64.8,460,1,39,115,2.9,2,110,575,5.2,3,24,-7
Clemson,14,2005-11-12,10,,Florida St.,16,W,21,33,63.6,269,3,41,85,2.1,2,74,354,4.8,5,35,21
Colorado,98,2005-11-12,10,@,Iowa St.,42,L,25,42,59.5,284,0,38,79,2.1,1,80,363,4.5,1,16,-14
Colorado St.,85,2005-11-12,10,,San Diego St.,90,L,19,37,51.4,165,0,37,187,5.1,1,74,352,4.8,1,10,-20
Connecticut,3,2005-11-12,9,@,Pittsburgh,22,L,18,35,51.4,156,0,37,143,3.9,0,72,299,4.2,0,0,-24
East Carolina,4,2005-11-12,9,@,Tulsa,12,L,21,34,61.8,229,1,32,120,3.8,0,66,349,5.3,1,13,-32
Eastern Michigan,76,2005-11-12,10,,Ball St.,72,L,25,36,69.4,326,1,49,167,3.4,1,85,493,5.8,2,25,-1
Florida,110,2005-11-12,10,@,South Carolina,117,L,18,31,58.1,210,2,37,149,4.0,0,68,359,5.3,2,22,-8
Florida Atlantic,52,2005-11-12,10,,North Texas,57,W,13,22,59.1,151,1,48,227,4.7,2,70,378,5.4,3,26,3
Florida Intl,53,2005-11-12,8,@,Louisiana,126,L,18,34,52.9,162,1,20,64,3.2,0,54,226,4.2,1,7,-21
Florida St.,16,2005-11-12,10,@,Clemson,14,L,13,34,38.2,124,0,32,102,3.2,0,66,226,3.4,1,14,-21
Georgia,111,2005-11-12,9,,Auburn,109,L,20,36,55.6,304,2,31,142,4.6,1,67,446,6.7,3,30,-1
Georgia Tech,17,2005-11-12,9,@,Virginia,24,L,20,39,51.3,207,1,27,136,5.0,1,66,343,5.2,2,17,-10
Hawaii,87,2005-11-12,10,,Utah St.,93,W,30,45,66.7,464,3,24,115,4.8,3,69,579,8.4,6,50,27
