School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Points For,Points Against,Points Difference,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Rush Att,Rush Yard,Rush Avg,Rush TD,TFL,Sk,Fum,Turnovers,Total TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp,Total TD opp
Ball St.,72,2009-09-03,1,,North Texas,57,L,10,20,-10,15,35,42.9,140,0,1,24,169,7.0,1,6,0,1,2,1,23,33,69.7,216,1,51,296,5.8,1,1,1,2,2
Boise St.,84,2009-09-03,1,,Oregon,99,W,19,8,11,19,30,63.3,197,1,0,59,164,2.8,1,5,1,3,3,2,14,27,51.9,121,0,17,31,1.8,1,1,1,2,1
Bowling Green,73,2009-09-03,1,,Troy,129,W,31,14,17,32,44,72.7,339,2,1,28,50,1.8,1,9,2,0,1,4,28,44,63.6,263,1,21,41,2.0,1,0,2,2,2
Indiana,28,2009-09-03,1,,Eastern Kentucky,203,W,19,13,6,27,36,75.0,326,1,2,31,73,2.4,1,7,4,1,3,2,17,26,65.4,278,1,31,100,3.2,0,1,0,1,1
Iowa St.,42,2009-09-03,1,,North Dakota State,185,W,34,17,17,17,31,54.8,238,2,0,40,204,5.1,2,8,4,2,2,4,15,27,55.6,178,1,38,210,5.5,1,1,1,2,2
Kent State,77,2009-09-03,1,,Coastal Carolina,123,W,18,0,18,21,35,60.0,201,0,2,40,143,3.6,2,8,3,0,2,2,12,26,46.2,107,0,40,78,2.0,0,1,1,2,0
NC State,20,2009-09-03,1,,South Carolina,117,L,3,7,-4,13,25,52.0,74,0,0,31,59,1.9,0,7,3,1,1,0,13,22,59.1,148,0,42,108,2.6,1,0,1,1,1
North Texas,57,2009-09-03,1,@,Ball St.,72,W,20,10,10,23,33,69.7,216,1,1,51,296,5.8,1,3,0,1,2,2,15,35,42.9,140,0,24,169,7.0,1,1,1,2,1
Oregon,99,2009-09-03,1,@,Boise St.,84,L,8,19,-11,14,27,51.9,121,0,1,17,31,1.8,1,6,2,1,2,1,19,30,63.3,197,1,59,164,2.8,1,3,0,3,2
South Carolina,117,2009-09-03,1,@,NC State,20,W,7,3,4,13,22,59.1,148,0,1,42,108,2.6,1,9,6,0,1,1,13,25,52.0,74,0,31,59,1.9,0,1,0,1,0
Temple,10,2009-09-03,1,,Villanova,162,L,24,27,-3,19,28,67.9,317,2,3,30,139,4.6,1,11,5,2,5,3,25,36,69.4,293,2,36,64,1.8,0,1,0,1,3
Troy,129,2009-09-03,1,@,Bowling Green,73,L,14,31,-17,28,44,63.6,263,1,2,21,41,2.0,1,4,1,0,2,2,32,44,72.7,339,2,28,50,1.8,1,0,1,1,4
Utah,104,2009-09-03,1,,Utah St.,93,W,35,17,18,20,30,66.7,286,2,1,50,233,4.7,2,7,2,2,3,4,10,26,38.5,121,0,34,221,6.5,2,0,1,1,2
Utah St.,93,2009-09-03,1,@,Utah,104,L,17,35,-18,10,26,38.5,121,0,1,34,221,6.5,2,5,1,0,1,2,20,30,66.7,286,2,50,233,4.7,2,2,1,3,4
Hawaii,87,2009-09-04,1,,Central Arkansas,237,W,25,20,5,21,32,65.6,304,3,1,28,111,4.0,0,5,2,3,4,3,20,31,64.5,186,1,38,84,2.2,2,1,0,1,3
Tulane,11,2009-09-04,1,,Tulsa,12,L,13,37,-24,19,32,59.4,325,1,2,34,39,1.1,0,6,4,0,2,1,15,20,75.0,211,1,43,201,4.7,2,1,0,1,4
