School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,Total Plays,Total Yards,Total Yards Avg,Total TD,Total Points,Point Diff
Georgia St.,125,2014-08-27,1,,Abilene Christian,236,W,31,49,63.3,413,4,33,153,4.6,1,82,566,6.9,5,38,1
Akron,71,2014-08-28,1,,Howard,176,W,27,43,62.8,396,5,29,117,4.0,1,72,513,7.1,6,41,41
Arizona St.,96,2014-08-28,1,,Weber State,143,W,24,39,61.5,303,2,45,267,5.9,4,84,570,6.8,6,45,31
Boise St.,84,2014-08-28,1,N,Ole Miss,116,L,36,48,75.0,264,1,37,135,3.6,0,85,399,4.7,1,13,-22
Central Michigan,75,2014-08-28,1,,Chattanooga,227,W,15,26,57.7,173,2,46,148,3.2,1,72,321,4.5,3,20,4
UL Monroe,130,2014-08-28,1,,Wake Forest,26,W,23,41,56.1,189,0,44,163,3.7,1,85,352,4.1,2,17,7
Minnesota,33,2014-08-28,1,,Eastern Illinois,202,W,10,18,55.6,156,1,40,182,4.6,4,58,338,5.8,6,42,22
New Mexico State,69,2014-08-28,1,,Cal Poly,131,W,18,27,66.7,118,2,47,197,4.2,2,74,315,4.3,4,28,18
Northern Illinois,79,2014-08-28,1,,Presbyterian,151,W,19,32,59.4,211,2,77,424,5.5,5,109,635,5.8,7,55,52
Ole Miss,116,2014-08-28,1,N,Boise St.,84,W,25,36,69.4,387,4,34,71,2.1,1,70,458,6.5,5,35,22
Rutgers,39,2014-08-28,1,N,Washington St.,106,W,16,27,59.3,281,2,43,215,5.0,3,70,496,7.1,5,41,3
San Jose St.,91,2014-08-28,1,,North Dakota,164,W,23,26,88.5,256,3,40,150,3.8,2,66,406,6.2,6,42,32
South Carolina,117,2014-08-28,1,,Texas A&M,119,L,20,40,50.0,366,4,22,67,3.0,0,62,433,7.0,4,28,-24
Temple,10,2014-08-28,1,@,Vanderbilt,120,W,23,36,63.9,207,2,45,144,3.2,1,81,351,4.3,4,37,30
Texas A&M,119,2014-08-28,1,@,South Carolina,117,W,44,60,73.3,511,3,39,169,4.3,4,99,680,6.9,7,52,24
Tulane,11,2014-08-28,1,@,Tulsa,12,L,22,44,50.0,262,3,30,254,8.5,1,74,516,7.0,4,31,-7
Tulsa,12,2014-08-28,1,,Tulane,11,W,31,53,58.5,438,4,36,154,4.3,0,89,592,6.7,4,38,7
Utah,104,2014-08-28,1,,Idaho State,134,W,22,32,68.8,351,1,46,238,5.2,5,78,589,7.6,8,56,42
Vanderbilt,120,2014-08-28,1,,Temple,10,L,16,34,47.1,224,0,29,54,1.9,0,63,278,4.4,1,7,-30
Wake Forest,26,2014-08-28,1,@,UL Monroe,130,L,12,22,54.5,97,0,27,-3,-0.1,0,49,94,1.9,1,10,-7
Washington St.,106,2014-08-28,1,N,Rutgers,39,L,40,56,71.4,532,5,14,6,0.4,0,70,538,7.7,5,38,-3
Arizona,95,2014-08-29,1,,UNLV,92,W,26,46,56.5,434,4,48,353,7.4,3,94,787,8.4,7,58,45
Bowling Green,73,2014-08-29,1,@,Western Kentucky,64,L,25,36,69.4,313,1,35,152,4.3,3,71,465,6.5,4,31,-28
BYU,66,2014-08-29,1,@,Connecticut,3,W,28,36,77.8,308,3,37,205,5.5,2,73,513,7.0,5,35,25
Colorado,98,2014-08-29,1,N,Colorado St.,85,L,24,39,61.5,241,2,34,134,3.9,0,73,375,5.1,2,17,-14
Colorado St.,85,2014-08-29,1,N,Colorado,98,W,13,23,56.5,134,1,45,266,5.9,3,68,400,5.9,4,31,14
Connecticut,3,2014-08-29,1,,BYU,66,L,25,48,52.1,284,0,31,71,2.3,1,79,355,4.5,1,10,-25
Houston,5,2014-08-29,1,,UTSA,63,L,25,50,50.0,234,0,23,-26,-1.1,1,73,208,2.8,1,7,-20
Michigan St.,32,2014-08-29,1,,Jacksonville State,204,W,18,24,75.0,354,3,50,211,4.2,3,74,565,7.6,6,45,38
Syracuse,23,2014-08-29,1,,Villanova,162,W,22,35,62.9,184,1,34,136,4.0,2,69,320,4.6,3,27,1
UNLV,92,2014-08-29,1,@,Arizona,95,L,22,41,53.7,252,1,31,119,3.8,0,72,371,5.2,1,13,-45
UTSA,63,2014-08-29,1,@,Houston,5,W,15,24,62.5,121,0,50,142,2.8,3,74,263,3.6,3,27,20
Western Kentucky,64,2014-08-29,1,,Bowling Green,73,W,46,56,82.1,569,6,40,139,3.5,2,96,708,7.4,8,59,28
Air Force,83,2014-08-30,1,,Nicholls State,242,W,3,6,50.0,19,0,73,539,7.4,6,79,558,7.1,6,44,28
Alabama,107,2014-08-30,1,N,West Virginia,50,W,24,33,72.7,250,0,49,288,5.9,3,82,538,6.6,3,33,10
Appalachian St.,121,2014-08-30,1,@,Michigan,31,L,17,33,51.5,127,1,36,153,4.3,1,69,280,4.1,2,14,-38
Arkansas,108,2014-08-30,1,@,Auburn,109,L,18,31,58.1,175,2,29,153,5.3,1,60,328,5.5,3,21,-24
Arkansas St.,122,2014-08-30,1,,Montana State,136,W,20,30,66.7,264,1,49,283,5.8,3,79,547,6.9,4,37,27
Auburn,109,2014-08-30,1,,Arkansas,108,W,16,22,72.7,293,2,48,302,6.3,3,70,595,8.5,6,45,24
Ball St.,72,2014-08-30,1,,Colgate,211,W,20,32,62.5,203,2,53,311,5.9,1,85,514,6.0,3,30,20
Boston College,13,2014-08-30,1,N,Massachusetts,68,W,17,25,68.0,173,1,61,338,5.5,2,86,511,5.9,3,30,23
