School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Points For,Points Against,Points Difference,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Rush Att,Rush Yard,Rush Avg,Rush TD,TFL,Sk,Fum,Turnovers,Total TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp,Total TD opp
Ball St.,72,2008-08-28,1,,Northeastern,369,W,48,14,34,22,26,84.6,297,3,0,31,190,6.1,3,10,2,0,0,6,20,37,54.1,231,1,32,93,2.9,1,0,0,0,2
Baylor,41,2008-08-28,1,,Wake Forest,26,L,13,41,-28,15,30,50.0,156,0,2,34,94,2.8,2,7,1,3,5,2,27,36,75.0,220,3,44,156,3.5,2,2,0,2,5
Buffalo,74,2008-08-28,1,,UTEP,62,W,42,17,25,10,16,62.5,221,4,0,50,263,5.3,2,6,2,2,2,6,20,37,54.1,199,1,26,67,2.6,1,0,3,3,2
Central Michigan,75,2008-08-28,1,,Eastern Illinois,202,W,31,12,19,21,31,67.7,217,3,0,44,172,3.9,1,6,4,0,0,4,19,28,67.9,201,1,31,83,2.7,0,1,0,1,1
Cincinnati,2,2008-08-28,1,,Eastern Kentucky,203,W,40,7,33,26,35,74.3,348,4,0,44,209,4.8,2,9,3,1,1,6,13,18,72.2,147,1,28,48,1.7,0,1,1,2,1
Connecticut,3,2008-08-28,1,,Hofstra,326,W,35,3,32,18,30,60.0,233,0,3,43,218,5.1,5,11,7,2,5,5,17,28,60.7,130,0,28,40,1.4,0,1,2,3,0
Eastern Michigan,76,2008-08-28,1,,Indiana State,183,W,52,0,52,21,29,72.4,224,1,0,53,413,7.8,6,12,3,1,1,7,7,23,30.4,57,0,31,75,2.4,0,0,3,3,0
Georgia Tech,17,2008-08-28,1,,Jacksonville State,204,W,41,14,27,8,15,53.3,135,0,0,46,349,7.6,6,7,4,2,2,6,22,37,59.5,136,2,31,122,3.9,0,2,2,4,2
Iowa St.,42,2008-08-28,1,,South Dakota State,188,W,44,17,27,13,19,68.4,159,2,0,42,229,5.5,2,2,1,3,3,5,23,37,62.2,170,0,25,180,7.2,2,1,5,6,2
Miami (FL),19,2008-08-28,1,,Charleston Southern,145,W,52,7,45,17,27,63.0,192,1,0,38,224,5.9,5,9,3,1,1,7,11,22,50.0,77,1,30,49,1.6,0,1,0,1,1
Miami (OH),78,2008-08-28,1,,Vanderbilt,120,L,13,34,-21,19,42,45.2,244,1,3,25,96,3.8,0,10,2,0,3,1,9,16,56.3,91,1,50,269,5.4,3,2,0,2,4
Middle Tennessee,56,2008-08-28,1,,Troy,129,L,17,31,-14,20,34,58.8,200,1,1,50,84,1.7,1,5,2,1,2,2,17,28,60.7,136,1,36,164,4.6,3,3,1,4,4
NC State,20,2008-08-28,1,@,South Carolina,117,L,0,34,-34,5,20,25.0,49,0,2,37,89,2.4,0,7,5,2,4,0,17,27,63.0,198,2,42,171,4.1,2,0,4,4,4
Oregon St.,100,2008-08-28,1,@,Stanford,101,L,28,36,-8,34,54,63.0,404,3,2,28,86,3.1,0,7,2,1,3,3,10,17,58.8,91,1,48,210,4.4,2,0,0,0,4
South Carolina,117,2008-08-28,1,,NC State,20,W,34,0,34,17,27,63.0,198,2,4,42,171,4.1,2,4,2,0,4,4,5,20,25.0,49,0,37,89,2.4,0,2,2,4,0
Stanford,101,2008-08-28,1,,Oregon St.,100,W,36,28,8,10,17,58.8,91,1,0,48,210,4.4,2,3,2,0,0,4,34,54,63.0,404,3,28,86,3.1,0,1,2,3,3
Troy,129,2008-08-28,1,@,Middle Tennessee,56,W,31,17,14,17,28,60.7,136,1,1,36,164,4.6,3,14,5,3,4,4,20,34,58.8,200,1,50,84,1.7,1,1,1,2,2
UTEP,62,2008-08-28,1,@,Buffalo,74,L,17,42,-25,20,37,54.1,199,1,3,26,67,2.6,1,2,2,0,3,2,10,16,62.5,221,4,50,263,5.3,2,2,0,2,6
Vanderbilt,120,2008-08-28,1,@,Miami (OH),78,W,34,13,21,9,16,56.3,91,1,0,50,269,5.4,3,6,3,2,2,4,19,42,45.2,244,1,25,96,3.8,0,0,3,3,1
Wake Forest,26,2008-08-28,1,@,Baylor,41,W,41,13,28,27,36,75.0,220,3,0,44,156,3.5,2,7,2,2,2,5,15,30,50.0,156,0,34,94,2.8,2,3,2,5,2
Army,65,2008-08-29,1,,Temple,10,L,7,35,-28,6,15,40.0,74,0,1,58,210,3.6,1,3,0,2,3,1,16,23,69.6,166,2,30,84,2.8,1,1,1,2,5
