School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Points For,Points Against,Points Difference,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Rush Att,Rush Yard,Rush Avg,Rush TD,TFL,Sk,Fum,Turnovers,Total TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp,Total TD opp
Ball St.,72,2010-09-02,1,,Southeast Missouri,206,W,27,10,17,10,17,58.8,85,0,1,55,243,4.4,3,3,1,0,1,3,12,18,66.7,112,0,29,125,4.3,1,3,0,3,1
Buffalo,74,2010-09-02,1,,Rhode Island,158,W,31,0,31,25,42,59.5,332,4,1,28,91,3.3,0,9,5,1,2,4,18,42,42.9,145,0,34,62,1.8,0,1,1,2,0
Central Michigan,75,2010-09-02,1,,Hampton,147,W,33,0,33,22,36,61.1,259,1,0,42,168,4.0,3,7,3,0,0,4,12,34,35.3,80,0,34,49,1.4,0,1,1,2,0
Florida Atlantic,52,2010-09-02,1,@,UAB,61,W,32,31,1,15,25,60.0,257,3,1,27,90,3.3,1,6,1,0,1,5,9,19,47.4,79,1,47,345,7.3,3,0,1,1,4
Hawaii,87,2010-09-02,1,,USC,103,L,36,49,-13,27,49,55.1,459,3,0,29,129,4.4,1,1,1,0,0,4,20,27,74.1,278,5,35,246,7.0,1,1,0,1,7
Idaho,133,2010-09-02,1,,North Dakota,164,W,45,0,45,30,48,62.5,421,3,1,26,126,4.8,3,6,1,0,1,6,19,35,54.3,122,0,33,148,4.5,0,3,2,5,0
Indiana,28,2010-09-02,1,,Towson,161,W,51,17,34,18,30,60.0,205,2,0,26,155,6.0,3,6,0,0,0,6,16,35,45.7,165,2,42,227,5.4,0,0,3,3,2
Iowa St.,42,2010-09-02,1,,Northern Illinois,79,W,27,10,17,27,36,75.0,265,0,2,37,138,3.7,3,3,1,1,3,3,14,29,48.3,93,0,36,156,4.3,1,0,3,3,1
Kent State,77,2010-09-02,1,,Murray State,205,W,41,10,31,24,35,68.6,275,3,1,39,137,3.5,1,13,5,1,2,5,30,47,63.8,258,1,22,-65,-3.0,0,1,0,1,1
Marshall,55,2010-09-02,1,@,Ohio St.,36,L,7,45,-38,18,35,51.4,155,0,1,21,44,2.1,0,4,3,2,3,1,18,27,66.7,249,3,41,280,6.8,2,0,0,0,6
Miami (FL),19,2010-09-02,1,,Florida A&M,175,W,45,0,45,19,26,73.1,250,3,1,36,155,4.3,2,14,8,0,1,6,5,11,45.5,58,0,39,52,1.3,0,0,1,1,0
Middle Tennessee,56,2010-09-02,1,,Minnesota,33,L,17,24,-7,13,18,72.2,172,1,1,22,146,6.6,1,4,2,1,2,2,10,17,58.8,150,0,67,281,4.2,3,0,0,0,3
Minnesota,33,2010-09-02,1,@,Middle Tennessee,56,W,24,17,7,10,17,58.8,150,0,0,67,281,4.2,3,3,0,0,0,3,13,18,72.2,172,1,22,146,6.6,1,1,1,2,2
Nevada,88,2010-09-02,1,,Eastern Washington,132,W,49,24,25,27,38,71.1,339,2,0,44,214,4.9,5,4,3,1,1,7,21,40,52.5,270,2,28,162,5.8,1,1,1,2,3
