School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Points For,Points Against,Points Difference,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Rush Att,Rush Yard,Rush Avg,Rush TD,TFL,Sk,Fum,Turnovers,Total TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp,Total TD opp
Arizona St.,96,2011-09-01,1,,UC Davis,142,W,48,14,34,24.0,32.0,75.0,300.0,2.0,1.0,40.0,217.0,5.4,3.0,6.0,4.0,1.0,2.0,6,18,30,60.0,155,0,26,88,3.4,2,1,0,1,2
Bowling Green,73,2011-09-01,1,@,Idaho,133,W,32,15,17,19.0,31.0,61.3,291.0,2.0,0.0,48.0,187.0,3.9,2.0,6.0,4.0,0.0,0.0,4,20,44,45.5,228,2,21,52,2.5,0,2,1,3,2
Central Michigan,75,2011-09-01,1,,South Carolina State,181,W,21,6,15,14.0,27.0,51.9,168.0,2.0,2.0,35.0,88.0,2.5,1.0,12.0,2.0,0.0,2.0,3,12,26,46.2,78,0,43,59,1.4,0,0,0,0,0
Florida Intl,53,2011-09-01,1,,North Texas,57,W,41,16,25,16.0,23.0,69.6,193.0,1.0,0.0,40.0,208.0,5.2,4.0,8.0,3.0,2.0,2.0,5,19,35,54.3,204,0,38,97,2.6,0,1,0,1,2
Georgia Tech,17,2011-09-01,1,,Western Carolina,234,W,63,21,42,11.0,16.0,68.8,365.0,3.0,0.0,48.0,297.0,6.2,6.0,8.0,4.0,2.0,2.0,9,22,37,59.5,197,0,40,104,2.6,2,2,1,3,3
Idaho,133,2011-09-01,1,,Bowling Green,73,L,15,32,-17,20.0,44.0,45.5,228.0,2.0,1.0,21.0,52.0,2.5,0.0,5.0,1.0,2.0,3.0,2,19,31,61.3,291,2,48,187,3.9,2,0,0,0,4
Kentucky,112,2011-09-01,1,N,Western Kentucky,64,W,14,3,11,7.0,18.0,38.9,97.0,1.0,3.0,33.0,93.0,2.8,1.0,5.0,2.0,0.0,3.0,2,9,27,33.3,93,0,42,141,3.4,0,0,4,4,0
Louisville,18,2011-09-01,1,,Murray State,205,W,21,9,12,17.0,33.0,51.5,226.0,2.0,1.0,37.0,159.0,4.3,1.0,8.0,2.0,3.0,4.0,3,17,34,50.0,148,0,49,143,2.9,1,0,3,3,1
Memphis,6,2011-09-01,1,,Mississippi St.,114,L,14,59,-45,26.0,40.0,65.0,174.0,1.0,1.0,47.0,164.0,3.5,1.0,4.0,0.0,2.0,3.0,2,19,31,61.3,336,3,38,309,8.1,5,1,0,1,8
Mississippi St.,114,2011-09-01,1,@,Memphis,6,W,59,14,45,19.0,31.0,61.3,336.0,3.0,0.0,38.0,309.0,8.1,5.0,8.0,2.0,1.0,1.0,8,26,40,65.0,174,1,47,164,3.5,1,2,1,3,2
North Texas,57,2011-09-01,1,@,Florida Intl,53,L,16,41,-25,19.0,35.0,54.3,204.0,0.0,0.0,38.0,97.0,2.6,0.0,3.0,1.0,1.0,1.0,2,16,23,69.6,193,1,40,208,5.2,4,2,0,2,5
Rutgers,39,2011-09-01,1,,North Carolina Central,180,W,48,0,48,15.0,34.0,44.1,210.0,2.0,1.0,41.0,137.0,3.3,2.0,15.0,9.0,0.0,1.0,6,14,30,46.7,112,0,30,8,0.3,0,2,2,4,0
Syracuse,23,2011-09-01,1,,Wake Forest,26,W,36,29,7,20.0,28.0,71.4,178.0,3.0,0.0,30.0,121.0,4.0,2.0,9.0,3.0,1.0,1.0,5,24,41,58.5,326,3,43,80,1.9,0,0,1,1,3
