School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Points For,Points Against,Points Difference,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Rush Att,Rush Yard,Rush Avg,Rush TD,TFL,Sk,Fum,Turnovers,Total TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp,Total TD opp
Arizona St.,96,2006-08-31,1,,Northern Arizona,137,W,35,14,21,17,24,70.8,261,2,1,34,154,4.5,2,13,9,1,2,5,16,21,76.2,267,2,38,45,1.2,0,0,1,1,2
Ball St.,72,2006-08-31,1,,Eastern Michigan,76,W,38,20,18,17,28,60.7,230,4,0,36,159,4.4,1,7,3,0,0,5,18,28,64.3,209,1,38,226,5.9,1,0,1,1,2
Boise St.,84,2006-08-31,1,,Sacramento State,140,W,45,0,45,15,24,62.5,212,2,0,42,215,5.1,4,5,0,1,1,6,6,15,40.0,32,0,28,50,1.8,0,0,2,2,0
Boston College,13,2006-08-31,1,@,Central Michigan,75,W,31,24,7,32,47,68.1,323,3,0,33,66,2.0,1,5,2,2,2,4,24,42,57.1,243,1,27,123,4.6,2,1,1,2,3
Buffalo,74,2006-08-31,1,,Temple,10,W,9,3,6,13,24,54.2,188,0,0,41,168,4.1,1,9,1,1,1,1,20,25,80.0,103,0,27,80,3.0,0,0,1,1,0
Central Michigan,75,2006-08-31,1,,Boston College,13,L,24,31,-7,24,42,57.1,243,1,1,27,123,4.6,2,4,2,1,2,3,32,47,68.1,323,3,33,66,2.0,1,2,0,2,4
Connecticut,3,2006-08-31,1,,Rhode Island,158,W,52,7,45,8,13,61.5,149,2,0,52,418,8.0,5,9,4,0,0,7,7,18,38.9,95,1,49,198,4.0,0,0,2,2,1
Eastern Michigan,76,2006-08-31,1,@,Ball St.,72,L,20,38,-18,18,28,64.3,209,1,1,38,226,5.9,1,8,3,0,1,2,17,28,60.7,230,4,36,159,4.4,1,0,0,0,5
Florida Intl,53,2006-08-31,1,@,Middle Tennessee,56,L,6,7,-1,22,39,56.4,150,0,0,25,97,3.9,1,9,6,1,1,1,11,18,61.1,83,0,35,92,2.6,1,0,1,1,1
Iowa St.,42,2006-08-31,1,,Toledo,81,W,45,43,2,17,26,65.4,234,2,0,41,159,3.9,4,5,3,1,1,6,39,49,79.6,367,3,27,45,1.7,3,1,1,2,6
Kent State,77,2006-08-31,1,,Minnesota,33,L,0,44,-44,7,13,53.8,150,0,3,37,132,3.6,0,2,0,3,6,0,8,15,53.3,146,1,55,322,5.9,5,0,1,1,6
UL Monroe,130,2006-08-31,1,,Alcorn State,249,W,24,6,18,11,20,55.0,131,1,2,46,179,3.9,1,7,2,2,4,3,17,33,51.5,165,0,26,40,1.5,0,3,2,5,0
Miami (OH),78,2006-08-31,1,,Northwestern,35,L,3,21,-18,16,26,61.5,175,0,0,29,72,2.5,0,2,1,0,0,0,13,17,76.5,106,1,39,193,4.9,1,0,0,0,3
Middle Tennessee,56,2006-08-31,1,,Florida Intl,53,W,7,6,1,11,18,61.1,83,0,1,35,92,2.6,1,8,2,0,1,1,22,39,56.4,150,0,25,97,3.9,1,1,0,1,1
Minnesota,33,2006-08-31,1,@,Kent State,77,W,44,0,44,8,15,53.3,146,1,1,55,322,5.9,5,7,5,0,1,6,7,13,53.8,150,0,37,132,3.6,0,3,3,6,0
Mississippi St.,114,2006-08-31,1,,South Carolina,117,L,0,15,-15,8,23,34.8,82,0,2,33,79,2.4,0,9,4,0,2,0,15,27,55.6,193,1,29,81,2.8,0,0,1,1,1
New Mexico State,69,2006-08-31,1,,Southeastern Louisiana,245,W,30,15,15,29,40,72.5,381,2,0,44,134,3.0,2,8,2,4,4,4,17,28,60.7,130,1,26,88,3.4,1,1,1,2,2
Northwestern,35,2006-08-31,1,@,Miami (OH),78,W,21,3,18,13,17,76.5,106,1,0,39,193,4.9,1,6,5,0,0,3,16,26,61.5,175,0,29,72,2.5,0,0,0,0,0
Oregon St.,100,2006-08-31,1,,Eastern Washington,132,W,56,17,39,19,30,63.3,274,4,1,38,209,5.5,3,10,5,1,2,8,12,26,46.2,140,0,30,-14,-0.5,1,3,1,4,2
San Diego St.,90,2006-08-31,1,,UTEP,62,L,27,34,-7,24,30,80.0,275,0,2,46,109,2.4,3,7,0,1,3,3,20,29,69.0,213,3,19,30,1.6,1,0,4,4,5
South Carolina,117,2006-08-31,1,@,Mississippi St.,114,W,15,0,15,15,27,55.6,193,1,1,29,81,2.8,0,8,5,0,1,1,8,23,34.8,82,0,33,79,2.4,0,0,2,2,0
Temple,10,2006-08-31,1,@,Buffalo,74,L,3,9,-6,20,25,80.0,103,0,1,27,80,3.0,0,10,4,0,1,0,13,24,54.2,188,0,41,168,4.1,1,1,0,1,1
Toledo,81,2006-08-31,1,@,Iowa St.,42,L,43,45,-2,39,49,79.6,367,3,1,27,45,1.7,3,5,2,1,2,6,17,26,65.4,234,2,41,159,3.9,4,1,0,1,6
Tulsa,12,2006-08-31,1,,Stephen F. Austin,246,W,45,7,38,20,28,71.4,346,4,0,43,175,4.1,2,3,1,0,0,6,12,25,48.0,79,0,25,106,4.2,1,0,1,1,1
UTEP,62,2006-08-31,1,@,San Diego St.,90,W,34,27,7,20,29,69.0,213,3,4,19,30,1.6,1,10,3,0,4,5,24,30,80.0,275,0,46,109,2.4,3,1,2,3,3
Fresno St.,86,2006-09-01,1,,Nevada,88,W,28,19,9,16,24,66.7,124,1,0,38,212,5.6,3,2,1,1,1,4,18,34,52.9,183,2,34,168,4.9,1,1,0,1,3
