School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Points For,Points Against,Points Difference,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Rush Att,Rush Yard,Rush Avg,Rush TD,TFL,Sk,Fum,Turnovers,Total TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp,Total TD opp
California,97,2016-08-26,1,N,Hawaii,87,W,51,31,20,38,54,70.4,441,4,0,35,189,5.4,2,3,1.0,0,0,6,17,34,50.0,234,1,38,248,6.5,3,2,1,3,4
Hawaii,87,2016-08-26,1,N,California,97,L,31,51,-20,17,34,50.0,234,1,1,38,248,6.5,3,4,2.0,2,3,4,38,54,70.4,441,4,35,189,5.4,2,0,0,0,6
Appalachian St.,121,2016-09-01,1,@,Tennessee,118,L,13,20,-7,15,23,65.2,108,1,1,43,184,4.3,1,5,2.0,0,1,2,16,29,55.2,192,1,43,127,3.0,1,1,1,2,3
Central Michigan,75,2016-09-01,1,,Presbyterian,151,W,49,3,46,16,27,59.3,237,1,2,38,255,6.7,5,10,2.0,0,2,7,10,22,45.5,82,0,33,44,1.3,0,1,2,3,0
Charlotte,51,2016-09-01,1,@,Louisville,18,L,14,70,-56,18,32,56.3,160,1,0,31,48,1.5,0,1,,1,1,2,26,35,74.3,391,8,35,272,7.8,2,2,1,3,10
Cincinnati,2,2016-09-01,1,,Tennessee-Martin,209,W,28,7,21,21,34,61.8,260,2,1,34,140,4.1,1,8,3.0,2,3,4,12,26,46.2,146,1,49,177,3.6,0,1,2,3,1
Connecticut,3,2016-09-01,1,,Maine,156,W,24,21,3,16,23,69.6,162,0,0,50,200,4.0,3,4,,1,1,3,19,33,57.6,269,2,19,40,2.1,0,0,0,0,3
Florida Intl,53,2016-09-01,1,,Indiana,28,L,13,34,-21,24,47,51.1,268,0,3,21,63,3.0,1,4,2.0,0,3,1,18,28,64.3,240,1,52,246,4.7,1,1,0,1,4
Idaho,133,2016-09-01,1,,Montana State,136,W,20,17,3,8,22,36.4,128,0,1,35,225,6.4,2,5,1.0,1,2,2,20,36,55.6,190,1,38,110,2.9,1,0,1,1,2
Indiana,28,2016-09-01,1,@,Florida Intl,53,W,34,13,21,18,28,64.3,240,1,0,52,246,4.7,1,2,1.0,1,1,4,24,47,51.1,268,0,21,63,3.0,1,0,3,3,1
Louisville,18,2016-09-01,1,,Charlotte,51,W,70,14,56,26,35,74.3,391,8,1,35,272,7.8,2,7,4.0,2,3,10,18,32,56.3,160,1,31,48,1.5,0,1,0,1,2
Minnesota,33,2016-09-01,1,,Oregon St.,100,W,30,23,7,13,27,48.1,130,0,0,47,150,3.2,4,9,4.0,1,1,4,25,40,62.5,228,3,34,89,2.6,0,2,0,2,3
New Mexico,89,2016-09-01,1,,South Dakota,187,W,48,21,27,13,19,68.4,187,2,0,49,428,8.7,3,5,3.0,1,1,5,14,21,66.7,140,1,43,183,4.3,2,2,1,3,3
NC State,20,2016-09-01,1,,William & Mary,163,W,48,14,34,23,30,76.7,262,2,1,57,259,4.5,5,6,1.0,0,1,7,10,19,52.6,106,1,28,62,2.2,1,0,2,2,2
Oregon St.,100,2016-09-01,1,@,Minnesota,33,L,23,30,-7,25,40,62.5,228,3,0,34,89,2.6,0,2,,2,2,3,13,27,48.1,130,0,47,150,3.2,4,1,0,1,4
Rice,59,2016-09-01,1,@,Western Kentucky,64,L,14,46,-32,23,38,60.5,186,0,2,33,105,3.2,2,3,,0,2,2,26,35,74.3,552,3,30,97,3.2,2,0,0,0,5
South Carolina,117,2016-09-01,1,@,Vanderbilt,120,W,13,10,3,16,30,53.3,187,0,0,32,121,3.8,1,3,1.0,2,2,1,8,23,34.8,73,0,42,169,4.0,1,0,0,0,1
Tennessee,118,2016-09-01,1,,Appalachian St.,121,W,20,13,7,16,29,55.2,192,1,1,43,127,3.0,1,6,,1,2,3,15,23,65.2,108,1,43,184,4.3,1,0,1,1,2
Tulane,11,2016-09-01,1,@,Wake Forest,26,L,3,7,-4,12,23,52.2,134,0,0,47,146,3.1,0,5,1.0,1,1,0,12,21,57.1,96,0,34,79,2.3,1,0,0,0,1
UNLV,92,2016-09-01,1,,Jackson State,252,W,63,13,50,11,13,84.6,223,3,0,44,280,6.4,4,5,1.0,1,1,9,17,43,39.5,144,1,35,108,3.1,0,1,2,3,1
Utah,104,2016-09-01,1,,Southern Utah,141,W,24,0,24,23,39,59.0,298,2,0,37,138,3.7,1,9,3.0,1,1,3,6,18,33.3,42,0,32,116,3.6,0,1,1,2,0
Utah St.,93,2016-09-01,1,,Weber State,143,W,45,6,39,11,17,64.7,100,0,0,44,428,9.7,6,8,2.0,0,0,6,15,27,55.6,137,0,41,108,2.6,1,0,1,1,1
Vanderbilt,120,2016-09-01,1,,South Carolina,117,L,10,13,-3,8,23,34.8,73,0,0,42,169,4.0,1,6,,0,0,1,16,30,53.3,187,0,32,121,3.8,1,2,0,2,1
Wake Forest,26,2016-09-01,1,,Tulane,11,W,7,3,4,12,21,57.1,96,0,0,34,79,2.3,1,7,4.0,0,0,1,12,23,52.2,134,0,47,146,3.1,0,1,0,1,0
Western Kentucky,64,2016-09-01,1,,Rice,59,W,46,14,32,26,35,74.3,552,3,0,30,97,3.2,2,5,,0,0,5,23,38,60.5,186,0,33,105,3.2,2,0,2,2,2
Arkansas St.,122,2016-09-02,1,,Toledo,81,L,10,31,-21,11,25,44.0,124,0,0,38,142,3.7,1,9,,0,0,1,23,31,74.2,371,3,45,185,4.1,1,2,0,2,4
Army,65,2016-09-02,1,@,Temple,10,W,28,13,15,2,5,40.0,15,0,0,67,329,4.9,4,6,4.0,0,0,4,12,26,46.2,168,0,28,83,3.0,1,0,3,3,1
Ball St.,72,2016-09-02,1,@,Georgia St.,125,W,31,21,10,15,29,51.7,130,0,2,52,325,6.3,4,6,1.0,0,2,4,25,40,62.5,195,1,25,77,3.1,1,1,1,2,3
Baylor,41,2016-09-02,1,,Northwestern State,243,W,55,7,48,19,29,65.5,223,5,0,43,275,6.4,2,15,2.0,1,1,7,5,19,26.3,31,0,40,47,1.2,1,0,0,0,1
