School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Points For,Points Against,Points Difference,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Rush Att,Rush Yard,Rush Avg,Rush TD,Fum,Turnovers,Total TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp,Total TD opp
Tulsa,12,2002-08-30,1,,Oklahoma,45,L,0,37,-37,12,22,54.5,111,0,0,38,102,2.7,0,2,2,0,16,28,57.1,131,0,42,378,9.0,4,1,2,3,5
Air Force,83,2002-08-31,1,,Northwestern,35,W,52,3,49,5,8,62.5,47,1,0,74,476,6.4,5,0,0,7,19,36,52.8,180,0,27,41,1.5,0,1,0,1,0
Akron,71,2002-08-31,1,@,Iowa,29,L,21,57,-36,28,38,73.7,296,2,1,36,67,1.9,1,2,3,3,12,20,60.0,217,2,45,376,8.4,4,1,0,1,7
Alabama,107,2002-08-31,1,,Middle Tennessee,56,W,39,34,5,16,22,72.7,236,2,0,43,194,4.5,2,0,0,5,17,25,68.0,202,0,38,183,4.8,4,0,1,1,4
Arizona,95,2002-08-31,1,,Northern Arizona,137,W,37,3,34,23,41,56.1,407,3,0,41,103,2.5,1,0,0,4,11,25,44.0,87,0,28,115,4.1,0,1,1,2,0
Arizona St.,96,2002-08-31,2,,Eastern Washington,132,W,38,2,36,15,25,60.0,187,3,0,49,242,4.9,2,2,2,5,19,38,50.0,216,0,20,-13,-0.7,0,0,1,1,0
Arkansas St.,122,2002-08-31,2,,San Jose St.,91,L,14,33,-19,17,35,48.6,182,1,3,32,108,3.4,1,2,5,2,14,31,45.2,162,1,39,148,3.8,1,3,1,4,4
Baylor,41,2002-08-31,1,@,California,97,L,22,70,-48,23,39,59.0,323,1,4,40,79,2.0,2,1,5,3,22,30,73.3,355,5,31,105,3.4,3,0,0,0,10
Boise St.,84,2002-08-31,1,,Idaho,133,W,38,21,17,20,25,80.0,270,1,0,37,233,6.3,4,0,0,5,26,41,63.4,272,2,32,93,2.9,1,0,2,2,3
Boston College,13,2002-08-31,1,,Connecticut,3,W,24,16,8,19,33,57.6,239,3,2,34,114,3.4,0,1,3,3,24,38,63.2,203,1,34,40,1.2,1,0,2,2,2
California,97,2002-08-31,1,,Baylor,41,W,70,22,48,22,30,73.3,355,5,0,31,105,3.4,3,0,0,10,23,39,59.0,323,1,40,79,2.0,2,1,4,5,3
Clemson,14,2002-08-31,1,@,Georgia,111,L,28,31,-3,17,37,45.9,165,1,1,34,68,2.0,2,0,1,4,15,25,60.0,117,2,39,86,2.2,1,2,1,3,4
Colorado,98,2002-08-31,1,N,Colorado St.,85,L,14,19,-5,14,27,51.9,199,0,1,48,170,3.5,1,2,3,2,11,24,45.8,168,0,38,152,4.0,3,0,1,1,3
Colorado St.,85,2002-08-31,2,N,Colorado,98,W,19,14,5,11,24,45.8,168,0,1,38,152,4.0,3,0,1,3,14,27,51.9,199,0,48,170,3.5,1,2,1,3,2
Connecticut,3,2002-08-31,1,@,Boston College,13,L,16,24,-8,24,38,63.2,203,1,2,34,40,1.2,1,0,2,2,19,33,57.6,239,3,34,114,3.4,0,1,2,3,3
Duke,15,2002-08-31,1,,East Carolina,4,W,23,16,7,10,20,50.0,86,0,0,49,155,3.2,1,0,0,2,13,34,38.2,130,1,27,25,0.9,1,1,3,4,2
East Carolina,4,2002-08-31,1,@,Duke,15,L,16,23,-7,13,34,38.2,130,1,3,27,25,0.9,1,1,4,2,10,20,50.0,86,0,49,155,3.2,1,0,0,0,2
