School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Points For,Points Against,Points Difference,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Rush Att,Rush Yard,Rush Avg,Rush TD,TFL,Sk,Fum,Turnovers,Total TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp,Total TD opp
Ball St.,72,2007-08-30,1,,Miami (OH),78,L,13,14,-1,19,36,52.8,198,1,0,34,140,4.1,0,8,3,0,0,1,14,24,58.3,118,0,38,178,4.7,2,0,2,2,2
Boise St.,84,2007-08-30,1,,Weber State,143,W,56,7,49,16,28,57.1,198,1,1,55,371,6.7,7,2,1,0,1,8,11,30,36.7,71,1,26,74,2.8,0,2,0,2,1
Buffalo,74,2007-08-30,1,@,Rutgers,39,L,3,38,-35,19,32,59.4,165,0,0,34,70,2.1,0,5,0,0,0,0,16,25,64.0,328,2,41,235,5.7,3,1,0,1,5
Cincinnati,2,2007-08-30,1,,Southeast Missouri,206,W,59,3,56,24,36,66.7,301,3,1,47,314,6.7,5,9,4,1,2,9,12,22,54.5,87,0,37,175,4.7,0,4,2,6,0
Iowa St.,42,2007-08-30,1,,Kent State,77,L,14,23,-9,14,23,60.9,148,1,2,39,158,4.1,1,5,1,1,3,2,17,26,65.4,161,1,51,202,4.0,2,1,2,3,3
Kent State,77,2007-08-30,1,@,Iowa St.,42,W,23,14,9,17,26,65.4,161,1,2,51,202,4.0,2,3,1,1,3,3,14,23,60.9,148,1,39,158,4.1,1,1,2,3,2
UL Monroe,130,2007-08-30,1,,Tulsa,12,L,17,35,-18,7,21,33.3,66,1,0,43,212,4.9,0,8,1,1,1,2,22,31,71.0,307,3,55,216,3.9,2,1,1,2,5
Louisville,18,2007-08-30,1,,Murray State,205,W,73,10,63,18,23,78.3,394,4,0,41,261,6.4,5,9,0,0,0,10,19,31,61.3,141,1,35,130,3.7,0,1,0,1,1
LSU,113,2007-08-30,1,@,Mississippi St.,114,W,45,0,45,14,22,63.6,149,3,0,50,198,4.0,3,8,4,0,0,6,14,33,42.4,136,0,26,10,0.4,0,1,6,7,0
Miami (OH),78,2007-08-30,1,@,Ball St.,72,W,14,13,1,14,24,58.3,118,0,2,38,178,4.7,2,4,1,0,2,2,19,36,52.8,198,1,34,140,4.1,0,0,0,0,1
Mississippi St.,114,2007-08-30,1,,LSU,113,L,0,45,-45,14,33,42.4,136,0,6,26,10,0.4,0,11,3,1,7,0,14,22,63.6,149,3,50,198,4.0,3,0,0,0,6
New Mexico State,69,2007-08-30,1,,Southeastern Louisiana,245,W,35,14,21,25,37,67.6,289,4,4,27,153,5.7,0,10,5,0,4,5,14,28,50.0,145,0,37,123,3.3,1,0,1,1,2
Oregon St.,100,2007-08-30,1,,Utah,104,W,24,7,17,12,30,40.0,129,1,2,44,241,5.5,2,9,5,0,2,3,17,37,45.9,178,1,30,18,0.6,0,0,0,0,1
Rutgers,39,2007-08-30,1,,Buffalo,74,W,38,3,35,16,25,64.0,328,2,0,41,235,5.7,3,10,3,1,1,5,19,32,59.4,165,0,34,70,2.1,0,0,0,0,0
