Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Kick Ret,Kick Ret Yds,Kick Ret YPA,Kick Ret TD,unique_id
Ahmad Bradshaw,RB,22.169,2008-09-04,NFL,NYG,,WAS,W 16-7,1,1,Thu,1,19,19.00,0,BradAh00
Rock Cartwright,RB,28.276,2008-09-04,NFL,WAS,@,NYG,L 7-16,1,1,Thu,5,145,29.00,0,CartRo01
Darcy Johnson,TE,25.206,2008-09-04,NFL,NYG,,WAS,W 16-7,1,1,Thu,1,0,0.00,0,JohnDa03
Kentwan Balmer,DE,21.328,2008-09-07,NFL,SFO,,ARI,L 13-23,1,1,Sun,1,6,6.00,0,BalmKe99
Davone Bess,WR,22.360,2008-09-07,NFL,MIA,,NYJ,L 14-20,1,1,Sun,1,21,21.00,0,BessDa00
Steve Breaston,WR,25.018,2008-09-07,NFL,ARI,@,SFO,W 23-13,1,1,Sun,3,39,13.00,0,BreaSt00
Jeremy Bridges,OL,28.141,2008-09-07,NFL,CAR,@,SDG,W 26-24,1,1,Sun,1,15,15.00,0,BridJe20
Mark Campbell,TE,32.276,2008-09-07,NFL,NOR,,TAM,W 24-20,1,1,Sun,1,0,0.00,0,CampMa00
Chris Carr,DB,25.130,2008-09-07,NFL,TEN,,JAX,W 17-10,1,1,Sun,2,33,16.50,0,CarrCh22
Patrick Cobbs,RB,25.220,2008-09-07,NFL,MIA,,NYJ,L 14-20,1,1,Sun,1,20,20.00,0,CobbPa00
Andre' Davis,WR,29.087,2008-09-07,NFL,HOU,@,PIT,L 17-38,1,1,Sun,6,112,18.67,0,DaviAn01
Quintin Demps,S,23.070,2008-09-07,NFL,PHI,,STL,W 38-3,1,1,Sun,1,15,15.00,0,DempQu99
Yamon Figurs,WR,25.241,2008-09-07,NFL,BAL,,CIN,W 17-10,1,1,Sun,1,11,11.00,0,FiguYa00
Mike Furrey,WR,31.118,2008-09-07,NFL,DET,@,ATL,L 21-34,1,1,Sun,2,30,15.00,0,FurrMi00
