Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Pass Int,QBR,Sk,Sk Yds,YPA,AYPA,unique_id
Troy Aikman*,QB,33.287,2000-09-03,NFL,DAL,,PHI,L 14-41,1,1,Sun,0,5,0.00,0,0,1,0.0,4,30,0.00,-9.00,AikmTr00
Tony Banks,QB,27.151,2000-09-03,NFL,BAL,@,PIT,W 16-0,1,1,Sun,18,32,56.25,199,1,0,85.3,1,3,6.22,6.84,BankTo00
Steve Beuerlein,QB,35.180,2000-09-03,NFL,CAR,@,WAS,L 17-20,1,1,Sun,17,26,65.38,183,1,0,98.7,6,59,7.04,7.81,BeueSt00
Jeff Blake,QB,29.274,2000-09-03,NFL,NOR,,DET,L 10-14,1,1,Sun,18,34,52.94,169,0,1,54.7,5,23,4.97,3.65,BlakJe00
Drew Bledsoe,QB,28.202,2000-09-03,NFL,NWE,,TAM,L 16-21,1,1,Sun,26,39,66.67,216,1,0,89.3,6,26,5.54,6.05,BledDr00
Mark Brunell,QB,29.352,2000-09-03,NFL,JAX,@,CLE,W 27-7,1,1,Sun,24,34,70.59,301,1,0,107.6,4,22,8.85,9.44,BrunMa00
Stoney Case,QB,28.058,2000-09-03,NFL,DET,@,NOR,W 14-10,1,1,Sun,13,25,52.00,100,0,1,45.4,2,11,4.00,2.20,CaseSt00
Chris Chandler,QB,34.327,2000-09-03,NFL,ATL,,SFO,W 36-28,1,1,Sun,16,31,51.61,264,2,0,102.1,0,0,8.52,9.81,ChanCh00
Kerry Collins,QB,27.248,2000-09-03,NFL,NYG,,ARI,W 21-16,1,1,Sun,17,25,68.00,172,0,1,70.7,0,0,6.88,5.08,CollKe00
Tim Couch,QB,23.034,2000-09-03,NFL,CLE,,JAX,L 7-27,1,1,Sun,19,27,70.37,160,1,0,97.8,1,7,5.93,6.67,CoucTi00
Daunte Culpepper,QB,23.219,2000-09-03,NFL,MIN,,CHI,W 30-27,1,1,Sun,13,23,56.52,190,0,1,65.5,1,2,8.26,6.30,CulpDa00
Randall Cunningham,QB,37.160,2000-09-03,NFL,DAL,,PHI,L 14-41,1,1,Sun,13,26,50.00,135,1,1,62.2,1,5,5.19,4.23,CunnRa00
Koy Detmer,QB,27.060,2000-09-03,NFL,PHI,@,DAL,W 41-14,1,1,Sun,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,DetmKo00
Brett Favre*,QB,30.329,2000-09-03,NFL,GNB,,NYJ,L 16-20,1,1,Sun,14,34,41.18,152,1,1,52.6,1,3,4.47,3.74,FavrBr00
Jay Fiedler,QB,28.249,2000-09-03,NFL,MIA,,SEA,W 23-0,1,1,Sun,15,24,62.50,134,1,0,91.3,2,7,5.58,6.42,FiedJa00
Rich Gannon,QB,34.258,2000-09-03,NFL,OAK,,SDG,W 9-6,1,1,Sun,20,35,57.14,176,1,0,80.2,4,10,5.03,5.60,GannRi00
Jeff Garcia,QB,30.192,2000-09-03,NFL,SFO,@,ATL,L 28-36,1,1,Sun,23,36,63.89,253,3,1,100.8,1,6,7.03,7.44,GarcJe00
Kent Graham,QB,31.307,2000-09-03,NFL,PIT,,BAL,L 0-16,1,1,Sun,17,38,44.74,199,0,0,61.2,1,6,5.24,5.24,GrahKe00
Elvis Grbac,QB,30.021,2000-09-03,NFL,KAN,,IND,L 14-27,1,1,Sun,16,37,43.24,212,2,1,68.7,1,6,5.73,5.59,GrbaEl00
Brock Huard,QB,24.141,2000-09-03,NFL,SEA,@,MIA,L 0-23,1,1,Sun,4,9,44.44,30,0,0,53.0,3,12,3.33,3.33,HuarBr00
Brad Johnson,QB,31.356,2000-09-03,NFL,WAS,,CAR,W 20-17,1,1,Sun,25,36,69.44,234,0,0,87.0,0,0,6.50,6.50,JohnBr00
Rob Johnson,QB,27.169,2000-09-03,NFL,BUF,,TEN,W 16-13,1,1,Sun,9,18,50.00,107,1,0,87.0,5,37,5.94,7.06,JohnRo00
Shaun King,QB,23.097,2000-09-03,NFL,TAM,@,NWE,W 21-16,1,1,Sun,12,24,50.00,167,1,0,86.6,1,11,6.96,7.79,KingSh00
Jon Kitna,QB,27.348,2000-09-03,NFL,SEA,@,MIA,L 0-23,1,1,Sun,6,15,40.00,54,0,4,10.8,1,0,3.60,-8.40,KitnJo00
Ryan Leaf,QB,24.111,2000-09-03,NFL,SDG,@,OAK,L 6-9,1,1,Sun,17,39,43.59,180,0,3,25.6,2,18,4.62,1.15,LeafRy00
Peyton Manning,QB,24.163,2000-09-03,NFL,IND,@,KAN,W 27-14,1,1,Sun,22,32,68.75,273,1,1,92.3,1,6,8.53,7.75,MannPe00
Donovan McNabb,QB,23.283,2000-09-03,NFL,PHI,@,DAL,W 41-14,1,1,Sun,16,28,57.14,130,1,2,51.2,1,11,4.64,2.14,McNaDo00
Steve McNair,QB,27.202,2000-09-03,NFL,TEN,@,BUF,L 13-16,1,1,Sun,17,31,54.84,152,0,1,54.8,4,33,4.90,3.45,McNaSt00
Cade McNown,QB,23.235,2000-09-03,NFL,CHI,@,MIN,L 27-30,1,1,Sun,27,41,65.85,290,2,0,102.7,2,18,7.07,8.05,McNoCa00
Moses Moreno,QB,24.364,2000-09-03,NFL,SDG,@,OAK,L 6-9,1,1,Sun,2,3,66.67,17,0,0,81.2,0,0,5.67,5.67,MoreMo00
Jake Plummer,QB,25.259,2000-09-03,NFL,ARI,@,NYG,L 16-21,1,1,Sun,28,49,57.14,318,2,3,64.8,1,6,6.49,4.55,PlumJa00
Kordell Stewart,QB,27.323,2000-09-03,NFL,PIT,,BAL,L 0-16,1,1,Sun,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,StewKo00
Vinny Testaverde,QB,36.295,2000-09-03,NFL,NYJ,@,GNB,W 20-16,1,1,Sun,23,44,52.27,261,1,1,68.5,0,0,5.93,5.36,TestVi00
Alex Van Pelt,QB,30.125,2000-09-03,NFL,BUF,,TEN,W 16-13,1,1,Sun,4,8,50.00,67,0,0,78.6,0,0,8.38,8.38,VanPAl00
Brian Griese,QB,25.170,2000-09-04,NFL,DEN,@,STL,L 36-41,1,1,Mon,19,29,65.52,307,2,0,123.8,4,33,10.59,11.97,GrieBr00
Kurt Warner*,QB,29.074,2000-09-04,NFL,STL,,DEN,W 41-36,1,1,Mon,25,35,71.43,441,3,3,106.5,2,8,12.60,10.46,WarnKu00
