Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,XP Made,XP Att,XP %,FG Made,FG Att,FG %,2PM,Sfty,TD,Pts,unique_id
Graham Gano,K,29.152,2016-09-08,NFL,CAR,@,DEN,L 20-21,1,1,Thu,2,2,100.0,2,3,66.7,,,0,8,GanoGr44
Roberto Aguayo,K,22.117,2016-09-11,NFL,TAM,@,ATL,W 31-24,1,1,Sun,4,4,100.0,1,1,100.0,,,0,7,AguaRo00
Dan Bailey,K,28.229,2016-09-11,NFL,DAL,,NYG,L 19-20,1,1,Sun,1,1,100.0,4,4,100.0,,,0,13,BailDa00
Matt Bryant,K,41.105,2016-09-11,NFL,ATL,,TAM,L 24-31,1,1,Sun,1,1,100.0,3,3,100.0,,,0,10,bryanmat01
Dan Carpenter,K,30.291,2016-09-11,NFL,BUF,@,BAL,L 7-13,1,1,Sun,1,1,100.0,,1,0.0,,,0,1,CarpDa44
Chandler Catanzaro,K,25.198,2016-09-11,NFL,ARI,,NWE,L 21-23,1,1,Sun,3,3,100.0,,1,0.0,,,0,3,CataCh00
Mason Crosby,K,32.008,2016-09-11,NFL,GNB,@,JAX,W 27-23,1,1,Sun,3,3,100.0,2,2,100.0,,,0,9,CrosMa20
Nick Folk,K,31.311,2016-09-11,NFL,NYJ,,CIN,L 22-23,1,1,Sun,1,2,50.0,3,4,75.0,,,0,10,FolkNi20
Andrew Franks,K,23.244,2016-09-11,NFL,MIA,@,SEA,L 10-12,1,1,Sun,1,1,100.0,1,2,50.0,,,0,4,FranAn01
Stephen Gostkowski,K,32.227,2016-09-11,NFL,NWE,@,ARI,W 23-21,1,1,Sun,2,2,100.0,3,3,100.0,,,0,11,GostSt20
Stephen Hauschka,K,31.074,2016-09-11,NFL,SEA,,MIA,W 12-10,1,1,Sun,,1,0.0,2,2,100.0,,,0,6,HausSt00
Sebastian Janikowski,K,38.193,2016-09-11,NFL,OAK,@,NOR,W 35-34,1,1,Sun,1,1,100.0,2,2,100.0,,,0,7,janikseb01
Josh Lambo,K,25.297,2016-09-11,NFL,SDG,@,KAN,L 27-33,1,1,Sun,3,3,100.0,2,3,66.7,,,0,9,LambJo00
Wil Lutz,K,22.066,2016-09-11,NFL,NOR,,OAK,L 34-35,1,1,Sun,4,4,100.0,2,4,50.0,,,0,10,LutzWi00
Patrick Murray,K,25.081,2016-09-11,NFL,CLE,@,PHI,L 10-29,1,1,Sun,1,1,100.0,1,1,100.0,,,0,4,MurrPa01
Jason Myers,K,25.122,2016-09-11,NFL,JAX,,GNB,L 23-27,1,1,Sun,2,2,100.0,3,3,100.0,,,0,11,MyerJa00
Nick Novak,K,35.021,2016-09-11,NFL,HOU,,CHI,W 23-14,1,1,Sun,2,2,100.0,3,3,100.0,,,0,11,novaknic01
Mike Nugent,K,34.193,2016-09-11,NFL,CIN,@,NYJ,W 23-22,1,1,Sun,2,2,100.0,3,4,75.0,,,0,11,nugenmik01
Matt Prater,K,32.032,2016-09-11,NFL,DET,@,IND,W 39-35,1,1,Sun,4,5,80.0,1,1,100.0,,,0,7,PratMa20
Cairo Santos,K,24.304,2016-09-11,NFL,KAN,,SDG,W 33-27,1,1,Sun,3,3,100.0,2,2,100.0,,,0,9,SantCa01
Caleb Sturgis,K,27.033,2016-09-11,NFL,PHI,,CLE,W 29-10,1,1,Sun,3,3,100.0,2,3,66.7,,,0,9,SturCa00
Ryan Succop,K,29.358,2016-09-11,NFL,TEN,,MIN,L 16-25,1,1,Sun,1,1,100.0,1,1,100.0,,,0,4,SuccRy44
Justin Tucker,K,26.295,2016-09-11,NFL,BAL,,BUF,W 13-7,1,1,Sun,1,1,100.0,2,2,100.0,,,0,7,TuckJu00
Adam Vinatieri,K,43.258,2016-09-11,NFL,IND,,DET,L 35-39,1,1,Sun,3,3,100.0,2,2,100.0,,,0,9,vinatada01
Blair Walsh,K,26.247,2016-09-11,NFL,MIN,@,TEN,W 25-16,1,1,Sun,1,2,50.0,4,6,66.7,,,0,13,WalsBl00
Chris Boswell,K,25.180,2016-09-12,NFL,PIT,@,WAS,W 38-16,1,1,Mon,5,5,100.0,1,1,100.0,,,0,8,BoswCh00
Dustin Hopkins,K,25.347,2016-09-12,NFL,WAS,,PIT,L 16-38,1,1,Mon,1,1,100.0,3,3,100.0,,,0,10,HopkDu00
Dan Carpenter,K,30.295,2016-09-15,NFL,BUF,,NYJ,L 31-37,2,2,Thu,4,4,100.0,1,1,100.0,,,0,7,CarpDa44
Nick Folk,K,31.315,2016-09-15,NFL,NYJ,@,BUF,W 37-31,2,2,Thu,4,4,100.0,3,3,100.0,,,0,13,FolkNi20
Roberto Aguayo,K,22.124,2016-09-18,NFL,TAM,@,ARI,L 7-40,2,2,Sun,1,1,100.0,,1,0.0,,,0,1,AguaRo00
Dan Bailey,K,28.236,2016-09-18,NFL,DAL,@,WAS,W 27-23,2,2,Sun,3,3,100.0,2,2,100.0,,,0,9,BailDa00
Chris Boswell,K,25.186,2016-09-18,NFL,PIT,,CIN,W 24-16,2,2,Sun,3,3,100.0,1,1,100.0,,,0,6,BoswCh00
Josh Brown,K,37.142,2016-09-18,NFL,NYG,,NOR,W 16-13,2,2,Sun,1,1,100.0,3,4,75.0,,,0,10,brownjos01
Matt Bryant,K,41.112,2016-09-18,NFL,ATL,@,OAK,W 35-28,2,2,Sun,3,3,100.0,2,2,100.0,,,0,9,bryanmat01
Chandler Catanzaro,K,25.205,2016-09-18,NFL,ARI,,TAM,W 40-7,2,2,Sun,4,5,80.0,2,2,100.0,,,0,10,CataCh00
