Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Kick Ret,Kick Ret Yds,Kick Ret YPA,Kick Ret TD,unique_id
Dion Lewis,RB,26.345,2017-09-07,NFL,NWE,,KAN,L 27-42,1,1,Thu,3,49,16.33,0,LewiDi00
De'Anthony Thomas,WR,24.245,2017-09-07,NFL,KAN,@,NWE,W 42-27,1,1,Thu,4,86,21.50,0,ThomDe05
Jamal Agnew,CB,22.160,2017-09-10,NFL,DET,,ARI,W 35-23,1,1,Sun,1,18,18.00,0,AgneJa00
Tavon Austin,WR,27.179,2017-09-10,NFL,LAR,,IND,W 46-9,1,1,Sun,1,13,13.00,0,AustTa00
Bashaud Breeland,CB,25.223,2017-09-10,NFL,WAS,,PHI,L 17-30,1,1,Sun,3,59,19.67,0,BreeBa00
Brent Celek,TE,32.228,2017-09-10,NFL,PHI,@,WAS,W 30-17,1,1,Sun,1,8,8.00,0,CeleBr00
Pharoh Cooper,WR,22.187,2017-09-10,NFL,LAR,,IND,W 46-9,1,1,Sun,1,35,35.00,0,CoopPh00
Benny Cunningham,RB,27.065,2017-09-10,NFL,CHI,,ATL,L 17-23,1,1,Sun,1,23,23.00,0,CunnBe01
Alex Erickson,WR,24.308,2017-09-10,NFL,CIN,,BAL,L 0-20,1,1,Sun,1,11,11.00,0,EricAl01
Tyler Ervin,RB,23.338,2017-09-10,NFL,HOU,,JAX,L 7-29,1,1,Sun,1,24,24.00,0,ErviTy00
Dwayne Harris,WR,29.359,2017-09-10,NFL,NYG,@,DAL,L 3-19,1,1,Sun,2,42,21.00,0,HarrDw00
Adoree' Jackson,CB,21.357,2017-09-10,NFL,TEN,,OAK,L 16-26,1,1,Sun,1,35,35.00,0,JackAd00
Tyler Lockett,WR,24.347,2017-09-10,NFL,SEA,@,GNB,L 9-17,1,1,Sun,3,91,30.33,0,LockTy00
Cordarrelle Patterson,WR,26.177,2017-09-10,NFL,OAK,@,TEN,W 26-16,1,1,Sun,1,41,41.00,0,PattCo00
Jabrill Peppers,S,21.341,2017-09-10,NFL,CLE,,PIT,L 18-21,1,1,Sun,1,14,14.00,0,PeppJa00
Kalif Raymond,WR,23.033,2017-09-10,NFL,NYJ,@,BUF,L 12-21,1,1,Sun,2,45,22.50,0,RaymKa00
Andre Roberts,WR,29.244,2017-09-10,NFL,ATL,@,CHI,W 23-17,1,1,Sun,1,11,11.00,0,RobeAn00
JuJu Smith-Schuster,WR,20.292,2017-09-10,NFL,PIT,@,CLE,W 21-18,1,1,Sun,1,4,4.00,0,SmitJu00
Ryan Switzer,WR,22.310,2017-09-10,NFL,DAL,,NYG,W 19-3,1,1,Sun,2,42,21.00,0,SwitRy00
Brandon Tate,WR,29.340,2017-09-10,NFL,BUF,,NYJ,W 21-12,1,1,Sun,1,23,23.00,0,TateBr00
Chris Thompson,RB,26.325,2017-09-10,NFL,WAS,,PHI,L 17-30,1,1,Sun,1,18,18.00,0,ThomCh03
Deonte Thompson,WR,28.208,2017-09-10,NFL,CHI,,ATL,L 17-23,1,1,Sun,2,47,23.50,0,ThomDe04
Dwayne Washington,RB,23.139,2017-09-10,NFL,DET,,ARI,W 35-23,1,1,Sun,2,31,15.50,0,WashDw00
Kerwynn Williams,RB,26.093,2017-09-10,NFL,ARI,@,DET,L 23-35,1,1,Sun,2,46,23.00,0,WillKe05
Trey Edmunds,RB,22.255,2017-09-11,NFL,NOR,@,MIN,L 19-29,1,1,Mon,1,22,22.00,0,EdmuTr00
Alvin Kamara,RB,22.048,2017-09-11,NFL,NOR,@,MIN,L 19-29,1,1,Mon,1,26,26.00,0,KamaAl00
John Kuhn,FB,35.002,2017-09-11,NFL,NOR,@,MIN,L 19-29,1,1,Mon,1,9,9.00,0,KuhnJo00
Cody Latimer,WR,24.336,2017-09-11,NFL,DEN,,LAC,W 24-21,1,1,Mon,1,36,36.00,0,LatiCo00
Jerick McKinnon,RB,25.131,2017-09-11,NFL,MIN,,NOR,W 29-19,1,1,Mon,4,108,27.00,0,McKiJe00
Alex Erickson,WR,24.312,2017-09-14,NFL,CIN,,HOU,L 9-13,2,2,Thu,2,76,38.00,0,EricAl01
Tyler Ervin,RB,23.342,2017-09-14,NFL,HOU,@,CIN,W 13-9,2,2,Thu,1,17,17.00,0,ErviTy00
Victor Bolden,WR,22.166,2017-09-17,NFL,SFO,@,SEA,L 9-12,2,2,Sun,3,71,23.67,0,BoldVi00
Quan Bray,WR,24.142,2017-09-17,NFL,IND,,ARI,L 13-16,2,2,Sun,3,79,26.33,0,BrayQu00
Keelan Cole,WR,24.150,2017-09-17,NFL,JAX,,TEN,L 16-37,2,2,Sun,1,14,14.00,0,ColeKe00
Pharoh Cooper,WR,22.194,2017-09-17,NFL,LAR,,WAS,L 20-27,2,2,Sun,3,59,19.67,0,CoopPh00
Eric Decker,WR,30.186,2017-09-17,NFL,TEN,@,JAX,W 37-16,2,2,Sun,1,22,22.00,0,DeckEr00
Kenyan Drake,RB,23.234,2017-09-17,NFL,MIA,@,LAC,W 19-17,1,2,Sun,3,71,23.67,0,DrakKe00
Trey Edmunds,RB,22.261,2017-09-17,NFL,NOR,,NWE,L 20-36,2,2,Sun,2,43,21.50,0,EdmuTr00
Austin Ekeler,RB,22.123,2017-09-17,NFL,LAC,,MIA,L 17-19,2,2,Sun,3,49,16.33,0,EkelAu00
Corey Grant,RB,25.272,2017-09-17,NFL,JAX,,TEN,L 16-37,2,2,Sun,3,74,24.67,0,GranCo00
Akeem Hunt,RB,24.207,2017-09-17,NFL,KAN,,PHI,W 27-20,2,2,Sun,1,40,40.00,0,HuntAk01
Jordan Jenkins,OLB,23.078,2017-09-17,NFL,NYJ,@,OAK,L 20-45,2,2,Sun,1,7,7.00,0,JenkJo01
Alvin Kamara,RB,22.054,2017-09-17,NFL,NOR,,NWE,L 20-36,2,2,Sun,3,71,23.67,0,KamaAl00
Desmond King,CB,22.277,2017-09-17,NFL,LAC,,MIA,L 17-19,2,2,Sun,1,17,17.00,0,KingDe01
Cody Latimer,WR,24.342,2017-09-17,NFL,DEN,,DAL,W 42-17,2,2,Sun,1,25,25.00,0,LatiCo00
Tyler Lockett,WR,24.354,2017-09-17,NFL,SEA,,SFO,W 12-9,2,2,Sun,2,46,23.00,0,LockTy00
Jerick McKinnon,RB,25.137,2017-09-17,NFL,MIN,@,PIT,L 9-26,2,2,Sun,2,52,26.00,0,McKiJe00
Cordarrelle Patterson,WR,26.184,2017-09-17,NFL,OAK,,NYJ,W 45-20,2,2,Sun,3,70,23.33,0,PattCo00
Jabrill Peppers,S,21.348,2017-09-17,NFL,CLE,@,BAL,L 10-24,2,2,Sun,1,18,18.00,0,PeppJa00
Kalif Raymond,WR,23.040,2017-09-17,NFL,NYJ,@,OAK,L 20-45,2,2,Sun,1,40,40.00,0,RaymKa00
Andre Roberts,WR,29.251,2017-09-17,NFL,ATL,,GNB,W 34-23,2,2,Sun,2,31,15.50,0,RobeAn00
Wendell Smallwood,RB,23.231,2017-09-17,NFL,PHI,@,KAN,L 20-27,2,2,Sun,2,55,27.50,0,SmalWe00
JuJu Smith-Schuster,WR,20.299,2017-09-17,NFL,PIT,,MIN,W 26-9,2,2,Sun,1,20,20.00,0,SmitJu00
De'Anthony Thomas,WR,24.255,2017-09-17,NFL,KAN,,PHI,W 27-20,2,2,Sun,2,49,24.50,0,ThomDe05
Chris Thompson,RB,26.332,2017-09-17,NFL,WAS,@,LAR,W 27-20,2,2,Sun,1,16,16.00,0,ThomCh03
Deonte Thompson,WR,28.215,2017-09-17,NFL,CHI,@,TAM,L 7-29,2,2,Sun,2,43,21.50,0,ThomDe04
Terrell Watson,RB,24.026,2017-09-17,NFL,PIT,,MIN,W 26-9,2,2,Sun,1,25,25.00,0,WatsTe00
Eric Weems,WR,32.075,2017-09-17,NFL,TEN,@,JAX,W 37-16,2,2,Sun,1,0,0.00,0,WeemEr00
Kerwynn Williams,RB,26.100,2017-09-17,NFL,ARI,@,IND,W 16-13,2,2,Sun,2,35,17.50,0,WillKe05
Jamal Agnew,CB,22.168,2017-09-18,NFL,DET,@,NYG,W 24-10,2,2,Mon,1,15,15.00,0,AgneJa00
Dwayne Harris,WR,30.002,2017-09-18,NFL,NYG,,DET,L 10-24,2,2,Mon,1,21,21.00,0,HarrDw00
Victor Bolden,WR,22.170,2017-09-21,NFL,SFO,,LAR,L 39-41,3,3,Thu,2,36,18.00,0,BoldVi00
Pharoh Cooper,WR,22.198,2017-09-21,NFL,LAR,@,SFO,W 41-39,3,3,Thu,3,83,27.67,0,CoopPh00
Raheem Mostert,RB,25.165,2017-09-21,NFL,SFO,,LAR,L 39-41,3,3,Thu,1,20,20.00,0,MostRa00
Jamal Agnew,CB,22.174,2017-09-24,NFL,DET,,ATL,L 26-30,3,3,Sun,1,11,11.00,0,AgneJa00
Corey Clement,RB,22.326,2017-09-24,NFL,PHI,,NYG,W 27-24,3,3,Sun,1,35,35.00,0,ClemCo00
Keelan Cole,WR,24.157,2017-09-24,NFL,JAX,,BAL,W 44-7,3,3,Sun,1,12,12.00,0,ColeKe00
Alex Erickson,WR,24.322,2017-09-24,NFL,CIN,@,GNB,L 24-27,3,3,Sun,1,20,20.00,0,EricAl01
Tyler Ervin,RB,23.352,2017-09-24,NFL,HOU,@,NWE,L 33-36,3,3,Sun,3,52,17.33,0,ErviTy00
Jakeem Grant,WR,24.359,2017-09-24,NFL,MIA,@,NYJ,L 6-20,2,3,Sun,1,15,15.00,0,GranJa00
