Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Punt Ret,Punt Ret Yds,Punt Ret YPA,Punt Ret TD,unique_id
Chris Carr,DB,22.131,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,3,15,5.00,0,CarrCh22
Tim Dwight,WR,30.057,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,4,44,11.00,0,DwigTi00
Otis Amey,WR,23.281,2005-09-11,NFL,SFO,,STL,W 28-25,1,1,Sun,1,75,75.00,1,AmeyFr00
Bernard Berrian,WR,24.258,2005-09-11,NFL,CHI,@,WAS,L 7-9,1,1,Sun,2,-3,-1.50,0,BerrBe00
Antonio Brown,WR,27.192,2005-09-11,NFL,WAS,,CHI,W 9-7,1,1,Sun,2,5,2.50,0,BrowAn01
Phillip Buchanon,LCB,24.357,2005-09-11,NFL,HOU,@,BUF,L 7-22,1,1,Sun,1,6,6.00,0,BuchPh20
Antonio Chatman,WR,26.211,2005-09-11,NFL,GNB,@,DET,L 3-17,1,1,Sun,3,19,6.33,0,ChatAn00
Nate Clements,RCB,25.273,2005-09-11,NFL,BUF,,HOU,W 22-7,1,1,Sun,2,19,9.50,0,ClemNa99
Jerricho Cotchery,WR,23.087,2005-09-11,NFL,NYJ,@,KAN,L 7-27,1,1,Sun,1,8,8.00,0,CotcJe00
Patrick Crayton,WR,26.157,2005-09-11,NFL,DAL,@,SDG,W 28-24,1,1,Sun,1,2,2.00,0,CrayPa00
Eddie Drummond,WR,25.152,2005-09-11,NFL,DET,,GNB,W 17-3,1,1,Sun,6,12,2.00,0,DrumEd00
Keenan Howry,WR,24.086,2005-09-11,NFL,MIN,,TAM,L 13-24,1,1,Sun,5,54,10.80,0,HowrKe00
Mark Jones,WR,24.312,2005-09-11,NFL,TAM,@,MIN,W 24-13,1,1,Sun,3,27,9.00,0,JoneMa01
Michael Lewis,WR,33.301,2005-09-11,NFL,NOR,@,CAR,W 23-20,1,1,Sun,1,0,0.00,0,LewiMi00
Shaun McDonald,WR,24.090,2005-09-11,NFL,STL,@,SFO,L 25-28,1,1,Sun,2,14,7.00,0,McDoSh00
Justin Miller,CB,21.209,2005-09-11,NFL,NYJ,@,KAN,L 7-27,1,1,Sun,1,0,0.00,0,MillJu99
Chad Morton,RB,28.160,2005-09-11,NFL,NYG,,ARI,W 42-19,1,1,Sun,6,88,14.67,1,MortCh00
Dennis Northcutt,WR,27.263,2005-09-11,NFL,CLE,,CIN,L 13-27,1,1,Sun,2,20,10.00,0,NortDe00
Alvin Pearman,RB,23.032,2005-09-11,NFL,JAX,,SEA,W 26-14,1,1,Sun,3,24,8.00,0,PearAl00
Antwaan Randle El,SE,26.025,2005-09-11,NFL,PIT,,TEN,W 34-7,1,1,Sun,1,0,0.00,0,RandAn00
Keiwan Ratliff,CB,24.145,2005-09-11,NFL,CIN,@,CLE,W 27-13,1,1,Sun,2,18,9.00,0,RatlKe20
