Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Kick Ret,Kick Ret Yds,Kick Ret YPA,Kick Ret TD,unique_id
Chris Carr,DB,22.131,2005-09-08,NFL,OAK,@,NWE,L 20-30,1,1,Thu,6,151,25.17,0,CarrCh22
Kevin Faulk,RB,29.095,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,2,42,21.00,0,FaulKe00
Ellis Hobbs,CB,22.115,2005-09-08,NFL,NWE,,OAK,W 30-20,1,1,Thu,1,37,37.00,0,HobbEl20
Charlie Adams,CB,25.323,2005-09-11,NFL,DEN,@,MIA,L 10-34,1,1,Sun,2,39,19.50,0,AdamCh00
Otis Amey,WR,23.281,2005-09-11,NFL,SFO,,STL,W 28-25,1,1,Sun,1,17,17.00,0,AmeyFr00
Obafemi Ayanbadejo,FB,30.190,2005-09-11,NFL,ARI,@,NYG,L 19-42,1,1,Sun,1,16,16.00,0,AyanOb00
Marion Barber,RB,22.093,2005-09-11,NFL,DAL,@,SDG,W 28-24,1,1,Sun,3,58,19.33,0,BarbMa01
Ladell Betts,RB,26.015,2005-09-11,NFL,WAS,,CHI,W 9-7,1,1,Sun,1,25,25.00,0,BettLa00
Mark Bradley,WR,23.225,2005-09-11,NFL,CHI,@,WAS,L 7-9,1,1,Sun,4,70,17.50,0,BradMa00
Antonio Brown,WR,27.192,2005-09-11,NFL,WAS,,CHI,W 9-7,1,1,Sun,1,16,16.00,0,BrowAn01
Mark Bruener,TE,32.360,2005-09-11,NFL,HOU,@,BUF,L 7-22,1,1,Sun,1,11,11.00,0,BrueMa00
Ran Carthon,RB,24.213,2005-09-11,NFL,IND,@,BAL,W 24-7,1,1,Sun,1,14,14.00,0,CartRa00
Antonio Chatman,WR,26.211,2005-09-11,NFL,GNB,@,DET,L 3-17,1,1,Sun,1,22,22.00,0,ChatAn00
