Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Sack,Tackle Solo,Tackle Assist,Tackle Tot,Tackle for Loss,QBHits,unique_id
Desmond Bishop,MLB,27.046,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,0.0,8,4,12,0,0,BishDe99
Morgan Burnett,SS,22.238,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,0.0,7,6,13,0,0,BurnMo99
Jarrett Bush,CB/S,27.110,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,0.5,2,1,3,0,1,BushJa20
Jonathan Casillas,SLB,24.097,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,1.0,2,0,2,1,1,CasiJo99
Jeff Charleston,DE,28.232,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,0.0,2,1,3,0,0,CharJe99
Nick Collins,FS,28.023,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,0.0,6,2,8,0,0,CollNi20
Marques Colston,WR,28.095,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,0.0,1,0,1,0,0,ColsMa00
Sedrick Ellis,NT,26.061,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,0.0,1,1,2,0,1,ElliSe99
Aubrayo Franklin,DT,31.012,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,0.0,1,0,1,0,0,FranAu20
Junior Galette,DE,23.165,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,0.5,1,2,3,1,1,GaleJu00
Howard Green,NT,32.239,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,0.0,0,1,1,0,0,GreeHo20
Jabari Greer,LCB,29.209,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,0.0,7,0,7,0,0,GreeJa22
Roman Harper,SS,28.271,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,0.5,7,2,9,0,1,HarpRo21
A.J. Hawk,BLB,27.245,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,0.5,1,3,4,0,1,HawkA.20
Will Herring,LB,28.011,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,0.0,2,0,2,0,0,HerrWi99
Malcolm Jenkins,FS,23.262,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,0.0,4,1,5,0,0,JenkMa99
Cameron Jordan,RDE,22.060,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,0.0,2,1,3,0,0,JordCa00
Mitch King,DT,25.126,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,0.0,0,1,1,0,0,KingMi99
Olin Kreutz,C,34.091,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,0.0,1,0,1,,,KreuOl00
Clay Matthews,LOLB,25.117,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,0.0,1,3,4,0,2,MattCl99
Turk McBride,LDE,26.101,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,0.0,1,0,1,0,1,McBrTu99
Ryan Pickett,LDE,31.335,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,0.0,1,3,4,0,0,PickRy20
Tracy Porter,RCB,25.028,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,0.0,1,4,5,0,0,PortTr99
B.J. Raji,NT,25.059,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,0.0,2,0,2,0,0,RajiBJ99
Patrick Robinson,CB,24.001,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,0.0,5,0,5,0,0,RobiPa99
Shaun Rogers,DT,32.180,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,0.0,0,1,1,0,0,RogeSh99
Scott Shanle,LB,31.289,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,0.0,5,2,7,1,0,ShanSc20
Sam Shields,CB,23.274,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,0.0,7,1,8,0,0,ShieSa00
D.J. Smith,LB,22.196,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,0.0,2,0,2,0,0,SmitD.00
Leigh Torrence,CB,29.247,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,0.0,1,0,1,0,0,TorrLe20
Jonathan Vilma,MLB,29.145,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,0.0,5,2,7,0,0,VilmJo99
Erik Walden,ROLB,26.018,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,1.0,3,1,4,1,1,WaldEr99
Tramon Williams,RCB,28.176,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,0.0,3,0,3,1,0,WillTr99
Charles Woodson,LCB,34.336,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,0.0,2,0,2,0,0,WoodCh00
Jarius Wynn,DE,25.010,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,1.0,3,1,4,1,1,WynnJa99
Husain Abdullah,FS,26.046,2011-09-11,NFL,MIN,@,SDG,L 17-24,1,1,Sun,0.0,6,0,6,0,0,AbduHu99
John Abraham,RDE,33.128,2011-09-11,NFL,ATL,@,CHI,L 12-30,1,1,Sun,2.0,4,0,4,4,2,AbraJo00
Sam Acho,LB,23.005,2011-09-11,NFL,ARI,,CAR,W 28-21,1,1,Sun,0.0,1,0,1,0,0,AchoSa00
Anthony Adams,DT,31.085,2011-09-11,NFL,CHI,,ATL,W 30-12,1,1,Sun,0.0,2,0,2,0,0,AdamAn20
Mike Adams,FS,30.171,2011-09-11,NFL,CLE,,CIN,L 17-27,1,1,Sun,0.0,3,1,4,0,0,AdamMi21
C.J. Ah You,DE,29.066,2011-09-11,NFL,STL,,PHI,L 13-31,1,1,Sun,0.0,1,0,1,1,0,AhYoC.00
Lorenzo Alexander,LB,28.103,2011-09-11,NFL,WAS,,NYG,W 28-14,1,1,Sun,0.0,1,0,1,0,0,AlexLo99
Jared Allen,RDE,29.161,2011-09-11,NFL,MIN,@,SDG,L 17-24,1,1,Sun,0.5,3,3,6,0,1,AlleJa22
Jason Allen,CB,28.068,2011-09-11,NFL,HOU,,IND,W 34-7,1,1,Sun,0.0,2,0,2,0,0,AlleJa23
Tyson Alualu,DT,24.122,2011-09-11,NFL,JAX,,TEN,W 16-14,1,1,Sun,0.0,1,1,2,0,0,AluaTy99
Ken Amato,LB/L,34.116,2011-09-11,NFL,TEN,@,JAX,L 14-16,1,1,Sun,0.0,1,0,1,0,0,AmatKe20
Jamaal Anderson,DE,25.217,2011-09-11,NFL,IND,@,HOU,L 7-34,1,1,Sun,0.0,0,2,2,0,0,AndeJa98
James Anderson,WLB,27.350,2011-09-11,NFL,CAR,@,ARI,L 21-28,1,1,Sun,0.0,3,0,3,1,0,AndeJa21
Pat Angerer,SLB,24.223,2011-09-11,NFL,IND,@,HOU,L 7-34,1,1,Sun,0.0,9,4,13,1,0,AngePa99
Javier Arenas,CB,23.318,2011-09-11,NFL,KAN,,BUF,L 7-41,1,1,Sun,0.0,3,0,3,0,2,ArenJa99
Anthony Armstrong,WR,28.166,2011-09-11,NFL,WAS,,NYG,W 28-14,1,1,Sun,0.0,1,0,1,0,0,ArmsAn00
Nnamdi Asomugha,RCB,30.067,2011-09-11,NFL,PHI,@,STL,W 31-13,1,1,Sun,0.0,1,0,1,0,0,AsomNn20
Geno Atkins,DT,23.167,2011-09-11,NFL,CIN,@,CLE,W 27-17,1,1,Sun,0.0,1,4,5,0,1,AtkiGe99
O.J. Atogwe,FS,30.080,2011-09-11,NFL,WAS,,NYG,W 28-14,1,1,Sun,0.0,2,3,5,0,0,AtogO.20
Cliff Avril,LDE,25.156,2011-09-11,NFL,DET,@,TAM,W 27-20,1,1,Sun,0.0,1,1,2,0,0,AvriCl99
Adrian Awasom,DE,27.321,2011-09-11,NFL,MIN,@,SDG,L 17-24,1,1,Sun,0.0,1,2,3,0,0,AwasAd20
Brendon Ayanbadejo,LB,35.005,2011-09-11,NFL,BAL,,PIT,W 35-7,1,1,Sun,0.0,2,0,2,0,0,AyanBr99
Akeem Ayers,SLB,22.063,2011-09-11,NFL,TEN,@,JAX,L 14-16,1,1,Sun,0.0,3,4,7,0,1,AyerAk00
Jason Babin,LDE,31.110,2011-09-11,NFL,PHI,@,STL,W 31-13,1,1,Sun,2.0,4,0,4,2,3,BabiJa20
Jonathan Babineaux,DT,29.334,2011-09-11,NFL,ATL,@,CHI,L 12-30,1,1,Sun,0.0,1,0,1,0,0,BabiJo20
Alan Ball,CB,26.166,2011-09-11,NFL,DAL,@,NYJ,L 24-27,1,1,Sun,0.0,4,0,4,0,0,BallAl99
Dave Ball,DE,30.250,2011-09-11,NFL,TEN,@,JAX,L 14-16,1,1,Sun,0.0,5,0,5,1,1,BallDa20
Justin Bannan,RDT,32.146,2011-09-11,NFL,STL,,PHI,L 13-31,1,1,Sun,0.0,1,0,1,0,0,BannJu20
Ronde Barber,RCB,36.157,2011-09-11,NFL,TAM,,DET,L 20-27,1,1,Sun,0.0,6,1,7,1,0,BarbRo00
Antwan Barnes,LB,26.327,2011-09-11,NFL,SDG,,MIN,W 24-17,1,1,Sun,1.0,2,0,2,1,1,BarnAn99
Kevin Barnes,CB,24.361,2011-09-11,NFL,WAS,,NYG,W 28-14,1,1,Sun,0.0,0,1,1,0,0,BarnKe99
Nick Barnett,WLB,30.107,2011-09-11,NFL,BUF,@,KAN,W 41-7,1,1,Sun,0.0,4,0,4,0,0,BarnNi20
Ron Bartell,LCB,29.201,2011-09-11,NFL,STL,,PHI,L 13-31,1,1,Sun,0.0,1,0,1,0,0,BartRo20
Connor Barwin,SLB,24.331,2011-09-11,NFL,HOU,,IND,W 34-7,1,1,Sun,0.0,1,0,1,1,1,BarwCo99
Danny Batten,LB,23.277,2011-09-11,NFL,BUF,@,KAN,W 41-7,1,1,Sun,0.0,2,0,2,1,0,BattDa99
Jackie Battle,RB,27.345,2011-09-11,NFL,KAN,,BUF,L 7-41,1,1,Sun,0.0,1,0,1,0,0,BattJa00
Jon Beason,MLB,26.240,2011-09-11,NFL,CAR,@,ARI,L 21-28,1,1,Sun,0.0,4,0,4,1,0,BeasJo99
Jovan Belcher,LILB,24.049,2011-09-11,NFL,KAN,,BUF,L 7-41,1,1,Sun,0.0,4,2,6,0,0,BelcJo00
Nick Bellore,LB,22.122,2011-09-11,NFL,NYJ,,DAL,W 27-24,1,1,Sun,0.0,2,0,2,0,0,BellNi01
Marcus Benard,DL,26.047,2011-09-11,NFL,CLE,,CIN,L 17-27,1,1,Sun,0.5,1,1,2,0,1,BenaMa00
Arrelious Benn,WR,23.003,2011-09-11,NFL,TAM,,DET,L 20-27,1,1,Sun,0.0,1,0,1,,,BennAr00
Michael Bennett,LDE,25.302,2011-09-11,NFL,TAM,,DET,L 20-27,1,1,Sun,0.0,4,0,4,0,0,BennMi99
Rocky Bernard,DT,32.145,2011-09-11,NFL,NYG,@,WAS,L 14-28,1,1,Sun,0.0,1,1,2,0,0,BernRo20
Aaron Berry,CB,23.078,2011-09-11,NFL,DET,@,TAM,W 27-20,1,1,Sun,0.0,4,0,4,0,0,BerrAa00
Antoine Bethea,FS,27.046,2011-09-11,NFL,IND,@,HOU,L 7-34,1,1,Sun,0.0,5,1,6,0,0,BethAn20
Kroy Biermann,DE,25.364,2011-09-11,NFL,ATL,@,CHI,L 12-30,1,1,Sun,1.0,2,1,3,1,1,BierKr99
