Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Kick Ret,Kick Ret Yds,Kick Ret YPA,Kick Ret TD,unique_id
Randall Cobb,WR,21.017,2011-09-08,NFL,GNB,,NOR,W 42-34,1,1,Thu,2,135,67.50,1,CobbRa00
Jed Collins,FB,25.189,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,1,7,7.00,0,CollJe01
Darren Sproles,RB,28.080,2011-09-08,NFL,NOR,@,GNB,L 34-42,1,1,Thu,2,76,38.00,0,SproDa00
Javier Arenas,CB,23.318,2011-09-11,NFL,KAN,,BUF,L 7-41,1,1,Sun,3,55,18.33,0,ArenJa99
Brandon Banks,WR,23.264,2011-09-11,NFL,WAS,,NYG,W 28-14,1,1,Sun,2,48,24.00,0,BankBr00
Lorenzo Booker,RB,27.089,2011-09-11,NFL,MIN,@,SDG,L 17-24,1,1,Sun,1,20,20.00,0,BookLo00
Antonio Brown,WR,23.063,2011-09-11,NFL,PIT,@,BAL,L 7-35,1,1,Sun,3,103,34.33,0,BrowAn04
Dominique Byrd,TE,27.216,2011-09-11,NFL,SEA,@,SFO,L 17-33,1,1,Sun,1,10,10.00,0,ByrdDo00
Josh Cribbs,WR,28.094,2011-09-11,NFL,CLE,,CIN,L 17-27,1,1,Sun,3,91,30.33,0,CribJo01
Antonio Cromartie,CB,27.149,2011-09-11,NFL,NYJ,,DAL,W 27-24,1,1,Sun,3,51,17.00,0,CromAn20
Ted Ginn,WR,26.152,2011-09-11,NFL,SFO,,SEA,W 33-17,1,1,Sun,4,176,44.00,1,GinnTe00
Richard Goodman,WR,24.141,2011-09-11,NFL,SDG,,MIN,W 24-17,1,1,Sun,2,53,26.50,0,GoodRi00
Mike Goodson,RB,24.111,2011-09-11,NFL,CAR,@,ARI,L 21-28,1,1,Sun,2,49,24.50,0,GoodMi00
Everson Griffen,DE,23.263,2011-09-11,NFL,MIN,@,SDG,L 17-24,1,1,Sun,1,7,7.00,0,GrifEv99
Percy Harvin,WR,23.106,2011-09-11,NFL,MIN,@,SDG,L 17-24,1,1,Sun,1,103,103.00,1,HarvPe00
Devin Hester,WR,28.311,2011-09-11,NFL,CHI,,ATL,W 30-12,1,1,Sun,3,53,17.67,0,HestDe99
Jacob Hester,FB,26.126,2011-09-11,NFL,SDG,,MIN,W 24-17,1,1,Sun,1,24,24.00,0,HestJa00
Deji Karim,RB/K,24.297,2011-09-11,NFL,JAX,,TEN,W 16-14,1,1,Sun,1,26,26.00,0,KariDe00
Joe Lefeged,DB,23.101,2011-09-11,NFL,IND,@,HOU,L 7-34,1,1,Sun,1,24,24.00,0,LefeJo00
Dion Lewis,RB,20.349,2011-09-11,NFL,PHI,@,STL,W 31-13,1,1,Sun,2,36,18.00,0,LewiDi00
Danieal Manning,FS,29.033,2011-09-11,NFL,HOU,,IND,W 34-7,1,1,Sun,1,46,46.00,0,MannDa21
Dexter McCluster,WR,22.017,2011-09-11,NFL,KAN,,BUF,L 7-41,1,1,Sun,4,92,23.00,0,McClDe00
Joe McKnight,RB,23.148,2011-09-11,NFL,NYJ,,DAL,W 27-24,1,1,Sun,1,27,27.00,0,McKnJo00
DeMarco Murray,RB,23.211,2011-09-11,NFL,DAL,@,NYJ,L 24-27,1,1,Sun,1,14,14.00,0,MurrDe00
Jerious Norwood,RB,28.044,2011-09-11,NFL,STL,,PHI,L 13-31,1,1,Sun,4,105,26.25,0,NorwJe00
John Phillips,FB,24.092,2011-09-11,NFL,DAL,@,NYJ,L 24-27,1,1,Sun,1,16,16.00,0,PhilJo00
Eugene Sims,DE,25.177,2011-09-11,NFL,STL,,PHI,L 13-31,1,1,Sun,1,10,10.00,0,SimsEu99
Brad Smith,QB/W,27.273,2011-09-11,NFL,BUF,@,KAN,W 41-7,1,1,Sun,1,21,21.00,0,SmitBr01
Kory Sperry,TE,26.154,2011-09-11,NFL,SDG,,MIN,W 24-17,1,1,Sun,1,13,13.00,0,SperKo00
LaRod Stephens-Howling,RB,24.138,2011-09-11,NFL,ARI,,CAR,W 28-21,1,1,Sun,2,60,30.00,0,StepLa00
Sammie Stroughter,WR,25.251,2011-09-11,NFL,TAM,,DET,L 20-27,1,1,Sun,1,78,78.00,0,StroSa00
Brandon Tate,WR,23.341,2011-09-11,NFL,CIN,@,CLE,W 27-17,1,1,Sun,4,92,23.00,0,TateBr00
Devin Thomas,WR,24.300,2011-09-11,NFL,NYG,@,WAS,L 14-28,1,1,Sun,1,21,21.00,0,ThomDe02
Danny Ware,RB,26.205,2011-09-11,NFL,NYG,@,WAS,L 14-28,1,1,Sun,1,0,0.00,0,WareDa00
Leon Washington,RB,29.013,2011-09-11,NFL,SEA,@,SFO,L 17-33,1,1,Sun,4,104,26.00,0,WashLe00
Lardarius Webb,LCB,25.334,2011-09-11,NFL,BAL,,PIT,W 35-7,1,1,Sun,1,37,37.00,0,WebbLa99
Eric Weems,WR,26.069,2011-09-11,NFL,ATL,@,CHI,L 12-30,1,1,Sun,2,33,16.50,0,WeemEr00
Julian Edelman,WR,25.113,2011-09-12,NFL,NWE,@,MIA,W 38-24,1,1,Mon,2,65,32.50,0,EdelJu00
Clyde Gates,WR,25.091,2011-09-12,NFL,MIA,,NWE,L 24-38,1,1,Mon,6,129,21.50,0,GateCl00
Rob Gronkowski,TE,22.121,2011-09-12,NFL,NWE,@,MIA,W 38-24,1,1,Mon,1,11,11.00,0,GronRo00
Matthew Slater,WR,26.003,2011-09-12,NFL,NWE,@,MIA,W 38-24,1,1,Mon,1,22,22.00,0,SlatMa00
Brandon Banks,WR,23.271,2011-09-18,NFL,WAS,,ARI,W 22-21,2,2,Sun,4,105,26.25,0,BankBr00
Lorenzo Booker,RB,27.096,2011-09-18,NFL,MIN,,TAM,L 20-24,2,2,Sun,1,15,15.00,0,BookLo00
Antonio Brown,WR,23.070,2011-09-18,NFL,PIT,,SEA,W 24-0,2,2,Sun,1,23,23.00,0,BrowAn04
Randall Cobb,WR,21.027,2011-09-18,NFL,GNB,@,CAR,W 30-23,2,2,Sun,2,48,24.00,0,CobbRa00
Josh Cribbs,WR,28.101,2011-09-18,NFL,CLE,@,IND,W 27-19,2,2,Sun,2,80,40.00,0,CribJo01
