Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Rush Att,Rush Yard,Rush Avg,Rush TD,unique_id
Rabih Abdullah,RB,24.138,1999-09-12,NFL,TAM,,NYG,L 13-17,1,1,Sun,1,0,0.00,0,AbduRa00
Troy Aikman*,QB,32.295,1999-09-12,NFL,DAL,@,WAS,W 41-35,1,1,Sun,2,4,2.00,0,AikmTr00
Terry Allen,RB,31.203,1999-09-12,NFL,NWE,@,NYJ,W 30-28,1,1,Sun,15,54,3.60,1,AlleTe00
Mike Alstott,FB,25.265,1999-09-12,NFL,TAM,,NYG,L 13-17,1,1,Sun,9,12,1.33,0,AlstMi00
Kimble Anders,RB,33.002,1999-09-12,NFL,KAN,@,CHI,L 17-20,1,1,Sun,10,39,3.90,0,AndeKi00
Jamal Anderson,RB,26.347,1999-09-12,NFL,ATL,,MIN,L 14-17,1,1,Sun,16,50,3.13,0,AndeJa00
Richie Anderson,FB,27.364,1999-09-12,NFL,NYJ,,NWE,L 28-30,1,1,Sun,1,16,16.00,0,AndeRi00
Tavian Banks,RB,25.207,1999-09-12,NFL,JAX,,SFO,W 41-3,1,1,Sun,2,-2,-1.00,0,BankTa00
Charlie Batch,QB,24.281,1999-09-12,NFL,DET,@,SEA,W 28-20,1,1,Sun,3,-3,-1.00,0,BatcCh00
Mario Bates,RB,26.239,1999-09-12,NFL,ARI,@,PHI,W 25-24,1,1,Sun,4,6,1.50,1,BateMa00
Sean Bennett,RB,23.307,1999-09-12,NFL,NYG,@,TAM,W 17-13,1,1,Sun,13,24,1.85,0,BennSe00
Jerome Bettis*,RB,27.208,1999-09-12,NFL,PIT,@,CLE,W 43-0,1,1,Sun,18,89,4.94,0,BettJe00
Steve Beuerlein,QB,34.189,1999-09-12,NFL,CAR,@,NOR,L 10-19,1,1,Sun,1,8,8.00,0,BeueSt00
Tim Biakabutuka,RB,25.231,1999-09-12,NFL,CAR,@,NOR,L 10-19,1,1,Sun,8,45,5.63,0,BiakTi00
Jeff Blake,QB,28.282,1999-09-12,NFL,CIN,@,TEN,L 35-36,1,1,Sun,11,90,8.18,0,BlakJe00
Drew Bledsoe,QB,27.210,1999-09-12,NFL,NWE,@,NYJ,W 30-28,1,1,Sun,1,-1,-1.00,0,BledDr00
David Boston,WR,21.024,1999-09-12,NFL,ARI,@,PHI,W 25-24,1,1,Sun,1,1,1.00,0,BostDa00
Reggie Brown,TE,26.078,1999-09-12,NFL,SEA,,DET,L 20-28,1,1,Sun,1,3,3.00,0,BrowRe00
Mark Brunell,QB,28.360,1999-09-12,NFL,JAX,,SFO,W 41-3,1,1,Sun,2,12,6.00,0,BrunMa00
Ki-Jana Carter,RB,26.000,1999-09-12,NFL,CIN,@,TEN,L 35-36,1,1,Sun,6,15,2.50,1,CartKi00
Larry Centers,FB,31.103,1999-09-12,NFL,WAS,,DAL,L 35-41,1,1,Sun,1,2,2.00,0,CentLa00
Chris Chandler,QB,33.335,1999-09-12,NFL,ATL,,MIN,L 14-17,1,1,Sun,3,21,7.00,0,ChanCh00
Bob Christian,RB,30.302,1999-09-12,NFL,ATL,,MIN,L 14-17,1,1,Sun,1,1,1.00,1,ChriBo00
Albert Connell,WR,25.122,1999-09-12,NFL,WAS,,DAL,L 35-41,1,1,Sun,1,8,8.00,0,ConnAl00
Aaron Craver,FB,30.268,1999-09-12,NFL,NOR,,CAR,W 19-10,1,1,Sun,5,16,3.20,0,CravAa00
Randall Cunningham,QB,36.169,1999-09-12,NFL,MIN,@,ATL,W 17-14,1,1,Sun,3,12,4.00,0,CunnRa00
Stephen Davis,RB,25.195,1999-09-12,NFL,WAS,,DAL,L 35-41,1,1,Sun,24,109,4.54,2,DaviSt00
Troy Davis,RB,23.363,1999-09-12,NFL,NOR,,CAR,W 19-10,1,1,Sun,9,18,2.00,0,DaviTr00
Ty Detmer,QB,31.317,1999-09-12,NFL,CLE,,PIT,L 0-43,1,1,Sun,1,-1,-1.00,0,DetmTy00
Trent Dilfer,QB,27.183,1999-09-12,NFL,TAM,,NYG,L 13-17,1,1,Sun,1,4,4.00,0,DilfTr00
Corey Dillon,RB,24.323,1999-09-12,NFL,CIN,@,TEN,L 35-36,1,1,Sun,21,66,3.14,1,DillCo00
Warrick Dunn,RB,24.250,1999-09-12,NFL,TAM,,NYG,L 13-17,1,1,Sun,15,46,3.07,0,DunnWa00
Marc Edwards,FB,24.299,1999-09-12,NFL,CLE,,PIT,L 0-43,1,1,Sun,1,1,1.00,0,EdwaMa00
Bobby Engram,WR,26.248,1999-09-12,NFL,CHI,,KAN,W 20-17,1,1,Sun,1,9,9.00,0,EngrBo00
Curtis Enis,RB,23.089,1999-09-12,NFL,CHI,,KAN,W 20-17,1,1,Sun,22,64,2.91,0,EnisCu00
Charles Evans,FB,32.149,1999-09-12,NFL,BAL,@,STL,L 10-27,1,1,Sun,3,8,2.67,0,EvanCh00
Kevin Faulk,RB,23.099,1999-09-12,NFL,NWE,@,NYJ,W 30-28,1,1,Sun,10,17,1.70,0,FaulKe00
Marshall Faulk*,FB,26.198,1999-09-12,NFL,STL,,BAL,W 27-10,1,1,Sun,19,54,2.84,0,FaulMa00
Brett Favre*,QB,29.337,1999-09-12,NFL,GNB,,OAK,W 28-24,1,1,Sun,2,13,6.50,0,FavrBr00
Jeff Feagles,P,33.189,1999-09-12,NFL,SEA,,DET,L 20-28,1,1,Sun,1,0,0.00,0,FeagJe20
Jay Fiedler,QB,27.257,1999-09-12,NFL,JAX,,SFO,W 41-3,1,1,Sun,2,-2,-1.00,0,FiedJa00
William Floyd,FB,27.207,1999-09-12,NFL,CAR,@,NOR,L 10-19,1,1,Sun,1,2,2.00,0,FloyWi00
Doug Flutie,QB,36.324,1999-09-12,NFL,BUF,@,IND,L 14-31,1,1,Sun,4,24,6.00,0,FlutDo00
Rich Gannon,QB,33.266,1999-09-12,NFL,OAK,@,GNB,L 24-28,1,1,Sun,1,6,6.00,0,GannRi00
Charlie Garner,RB,27.211,1999-09-12,NFL,SFO,@,JAX,L 3-41,1,1,Sun,11,61,5.55,0,GarnCh00
Eddie George,RB,25.353,1999-09-12,NFL,TEN,,CIN,W 36-35,1,1,Sun,12,42,3.50,0,GeorEd00
Pete Gonzalez,QB,25.050,1999-09-12,NFL,PIT,@,CLE,W 43-0,1,1,Sun,2,-3,-1.50,0,GonzPe00
Kent Graham,QB,30.315,1999-09-12,NFL,NYG,@,TAM,W 17-13,1,1,Sun,6,2,0.33,0,GrahKe00
Jacquez Green,WR,23.240,1999-09-12,NFL,TAM,,NYG,L 13-17,1,1,Sun,1,15,15.00,0,GreeJa00
Byron Hanspard,RB,23.232,1999-09-12,NFL,ATL,,MIN,L 14-17,1,1,Sun,3,9,3.00,0,HansBy00
Skip Hicks,RB,24.334,1999-09-12,NFL,WAS,,DAL,L 35-41,1,1,Sun,1,4,4.00,0,HickSk00
Greg Hill,RB,27.201,1999-09-12,NFL,DET,@,SEA,W 28-20,1,1,Sun,7,24,3.43,0,HillGr00
Leroy Hoard,RB,31.120,1999-09-12,NFL,MIN,@,ATL,W 17-14,1,1,Sun,12,50,4.17,1,HoarLe00
