Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Fantasy Pts,PPR,DK Pts,FD Pts,Pass_cmp,Pass_att,Pass_yds,Pass_td,Pass_int,Run_att,Run_yds,Run_td,Rec,Rec_yds,Rec_td,Fmb,FGM,FGA,XPM,XPA,unique_id
Joseph Addai,RB,24.126,2007-09-06,NFL,IND,,NOR,W 41-10,1,1,Thu,20.30,23.3,26.3,21.8,0,0,0,0,0,23,118,1,3,25,0,0,,,,,AddaJo00
Drew Brees,QB,28.234,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,2.28,3.3,6.3,4.8,28,41,192,0,2,1,4,0,1,2,0,0,,,,,BreeDr00
Reggie Bush,RB,22.188,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,4.50,8.5,8.5,6.5,0,0,0,0,0,12,38,0,4,7,0,0,,,,,BushRe00
Dallas Clark,TE,28.086,2007-09-06,NFL,IND,,NOR,W 41-10,1,1,Thu,6.20,8.2,8.2,7.2,0,0,0,0,0,1,14,0,2,48,0,0,,,,,ClarDa00
Marques Colston,WR,24.093,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,4.70,10.7,10.7,7.7,0,0,0,0,0,0,0,0,6,47,0,0,,,,,ColsMa00
Marvin Harrison*,WR,35.012,2007-09-06,NFL,IND,,NOR,W 41-10,1,1,Thu,14.30,18.3,18.3,16.3,0,0,0,0,0,0,0,0,4,83,1,0,,,,,HarrMa00
Devery Henderson,WR,25.164,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,3.90,6.9,6.9,5.4,0,0,0,0,0,1,5,0,3,34,0,0,,,,,HendDe00
Eric Johnson,TE,31.129,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,5.70,13.7,13.7,9.7,0,0,0,0,0,0,0,0,8,57,0,0,,,,,JohnEr00
Kenton Keith,RB,27.054,2007-09-06,NFL,IND,,NOR,W 41-10,1,1,Thu,3.00,4.0,4.0,3.5,0,0,0,0,0,5,32,0,1,-2,0,0,,,,,KeitKe00
Peyton Manning,QB,31.166,2007-09-06,NFL,IND,,NOR,W 41-10,1,1,Thu,23.52,23.5,23.5,23.5,18,30,288,3,0,0,0,0,0,0,0,0,,,,,MannPe00
Olindo Mare,K,34.092,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,4.00,4.0,,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,marexoli01
Deuce McAllister,RB,28.253,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,4.50,6.5,6.5,5.5,0,0,0,0,0,10,38,0,2,7,0,0,,,,,McAlDe00
David Patten,WR,33.018,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,1.80,3.8,3.8,2.8,0,0,0,0,0,0,0,0,2,18,0,0,,,,,PattDa00
Aaron Stecker,RB,31.297,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,4.10,6.1,6.1,5.1,0,0,0,0,0,2,21,0,2,20,0,0,,,,,StecAa00
Ben Utecht,H-B,26.068,2007-09-06,NFL,IND,,NOR,W 41-10,1,1,Thu,1.90,2.9,2.9,2.4,0,0,0,0,0,0,0,0,1,19,0,0,,,,,UtecBe00
Adam Vinatieri,K,34.252,2007-09-06,NFL,IND,,NOR,W 41-10,1,1,Thu,11.00,11.0,,11.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5,vinatada01
Reggie Wayne,WR,28.293,2007-09-06,NFL,IND,,NOR,W 41-10,1,1,Thu,21.50,28.5,32.5,25.0,0,0,0,0,0,0,0,0,7,115,2,0,,,,,WaynRe00
David Akers,K,32.274,2007-09-09,NFL,PHI,@,GNB,L 13-16,1,1,Sun,7.00,7.0,,8.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,akersdav01
Shaun Alexander,RB,30.010,2007-09-09,NFL,SEA,,TAM,W 20-6,1,1,Sun,17.70,19.7,22.7,18.7,0,0,0,0,0,27,105,1,2,12,0,0,,,,,AlexSh00
Aundrae Allison,WR,21.142,2007-09-09,NFL,MIN,,ATL,W 24-3,1,1,Sun,1.10,2.1,2.1,1.6,0,0,0,0,0,0,0,0,1,11,0,0,,,,,AlliAu00
Derek Anderson,QB,24.086,2007-09-09,NFL,CLE,,PIT,L 7-34,1,1,Sun,7.26,7.3,9.3,8.3,13,28,184,1,1,1,-1,0,0,0,0,0,,,,,AndeDe00
Jason Avant,WR,24.142,2007-09-09,NFL,PHI,@,GNB,L 13-16,1,1,Sun,11.40,14.4,14.4,12.9,0,0,0,0,0,0,0,0,3,54,1,0,,,,,AvanJa00
Chris Baker,TE,27.295,2007-09-09,NFL,NYJ,,NWE,L 14-38,1,1,Sun,2.90,4.9,4.9,3.9,0,0,0,0,0,0,0,0,2,29,0,0,,,,,BakeCh00
Marion Barber,RB,24.091,2007-09-09,NFL,DAL,,NYG,W 45-35,1,1,Sun,15.40,16.4,16.4,15.9,0,0,0,0,0,11,65,1,1,29,0,0,,,,,BarbMa01
Tatum Bell,HB,26.191,2007-09-09,NFL,DET,@,OAK,W 36-21,1,1,Sun,15.30,19.3,19.3,17.3,0,0,0,0,0,15,87,1,4,6,0,0,,,,,BellTa00
Michael Bennett,RB,29.027,2007-09-09,NFL,KAN,@,HOU,L 3-20,1,1,Sun,3.40,5.4,5.4,4.4,0,0,0,0,0,5,24,0,2,10,0,0,,,,,BennMi00
Cedric Benson,RB,24.255,2007-09-09,NFL,CHI,@,SDG,L 3-14,1,1,Sun,3.30,4.3,5.3,3.8,0,0,0,0,0,19,42,0,1,11,0,0,,,,,BensCe00
Bernard Berrian,WR,26.256,2007-09-09,NFL,CHI,@,SDG,L 3-14,1,1,Sun,8.30,13.3,13.3,10.8,0,0,0,0,0,0,0,0,5,83,0,0,,,,,BerrBe00
Ladell Betts,RB,28.013,2007-09-09,NFL,WAS,,MIA,W 16-13,1,1,Sun,7.50,8.5,8.5,8.0,0,0,0,0,0,17,59,0,1,16,0,0,,,,,BettLa00
Rob Bironas,PK,29.223,2007-09-09,NFL,TEN,@,JAX,W 13-10,1,1,Sun,7.00,7.0,,7.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,bironrob01
Dwayne Blakley,TE,28.030,2007-09-09,NFL,ATL,@,MIN,L 3-24,1,1,Sun,1.80,3.8,3.8,2.8,0,0,0,0,0,0,0,0,2,18,0,0,,,,,BlakDw00
Marty Booker,WR,31.040,2007-09-09,NFL,MIA,@,WAS,L 13-16,1,1,Sun,3.20,6.2,6.2,4.7,0,0,0,0,0,1,12,0,3,20,0,0,,,,,BookMa00
Dwayne Bowe,WR,22.353,2007-09-09,NFL,KAN,@,HOU,L 3-20,1,1,Sun,4.20,7.2,7.2,5.7,0,0,0,0,0,0,0,0,3,42,0,0,,,,,BoweDw00
Tom Brady,QB,30.037,2007-09-09,NFL,NWE,@,NYJ,W 38-14,1,1,Sun,24.28,24.3,24.3,24.3,22,28,297,3,0,1,4,0,0,0,0,0,,,,,BradTo00
John Broussard,WR,23.265,2007-09-09,NFL,JAX,,TEN,L 10-13,1,1,Sun,11.50,13.5,13.5,12.5,0,0,0,0,0,0,0,0,2,55,1,0,,,,,BrouJo00
Chris Brown,RB,26.145,2007-09-09,NFL,TEN,@,JAX,W 13-10,1,1,Sun,17.80,18.8,21.8,18.3,0,0,0,0,0,19,175,0,1,3,0,0,,,,,BrowCh03
Josh Brown,K,28.133,2007-09-09,NFL,SEA,,TAM,W 20-6,1,1,Sun,8.00,8.0,,9.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,brownjos01
Kris Brown,K,30.260,2007-09-09,NFL,HOU,,KAN,W 20-3,1,1,Sun,8.00,8.0,,8.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,brownkri01
Reggie Brown,WR,26.239,2007-09-09,NFL,PHI,@,GNB,L 13-16,1,1,Sun,1.40,2.4,2.4,1.9,0,0,0,0,0,0,0,0,1,14,0,0,,,,,BrowRe01
Ronnie Brown,RB,25.271,2007-09-09,NFL,MIA,@,WAS,L 13-16,1,1,Sun,7.20,13.2,13.2,10.2,0,0,0,0,0,11,32,0,6,40,0,0,,,,,BrowRo05
Isaac Bruce,WR,34.303,2007-09-09,NFL,STL,,CAR,L 13-27,1,1,Sun,2.00,5.0,5.0,3.5,0,0,0,0,0,0,0,0,3,20,0,0,,,,,BrucIs00
Matt Bryant,K,32.103,2007-09-09,NFL,TAM,@,SEA,L 6-20,1,1,Sun,6.00,6.0,,6.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,bryanmat01
Marc Bulger,QB,30.157,2007-09-09,NFL,STL,,CAR,L 13-27,1,1,Sun,12.48,12.5,12.5,12.5,22,42,167,1,0,3,18,0,0,0,0,0,,,,,BulgMa00
Nate Burleson,WR,26.021,2007-09-09,NFL,SEA,,TAM,W 20-6,1,1,Sun,2.40,4.4,5.4,3.4,0,0,0,0,0,1,3,0,2,41,0,0,,,,,BurlNa00
Plaxico Burress,WR,30.028,2007-09-09,NFL,NYG,@,DAL,L 35-45,1,1,Sun,32.40,40.4,43.4,36.4,0,0,0,0,0,0,0,0,8,144,3,0,,,,,BurrPl00
Jason Campbell,QB,25.252,2007-09-09,NFL,WAS,,MIA,W 16-13,1,1,Sun,7.78,7.8,9.8,9.8,12,21,222,0,2,4,29,0,0,0,0,0,,,,,CampJa00
Drew Carter,WR,26.004,2007-09-09,NFL,CAR,@,STL,W 27-13,1,1,Sun,13.90,16.9,16.9,15.4,0,0,0,0,0,0,0,0,3,19,2,0,,,,,CartDr00
Tim Carter,WR,27.353,2007-09-09,NFL,CLE,,PIT,L 7-34,1,1,Sun,2.20,3.2,3.2,2.7,0,0,0,0,0,0,0,0,1,22,0,0,,,,,CartTi00
Chris Chambers,WR,29.028,2007-09-09,NFL,MIA,@,WAS,L 13-16,1,1,Sun,9.20,15.2,15.2,12.2,0,0,0,0,0,0,0,0,6,92,0,0,,,,,ChamCh00
Jesse Chatman,RB,27.352,2007-09-09,NFL,MIA,@,WAS,L 13-16,1,1,Sun,4.30,10.3,11.3,7.3,0,0,0,0,0,7,15,0,6,48,0,0,,,,,ChatJe00
Desmond Clark,TE,30.142,2007-09-09,NFL,CHI,@,SDG,L 3-14,1,1,Sun,3.80,6.8,6.8,5.3,0,0,0,0,0,0,0,0,3,38,0,0,,,,,ClarDe00
Michael Clayton,WR,24.331,2007-09-09,NFL,TAM,@,SEA,L 6-20,1,1,Sun,1.10,2.1,2.1,1.6,0,0,0,0,0,1,0,0,1,11,0,0,,,,,ClayMi00
Kellen Clemens,QB,24.094,2007-09-09,NFL,NYJ,,NWE,L 14-38,1,1,Sun,1.40,1.4,1.4,1.4,5,10,35,0,0,0,0,0,0,0,0,0,,,,,ClemKe00
Laveranues Coles,WR,29.254,2007-09-09,NFL,NYJ,,NWE,L 14-38,1,1,Sun,17.90,24.9,24.9,21.4,0,0,0,0,0,0,0,0,7,59,2,0,,,,,ColeLa00
Chris Cooley,TE,25.060,2007-09-09,NFL,WAS,,MIA,W 16-13,1,1,Sun,1.00,2.0,2.0,1.5,0,0,0,0,0,0,0,0,1,10,0,0,,,,,CoolCh00
Jerricho Cotchery,WR,25.085,2007-09-09,NFL,NYJ,,NWE,L 14-38,1,1,Sun,5.70,11.7,11.7,8.7,0,0,0,0,0,0,0,0,6,57,0,0,,,,,CotcJe00
Patrick Crayton,WR,28.155,2007-09-09,NFL,DAL,,NYG,W 45-35,1,1,Sun,5.10,8.1,8.1,6.6,0,0,0,0,0,0,0,0,3,51,0,0,,,,,CrayPa00
Mason Crosby,K,23.006,2007-09-09,NFL,GNB,,PHI,W 16-13,1,1,Sun,12.00,12.0,,13.0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,CrosMa20
Alge Crumpler,TE,29.260,2007-09-09,NFL,ATL,@,MIN,L 3-24,1,1,Sun,4.00,8.0,8.0,6.0,0,0,0,0,0,0,0,0,4,40,0,0,,,,,CrumAl00
