Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Kick Ret,Kick Ret Yds,Kick Ret YPA,Kick Ret TD,unique_id
Josh Cooper,DE,26.275,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,1,8,8.00,0,CoopJo20
Luke Lawton,RB,27.011,2007-09-06,NFL,IND,,NOR,W 41-10,1,1,Thu,1,22,22.00,0,LawtLu00
Billy Miller,TE,30.135,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,1,8,8.00,0,MillBi00
Lance Moore,WR,24.006,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,3,65,21.67,0,MoorLa00
Ahmad Bradshaw,RB,21.174,2007-09-09,NFL,NYG,@,DAL,L 35-45,1,1,Sun,7,193,27.57,0,BradAh00
Correll Buckhalter,RB,28.338,2007-09-09,NFL,PHI,@,GNB,L 13-16,1,1,Sun,1,16,16.00,0,BuckCo00
Nate Burleson,WR,26.021,2007-09-09,NFL,SEA,,TAM,W 20-6,1,1,Sun,2,35,17.50,0,BurlNa00
Brian Calhoun,RB,23.124,2007-09-09,NFL,DET,@,OAK,W 36-21,1,1,Sun,1,33,33.00,0,CalhBr00
Chris Carr,CB,24.132,2007-09-09,NFL,OAK,,DET,L 21-36,1,1,Sun,7,155,22.14,0,CarrCh22
Rock Cartwright,RB,27.280,2007-09-09,NFL,WAS,,MIA,W 16-13,1,1,Sun,2,50,25.00,0,CartRo01
Patrick Crayton,WR,28.155,2007-09-09,NFL,DAL,,NYG,W 45-35,1,1,Sun,1,13,13.00,0,CrayPa00
Josh Cribbs,WR,24.092,2007-09-09,NFL,CLE,,PIT,L 7-34,1,1,Sun,4,98,24.50,0,CribJo01
Tony Curtis,TE,24.210,2007-09-09,NFL,DAL,,NYG,W 45-35,1,1,Sun,1,16,16.00,0,CurtTo00
Eddie Drummond,WR,27.150,2007-09-09,NFL,KAN,@,HOU,L 3-20,1,1,Sun,3,79,26.33,0,DrumEd00
Ted Ginn,WR,22.150,2007-09-09,NFL,MIA,@,WAS,L 13-16,1,1,Sun,3,70,23.33,0,GinnTe00
Earnest Graham,RB,27.237,2007-09-09,NFL,TAM,@,SEA,L 6-20,1,1,Sun,4,90,22.50,0,GrahEa00
Michael Griffin,DB,22.248,2007-09-09,NFL,TEN,@,JAX,W 13-10,1,1,Sun,2,35,17.50,0,GrifMi99
Dante Hall,WR,29.008,2007-09-09,NFL,STL,,CAR,L 13-27,1,1,Sun,5,146,29.20,0,HallDa00
Ben Hartsock,TE,27.066,2007-09-09,NFL,TEN,@,JAX,W 13-10,1,1,Sun,1,14,14.00,0,HartBe00
Devin Hester,KR/P,24.309,2007-09-09,NFL,CHI,@,SDG,L 3-14,1,1,Sun,1,29,29.00,0,HestDe99
Domenik Hixon,WR,22.336,2007-09-09,NFL,DEN,@,BUF,W 15-14,1,1,Sun,3,72,24.00,0,HixoDo00
Ellis Hobbs,RCB,24.116,2007-09-09,NFL,NWE,@,NYJ,W 38-14,1,1,Sun,3,156,52.00,1,HobbEl20
