Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,XP Made,XP Att,XP %,FG Made,FG Att,FG %,2PM,Sfty,TD,Pts,unique_id
Matt Prater,K,29.026,2013-09-05,NFL,DEN,,BAL,W 49-27,1,1,Thu,7,7,100.0,,,,,,0,7,PratMa20
Justin Tucker,K,23.288,2013-09-05,NFL,BAL,@,DEN,L 27-49,1,1,Thu,3,3,100.0,2,2,100.0,,,0,9,TuckJu00
David Akers,K,38.273,2013-09-08,NFL,DET,,MIN,W 34-24,1,1,Sun,4,4,100.0,2,2,100.0,,,0,10,akersdav01
Dan Bailey,K,25.225,2013-09-08,NFL,DAL,,NYG,W 36-31,1,1,Sun,3,3,100.0,3,3,100.0,,,0,12,BailDa00
Rob Bironas,K,35.222,2013-09-08,NFL,TEN,@,PIT,W 16-9,1,1,Sun,1,1,100.0,3,3,100.0,,,0,10,bironrob01
Josh Brown,K,34.132,2013-09-08,NFL,NYG,@,DAL,L 31-36,1,1,Sun,4,4,100.0,1,1,100.0,,,0,7,brownjos01
Matt Bryant,K,38.102,2013-09-08,NFL,ATL,@,NOR,L 17-23,1,1,Sun,2,2,100.0,1,1,100.0,,,0,5,bryanmat01
Dan Carpenter,K,27.287,2013-09-08,NFL,BUF,,NWE,L 21-23,1,1,Sun,3,3,100.0,,,,,,0,3,CarpDa44
Mason Crosby,K,29.005,2013-09-08,NFL,GNB,@,SFO,L 28-34,1,1,Sun,4,4,100.0,,,,,,0,4,CrosMa20
Billy Cundiff,K,33.162,2013-09-08,NFL,CLE,,MIA,L 10-23,1,1,Sun,1,1,100.0,1,1,100.0,,,0,4,cundibil01
Phil Dawson,K,38.228,2013-09-08,NFL,SFO,,GNB,W 34-28,1,1,Sun,4,4,100.0,2,3,66.7,,,0,10,dawsophi01
Jay Feely,K,37.108,2013-09-08,NFL,ARI,@,STL,L 24-27,1,1,Sun,3,3,100.0,1,2,50.0,,,0,6,feelyjay01
Nick Folk,K,28.307,2013-09-08,NFL,NYJ,,TAM,W 18-17,1,1,Sun,1,1,100.0,3,3,100.0,,,0,10,FolkNi20
Graham Gano,K,26.152,2013-09-08,NFL,CAR,,SEA,L 7-12,1,1,Sun,1,1,100.0,,,,,,0,1,GanoGr44
Stephen Gostkowski,K,29.223,2013-09-08,NFL,NWE,@,BUF,W 23-21,1,1,Sun,2,2,100.0,3,3,100.0,,,0,11,GostSt20
Robbie Gould,K,30.276,2013-09-08,NFL,CHI,,CIN,W 24-21,1,1,Sun,3,3,100.0,1,1,100.0,,,0,6,gouldrob01
